表7    人口婚姻状况和妇女生育状况（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位：人,,
县市名,15岁及以上人口,,,未婚,,,初婚有配偶,,,再婚有配偶,,,离婚,,,丧偶,,,15—50岁妇女,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,平均活产子女数,平均存活子女数,,
,,,,,,,,,,,,,,,,,,,,,,
新城子区,25371,12855,12516,4457,2609,1848,18343,9163,9180,877,429,448,406,266,140,1288,388,900,1.05,1.03,,
于洪区,49661,25009,24652,8972,5098,3874,36590,18241,18349,1567,789,778,803,383,420,1729,498,1231,0.96,0.94,,
辽中县,40463,20426,20037,5561,3300,2261,31353,15684,15669,1203,536,667,453,294,159,1893,612,1281,1.18,1.17,,
康平县,25223,12739,12484,3298,1950,1348,19885,9963,9922,454,192,262,198,130,68,1388,504,884,1.22,1.20,,
法库县,33741,17187,16554,4707,2879,1828,26025,13029,12996,803,353,450,354,243,111,1852,683,1169,1.23,1.21,,
新民市,52209,26530,25679,8196,4882,3314,39588,19828,19760,1318,574,744,508,344,164,2599,902,1697,1.21,1.19,,
大连市,479415,239931,239484,91061,51677,39384,346747,172389,174358,11605,5363,6242,6743,3481,3262,23259,7021,16238,0.94,0.93,,
中山区,32087,15716,16371,6819,3639,3180,22177,11003,11174,740,400,340,780,333,447,1571,341,1230,0.70,0.70,,
西岗区,29312,14677,14635,5884,3429,2455,20674,10302,10372,517,270,247,713,342,371,1524,334,1190,0.74,0.74,,
沙河口区,53021,26184,26837,12350,6750,5600,36353,17908,18445,863,448,415,1097,526,571,2358,552,1806,0.69,0.68,,
甘井子区,65126,33446,31680,16680,9767,6913,43685,21910,21775,1217,625,592,1084,516,568,2460,628,1832,0.76,0.75,,
旅顺口区,21148,10541,10607,3552,2067,1485,15622,7766,7856,611,301,310,313,163,150,1050,244,806,0.96,0.95,,
金州区,67202,32271,34931,15371,7164,8207,46563,23134,23429,1730,818,912,770,385,385,2768,770,1998,0.83,0.82,,
长海县,7357,3752,3605,1021,671,350,5575,2831,2744,300,132,168,80,42,38,381,76,305,1.28,1.27,,
瓦房店市,77244,39141,38103,11457,6989,4468,58730,29270,29460,2085,910,1175,915,526,389,4057,1446,2611,1.13,1.12,,
普兰店市,59966,30414,29552,8526,5339,3187,46050,22875,23175,1695,677,1018,478,322,156,3217,1201,2016,1.17,1.15,,
庄河市,66952,33789,33163,9401,5862,3539,51318,25390,25928,1847,782,1065,513,326,187,3873,1429,2444,1.18,1.17,,
鞍山市,290229,146602,143627,49245,28649,20596,214534,106922,107612,6805,3287,3518,5732,3108,2624,13913,4636,9277,1.03,1.02,,
铁东区,38573,18782,19791,6868,3672,3196,28179,13827,14352,779,438,341,999,434,565,1748,411,1337,0.75,0.75,,
铁西区,26953,13478,13475,4845,2751,2094,19289,9567,9722,569,311,258,889,446,443,1361,403,958,0.78,0.78,,
立山区,35723,18071,17652,6017,3645,2372,26093,12955,13138,681,373,308,1140,579,561,1792,519,1273,0.80,0.79,,
千山区,30441,15630,14811,5472,3313,2159,22044,11058,10986,890,458,432,670,391,279,1365,410,955,0.97,0.97,,
台安县,27942,14133,13809,3941,2307,1634,21825,10923,10902,613,254,359,210,155,55,1353,494,859,1.20,1.18,,
岫岩满族自治县,37262,19277,17985,6803,4189,2614,27040,13573,13467,934,378,556,413,278,135,2072,859,1213,1.33,1.31,,
海城市,93335,47231,46104,15299,8772,6527,70064,35019,35045,2339,1075,1264,1411,825,586,4222,1540,2682,1.14,1.13,,
抚顺市,184555,92692,91863,33115,19608,13507,131084,65212,65872,5040,2471,2569,4757,2568,2189,10559,2833,7726,0.98,0.97,,
新抚区,24830,12134,12696,4613,2531,2082,17517,8665,8852,574,298,276,750,341,409,1376,299,1077,0.78,0.78,,
东洲区,28588,14211,14377,5044,2910,2134,19772,9843,9929,905,457,448,943,513,430,1924,488,1436,0.86,0.85,,
望花区,31651,15905,15746,6021,3598,2423,22059,10933,11126,802,424,378,945,505,440,1824,445,1379,0.86,0.85,,
顺城区,34118,16862,17256,5961,3370,2591,24348,12067,12281,928,483,445,1015,510,505,1866,432,1434,0.85,0.84,,
抚顺县,18477,9570,8907,3126,2023,1103,13471,6759,6712,574,246,328,286,197,89,1020,345,675,1.13,1.11,,
新宾满族自治县,22224,11362,10862,4083,2500,1583,15958,7982,7976,540,247,293,423,248,175,1220,385,835,1.31,1.30,,
清原满族自治县,24667,12648,12019,4267,2676,1591,17959,8963,8996,717,316,401,395,254,141,1329,439,890,1.25,1.23,,
本溪市,125949,63459,62490,21659,12884,8775,91813,45581,46232,3419,1691,1728,2894,1526,1368,6164,1777,4387,1.01,0.99,,
平山区,29268,14443,14825,4699,2630,2069,21915,10813,11102,645,344,301,749,310,439,1260,346,914,0.83,0.81,,
溪湖区,18623,9468,9155,3069,1901,1168,13267,6588,6679,613,308,305,645,394,251,1029,277,752,0.92,0.91,,
明山区,25604,12656,12948,4820,2673,2147,18610,9175,9435,584,303,281,525,235,290,1065,270,795,0.82,0.81,,
南芬区,7056,3580,3476,1111,673,438,5115,2568,2547,259,125,134,188,116,72,383,98,285,1.00,0.94,,
本溪满族自治县,22711,11622,11089,3347,2138,1209,17165,8581,8584,685,313,372,363,219,144,1151,371,780,1.28,1.26,,
桓仁满族自治县,22687,11690,10997,4613,2869,1744,15741,7856,7885,633,298,335,424,252,172,1276,415,861,1.27,1.25,,
丹东市,192370,96677,95693,32482,19024,13458,141128,70285,70843,5336,2481,2855,3378,1800,1578,10046,3087,6959,1.07,1.06,,
元宝区,16297,7924,8373,3322,1758,1564,11260,5554,5706,324,170,154,472,210,262,919,232,687,0.78,0.78,,
振兴区,31695,15405,16290,5815,3086,2729,22841,11188,11653,700,374,326,849,380,469,1490,377,1113,0.81,0.80,,
振安区,15698,7838,7860,2971,1682,1289,11105,5513,5592,458,217,241,375,210,165,789,216,573,0.98,0.97,,
宽甸满族自治县,32571,16746,15825,5133,3284,1849,24314,12170,12144,939,415,524,440,259,181,1745,618,1127,1.24,1.22,,
东港市,50960,25656,25304,7391,4294,3097,38893,19451,19442,1602,724,878,543,330,213,2531,857,1674,1.15,1.14,,
凤城市,45149,23108,22041,7850,4920,2930,32715,16409,16306,1313,581,732,699,411,288,2572,787,1785,1.18,1.17,,
锦州市,248643,124507,124136,41243,23516,17727,185110,92279,92831,6167,2780,3387,3388,1898,1490,12735,4034,8701,1.04,1.03,,
古塔区,21251,10408,10843,4560,2435,2125,14604,7152,7452,595,327,268,545,246,299,947,248,699,0.73,0.72,,
凌河区,31226,15009,16217,6385,3188,3197,21996,10782,11214,727,390,337,738,300,438,1380,349,1031,0.73,0.72,,
太和区,19097,9567,9530,3549,1952,1597,13931,6967,6964,511,250,261,302,172,130,804,226,578,0.93,0.92,,
黑山县,49489,24926,24563,7193,4255,2938,37913,18975,18938,1148,483,665,471,328,143,2764,885,1879,1.13,1.12,,
义县,33632,17114,16518,5587,3384,2203,24814,12394,12420,871,365,506,394,258,136,1966,713,1253,1.22,1.20,,
凌海市,51712,26155,25557,7516,4485,3031,39815,19963,19852,1251,524,727,508,316,192,2622,867,1755,1.12,1.10,,
北宁市,42236,21328,20908,6453,3817,2636,32037,16046,15991,1064,441,623,430,278,152,2252,746,1506,1.18,1.16,,
营口市,179355,90207,89148,30015,17152,12863,133944,66824,67120,4215,2016,2199,2841,1519,1322,8340,2696,5644,1.15,1.14,,
站前区,20986,10177,10809,3755,1904,1851,15305,7561,7744,468,246,222,538,241,297,920,225,695,0.80,0.79,,
西市区,13413,6519,6894,2232,1176,1056,9856,4856,5000,256,135,121,373,161,212,696,191,505,0.81,0.80,,
鲅鱼圈区,10487,5180,5307,1984,999,985,7882,3923,3959,205,110,95,136,70,66,280,78,202,1.04,1.03,,
老边区,10865,5504,5361,1636,988,648,8391,4196,4195,239,102,137,111,64,47,488,154,334,1.15,1.13,,
盖州市,68404,34682,33722,11357,6691,4666,50927,25455,25472,1679,786,893,953,572,381,3488,1178,2310,1.25,1.24,,
大石桥市,55200,28145,27055,9051,5394,3657,41583,20833,20750,1368,637,731,730,411,319,2468,870,1598,1.27,1.25,,
阜新市,152273,76356,75917,24953,14373,10580,113884,56885,56999,3440,1563,1877,1842,1070,772,8154,2465,5689,1.05,1.04,,
海州区,27898,13587,14311,5597,2913,2684,19811,9771,10040,684,370,314,534,238,296,1272,295,977,0.76,0.76,,
新邱区,5457,2738,2719,724,458,266,4037,2017,2020,161,83,78,155,95,60,380,85,295,0.90,0.88,,
太平区,12500,6197,6303,1800,1031,769,9308,4629,4679,351,176,175,333,181,152,708,180,528,0.85,0.84,,
清河门区,5780,2882,2898,766,452,314,4437,2205,2232,163,89,74,79,51,28,335,85,250,1.05,1.01,,
细河区,12870,6481,6389,2016,1205,811,9802,4880,4922,273,136,137,158,91,67,621,169,452,1.01,1.00,,
阜新蒙古族自治县,56354,28527,27827,9271,5445,3826,42443,21329,21114,1114,420,694,354,254,100,3172,1079,2093,1.20,1.18,,
彰武县,31414,15944,15470,4779,2869,1910,24046,12054,11992,694,289,405,229,160,69,1666,572,1094,1.17,1.16,,
辽阳市,144661,73123,71538,22298,13301,8997,109163,54381,54782,4034,1957,2077,2632,1407,1225,6534,2077,4457,1.07,1.06,,
白塔区,17083,8260,8823,3098,1579,1519,12437,6094,6343,429,241,188,435,196,239,684,150,534,0.81,0.80,,
文圣区,14369,7104,7265,2106,1194,912,10781,5334,5447,417,225,192,423,192,231,642,159,483,0.84,0.84,,
宏伟区,9647,4811,4836,1523,893,630,7327,3617,3710,243,132,111,252,93,159,302,76,226,0.90,0.89,,
弓长岭区,7607,3862,3745,1131,715,416,5567,2770,2797,295,149,146,199,121,78,415,107,308,0.99,0.98,,
太子河区,10585,5295,5290,1868,1107,761,7775,3821,3954,320,167,153,186,87,99,436,113,323,1.00,0.99,,
辽阳县,45459,23383,22076,6929,4340,2589,34512,17294,17218,1210,534,676,552,370,182,2256,845,1411,1.20,1.19,,
灯塔市,39911,20408,19503,5643,3473,2170,30764,15451,15313,1120,509,611,585,348,237,1799,627,1172,1.19,1.18,,
盘锦市,98729,49703,49026,14634,8441,6193,76529,38249,38280,2637,1332,1305,1232,573,659,3697,1108,2589,1.07,1.06,,
双台子区,15395,7590,7805,2361,1259,1102,11753,5824,5929,508,271,237,281,102,179,492,134,358,0.95,0.94,,
兴隆台区,32437,16271,16166,5333,2972,2361,25109,12537,12572,779,436,343,401,150,251,815,176,639,0.93,0.92,,
大洼县,28583,14428,14155,4025,2392,1633,22144,11065,11079,745,348,397,367,209,158,1302,414,888,1.20,1.18,,
盘山县,22314,11414,10900,2915,1818,1097,17523,8823,8700,605,277,328,183,112,71,1088,384,704,1.23,1.21,,
铁岭市,221425,112300,109125,33556,20075,13481,168455,83889,84566,5637,2599,3038,2938,1848,1090,10839,3889,6950,1.16,1.15,,
银州区,26572,13022,13550,4563,2408,2155,19801,9752,10049,690,355,335,530,251,279,988,256,732,0.86,0.85,,
清河区,7442,3804,3638,1075,668,407,5640,2818,2822,255,121,134,107,65,42,365,132,233,1.16,1.14,,
铁岭县,28181,14557,13624,4248,2732,1516,21401,10711,10690,703,306,397,336,253,83,1493,555,938,1.22,1.20,,
西丰县,24042,12311,11731,3521,2182,1339,18060,9040,9020,745,312,433,367,251,116,1349,526,823,1.29,1.27,,
昌图县,74740,37984,36756,10908,6523,4385,57764,28825,28939,1555,695,860,650,455,195,3863,1486,2377,1.21,1.20,,
铁法市,19515,9782,9733,2997,1729,1268,14873,7361,7512,572,305,267,344,188,156,729,199,530,1.02,1.01,,
开原市,40933,20840,20093,6244,3833,2411,30916,15382,15534,1117,505,612,604,385,219,2052,735,1317,1.22,1.21,,
朝阳市,245673,123722,121951,38311,22530,15781,186505,92507,93998,5640,2554,3086,1857,1165,692,13360,4966,8394,1.19,1.17,,
双塔区,25540,12473,13067,4382,2208,2174,19361,9551,9810,560,317,243,371,163,208,866,234,632,0.87,0.87,,
龙城区,11865,5930,5935,1912,1065,847,9052,4504,4548,289,144,145,115,58,57,497,159,338,1.07,1.06,,
朝阳县,44425,22754,21671,7514,4605,2909,33096,16438,16658,839,333,506,231,176,55,2745,1202,1543,1.29,1.27,,
建平县,41425,20605,20820,5909,3356,2553,31962,15819,16143,1064,478,586,260,176,84,2230,776,1454,1.28,1.26,,
喀喇沁左翼蒙古族自治县,30233,15285,14948,4490,2734,1756,23118,11412,11706,669,297,372,155,108,47,1801,734,1067,1.28,1.26,,
北票市,45736,23147,22589,6582,3999,2583,34754,17314,17440,1242,545,697,424,283,141,2734,1006,1728,1.14,1.12,,
凌源市,46449,23528,22921,7522,4563,2959,35162,17469,17693,977,440,537,301,201,100,2487,855,1632,1.22,1.20,,
葫芦岛市,201240,101658,99582,31245,18798,12447,153288,76157,77131,4282,1930,2352,2157,1230,927,10268,3543,6725,1.20,1.19,,
连山区,48092,23940,24152,7448,4256,3192,36495,18113,18382,1040,497,543,739,371,368,2370,703,1667,1.03,1.03,,
龙港区,13816,6810,7006,2325,1255,1070,10645,5264,5381,222,119,103,195,70,125,429,102,327,0.88,0.88,,
南票区,11108,5637,5471,1734,1053,681,8332,4174,4158,295,132,163,139,93,46,608,185,423,1.14,1.12,,
绥中县,46174,23512,22662,6795,4183,2612,35525,17791,17734,1010,396,614,456,283,173,2388,859,1529,1.26,1.24,,
建昌县,40742,20877,19865,6886,4395,2491,30301,14900,15401,858,393,465,238,172,66,2459,1017,1442,1.48,1.46,,
兴城市,41308,20882,20426,6057,3656,2401,31990,15915,16075,857,393,464,390,241,149,2014,677,1337,1.19,1.18,,
,,,,,,,,,,,,,,,,,,,,,,
吉林省,1996435,1012183,984252,372678,217448,155230,1443352,718977,724375,52796,25401,27395,31661,18223,13438,95948,32134,63814,1.13,1.11,,
长春市,541241,273383,267858,107938,61305,46633,388088,192863,195225,13040,6489,6551,7283,3967,3316,24892,8759,16133,1.09,1.08,,
南关区,46094,23059,23035,11905,6657,5248,30103,14851,15252,1173,626,547,873,385,488,2040,540,1500,0.78,0.76,,
宽城区,36999,18462,18537,7307,4013,3294,26470,13113,13357,983,529,454,691,359,332,1548,448,1100,0.87,0.85,,
朝阳区,58789,29524,29265,18485,10279,8206,35942,17572,18370,1220,682,538,1001,434,567,2141,557,1584,0.68,0.67,,
二道区,38159,18879,19280,7885,4150,3735,26857,13346,13511,1050,561,489,738,359,379,1629,463,1166,0.89,0.88,,
绿园区,51268,25536,25732,10798,5912,4886,36411,17956,18455,1176,643,533,950,447,503,1933,578,1355,0.82,0.81,,
双阳区,27046,13922,13124,4437,2755,1682,20174,10065,10109,756,351,405,373,249,124,1306,502,804,1.22,1.21,,
农安县,77542,39543,37999,13544,7778,5766,58478,29289,29189,1418,615,803,548,378,170,3554,1483,2071,1.37,1.36,,
九台市,58135,29802,28333,9804,6015,3789,42659,21247,21412,1657,773,884,774,510,264,3241,1257,1984,1.26,1.24,,
榆树市,83395,42355,41040,12677,7574,5103,63271,31548,31723,2166,1028,1138,792,488,304,4489,1717,2772,1.30,1.27,,
德惠市,63814,32301,31513,11096,6172,4924,47723,23876,23847,1441,681,760,543,358,185,3011,1214,1797,1.37,1.34,,
吉林市,335570,169930,165640,63786,37700,26086,237994,118283,119711,9898,4790,5108,6720,3708,3012,17172,5449,11723,1.08,1.07,,
昌邑区,53107,26325,26782,10702,5942,4760,36817,18181,18636,1420,747,673,1445,681,764,2723,774,1949,0.87,0.86,,
龙潭区,40252,20262,19990,7510,4396,3114,28700,14246,14454,1264,634,630,944,485,459,1834,501,1333,0.96,0.94,,
船营区,39075,19345,19730,7448,4231,3217,27406,13496,13910,1196,621,575,1099,526,573,1926,471,1455,0.92,0.91,,
丰满区,21567,10781,10786,4955,2752,2203,14617,7226,7391,611,311,300,418,213,205,966,279,687,0.89,0.88,,
永吉县,27443,14014,13429,4665,2843,1822,20087,10002,10085,859,393,466,339,220,119,1493,556,937,1.25,1.23,,
蛟河市,35080,17961,17119,7035,4322,2713,24401,12158,12243,1122,510,612,577,369,208,1945,602,1343,1.17,1.15,,
桦甸市,31588,16131,15457,5886,3537,2349,22922,11451,11471,837,375,462,463,293,170,1480,475,1005,1.25,1.23,,
舒兰市,49598,25533,24065,8686,5386,3300,35838,17883,17955,1426,685,741,876,550,326,2772,1029,1743,1.17,1.16,,
磐石市,37860,19578,18282,6899,4291,2608,27206,13640,13566,1163,514,649,559,371,188,2033,762,1271,1.33,1.31,,
四平市,245928,124396,121532,42436,24281,18155,182430,90892,91538,6300,3010,3290,3065,1806,1259,11697,4407,7290,1.15,1.13,,
铁西区,17672,8399,9273,3689,1712,1977,12582,6165,6417,442,236,206,286,125,161,673,161,512,0.81,0.80,,
铁东区,20807,10398,10409,3396,1932,1464,15350,7616,7734,646,340,306,480,221,259,935,289,646,0.94,0.92,,
梨树县,64627,32902,31725,10462,6141,4321,48510,24228,24282,1763,813,950,780,469,311,3112,1251,1861,1.21,1.19,,
伊通满族自治县,35479,18310,17169,6232,3819,2413,25760,12872,12888,1056,489,567,519,359,160,1912,771,1141,1.18,1.15,,
公主岭市,75888,38401,37487,13508,7654,5854,56385,28118,28267,1735,822,913,694,420,274,3566,1387,2179,1.24,1.21,,
双辽市,31455,15986,15469,5149,3023,2126,23843,11893,11950,658,310,348,306,212,94,1499,548,951,1.14,1.12,,
辽源市,92081,47096,44985,15132,9188,5944,67242,33597,33645,3234,1473,1761,1738,1111,627,4735,1727,3008,1.12,1.09,,
龙山区,20600,10317,10283,3454,1991,1463,15058,7440,7618,693,355,338,481,244,237,914,287,627,0.91,0.88,,
西安区,13027,6570,6457,2192,1260,932,9226,4577,4649,552,283,269,414,250,164,643,200,443,0.95,0.93,,
东丰县,29553,15235,14318,4796,2973,1823,21801,10937,10864,903,380,523,440,307,133,1613,638,975,1.21,1.18,,
东辽县,28901,14974,13927,4690,2964,1726,21157,10643,10514,1086,455,631,403,310,93,1565,602,963,1.24,1.22,,
通化市,171088,87677,83411,31139,18955,12184,122391,61120,61271,5213,2469,2744,3462,2108,1354,8883,3025,5858,1.17,1.15,,
东昌区,23590,11655,11935,4419,2394,2025,16931,8357,8574,623,320,303,537,294,243,1080,290,790,0.87,0.87,,
二道江区,11031,5584,5447,1784,1104,680,7932,3956,3976,429,212,217,282,162,120,604,150,454,1.01,1.00,,
通化县,19216,10032,9184,3605,2351,1254,13540,6796,6744,642,281,361,313,216,97,1116,388,728,1.27,1.24,,
辉南县,27652,14335,13317,5270,3301,1969,19385,9703,9682,818,384,434,644,395,249,1535,552,983,1.19,1.17,,
柳河县,25243,13113,12130,4559,2854,1705,18245,9171,9074,769,340,429,383,273,110,1287,475,812,1.39,1.37,,
梅河口市,47316,24159,23157,8663,5112,3551,33969,16946,17023,1329,637,692,1005,575,430,2350,889,1461,1.17,1.15,,
集安市,17040,8799,8241,2839,1839,1000,12389,6191,6198,603,295,308,298,193,105,911,281,630,1.20,1.17,,
白山市,101995,52478,49517,19492,11942,7550,72662,36302,36360,2747,1323,1424,2335,1357,978,4759,1554,3205,1.07,1.05,,
八道江区,27088,13817,13271,5570,3295,2275,19113,9519,9594,638,315,323,716,348,368,1051,340,711,0.92,0.91,,
抚松县,23399,12016,11383,4170,2507,1663,17263,8637,8626,503,242,261,414,268,146,1049,362,687,1.12,1.11,,
靖宇县,10418,5513,4905,2423,1520,903,6969,3511,3458,315,143,172,189,134,55,522,205,317,1.34,1.31,,
长白朝鲜族自治县,6540,3353,3187,1187,749,438,4732,2358,2374,190,90,100,132,75,57,299,81,218,1.11,1.09,,
江源县,20111,10435,9676,3555,2292,1263,14233,7124,7109,683,322,361,563,361,202,1077,336,741,1.07,1.04,,
临江市,14439,7344,7095,2587,1579,1008,10352,5153,5199,418,211,207,321,171,150,761,230,531,1.06,1.04,,
松原市,193465,97754,95711,35357,19900,15457,144218,71998,72220,3874,1816,2058,1511,902,609,8505,3138,5367,1.29,1.28,,
宁江区,37163,18597,18566,6462,3658,2804,28281,14068,14213,660,334,326,350,168,182,1410,369,1041,1.08,1.07,,
前郭尔罗斯蒙古族自治县,39188,19851,19337,7754,4313,3441,28608,14316,14292,815,376,439,297,196,101,1714,650,1064,1.32,1.30,,
长岭县,42542,21596,20946,8122,4594,3528,31479,15737,15742,834,371,463,248,162,86,1859,732,1127,1.47,1.45,,
乾安县,22579,11513,11066,4477,2576,1901,16374,8171,8203,458,208,250,283,168,115,987,390,597,1.27,1.25,,
扶余县,51993,26197,25796,8542,4759,3783,39476,19706,19770,1107,527,580,333,208,125,2535,997,1538,1.30,1.28,,
白城市,145604,73832,71772,24613,14418,10195,110395,55078,55317,2865,1275,1590,1376,844,532,6355,2217,4138,1.17,1.15,,
洮北区,36602,18268,18334,6230,3487,2743,27679,13741,13938,759,363,396,448,228,220,1486,449,1037,1.03,1.02,,
镇赉县,21671,11010,10661,3505,2059,1446,16503,8248,8255,490,209,281,195,124,71,978,370,608,1.20,1.18,,
通榆县,26112,13315,12797,4374,2607,1767,19860,9936,9924,512,231,281,218,154,64,1148,387,761,1.26,1.24,,
洮南市,30946,15762,15184,5645,3307,2338,23126,11544,11582,539,229,310,262,176,86,1374,506,868,1.22,1.20,,
大安市,30273,15477,14796,4859,2958,1901,23227,11609,11618,565,243,322,253,162,91,1369,505,864,1.19,1.17,,
延边朝鲜族自治州,169463,85637,83826,32785,19759,13026,117932,58844,59088,5625,2756,2869,4171,2420,1751,8950,1858,7092,1.06,1.05,,
延吉市,34914,17267,17647,8087,4484,3603,23049,11510,11539,1060,555,505,1053,489,564,1665,229,1436,0.88,0.87,,
图们市,10538,5265,5273,1812,1110,702,7394,3680,3714,386,194,192,325,189,136,621,92,529,1.01,1.00,,
敦化市,37248,18960,18288,6642,3918,2724,26735,13382,13353,1316,628,688,792,495,297,1763,537,1226,1.11,1.10,,
珲春市,16359,8302,8057,2963,1832,1131,11716,5817,5899,525,256,269,363,226,137,792,171,621,1.10,1.08,,
龙井市,19410,9734,9676,3804,2374,1430,13102,6481,6621,594,299,295,610,361,249,1300,219,1081,1.05,1.03,,
和龙市,16886,8625,8261,3164,2085,1079,11633,5807,5826,557,265,292,421,266,155,1111,202,909,1.11,1.09,,
汪清县,18361,9387,8974,3371,2128,1243,13021,6514,6507,670,317,353,313,206,107,986,222,764,1.17,1.15,,
安图县,15747,8097,7650,2942,1828,1114,11282,5653,5629,517,242,275,294,188,106,712,186,526,1.24,1.22,,
,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,2689725,1362918,1326807,480756,280326,200430,1971979,982794,989185,72375,35662,36713,40095,23151,16944,124520,40985,83535,1.16,1.14,,
哈尔滨市,702639,354402,348237,136937,78895,58042,503338,250064,253274,17784,8974,8810,11061,5996,5065,33519,10473,23046,1.11,1.09,,
道里区,58776,29038,29738,10798,6192,4606,42048,20780,21268,1431,769,662,1382,578,804,3117,719,2398,0.86,0.85,,
南岗区,80992,40389,40603,22954,12734,10220,51979,25442,26537,1521,877,644,1473,651,822,3065,685,2380,0.68,0.67,,
道外区,29776,14697,15079,5774,3211,2563,20871,10331,10540,708,394,314,670,329,341,1753,432,1321,0.85,0.84,,
太平区,34501,17134,17367,6390,3612,2778,24624,12204,12420,982,532,450,741,344,397,1764,442,1322,0.88,0.87,,
香坊区,30340,14988,15352,6693,3673,3020,20869,10297,10572,827,437,390,609,274,335,1342,307,1035,0.80,0.79,,
动力区,33304,16711,16593,7654,4355,3299,22754,11273,11481,636,354,282,743,344,399,1517,385,1132,0.75,0.75,,
平房区,14399,7211,7188,2145,1285,860,10704,5327,5377,464,241,223,405,182,223,681,176,505,0.87,0.86,,
呼兰县,45638,22973,22665,8496,4822,3674,33476,16639,16837,1003,496,507,500,298,202,2163,718,1445,1.31,1.29,,
依兰县,26777,13734,13043,4816,2915,1901,19537,9757,9780,869,411,458,374,237,137,1181,414,767,1.31,1.28,,
方正县,16104,8269,7835,2932,1747,1185,11619,5806,5813,578,272,306,278,178,100,697,266,431,1.30,1.28,,
宾县,37934,19302,18632,6604,3826,2778,28218,14045,14173,836,408,428,318,216,102,1958,807,1151,1.30,1.28,,
巴彦县,40779,20553,20226,6848,3937,2911,30685,15251,15434,810,396,414,313,197,116,2123,772,1351,1.48,1.46,,
木兰县,17633,9069,8564,3092,1830,1262,13068,6553,6515,503,222,281,198,140,58,772,324,448,1.35,1.33,,
通河县,16297,8335,7962,2700,1629,1071,11970,5980,5990,599,296,303,247,175,72,781,255,526,1.23,1.21,,
延寿县,17083,8827,8256,3211,1911,1300,12333,6179,6154,489,225,264,238,172,66,812,340,472,1.34,1.32,,
阿城市,45280,23012,22268,8183,4827,3356,32903,16384,16519,1351,667,684,685,412,273,2158,722,1436,1.17,1.15,,
双城市,54154,27470,26684,9325,5454,3871,40694,20317,20377,1126,510,616,483,334,149,2526,855,1671,1.31,1.29,,
尚志市,42180,21652,20528,8226,4883,3343,30174,15112,15062,1194,558,636,636,410,226,1950,689,1261,1.27,1.25,,
五常市,60692,31038,29654,10096,6052,4044,44812,22387,22425,1857,909,948,768,525,243,3159,1165,1994,1.34,1.32,,
齐齐哈尔市,378409,191271,187138,66971,38643,28328,278654,138568,140086,9172,4412,4760,4815,2797,2018,18797,6851,11946,1.21,1.19,,
龙沙区,26350,12903,13447,4829,2598,2231,18955,9351,9604,662,355,307,634,275,359,1270,324,946,0.84,0.83,,
建华区,18464,9111,9353,4055,2179,1876,12657,6262,6395,442,232,210,377,198,179,933,240,693,0.80,0.79,,
铁锋区,26194,13074,13120,4782,2732,2050,18999,9417,9582,567,302,265,564,268,296,1282,355,927,0.85,0.85,,
昂昂溪区,7308,3706,3602,1248,754,494,5421,2694,2727,185,96,89,95,53,42,359,109,250,1.06,1.05,,
富拉尔基区,21809,10928,10881,3362,2001,1361,16237,8067,8170,629,315,314,506,275,231,1075,270,805,0.94,0.92,,
碾子山区,6353,3195,3158,976,585,391,4692,2338,2354,160,80,80,168,98,70,357,94,263,1.05,1.04,,
梅里斯达斡尔族区,12147,6268,5879,2093,1287,806,9025,4526,4499,285,130,155,154,106,48,590,219,371,1.27,1.25,,
龙江县,40574,20766,19808,7057,4258,2799,30107,15034,15073,935,423,512,404,275,129,2071,776,1295,1.32,1.30,,
依安县,27484,13859,13625,4566,2577,1989,20634,10225,10409,656,306,350,228,150,78,1400,601,799,1.38,1.36,,
泰来县,21674,11141,10533,3876,2363,1513,16173,8085,8088,369,160,209,188,130,58,1068,403,665,1.30,1.29,,
甘南县,26111,13414,12697,5336,3119,2217,18564,9273,9291,681,329,352,311,215,96,1219,478,741,1.31,1.30,,
富裕县,19975,10157,9818,3346,1974,1372,15049,7501,7548,493,220,273,198,124,74,889,338,551,1.29,1.27,,
克山县,29831,14989,14842,5060,2835,2225,22187,10987,11200,826,400,426,264,162,102,1494,605,889,1.30,1.28,,
克东县,17086,8673,8413,2963,1699,1264,12602,6265,6337,455,213,242,175,122,53,891,374,517,1.34,1.32,,
拜泉县,30442,15466,14976,5386,3072,2314,22697,11262,11435,623,303,320,160,110,50,1576,719,857,1.44,1.42,,
讷河市,46607,23621,22986,8036,4610,3426,34655,17281,17374,1204,548,656,389,236,153,2323,946,1377,1.30,1.28,,
鸡西市,154842,79136,75706,28578,17090,11488,110063,55117,54946,5228,2516,2712,3581,2122,1459,7392,2291,5101,1.06,1.05,,
鸡冠区,26814,13330,13484,5866,3171,2695,18435,9156,9279,794,415,379,704,332,372,1015,256,759,0.82,0.81,,
恒山区,14117,7296,6821,2363,1533,830,9764,4888,4876,576,283,293,473,288,185,941,304,637,1.01,1.00,,
滴道区,9059,4690,4369,1710,1097,613,6195,3100,3095,309,148,161,263,167,96,582,178,404,1.06,1.00,,
