表7    人口婚姻状况和妇女生育状况（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位：人,,
县市名,15岁及以上人口,,,未婚,,,初婚有配偶,,,再婚有配偶,,,离婚,,,丧偶,,,15—50岁妇女,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,平均活产子女数,平均存活子女数,,
,,,,,,,,,,,,,,,,,,,,,,
桥西区,22039,10558,11481,6468,3074,3394,14232,6996,7236,421,234,187,221,88,133,697,166,531,0.65,0.64,,
新华区,29286,14416,14870,7841,4011,3830,19775,9800,9975,537,314,223,256,111,145,877,180,697,0.69,0.68,,
郊区,34419,17118,17301,9086,4792,4294,23181,11616,11565,616,323,293,190,95,95,1346,292,1054,0.89,0.89,,
井陉矿区,7902,3864,4038,1094,581,513,5902,2940,2962,285,145,140,95,58,37,526,140,386,1.12,1.11,,
井陉县,24842,12649,12193,4751,2939,1812,17561,8747,8814,528,218,310,225,175,50,1777,570,1207,1.40,1.39,,
正定县,44130,21795,22335,9524,5258,4266,31085,15420,15665,748,310,438,217,156,61,2556,651,1905,1.31,1.30,,
栾城县,27422,13578,13844,5470,3056,2414,19616,9735,9881,391,169,222,162,117,45,1783,501,1282,1.47,1.46,,
行唐县,29473,14596,14877,6626,3629,2997,20408,10112,10296,370,127,243,147,121,26,1922,607,1315,1.38,1.37,,
灵寿县,23064,11709,11355,5266,3039,2227,16040,8019,8021,364,128,236,97,85,12,1297,438,859,1.49,1.48,,
高邑县,13141,6544,6597,2881,1579,1302,9332,4632,4700,133,69,64,46,37,9,749,227,522,1.45,1.45,,
深泽县,18783,9393,9390,3711,2045,1666,13663,6796,6867,304,139,165,78,62,16,1027,351,676,1.41,1.40,,
赞皇县,17307,8931,8376,4913,2871,2042,11131,5523,5608,99,55,44,102,82,20,1062,400,662,1.39,1.38,,
无极县,35998,17939,18059,7373,4067,3306,25639,12777,12862,564,242,322,200,143,57,2222,710,1512,1.39,1.38,,
平山县,33910,17558,16352,7884,4835,3049,22981,11426,11555,599,238,361,277,231,46,2169,828,1341,1.43,1.42,,
元氏县,27724,13819,13905,6685,3703,2982,18614,9237,9377,273,106,167,299,191,108,1853,582,1271,1.51,1.50,,
赵县,40932,20489,20443,9548,5240,4308,28315,14046,14269,398,160,238,297,232,65,2374,811,1563,1.47,1.46,,
辛集市,47262,23729,23533,8934,5131,3803,34648,17237,17411,620,262,358,282,206,76,2778,893,1885,1.28,1.28,,
藁城市,55142,27497,27645,11019,6190,4829,39806,19765,20041,729,289,440,306,233,73,3282,1020,2262,1.44,1.44,,
晋州市,38961,19610,19351,8337,4611,3726,27831,13875,13956,623,276,347,219,160,59,1951,688,1263,1.42,1.41,,
新乐市,32300,16011,16289,7414,3987,3427,22416,11107,11309,528,206,322,177,143,34,1765,568,1197,1.45,1.45,,
鹿泉市,29961,14933,15028,6531,3596,2935,20910,10462,10448,591,233,358,173,121,52,1756,521,1235,1.32,1.31,,
唐山市,557929,281697,276232,102769,58872,43897,407746,203983,203763,14572,6107,8465,4315,2642,1673,28527,10093,18434,1.17,1.16,,
路南区,27146,13655,13491,5824,3201,2623,18795,9404,9391,886,482,404,384,162,222,1257,406,851,0.90,0.89,,
路北区,47766,23261,24505,10747,5307,5440,33241,16446,16795,1265,714,551,638,269,369,1875,525,1350,0.75,0.74,,
古冶区,32655,16442,16213,5209,2959,2250,24240,12189,12051,981,502,479,425,244,181,1800,548,1252,0.98,0.97,,
开平区,21991,11288,10703,3857,2257,1600,16079,8138,7941,747,385,362,245,130,115,1063,378,685,1.02,1.00,,
新区,12873,6325,6548,1994,1120,874,9849,4796,5053,373,181,192,149,76,73,508,152,356,1.01,1.00,,
丰润县,55229,27844,27385,10012,5717,4295,40142,20159,19983,1605,569,1036,376,265,111,3094,1134,1960,1.25,1.24,,
滦县,42306,21682,20624,8475,5007,3468,30429,15202,15227,947,350,597,221,173,48,2234,950,1284,1.26,1.25,,
滦南县,46031,23298,22733,7743,4525,3218,34488,17247,17241,1114,425,689,250,192,58,2436,909,1527,1.18,1.17,,
乐亭县,41008,20789,20219,6726,4037,2689,30983,15559,15424,976,345,631,239,172,67,2084,676,1408,1.15,1.14,,
迁西县,27475,14107,13368,5360,3259,2101,19742,9936,9806,727,236,491,131,93,38,1515,583,932,1.34,1.33,,
玉田县,51362,25877,25485,10537,5984,4553,36751,18338,18413,1119,413,706,299,201,98,2656,941,1715,1.27,1.26,,
唐海县,11017,5508,5509,1400,788,612,8708,4364,4344,343,151,192,86,47,39,480,158,322,1.16,1.15,,
遵化市,51418,26168,25250,9280,5600,3680,37812,18924,18888,1220,453,767,325,240,85,2781,951,1830,1.33,1.32,,
丰南市,42310,21497,20813,7163,4112,3051,31431,15788,15643,1179,492,687,310,220,90,2227,885,1342,1.25,1.23,,
迁安市,47342,23956,23386,8442,4999,3443,35056,17493,17563,1090,409,681,237,158,79,2517,897,1620,1.40,1.38,,
秦皇岛市,220001,111338,108663,41438,24040,17398,160642,80107,80535,5462,2323,3139,1934,1123,811,10525,3745,6780,1.16,1.15,,
海港区,48589,24087,24502,10868,5687,5181,34303,17086,17217,1189,657,532,678,283,395,1551,374,1177,0.82,0.82,,
