表2    分年龄、性别的人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
县市名,0岁,,1-4岁,,5-9岁,,10-14岁,,15-19岁,,20-24岁,,25-29岁,,30-34岁,,35-39岁,,40-44岁,,45-49岁,,50-54岁,,55-59岁,,60-64岁,,65-69岁,,70-74岁,,75-79岁,,80-84岁,,85岁及以上,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和平区,561,520,2395,2403,5323,5172,10457,10117,15090,14730,10875,9645,8965,8293,9189,9094,14345,14341,17246,17841,15703,16858,10623,10279,6949,6632,5403,7050,6687,8318,6021,7266,4015,5059,1995,2560,956,1392
河东区,1703,1579,7594,7118,12845,12466,23786,22927,35773,32308,26311,22285,25062,24016,25394,24243,38807,37080,43209,42656,36992,37601,23358,22500,15303,15561,13736,16617,14022,16145,10748,11082,5875,5983,2356,2631,1048,1527
河西区,1761,1621,7400,6994,12974,12228,23726,22935,40548,37999,33289,28096,29227,25081,29305,25643,41210,37082,44630,43349,39064,38944,24169,23492,17047,17371,15018,17954,15372,17418,12155,12708,6885,7157,2874,3234,1259,1912
南开区,1980,1938,8212,7650,13994,13331,25777,25106,51227,46935,44288,36774,29225,27916,29767,27797,42661,39896,46289,45319,40775,41239,25853,25512,18553,18956,16394,19489,17003,18298,12699,13496,7267,7912,3019,3751,1542,2264
河北区,1509,1384,5922,5610,10763,10112,21217,20613,32221,29914,20385,18150,20769,18807,21640,20022,34572,32384,39480,38122,33401,33414,20172,19369,13338,13272,11755,14863,13096,15007,10225,11004,5941,6863,2552,2956,1171,1608
红桥区,1172,1115,4864,4607,9381,8901,18138,17812,26833,24494,19386,15138,16025,15026,17833,17094,29947,27835,33027,31050,25984,26414,16275,15554,11051,11285,9952,12373,11066,12413,8317,9429,4739,5414,2108,2449,1043,1469
塘沽区,2133,1970,8606,8304,12795,11846,17864,17209,23075,20827,26670,22516,29149,24938,29331,24311,31198,26884,27627,25314,25333,23842,17671,15694,10330,11011,9279,10609,7689,7878,5671,5243,3071,2814,1317,1341,569,681
汉沽区,654,596,3027,2583,4982,4289,6511,6248,6578,6473,5394,5503,6513,6612,7628,7596,9331,9051,9011,9040,8673,9074,5374,5266,3308,3844,3174,3611,2789,3083,2145,1990,1186,1050,531,509,255,241
大港区,2273,1868,8826,7983,11640,10211,13523,11929,12937,12312,16579,15552,22219,20936,22847,21498,19044,17602,15946,15195,16102,16293,11955,12501,7648,8971,8008,7245,5520,4165,3048,2570,1416,1231,583,696,312,480
东丽区,1922,1922,8481,7716,11571,10830,15282,14390,20558,18994,22171,19861,23158,20737,23883,21127,24063,22064,20491,18808,17751,16540,12093,11969,7497,8733,6362,7362,5388,5264,3947,3919,2219,2217,1000,1012,392,530
