表2    分年龄、性别的人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
县市名,0岁,,1-4岁,,5-9岁,,10-14岁,,15-19岁,,20-24岁,,25-29岁,,30-34岁,,35-39岁,,40-44岁,,45-49岁,,50-54岁,,55-59岁,,60-64岁,,65-69岁,,70-74岁,,75-79岁,,80-84岁,,85岁及以上,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬州市,19496,17492,81982,72336,143734,127471,172750,156553,125771,124250,149884,167013,191710,210223,270146,290204,203220,215560,153529,152770,195280,191438,168137,152708,120606,102268,101875,90793,81701,84317,55239,66838,31767,47533,12665,24311,4163,10821
广陵区,1991,1676,8870,8178,13256,11995,14514,13693,23160,24317,26944,25667,24097,25489,31098,29454,27784,25474,21675,20019,20020,18750,15471,14776,11372,10664,10087,9401,7871,7244,5329,5226,2878,3513,1355,1995,559,1176
郊区,794,789,3275,2883,4773,4331,5870,5209,7641,8619,9326,9359,9173,8899,11514,10760,9241,8722,7015,6117,6936,6706,5686,5315,3802,3547,3312,2877,2604,2450,1709,1968,920,1291,376,657,127,362
宝应县,4126,3543,16432,13549,32582,27108,36311,32350,21393,19645,26884,30966,35991,39035,53992,57563,36891,39249,27082,27120,36648,35970,30497,27371,23287,19653,20031,18404,15653,17297,9124,11967,5387,8803,2022,4009,509,1528
邗江县,2087,1901,9005,7789,15799,14095,22916,19165,16336,16368,16516,18969,20634,22508,27611,30949,23399,26414,19619,20410,23982,24158,22254,19544,14285,11849,11884,10185,9595,10124,7430,9194,4326,6313,1906,3648,646,1645
仪征市,2376,2104,10360,9218,20822,18300,23973,22187,16557,14796,19061,20678,27181,28280,39675,39927,30215,29864,20501,19420,26590,24349,23056,19284,14606,11261,12915,10927,10352,10379,7304,8756,3695,5403,1429,2768,476,1311
高邮市,3447,3232,14454,13581,24180,23462,29485,28625,16673,16445,20483,24400,33519,38145,49033,53626,34526,36814,25483,24908,35809,34784,29846,27590,22811,19255,18809,16902,15461,15647,9982,12278,6019,9129,2185,4360,658,1706
江都市,4675,4247,19586,17138,32322,28180,39681,35324,24011,24060,30670,36974,41115,47867,57223,67925,41164,49023,32154,34776,45295,46721,41327,38828,30443,26039,24837,22097,20165,21176,14361,17449,8542,13081,3392,6874,1188,3093
镇江市,10667,9993,45009,41377,82527,75780,107558,101607,92096,85778,100390,95171,129091,126908,161022,156785,153613,145196,107246,99647,127369,118456,101747,94630,66337,60021,52514,47588,44749,47436,34459,40016,20584,28448,8335,14876,2807,7023
京口区,1759,1648,7013,6419,10144,9457,11800,11395,22735,19151,25742,18349,21789,19438,25097,21378,23973,19705,17362,14965,16901,15338,13239,12028,8601,8008,7176,6810,5949,5913,4226,4397,2363,3010,1002,1711,385,896
润州区,1138,1082,4641,4475,7016,6503,8199,7935,8771,9232,9085,8911,13208,13062,15923,15133,15669,13603,11628,10440,11544,10772,8932,8303,6018,5419,4883,4572,4281,4309,3174,3225,1874,2361,869,1282,320,599
丹徒县,1334,1303,5605,5233,10596,9811,14306,13596,9801,9043,10564,10974,14863,14688,18989,18957,19739,19689,15108,14924,18466,17542,15070,13855,9575,8914,7474,6889,6565,7485,5210,6569,3191,4784,1289,2530,399,1043
丹阳市,3199,2868,13629,12331,27179,24194,35775,32984,25513,25066,27479,28842,40090,40301,48440,48484,45971,45491,32567,30589,40442,37072,32323,30144,20296,18067,15573,14374,13081,14783,10606,13093,6651,9301,2561,4643,921,2309
扬中市,1073,1058,4866,4260,9362,8676,11361,10708,6768,6596,9229,10419,13986,14108,17740,18280,15221,15148,11566,11336,12857,12511,10721,9955,7889,6885,6227,5689,4855,5308,3592,4473,1997,3015,920,1749,308,960
句容市,2164,2034,9255,8659,18230,17139,26117,24989,18508,16690,18291,17676,25155,25311,34833,34553,33040,31560,19015,17393,27159,25221,21462,20345,13958,12728,11181,9254,10018,9638,7651,8259,4508,5977,1694,2961,474,1216
泰州市,20341,17030,87661,68477,181526,134707,213482,180031,119057,110460,133907,153034,176524,205172,264845,295448,198993,216770,160801,159251,204875,194251,174975,153879,137193,115733,112113,102500,89271,92608,63313,76393,39956,57249,17517,32190,6960,17266
海陵区,1675,1412,6544,5536,11636,9943,14061,12484,12550,13425,14262,15188,15961,16974,22505,24397,18760,19849,14669,14623,17261,16609,14017,12641,10900,9583,8520,7510,7407,7182,5010,5660,3300,4409,1554,2404,588,1346
高港区,799,735,3457,2892,7353,5672,8816,7144,5183,4498,5887,6380,7992,9346,11158,12942,7792,9288,7053,7222,8500,8146,7882,6629,5663,4864,4446,4439,3875,4189,2898,3700,1931,2717,903,1704,310,900
兴化市,6068,4889,24314,17495,64829,41199,74164,59860,39586,34449,40585,44897,52106,55762,85732,87194,64085,65155,44947,43399,63591,59429,49696,44643,41102,33971,34072,30168,26852,27185,17174,19839,10913,15281,4260,7416,1780,3572
靖江市,2590,2309,11016,9620,20961,18071,28157,25179,13363,12984,18561,20990,23601,26057,34017,37852,28227,30032,24030,23766,28839,27296,24956,22864,18110,15864,14193,13355,10433,11344,7984,10310,4805,7740,2121,4475,921,2672
泰兴市,5465,4356,26748,19534,49454,36091,54454,44904,29674,27281,33086,37903,49617,59888,67314,76268,47698,52515,42796,41783,48704,45744,45078,38915,34064,29126,27933,26792,21583,23583,17063,21697,10436,15674,4986,9805,2005,5437
姜堰市,3744,3329,15582,13400,27293,23731,33830,30460,18701,17823,21526,27676,27247,37145,44119,56795,32431,39931,27306,28458,37980,37027,33346,28187,27354,22325,22949,20236,19121,19125,13184,15187,8571,11428,3693,6386,1356,3339
宿迁市,26950,21719,118045,85192,236440,194855,334802,309028,220192,207958,183682,181592,227593,221635,267254,264208,213421,201443,160128,139488,166254,148635,102134,89794,98465,91552,87530,83909,68500,73264,45866,55533,29500,43496,14343,26756,6076,14344
宿城区,1243,983,5852,4651,9146,7585,14866,13446,11096,10144,9614,10588,11592,11628,13691,14041,10720,10126,8203,7455,7369,6957,5423,4770,4764,4660,4296,4115,3033,3077,1948,2326,1156,1717,505,1064,202,599
宿豫县,4487,3522,22255,15534,43102,33493,69465,64223,37480,34434,28795,28527,36630,36675,44988,48258,35755,35955,29737,26540,31705,26920,21115,16066,19312,17245,18003,17110,14299,15473,9837,12062,5900,9117,2750,5555,1097,3061
沭阳县,9481,7327,38662,29385,90677,78061,110625,102728,81012,78467,57540,57693,73724,73763,88117,84280,72489,66856,57377,49776,54740,48619,31647,29982,29932,29712,27201,26799,21737,23638,13693,16844,9039,13602,4755,8601,2129,4593
泗阳县,6417,5329,28758,17358,52730,40292,74376,67808,50456,47151,46152,44371,54480,51619,62075,60741,47125,44758,36624,31888,38836,36275,24828,22204,23574,20723,19895,18837,14937,16465,10248,13082,6856,10605,3405,6353,1451,3388
泗洪县,5322,4558,22518,18264,40785,35424,65470,60823,40148,37762,41581,40413,51167,47950,58383,56888,47332,43748,28187,23829,33604,29864,19121,16772,20883,19212,18135,17048,14494,14611,10140,11219,6549,8455,2928,5183,1197,2703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省,249228,218502,953374,838345,1434329,1273882,1744948,1580251,1743982,1706881,1795088,1779710,2233833,2190703,2466027,2364789,2289006,2166510,1833457,1680215,1763696,1661786,1363169,1259422,886571,783766,841780,728817,809355,753606,584092,583071,360087,415779,161038,231657,68452,131447
杭州市,30163,28081,131544,121047,185457,171798,238683,224514,257149,245553,290748,271268,332902,310747,370340,342173,381115,342604,306543,273628,280432,259886,202047,189912,124314,122824,121698,114159,122748,116232,87532,88575,51456,61332,21618,31844,8573,17483
上城区,1139,1036,4120,3908,5856,5538,9484,9051,11734,11675,13125,11383,15483,13564,16210,13710,18732,16265,17972,16322,15831,14320,10569,9725,6638,6785,6505,7087,7570,8356,5761,6174,3517,4085,1679,2232,710,1199
下城区,1379,1244,5867,5226,7173,6546,10445,9952,17271,16253,24409,19668,23289,19176,22466,18271,23203,19033,19745,17347,16668,15875,11865,11226,7720,8007,7459,7902,8390,7820,5394,5235,2942,3173,1262,1769,627,1109
江干区,2088,1898,8933,8006,10076,8772,11921,10944,24645,23804,42820,35067,45983,33306,39320,28661,33348,24679,23875,19128,19673,17290,13272,11950,8165,8078,7266,7084,7316,6813,4978,5022,2877,3426,1353,1798,604,1121
拱墅区,1621,1427,6463,5870,7780,6999,9841,9218,23314,22185,25488,21694,27283,22460,26169,20914,25096,19429,19603,16216,15927,13991,10703,9807,6656,6690,6637,6858,7175,6982,4920,4529,2627,2898,1106,1417,456,843
西湖区,2054,1860,8190,7517,10855,10065,13724,13156,44186,40819,50195,37945,31161,26461,29028,25160,29050,24735,21978,19794,18963,18140,13515,13782,9012,9655,9774,9659,9687,8611,6543,5734,3570,3652,1399,1917,570,1208
滨江区,552,526,2568,2487,3390,3413,3576,3519,4627,4078,6196,4807,6131,5211,6746,5932,6272,5636,4782,4229,4148,3892,3281,3374,1921,2344,1667,1556,1816,1723,1284,1415,690,919,298,491,117,273
桐庐县,1823,1605,8260,7572,12380,11398,18235,16983,11827,11612,10001,11369,13969,15491,19104,18645,20179,19423,15620,14311,16803,15739,12066,11529,7256,6052,7414,6646,7094,6807,5043,5244,2786,3617,1049,1891,374,843
淳安县,2216,1977,8839,8265,13801,13019,19100,18031,10310,9008,7423,9902,10334,12940,17043,18694,20533,20761,16843,15741,17338,15985,12261,10898,7770,7174,8875,8291,8224,8009,5436,6123,3128,4050,1133,1872,333,667
萧山市,6125,5920,28767,27297,37452,35750,42233,40335,33553,35980,40929,46276,57671,59763,62795,67194,63902,63642,54338,51607,51053,48919,39586,38525,23768,23979,20483,18566,19947,18765,14978,15859,9566,11672,4216,6171,1867,3899
建德市,2487,2365,11005,9275,18158,15303,24987,21618,14376,12375,9502,11456,13587,16186,23458,24470,26753,25824,20346,18508,20024,18157,15461,13319,10075,9059,10696,9545,9244,8593,6343,6298,3715,4502,1706,2360,683,1243
富阳市,3145,2787,14729,13006,22067,19759,24856,22987,20884,19177,21982,22515,29182,29316,35005,32630,34129,30891,26844,23329,25640,23223,17814,16504,10456,9778,10089,8398,11132,10517,8268,8372,4982,6235,2167,3379,801,1658
余杭市,3315,3279,14585,13756,21289,20349,28496,27645,22633,21206,24256,24008,38879,36154,46819,42854,48905,43808,39598,34941,35702,33303,26117,25302,15963,16644,15090,13549,15476,14120,11858,11535,7170,8576,2772,4372,954,2437
临安市,2219,2157,9218,8862,15180,14887,21785,21075,17789,17381,14422,15178,19950,20719,26177,25038,31013,28478,24999,22155,22662,21052,15537,13971,8914,8579,9743,9018,9677,9116,6726,7035,3886,4527,1478,2175,477,983
宁波市,26869,23864,113392,103870,161134,147220,202364,185806,207940,217132,219885,231257,293912,289594,335562,318084,309567,291117,262920,245224,244684,234831,189205,180756,117316,105291,98421,84505,102443,96334,73606,75656,45919,54966,18714,28956,7781,17265
海曙区,1534,1323,5572,5114,7190,6514,9066,8456,16410,17172,16844,16237,19753,17593,19162,17135,18408,16468,15599,14380,14424,13898,10362,9870,6634,6338,5420,5129,5625,5755,3789,3809,2176,2791,944,1495,415,935
江东区,1398,1277,5058,4537,6353,5916,8012,7301,10844,12284,12611,14050,17341,16223,17291,15662,16166,14906,13520,12314,12306,11688,8962,8438,5323,5076,4239,3843,4192,4060,2768,2717,1506,1923,584,997,282,584
江北区,940,882,4136,3722,5924,5519,7654,7125,14280,15141,13901,12302,12486,11315,14052,12763,14100,12706,12172,10994,11684,11119,8815,8012,5242,4470,4084,3639,4351,4011,3020,3106,1941,2294,910,1247,394,770
北仑区,1297,1280,6057,5721,9581,9112,12095,11511,12101,13546,17154,16655,20184,18552,22720,19407,20110,17777,16538,15524,16532,15272,12184,11496,8201,6798,6122,5040,6063,5879,4723,4907,3130,3798,1252,2063,615,1281
镇海区,1220,1068,5012,4765,6584,6293,7489,7179,7803,7870,10618,10576,15287,14088,17494,15407,15169,13370,12498,11554,11920,11390,8842,8738,5760,5051,4380,3714,4249,3802,2867,2828,1811,2121,723,1110,296,761
象山县,2595,2330,9755,8556,12957,11489,19633,17081,19746,19010,14264,16263,19493,21146,24434,24726,24117,24351,22191,21193,18967,18256,14935,14282,9890,8785,9508,8231,9312,8449,6579,6327,4251,4536,1830,2525,796,1447
宁海县,3347,2538,10636,8457,16952,13611,23463,18912,19339,18883,16098,19320,22403,24089,26675,27134,23910,24227,21705,20469,19519,19098,15296,14067,11040,9456,10435,8839,9982,8883,6654,6570,4247,4848,1888,2767,824,1605
鄞县,3031,2818,15870,14472,23127,21174,28033,26235,27158,30052,31376,34062,42973,42822,50749,47995,45827,42917,37253,34338,37096,35407,28043,26903,16225,13914,12940,10682,13356,13153,9943,10610,6431,7986,2405,3986,916,2349
余姚市,3539,3199,16789,16166,25887,24251,30795,29380,23930,23838,23539,25805,37592,38269,44499,43246,44589,42263,38860,37818,35852,35755,29847,28883,18069,16159,15007,12676,17077,15235,12415,13206,7496,9500,2975,4508,1078,2727
慈溪市,5515,4960,24457,23356,32630,30953,38667,37012,41953,43413,50437,51210,67249,65598,71954,68475,62608,58624,51780,47290,45013,42016,35379,35004,21333,21474,17936,16099,19262,18651,14697,15095,9037,10668,3789,5872,1583,3488
奉化市,2453,2189,10050,9004,13949,12388,17457,15614,14376,15923,13043,14777,19151,19899,26532,26134,24563,23508,20804,19350,21371,20932,16540,15063,9599,7770,8350,6613,8974,8456,6151,6481,3893,4501,1414,2386,582,1318
温州市,51917,40499,162387,120448,291936,238317,316690,271993,385625,362477,425232,391470,453396,413727,394407,358645,322409,302496,247233,223860,232960,214487,175820,153731,122877,98928,123139,102078,106855,96529,82133,76266,51980,53114,26020,31361,13615,20583
鹿城区,4006,3514,13037,11497,18082,15715,21336,19076,49182,48976,71530,56253,70644,53490,52100,42530,42611,36621,32044,28523,26518,24625,19509,18584,11721,11526,11324,10918,9933,9531,6902,6872,4086,4760,1985,2770,1029,1646
龙湾区,1150,950,3289,2634,4470,3605,4403,3728,12890,14767,20289,17465,20349,15897,14533,11650,9309,7067,5366,4130,4517,3867,3027,2470,1784,1426,1624,1282,1297,1240,996,977,617,701,328,393,191,257
瓯海区,5662,4358,16601,12478,24127,19501,25503,21784,48331,45088,60301,49532,65048,53504,52259,43155,38853,32776,26592,23121,24919,21790,17114,15376,10668,8910,10454,9215,8825,8810,6814,6832,4395,4782,2272,2875,1255,1727
洞头县,730,601,2564,1937,3177,2430,4648,3845,3830,3045,3167,3286,4146,4449,4802,4859,4490,4688,4124,3856,3331,3044,2456,2344,1959,1951,1987,1855,1635,1742,1112,1257,698,927,369,539,191,364
永嘉县,6337,4690,19886,14025,32491,26256,32535,27011,34940,32006,36219,35151,38357,35666,32436,30094,26293,26229,22168,21138,21988,20963,17439,15694,12624,10572,13119,11420,11827,10957,9333,8701,6190,6242,3291,3755,1861,2486
平阳县,5005,3892,14470,10578,32716,27275,35179,30141,34638,30337,32516,32546,35945,37150,35070,34492,31984,31198,26047,23151,24882,22701,19084,15727,13975,10245,14268,11281,12067,10905,9626,8614,5943,5958,3015,3684,1590,2553
苍南县,7069,5235,29472,18535,59670,47864,57778,48780,57194,51926,55395,55849,59273,60515,57735,56736,49260,48352,38137,33833,37092,32536,27304,21867,19694,14166,19371,14830,16173,13966,12375,11438,7627,7881,3579,4298,1774,3010
文成县,2158,1899,5822,4693,11038,9052,13652,11856,13064,10585,10608,10673,10753,11238,10142,10145,8887,9307,7462,6932,8542,9024,7894,5907,6505,3922,6995,4443,6584,4530,5515,3955,3335,2588,1619,1605,824,1125
泰顺县,2432,1997,6745,5556,13170,11772,13247,12017,12122,9269,11101,11323,13286,12984,12288,11449,10362,10022,9087,8269,9145,8265,7809,5411,6398,3654,6773,4167,6570,4091,5511,3615,3155,2236,1540,1369,661,931
瑞安市,8835,7092,25789,20792,42440,34922,51720,45064,58442,55441,62700,59749,69396,67227,63516,59122,53844,51630,41537,38479,38870,35692,29038,26409,19386,16301,19510,17014,16259,15790,12569,12691,7997,8780,3872,4942,1873,3058
乐清市,8533,6271,24712,17723,50555,39925,56689,48691,60992,61037,61406,59643,66199,61607,59526,54413,46516,44606,34669,32428,33156,31980,25146,23942,18163,16255,17714,15653,15685,14967,11380,11314,7937,8259,4150,5131,2366,3426
嘉兴市,15991,15394,72015,69973,108267,105949,127261,123053,93059,101012,98544,109137,152478,157461,198493,195125,198564,185499,147965,133557,153627,145354,119499,115539,83874,77934,69875,64948,65675,64506,48090,52609,28254,38061,11244,20436,3871,10803
秀城区,2169,2014,9281,8529,13482,13026,16686,16235,17039,18860,15250,15619,21171,21520,27434,26341,28694,25851,21847,19580,21102,19841,16130,15270,11535,10730,9728,9613,9537,9194,6524,6556,3460,4663,1443,2445,568,1331
秀洲区,1965,1882,7939,7680,11691,11368,13672,13461,9840,10761,11203,12753,17385,17844,22101,21003,21423,19310,14856,13111,15937,15056,12299,11801,8846,7456,7646,6716,6726,6580,4864,5336,2811,3880,1044,2091,318,970
嘉善县,1717,1625,8380,8099,12918,12222,14785,14513,9873,10697,11853,12798,18487,19013,24775,24367,24490,22909,16016,14132,18928,17345,14871,13956,10985,9256,8150,7306,7815,8102,5598,6339,3395,4532,1348,2512,512,1353
海盐县,1684,1544,8082,7798,12089,12060,13692,13587,9598,10142,10319,10761,17547,16373,22607,21127,22535,20976,15886,14762,16187,15894,13060,13048,8691,8020,7165,7039,6848,7186,4676,5877,2473,3942,921,2149,280,1098
海宁市,2726,2734,12630,12379,19393,19120,24877,23728,18472,18734,19092,20688,27144,28268,32305,32173,35507,34290,29025,27657,29656,28396,23009,22526,14504,14394,12649,12101,11979,12101,9596,10907,5805,8008,2278,4260,702,2267
平湖市,2038,2083,9782,9898,15286,15738,18685,17900,11725,14578,11409,14528,19745,20721,28880,28801,27880,26858,20705,19321,22100,20988,16882,16476,13394,12697,9864,9519,9516,9833,6227,7669,3743,5765,1484,3041,503,1637
桐乡市,3692,3512,15921,15590,23408,22415,24864,23629,16512,17240,19418,21990,30999,33722,40391,41313,38035,35305,29630,24994,29717,27834,23248,22462,15919,15381,14673,12654,13254,11510,10605,9925,6567,7271,2726,3938,988,2147
湖州市,11602,11028,51062,48982,80931,78602,103914,99630,76114,80129,72450,80348,108275,112849,146022,142942,144331,131473,108021,93214,109340,104409,84464,80008,54318,51962,51851,46255,52676,46828,39141,36408,25018,26436,10171,13732,3639,7020
市辖区,4717,4461,19124,18614,32507,32022,43964,42949,34824,41842,33316,38838,42094,46250,58947,62416,60741,57347,47116,39772,49026,46015,37997,35620,23986,22645,24133,21300,24491,22227,18047,17179,11909,12563,4784,6595,1698,3338
德清县,2026,1963,9103,8515,13420,12827,17595,16904,11501,11122,9559,11303,17364,19529,23665,23600,25064,22982,19578,17659,17891,17135,13775,13446,8491,8929,8363,7590,8823,7730,6933,6296,4709,4723,1895,2426,737,1353
长兴县,3010,2782,14188,13380,21341,20427,23974,22268,16789,15736,17486,19014,28639,28828,37038,33542,33995,28799,23792,19948,24194,23732,19341,18173,13462,12610,11327,10034,11039,9440,8334,7501,4953,5420,2123,2752,718,1389
安吉县,1849,1822,8647,8473,13663,13326,18381,17509,13000,11429,12089,11193,20178,18242,26372,23384,24531,22345,17535,15835,18229,17527,13351,12769,8379,7778,8028,7331,8323,7431,5827,5432,3447,3730,1369,1959,486,940
绍兴市,22010,20490,92266,85800,136201,125661,161236,149270,132073,140321,129261,150181,182153,197832,216765,228235,209757,212708,180963,169965,180954,172775,148334,136366,88906,76048,76369,64214,80358,75375,57892,59940,37807,45238,16047,24887,6205,13378
越城区,2893,2758,13313,12452,18675,17677,21566,20791,22336,26515,19018,23184,27547,29410,31965,35022,30600,32966,25753,25985,25244,25106,21316,19690,13497,11473,10558,9290,10688,10255,8026,8394,5022,6106,2030,3319,813,1865
绍兴县,3957,3624,18627,17529,27736,25528,29239,27975,19464,22471,24259,29072,36932,38735,44061,48431,37907,40821,30229,29237,31577,29660,26356,24024,16188,13218,13455,11079,13140,12505,9476,10143,6373,7834,2734,4472,1094,2635
新昌县,2169,2147,8073,7472,11530,9977,16275,14052,15806,13521,13505,14189,16579,17565,21201,20712,21838,20568,20310,17822,17753,15461,14221,11450,8534,7170,8107,6898,8159,7614,5595,5329,3603,3960,1689,2327,595,1131
诸暨市,5891,5222,23240,21271,31947,29361,38834,35857,36422,43457,34021,39833,46368,51267,55045,56955,52391,51518,42984,38899,43821,41786,35707,33310,20453,17658,18378,14819,19478,17702,14220,14059,10299,11746,4446,6485,1875,3650
上虞市,3539,3375,15506,14761,25244,24332,29568,28408,17366,17319,17503,21776,27797,31962,33782,36678,33957,35753,30519,30396,31026,31220,25641,24879,15803,14621,12994,11399,14808,14179,10279,11536,6279,8535,2438,4355,868,2122
嵊州市,3561,3364,13507,12315,21069,18786,25754,22187,20679,17038,20955,22127,26930,28893,30711,30437,33064,31082,31168,27626,31533,29542,25093,23013,14431,11908,12877,10729,14085,13120,10296,10479,6231,7057,2710,3929,960,1975
金华市,25148,21401,101483,83752,153386,127047,174745,150433,187072,192678,192948,193956,215946,216704,242793,239740,217920,213514,161690,150642,169922,158433,134076,123000,87633,73542,87302,71976,80312,75356,56412,57529,34971,40991,15411,23286,6133,12598
婺城区,2020,1792,7496,6729,10103,8906,12955,11980,23858,28066,21743,22214,21771,20340,23042,21469,23099,20664,17019,15000,14435,13662,10869,10176,6462,6171,6971,6722,6784,5794,4373,3757,2419,2553,993,1370,361,721
金华县,2187,2053,9268,8469,15227,13535,18215,16367,15860,12456,18337,13905,21500,17840,25808,22305,24338,21929,18869,17613,21632,20643,16732,15766,9556,7842,10733,8317,9670,8895,6769,6747,4392,5032,1893,2843,743,1514
武义县,1582,1399,5810,5266,10187,9437,12934,12164,7912,6722,8868,9013,11563,11960,16889,16330,16479,15015,12885,11582,12776,11618,9709,8448,5904,4894,6495,5526,6626,5743,4890,4518,2873,2977,1258,1627,540,804
浦江县,2122,1630,8958,6247,16274,11442,14860,10826,15910,12978,15812,15019,15852,16791,18441,18701,16506,16706,11891,11947,13129,13283,10628,10213,7448,5931,6899,5417,6223,5983,4483,4823,2672,3506,1121,1885,508,1073
磐安县,1167,1087,4434,3874,5963,5556,6527,5953,4742,4426,4359,5653,7198,8500,9489,9890,8920,8347,6609,6122,7022,6342,5490,5260,4115,3441,4104,3468,3738,3232,2618,2500,1671,1658,709,926,305,419
兰溪市,3099,2635,14247,11829,23139,18703,27066,22598,19941,16796,17496,18799,21057,23585,31024,31803,30231,30475,23392,21258,26481,23570,21177,18247,13873,10698,13545,10394,12070,11277,8407,8759,5039,6205,2101,3607,705,1868
义乌市,4737,3674,21545,16280,28543,23332,26823,21756,46140,63170,52652,56656,54133,54203,51076,50713,41032,39878,27693,24574,27785,24468,22151,19295,14495,11438,13474,10577,11684,11044,8333,8531,5391,6329,2438,3599,978,2050
东阳市,4614,3911,17155,14453,28534,22843,30695,26506,28810,27842,25306,28506,32712,36084,36483,39323,32176,36017,25449,25965,26519,26373,21793,21396,15410,14537,14769,13266,14245,14239,10543,11543,6393,7891,2858,4446,1101,2388
永康市,3620,3220,12570,10605,15416,13293,24670,22283,23899,20222,28375,24191,30160,27401,30541,29206,25139,24483,17883,16581,20143,18474,15527,14199,10370,8590,10312,8289,9272,9149,5996,6351,4121,4840,2040,2983,892,1761
衢州市,14280,12970,48503,44117,75738,66616,85565,74984,69448,55679,57038,54478,87624,91164,108251,108910,105728,103944,89123,83485,93080,87482,73748,63909,44489,35108,47503,36107,43479,36713,31798,28830,18478,20430,8302,12174,3020,6561
柯城区,1543,1519,5928,5394,7996,7473,9089,8406,11906,11662,9967,8711,14878,13916,16599,15388,15897,14636,12347,11337,10980,10770,8686,8175,5175,5020,5266,4595,5368,4475,3458,3026,1847,1918,804,1127,320,669
衢县,2869,2615,10273,9478,16248,14882,17241,15240,16494,12092,14152,10956,20481,18631,25026,23220,23260,21551,20022,17603,20891,18190,16493,13694,10063,7879,10193,7820,9477,8099,7058,6293,4319,4523,1939,2671,701,1491
常山县,2084,1915,5938,5369,9823,8299,12569,10914,8702,6426,6899,7626,10403,11469,12905,13373,12698,12351,11085,10211,11482,10969,8886,7459,5772,4521,6170,4403,5305,4432,3630,3525,2057,2581,844,1469,218,685
开化县,2075,1878,6253,5801,10603,8824,12728,10823,7308,5534,5446,6591,8460,11148,12111,13806,13192,14370,11910,12256,12190,12271,8885,8026,5416,4305,6593,5012,5847,4938,4241,4109,2408,2733,974,1517,337,692
龙游县,2074,1831,8464,7740,12146,11255,13640,12678,10904,8486,11017,8874,16441,15319,20600,19164,19445,18192,14590,13479,16701,15794,13353,11581,7724,5577,8463,6210,7650,6399,5462,4849,3428,3536,1524,1896,567,1104
江山市,3635,3212,11647,10335,18922,15883,20298,16923,14134,11479,9557,11720,16961,20681,21010,23959,21236,22844,19169,18599,20836,19488,17445,14974,10339,7806,10818,8067,9832,8370,7949,7028,4419,5139,2217,3494,877,1920
舟山市,3716,3595,15197,14821,23190,21928,35859,34706,35957,34630,29290,29348,43215,41834,54611,50262,56480,52520,51594,48245,43865,42879,32370,31454,20803,20353,18400,17004,17725,18422,11841,14421,7469,10322,3216,5515,1373,3100
定海区,1554,1527,5744,5526,7865,7226,13125,12661,14929,15770,11541,12466,16150,16084,18463,17923,19508,18403,17833,16698,15599,15350,12378,11810,7853,7382,7069,5882,6778,6511,4381,5187,2957,3932,1295,2219,603,1266
普陀区,1175,1176,4852,4713,7985,7750,11555,11107,12450,11134,10733,10229,15595,14926,20600,18265,21131,19228,18378,16876,14844,14272,10367,10052,6934,6918,6351,5944,5850,6097,4020,4753,2457,3280,1088,1694,436,1022
岱山县,688,613,3106,3035,4824,4574,8059,7930,6085,5567,4678,4651,7439,7268,9768,9257,10434,10226,10682,10295,9224,9458,6868,6972,4307,4259,3649,3615,3594,4130,2461,3260,1556,2290,596,1188,262,615
嵊泗县,299,279,1495,1547,2516,2378,3120,3008,2493,2159,2338,2002,4031,3556,5780,4817,5407,4663,4701,4376,4198,3799,2757,2620,1709,1794,1331,1563,1503,1684,979,1221,499,820,237,414,72,197
台州市,32905,28294,112993,97682,148299,126011,205973,178768,218866,203025,203871,193772,261725,259318,284908,273597,242583,234607,199444,186730,173729,166268,142102,132608,100471,90182,98552,89833,91423,90426,61466,63704,38715,45127,20769,27988,10174,16807
椒江区,2666,2287,10332,9053,12457,10970,18034,15956,18181,17502,18647,18093,24184,23803,27516,25567,22585,21758,17171,16366,16033,15373,12858,12219,9326,8263,8476,7625,7674,7380,5040,5435,3220,3894,1904,2463,953,1582
黄岩区,3024,2898,11198,10498,14002,13290,20051,18081,23554,22991,20804,20078,27595,27923,30023,29917,27819,27005,21945,20453,19886,19534,16290,15897,10796,9909,11429,10607,10653,10514,7780,7841,4768,5503,2659,3367,1357,2181
路桥区,2678,2399,9977,8862,12192,10473,14955,13326,19149,16297,22784,19798,29543,27509,31065,27998,23480,21409,15943,14849,15300,14457,12518,10692,8593,6553,7686,6798,7207,7069,4898,5206,2976,3569,1765,2515,898,1611
玉环县,2490,2125,8634,7486,11008,8545,16769,14474,23620,20130,25633,21339,29367,25973,29592,25485,23967,21425,18483,16002,13866,12685,9802,9357,7361,7332,7404,6844,6737,6724,4045,4266,2726,3025,1410,1924,817,1219
三门县,1995,1734,7328,6021,10046,7925,15641,12244,14525,12345,8681,9146,14036,15210,16246,15794,14487,14347,13242,12703,10615,10345,8857,8634,6318,6054,6189,5764,5809,5553,4061,3853,2631,2705,1293,1628,537,863
