地   区   别,合计,本县、市、区,本省外县、市、区,  北京市  ,  天津市  ,  河北省  ,  山西省  ,  内蒙古自治区  ,  辽宁省  ,  吉林省  , 黑龙江省 ,  上海市  ,  江苏省  ,  浙江省  ,  安徽省  ,  福建省  ,  江西省  ,  山东省  ,  河南省  ,  湖北省  ,  湖南省  ,  广东省  , 广西壮族自治区,  海南省  ,  重庆市  ,  四川省  ,  贵州省  ,  云南省  ,西藏自治区,  陕西省  ,  甘肃省  ,  青海省  , 宁夏回族自治区, 新疆维吾尔自治区,港澳台或国外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          ,,,,,,,,,,,,,,,,,,          ,          ,          ,          ,          ,          , ,,,,,,,,,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,2265267,1725736,284704,2243,2398,47194,26435,          ,42348,21838,33472,409,3329,1848,2426,621,608,24136,6385,980,703,381,204,35,348,6583,373,304,34,15450,9648,417,3353,220,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,4089836,3267011,525453,1976,1763,31901,2184,22370,          ,46534,60214,1144,7261,3935,5845,1716,1231,74062,9465,3636,2193,1380,623,163,832,9459,741,402,91,2298,1284,336,254,904,1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,2475007,2082254,231164,608,497,12301,734,5632,33810,          ,22241,453,3294,1332,1695,630,383,66324,3032,1468,710,432,241,117,156,2147,199,177,17,510,306,123,90,215,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,3335404,2516640,420890,1214,979,29719,1204,15180,79254,66079,          ,1122,10305,2268,10742,740,721,152553,9609,2350,1810,785,466,143,224,5940,544,213,31,1153,1034,111,103,204,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,1582184,888433,248621,1841,1131,3390,1797,1205,3174,2015,3987,          ,145045,72135,92987,9835,19265,12678,12885,9834,5342,4021,989,178,3812,21765,3460,1599,141,2323,1661,402,330,5472,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,7012033,5969875,667010,2125,1039,4384,2204,1704,4008,2804,5962,20980,          ,26161,120183,6257,11349,28615,19360,13775,8553,2123,2668,631,5226,39436,18464,10865,155,5953,3139,1371,407,5046,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省,4487898,3743719,374089,950,354,1999,978,837,1818,1256,2782,11613,27476,          ,66037,8460,71507,7667,16723,21791,18988,1660,5332,257,13014,45970,28882,6617,80,3388,1475,507,402,1155,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安徽省,5659447,5130099,386320,1001,443,2707,1170,482,2258,1302,1830,9283,41575,7960,          ,1657,4381,9535,18524,5017,2805,828,789,261,883,13867,4265,5083,82,2478,1000,404,116,1007,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
