表8    家庭户住房状况（全部数据、长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,全 部 数 据,,,长    表    数    据  （户）,,,,,,,,,,,,,
,家庭户（户）,平均每户住房间数,人均住房建筑面积,家庭户,住房中有无厨房,,是否饮用自来水,,住房中有无洗澡设施,,住房中有无厕所,,住房来源,,,,
,,（间/户）,（平方米/人）,,有,    无    ,    是    ,    否    ,有,    无    ,有,    无    ,自建,购买,租用,其他,
,,,,,,,,,,,,,,,,,
乌伊岭区,8669,1.70,16.48,789,765,24,264,525,9,780,20,769,222,504,53,10,
红星区,8833,1.67,15.20,812,780,32,203,609,53,759,110,702,199,591,13,9,
上甘岭区,8163,1.63,14.26,717,690,27,119,598,2,715,87,630,155,500,34,28,
嘉荫县,25264,1.85,17.08,2468,2388,80,1263,1205,252,2216,2028,440,1147,1009,164,148,
铁力市,114706,1.57,16.32,10929,10479,450,5132,5797,528,10401,3576,7353,4716,5434,562,217,
佳木斯市,714641,1.71,17.80,67680,65979,1701,39577,28103,6729,60951,51440,16240,31049,27880,6468,2283,
永红区,59392,1.70,16.19,5061,4887,174,4748,313,677,4384,2563,2498,819,3222,820,200,
向阳区,32801,2.01,19.49,2572,2504,68,2484,88,464,2108,2107,465,214,1675,616,67,
前进区,46190,2.02,18.86,4458,4305,153,4412,46,795,3663,3688,770,192,3000,1060,206,
东风区,35876,1.67,14.55,3465,3311,154,3225,240,885,2580,2134,1331,494,2046,742,183,
郊区,93233,1.82,17.99,8892,8575,317,4741,4151,274,8618,4683,4209,5729,1581,796,786,
桦南县,121421,1.63,17.06,10993,10806,187,7226,3767,776,10217,9486,1507,6749,3534,479,231,
桦川县,56068,1.62,18.27,5550,5408,142,2099,3451,494,5056,4582,968,3330,1835,252,133,
汤原县,70467,1.47,20.19,7021,6932,89,2121,4900,601,6420,6102,919,3893,2710,288,130,
抚远县,23700,1.61,16.94,2381,2358,23,1062,1319,127,2254,2374,7,1196,946,200,39,
同江市,51816,1.90,17.61,5167,4989,178,2720,2447,552,4615,4498,669,2237,2350,471,109,
富锦市,123677,1.66,17.92,12120,11904,216,4739,7381,1084,11036,9223,2897,6196,4981,744,199,
七台河市,251494,1.89,18.02,23654,23343,311,19660,3994,1662,21992,19635,4019,8538,10850,3722,544,
新兴区,59734,1.92,15.74,5773,5673,100,4764,1009,71,5702,4092,1681,1856,2665,1131,121,
桃山区,47634,2.19,20.04,4556,4518,38,4174,382,393,4163,4128,428,757,2642,1046,111,
茄子河区,47346,1.63,17.77,3796,3743,53,2594,1202,186,3610,3586,210,1587,1258,819,132,
勃利县,96780,1.83,18.59,9529,9409,120,8128,1401,1012,8517,7829,1700,4338,4285,726,180,
牡丹江市,827660,1.92,18.82,75210,73522,1688,57153,18057,8551,66659,59573,15637,33442,31271,8791,1706,
东安区,61279,1.95,20.20,5291,5238,53,5184,107,1275,4016,5099,192,797,3110,1143,241,
阳明区,52125,1.95,17.23,4965,4827,138,4674,291,528,4437,3153,1812,1341,2537,992,95,
爱民区,81826,1.86,16.57,7626,7409,217,6380,1246,778,6848,5054,2572,1127,4119,2163,217,
西安区,59471,1.98,19.37,5742,5642,100,5603,139,1010,4732,4523,1219,776,3557,1179,230,
东宁县,65190,1.86,21.42,6438,6336,102,4943,1495,723,5715,5382,1056,3464,2376,470,128,
林口县,122552,1.89,19.06,10720,10516,204,7244,3476,795,9925,8739,1981,6886,3169,470,195,
绥芬河市,22494,1.70,17.77,2085,2019,66,1960,125,357,1728,1557,528,447,744,798,96,
海林市,138238,1.83,17.95,11765,11488,277,7672,4093,971,10794,8642,3123,5355,5541,704,165,
宁安市,130249,1.91,19.47,12131,11871,260,8018,4113,1295,10836,11430,701,8065,3325,513,228,
穆棱市,94236,2.16,18.85,8447,8176,271,5475,2972,819,7628,5994,2453,5184,2793,359,111,
黑河市,532960,1.92,16.96,47641,46541,1100,25075,22566,4554,43087,30505,17136,18082,24862,3301,1396,
爱辉区,61675,1.85,17.86,5774,5669,105,3322,2452,1519,4255,4308,1466,1539,3240,665,330,
嫩江县,159020,1.82,17.37,13874,13588,286,7235,6639,1099,12775,7902,5972,5557,7079,862,376,
逊克县,31967,2.12,17.24,3162,3127,35,776,2386,342,2820,2412,750,1545,1256,237,124,
孙吴县,30297,2.00,16.55,2919,2880,39,1193,1726,354,2565,2140,779,1186,1311,317,105,
北安市,142450,1.92,16.24,11968,11723,245,5647,6321,762,11206,8030,3938,4354,6662,674,278,
五大连池市,107551,2.02,16.81,9944,9554,390,6902,3042,478,9466,5713,4231,3901,5314,546,183,
绥化市,1410314,2.09,16.97,125235,122586,2649,42378,82857,8549,116686,105477,19758,88484,30668,4306,1777,
北林区,226352,2.14,17.89,20520,20182,338,10826,9694,2821,17699,16024,4496,12103,7011,1031,375,
望奎县,120186,2.24,16.00,10551,10360,191,1516,9035,273,10278,9896,655,8356,1747,298,150,
兰西县,117047,1.73,16.18,10318,10148,170,1360,8958,425,9893,9597,721,8059,1780,322,157,
青冈县,112595,2.51,16.04,8772,8523,249,2224,6548,426,8346,8293,479,6950,1523,223,76,
庆安县,101261,2.20,17.85,8749,8394,355,2373,6376,598,8151,7257,1492,6748,1635,212,154,
明水县,80490,1.64,16.14,6917,6768,149,2310,4607,343,6574,5623,1294,5211,1451,168,87,
绥棱县,88910,1.64,16.53,8658,8482,176,4330,4328,489,8169,6359,2299,5153,3061,333,111,
安达市,141285,1.87,18.80,12262,11988,274,4834,7428,861,11401,8721,3541,6886,4558,586,232,
肇东市,227308,2.16,17.33,20566,20001,565,6080,14486,1293,19273,16644,3922,15874,3801,669,222,
海伦市,194880,2.33,16.00,17922,17740,182,6525,11397,1020,16902,17063,859,13144,4101,464,213,
大兴安岭地区,164031,2.00,15.76,16154,15723,431,4639,11515,353,15801,4236,11918,3401,9071,2512,1170,
加格达奇区,44866,2.16,16.27,4489,4296,193,2592,1897,120,4369,2163,2326,993,2611,777,108,
松岭区,11782,1.94,16.07,1130,1124,6,55,1075,14,1116,61,1069,307,688,95,40,
新林区,16889,1.90,14.80,1691,1584,107,159,1532,22,1669,137,1554,187,1036,339,129,
呼中区,14771,1.92,15.20,1434,1427,7,145,1289,5,1429,141,1293,351,703,255,125,
呼玛县,18912,1.86,16.36,1837,1809,28,448,1389,118,1719,652,1185,812,729,147,149,
塔河县,30295,2.06,15.49,2989,2954,35,992,1997,43,2946,694,2295,325,1957,481,226,
漠河县,26516,1.91,15.50,2584,2529,55,248,2336,31,2553,388,2196,426,1347,418,393,
,,,,,,,,,,,,,,,,,
上海市,5299068,2.10,24.00,517314,452166,65148,512707,4607,330096,187218,403330,113984,137782,185798,166747,26987,
市辖区,4571922,1.93,21.78,445138,384549,60589,442002,3136,293839,151299,344757,100381,87337,171819,161825,24157,
黄浦区,61870,1.28,10.05,5994,2735,3259,5994,,1161,4833,1865,4129,17,380,5495,102,
南市区,129845,1.43,11.15,12634,6787,5847,12634,,3398,9236,4077,8557,1399,2247,8760,228,
卢湾区,107211,1.49,13.38,10495,7429,3066,10495,,4947,5548,6101,4394,243,2849,7069,334,
徐汇区,337519,1.70,18.40,33064,30034,3030,33064,,24811,8253,28778,4286,1465,16648,12333,2618,
长宁区,228413,1.63,17.49,22103,19858,2245,22103,,16344,5759,19209,2894,1502,11747,7447,1407,
静安区,99827,1.53,13.76,9785,7846,1939,9785,,4943,4842,6319,3466,157,2416,6875,337,
普陀区,342421,1.60,16.93,33082,29361,3721,33019,63,23633,9449,27175,5907,2738,16510,11347,2487,
闸北区,263145,1.59,15.48,25622,20628,4994,25461,161,15754,9868,18689,6933,2209,10801,11234,1378,
虹口区,281206,1.64,15.78,27362,22362,5000,27362,,16726,10636,19595,7767,1900,11991,12687,784,
杨浦区,391272,1.60,15.84,37997,34102,3895,37997,,25423,12574,30403,7594,2750,19060,14947,1240,
闵行区,378325,1.97,25.31,36394,32333,4061,36161,233,26246,10148,30126,6268,8555,13286,11920,2633,
宝山区,401849,2.06,23.39,39502,34926,4576,39502,,27304,12198,31745,7757,7939,15661,11719,4183,
嘉定区,241343,2.36,31.49,23379,20484,2895,22202,1177,15001,8378,16655,6724,9281,7125,5647,1326,
浦东新区,760757,2.10,23.63,74005,66464,7541,72948,1057,53827,20178,61209,12796,17842,26739,26645,2779,
金山区,174640,3.24,38.17,17366,16747,619,17366,,13088,4278,16020,1346,10448,4888,1681,349,
松江区,196439,2.58,33.67,19123,17153,1970,19123,,10648,8475,14380,4743,9434,5677,2823,1189,
青浦区,175840,2.43,32.16,17231,15300,1931,16786,445,10585,6646,12411,4820,9458,3794,3196,783,
市辖县,727146,3.18,38.73,72176,67617,4559,70705,1471,36257,35919,58573,13603,50445,13979,4922,2830,
南汇县,272708,3.30,38.96,27033,24868,2165,25878,1155,14084,12949,20883,6150,20041,3740,2286,966,
奉贤县,206435,3.15,34.10,20392,19027,1365,20392,,10519,9873,16065,4327,10852,6984,1734,822,
崇明县,248003,3.07,42.62,24751,23722,1029,24435,316,11654,13097,21625,3126,19552,3255,902,1042,
,,,,,,,,,,,,,,,,,
江苏省,21375726,2.49,29.17,2083855,1849954,233901,1355704,728151,815531,1268324,1499309,584546,1550822,307220,169004,56809,
南京市,1885221,2.20,23.89,179320,157480,21840,152189,27131,89243,90077,120547,58773,78999,53681,38327,8313,
玄武区,139155,2.13,19.78,12833,11315,1518,12726,107,9593,3240,10667,2166,810,6717,4422,884,
白下区,114874,2.09,20.13,10810,9691,1119,10720,90,8290,2520,9212,1598,618,5838,3661,693,
秦淮区,100046,1.85,16.91,9000,7259,1741,8959,41,5528,3472,5877,3123,1217,3318,3592,873,
建邺区,119334,1.86,17.66,10699,8795,1904,10673,26,7093,3606,7978,2721,939,4630,4586,544,
鼓楼区,173976,2.09,19.36,16190,14357,1833,16146,44,12407,3783,14004,2186,551,9402,5400,837,
下关区,117301,1.84,16.32,11051,9543,1508,11051,,7098,3953,8133,2918,966,5397,4117,571,
浦口区,60772,2.10,22.61,5728,4734,994,5254,474,2229,3499,3847,1881,2694,1171,1554,309,
大厂区,74742,2.09,23.32,7177,6327,850,7039,138,4542,2635,5940,1237,1425,3724,1677,351,
栖霞区,119338,2.23,25.72,11620,9847,1773,10659,961,5854,5766,7869,3751,4907,3594,2590,529,
雨花台区,87634,2.00,23.23,7995,6770,1225,7910,85,4175,3820,6062,1933,3082,2348,2204,361,
江宁县,235600,2.52,29.31,23217,20670,2547,19010,4207,9160,14057,13871,9346,17649,2898,1661,1009,
江浦县,91532,2.05,24.57,8778,7868,910,4021,4757,1557,7221,4273,4505,6784,1113,655,226,
六合县,186985,2.67,27.96,18440,17266,1174,5029,13411,4325,14115,15109,3331,15544,1223,1187,486,
溧水县,125011,2.42,28.18,12059,10907,1152,11294,765,3946,8113,4658,7401,10070,1273,439,277,
高淳县,138921,2.29,31.45,13723,12131,1592,11698,2025,3446,10277,3047,10676,11743,1035,582,363,
无锡市,1534611,2.70,38.26,150815,139517,11298,97527,53288,109246,41569,98829,51986,91492,33828,19345,6150,
崇安区,56214,1.84,21.20,5404,4889,515,5384,20,3622,1782,4147,1257,655,2918,1596,235,
南长区,71021,1.97,21.92,6942,6524,418,6918,24,4270,2672,5191,1751,1309,3826,1583,224,
北塘区,64533,1.81,20.10,6335,5695,640,6304,31,3731,2604,4456,1879,1090,3186,1885,174,
郊区,243570,2.07,30.05,23799,21275,2524,21316,2483,17361,6438,18250,5549,9460,8024,5452,863,
马山区,9657,2.73,33.63,933,797,136,851,82,664,269,746,187,279,420,192,42,
江阴市,369554,3.69,44.60,36424,34293,2131,18416,18008,26523,9901,23938,12486,26963,5322,2685,1454,
宜兴市,378052,2.79,37.85,37072,34912,2160,18957,18115,29001,8071,22545,14527,26089,7151,2293,1539,
锡山市,342010,2.45,45.40,33906,31132,2774,19381,14525,24074,9832,19556,14350,25647,2981,3659,1619,
徐州市,2459453,2.62,21.23,240175,186582,53593,83167,157008,35135,205040,173747,66428,194946,26525,14373,4331,
鼓楼区,94384,2.34,19.43,9001,7611,1390,8341,660,3937,5064,6370,2631,1750,4495,2406,350,
云龙区,69268,2.21,19.73,6628,5786,842,6577,51,3368,3260,4980,1648,1154,3431,1688,355,
九里区,54938,2.57,22.43,5420,3895,1525,4560,860,1105,4315,2808,2612,1968,1594,1749,109,
贾汪区,138364,2.59,19.85,13631,8576,5055,6459,7172,2001,11630,9534,4097,10696,1376,1339,220,
泉山区,142204,2.33,21.43,13755,12251,1504,12580,1175,8023,5732,11713,2042,2610,7703,2986,456,
丰县,288581,2.19,21.81,28183,26420,1763,10127,18056,2047,26136,26882,1301,26618,916,388,261,
沛县,305620,2.92,21.14,30081,27005,3076,8724,21357,4281,25800,26487,3594,26596,2548,611,326,
铜山县,357799,2.93,23.00,35367,29011,6356,10727,24640,3174,32193,31629,3738,32945,1193,723,506,
睢宁县,326763,2.73,20.09,32257,20829,11428,3348,28909,1202,31055,9612,22645,30179,664,830,584,
新沂市,266795,3.01,20.02,24867,15933,8934,5693,19174,2506,22361,12238,12629,22698,1108,567,494,
邳州市,414737,2.34,21.90,40985,29265,11720,6031,34954,3491,37494,31494,9491,37732,1497,1086,670,
常州市,1166071,2.66,36.95,114444,101336,13108,70636,43808,66608,47836,64984,49460,75302,23022,11691,4429,
天宁区,88354,2.03,23.25,8590,7641,949,8556,34,6196,2394,6980,1610,1325,5185,1736,344,
钟楼区,78737,2.07,24.01,7626,6539,1087,7580,46,5180,2446,5839,1787,1436,4302,1554,334,
戚墅堰区,27972,2.14,28.40,2796,2587,209,2675,121,1793,1003,2051,745,1033,1230,475,58,
郊区,129394,2.52,36.27,12248,9773,2475,10160,2088,7055,5193,7744,4504,6073,2931,2659,585,
溧阳市,240676,2.40,32.34,23988,20975,3013,15424,8564,10482,13506,8270,15718,18457,3790,1202,539,
金坛市,190983,2.24,34.86,18659,16705,1954,11596,7063,10550,8109,8476,10183,14025,3035,797,802,
武进市,409955,3.33,45.88,40537,37116,3421,14645,25892,25352,15185,25624,14913,32953,2549,3268,1767,
苏州市,1949249,3.08,41.43,191084,176969,14115,165338,25746,132705,58379,139730,51354,115119,44276,24894,6795,
沧浪区,99713,2.00,21.90,9512,8535,977,9434,78,6665,2847,7738,1774,638,5847,2661,366,
平江区,130255,2.16,33.23,12675,11210,1465,11567,1108,7714,4961,8277,4398,4221,4784,3121,549,
金阊区,117968,2.01,25.33,11538,9978,1560,10653,885,7687,3851,8085,3453,2227,5263,3317,731,
虎丘区,65812,2.18,32.56,6217,4598,1619,4718,1499,2915,3302,3289,2928,3123,887,1912,295,
常熟市,346380,3.43,49.06,34115,31558,2557,27979,6136,20415,13700,19999,14116,23673,5272,3821,1349,
张家港市,276048,2.69,49.09,27159,26543,616,24978,2181,24185,2974,23840,3319,20561,4378,1448,772,
昆山市,207003,3.16,38.36,20285,19156,1129,20068,217,14815,5470,16315,3970,11164,5824,2672,625,
吴江市,248348,3.48,40.10,24592,22992,1600,23278,1314,16768,7824,18223,6369,17159,4342,2336,755,
太仓市,134562,4.09,46.16,13271,12767,504,12445,826,11225,2046,11513,1758,8865,2879,1153,374,
吴县市,323160,3.50,42.63,31720,29632,2088,20218,11502,20316,11404,22451,9269,23488,4800,2453,979,
南通市,2513094,2.50,40.29,249185,240074,9111,166843,82342,104271,144914,235053,14132,210514,25554,8849,4268,
崇川区,165249,2.16,27.34,16005,14753,1252,15936,69,10866,5139,14173,1832,4263,8553,2631,558,
港闸区,67341,2.57,37.83,6503,5848,655,5041,1462,3320,3183,5476,1027,4652,840,805,206,
海安县,298607,2.80,37.91,29546,28304,1242,23402,6144,15533,14013,27367,2179,25939,2354,755,498,
如东县,354089,2.40,44.78,34989,33936,1053,10158,24831,8781,26208,33587,1402,31928,1672,837,552,
启东市,424440,1.80,40.58,42129,41533,596,40638,1491,13686,28443,41140,989,37106,3245,1226,552,
如皋市,394742,2.81,35.04,39369,37267,2102,5717,33652,18246,21123,35959,3410,35753,2217,918,481,
通州市,458672,2.99,46.07,45769,44669,1100,32097,13672,24072,21697,43328,2441,41215,3010,821,723,
海门市,349954,2.35,43.40,34875,33764,1111,33854,1021,9767,25108,34023,852,29658,3663,856,698,
连云港市,1191434,2.78,19.06,116267,101774,14493,46657,69610,17122,99145,86642,29625,96026,12176,5382,2683,
连云区,39472,2.87,27.71,3832,3600,232,3365,467,2217,1615,3057,775,1317,1911,470,134,
云台区,41775,2.61,25.58,4069,3892,177,2920,1149,752,3317,1975,2094,2866,653,438,112,
新浦区,76405,2.35,22.04,7243,6459,784,7185,58,3929,3314,4929,2314,946,4505,1415,377,
海州区,39990,2.51,21.20,3856,3282,574,3316,540,750,3106,1498,2358,2207,923,594,132,
赣榆县,280911,3.14,18.70,27834,23998,3836,7945,19889,2861,24973,23951,3883,25981,939,447,467,
东海县,291073,3.05,19.37,28740,26840,1900,6138,22602,2865,25875,25793,2947,26072,1161,896,611,
灌云县,247294,2.51,17.30,24330,20691,3639,8704,15626,2164,22166,16368,7962,21690,1515,642,483,
灌南县,174514,2.40,17.22,16363,13012,3351,7084,9279,1584,14779,9071,7292,14947,569,480,367,
淮阴市,1315573,2.35,21.14,127901,103690,24211,60579,67322,24999,102902,69744,58157,107025,11760,6378,2738,
清河区,66174,2.65,23.37,6357,5570,787,5766,591,3417,2940,4430,1927,1855,3068,1175,259,
清浦区,82465,2.53,21.58,8097,6515,1582,5455,2642,2269,5828,4056,4041,4932,2065,858,242,
淮阴县,208281,2.30,21.28,20493,16531,3962,6112,14381,1627,18866,9900,10593,18762,890,530,311,
涟水县,247410,2.59,19.36,24113,18088,6025,9304,14809,3081,21032,12223,11890,22127,739,733,514,
洪泽县,104409,2.20,22.84,9932,9395,537,4037,5895,6057,3875,8409,1523,7993,1041,712,186,
盱眙县,189862,2.32,20.89,18492,15653,2839,8148,10344,3568,14924,11642,6850,16144,1261,649,438,
金湖县,111401,2.17,26.49,10638,9964,674,5282,5356,1901,8737,8176,2462,7992,1292,1065,289,
淮安市,305571,2.21,20.04,29779,21974,7805,16475,13304,3079,26700,10908,18871,27220,1404,656,499,
盐城市,2395872,2.07,25.10,230497,208945,21552,195869,34628,60767,169730,195308,35189,191036,21408,13127,4926,
城区,201331,2.09,23.61,18796,16079,2717,17964,832,7252,11544,14306,4490,8479,5685,3727,905,
响水县,152468,2.55,15.74,14443,9731,4712,10828,3615,1256,13187,8960,5483,11624,1452,849,518,
滨海县,292051,1.92,17.82,27488,23394,4094,14919,12569,3108,24380,20849,6639,24424,1490,948,626,
阜宁县,278530,2.06,19.75,26906,24522,2384,18989,7917,5749,21157,23103,3803,24017,1588,818,483,
射阳县,335124,1.91,24.71,32482,30404,2078,30946,1536,6421,26061,29403,3079,26891,3328,1708,555,
建湖县,235595,1.98,23.68,22404,20889,1515,20585,1819,5445,16959,19212,3192,18552,2242,1209,401,
盐都县,250134,2.06,23.31,24012,22545,1467,22316,1696,9018,14994,21868,2144,22361,793,659,199,
东台市,387242,2.34,36.04,38078,36497,1581,35058,3020,12646,25432,34240,3838,33860,2217,1337,664,
大丰市,263397,1.87,38.20,25888,24884,1004,24264,1624,9872,16016,23367,2521,20828,2613,1872,575,
扬州市,1342103,2.26,30.01,130856,120666,10190,95168,35688,52292,78564,97342,33514,97367,20386,9081,4022,
广陵区,135424,2.06,21.87,13041,11139,1902,12919,122,8157,4884,9288,3753,2047,6782,3548,664,
郊区,50036,2.48,31.56,4841,4129,712,3785,1056,2104,2737,3234,1607,3107,795,626,313,
宝应县,256452,2.24,25.77,24848,23743,1105,18562,6286,5249,19599,20186,4662,20456,2629,1045,718,
邗江县,158133,2.40,34.95,15625,14697,928,11065,4560,7708,7917,10760,4865,13477,1166,510,472,
仪征市,176111,2.34,30.34,17167,15684,1483,13214,3953,5860,11307,14184,2983,12675,3055,1101,336,
高邮市,241884,2.14,29.29,23592,22414,1178,18734,4858,7839,15753,20181,3411,20150,2119,814,509,
江都市,324063,2.29,34.28,31742,28860,2882,16889,14853,15375,16367,19509,12233,25455,3840,1437,1010,
镇江市,874022,2.63,32.44,85325,72747,12578,66943,18382,43983,41342,47929,37396,58359,15672,7934,3360,
京口区,122143,2.17,24.12,11523,10035,1488,10084,1439,6872,4651,7996,3527,3080,5579,2126,738,
润州区,86618,2.09,21.69,8399,6637,1762,7833,566,4092,4307,5011,3388,2345,3211,2369,474,
丹徒县,115896,2.70,29.93,11439,9271,2168,5919,5520,3737,7702,4434,7005,10447,398,277,317,
丹阳市,275248,2.66,37.85,27123,24645,2478,20682,6441,14880,12243,13159,13964,20569,3675,1988,891,
扬中市,91780,3.26,52.40,8893,8630,263,8867,26,8667,226,8745,148,7242,877,452,322,
句容市,182337,2.78,25.79,17948,13529,4419,13558,4390,5735,12213,8584,9364,14676,1932,722,618,
泰州市,1495752,2.37,32.90,147342,135100,12242,108588,38754,70964,76378,92261,55081,124396,14100,5929,2917,
海陵区,124078,2.41,29.68,12001,10719,1282,11456,545,6471,5530,7582,4419,6211,3630,1745,415,
高港区,60848,2.68,40.98,5908,5520,388,3141,2767,1947,3961,2399,3509,5477,195,146,90,
兴化市,465347,2.08,23.88,45726,42031,3695,41240,4486,21918,23808,33862,11864,40216,3154,1214,1142,
靖江市,192580,3.11,50.11,18906,17826,1080,14768,4138,10069,8837,9429,9477,15381,2092,1095,338,
泰兴市,374005,2.41,36.67,37052,32970,4082,15524,21528,16841,20211,21002,16050,33040,2486,1118,408,
姜堰市,278894,2.22,29.54,27749,26034,1715,22459,5290,13718,14031,17987,9762,24071,2543,611,524,
宿迁市,1253271,2.36,20.72,120644,105074,15570,46200,74444,8196,112448,77193,43451,110241,4832,3694,1877,
宿城区,63223,2.83,26.46,5829,5056,773,2674,3155,1685,4144,3908,1921,3917,1362,413,137,
宿豫县,238175,2.59,24.02,23104,19116,3988,8648,14456,989,22115,13420,9684,22349,143,280,332,
沭阳县,409105,2.17,17.90,39827,34153,5674,15343,24484,1960,37867,23950,15877,37252,946,1051,578,
泗阳县,279214,2.49,21.47,27150,26026,1124,8780,18370,1923,25227,23601,3549,24999,868,934,349,
泗洪县,263554,2.23,20.29,24734,20723,4011,10755,13979,1639,23095,12314,12420,21724,1513,1016,481,
,,,,,,,,,,,,,,,,,
浙江省,14136916,2.83,35.04,1405846,1270397,135449,967552,438294,571655,834191,916158,489688,967910,203639,141219,93078,
杭州市,2082829,2.79,36.16,207351,185571,21780,154084,53267,98349,109002,160107,47244,116797,47249,35018,8287,
上城区,114425,2.40,18.27,11332,9967,1365,11330,2,7365,3967,8904,2428,798,5557,4340,637,
下城区,136907,1.88,20.12,13405,11611,1794,13405,,9248,4157,11443,1962,577,7249,4966,613,
江干区,170222,2.05,26.05,16206,13498,2708,16062,144,10080,6126,14941,1265,3924,4281,7218,783,
拱墅区,141317,1.75,19.25,14007,10709,3298,13981,26,7340,6667,11313,2694,1755,4920,6605,727,
西湖区,145821,2.68,32.27,14643,13357,1286,14266,377,10705,3938,12824,1819,4623,6615,2684,721,
滨江区,30263,4.00,47.84,3044,2875,169,3008,36,1607,1437,1910,1134,2446,281,240,77,
桐庐县,121070,3.09,39.03,12101,10541,1560,6519,5582,3139,8962,6396,5705,9058,1696,857,490,
淳安县,136951,2.87,35.77,13827,11859,1968,10623,3204,2108,11719,10389,3438,11064,1374,741,648,
萧山市,369398,3.30,45.64,36937,34464,2473,24459,12478,16833,20104,24687,12250,26959,5399,2984,1595,
建德市,152710,2.80,33.46,15199,12507,2692,8589,6610,3655,11544,7164,8035,11349,2071,1248,531,
富阳市,184710,2.66,38.28,18386,17428,958,15050,3336,6395,11991,16740,1646,14195,2435,1100,656,
余杭市,224471,3.16,44.91,22568,21720,848,12917,9651,11491,11077,18216,4352,17240,3429,1386,513,
临安市,154564,3.54,44.59,15696,15035,661,3875,11821,8383,7313,15180,516,12809,1942,649,296,
宁波市,2010181,2.32,32.43,199480,185603,13877,177206,22274,91824,107656,139552,59928,118681,37163,25123,18513,
海曙区,119952,1.93,21.25,11636,10574,1062,11609,27,7833,3803,8963,2673,816,6245,3440,1135,
江东区,101165,1.95,22.36,9761,8845,916,9760,1,6209,3552,7881,1880,981,5510,2812,458,
江北区,89795,2.05,24.75,8813,8072,741,8562,251,4300,4513,6161,2652,2896,2647,2331,939,
北仑区,128059,2.24,33.78,12639,12060,579,11480,1159,8259,4380,11553,1086,8195,2043,1368,1033,
镇海区,98946,1.99,26.81,9809,9070,739,9611,198,5211,4598,6536,3273,3075,3394,1571,1769,
象山县,166735,2.30,32.22,16592,15871,721,13558,3034,7202,9390,14340,2252,11945,2130,1427,1090,
宁海县,176912,2.57,34.73,17298,16087,1211,12329,4969,3763,13535,10477,6821,12677,1096,1253,2272,
鄞县,303992,2.02,28.40,30468,28128,2340,28014,2454,12841,17627,18254,12214,18334,3135,3555,5444,
余姚市,278937,2.57,36.36,27977,26520,1457,24073,3904,13414,14563,23358,4619,20486,4686,1446,1359,
慈溪市,378363,2.66,39.09,37784,34455,3329,34468,3316,17401,20383,25774,12010,27367,3976,4686,1755,
奉化市,167325,2.33,33.22,16703,15921,782,13742,2961,5391,11312,6255,10448,11909,2301,1234,1259,
温州市,1998828,2.96,28.54,197342,180505,16837,145085,52257,102061,95281,128337,69005,142378,19642,18092,17230,
鹿城区,214763,1.99,21.26,19841,17809,2032,19623,218,16231,3610,17037,2804,3463,9323,3470,3585,
龙湾区,39100,2.94,23.66,3793,3016,777,3223,570,2344,1449,2569,1224,2028,402,925,438,
瓯海区,198394,3.33,28.81,19642,17731,1911,15777,3865,13567,6075,15899,3743,13545,2059,2901,1137,
洞头县,31110,2.71,28.10,3133,2960,173,1391,1742,1168,1965,1352,1781,2410,166,314,243,
永嘉县,203199,2.87,28.43,20450,18155,2295,11794,8656,8194,12256,9508,10942,16510,925,1506,1509,
平阳县,212480,2.90,28.48,21349,20002,1347,12640,8709,8081,13268,13000,8349,17671,1464,1548,666,
苍南县,315503,2.82,25.67,31245,29005,2240,25020,6225,14824,16421,22183,9062,25029,1226,2277,2713,
文成县,84688,3.10,36.43,8639,7902,737,2414,6225,2307,6332,2967,5672,7412,204,445,578,
泰顺县,84340,3.13,30.17,8508,7931,577,4454,4054,2018,6490,6711,1797,6662,118,527,1201,
瑞安市,310201,3.41,31.62,30764,29182,1582,24938,5826,20314,10450,22591,8173,24391,2580,2338,1455,
乐清市,305050,3.17,31.11,29978,26812,3166,23811,6167,13013,16965,14520,15458,23257,1175,1841,3705,
嘉兴市,1015166,2.96,45.70,100555,93927,6628,80385,20170,53155,47400,78923,21632,68471,18520,9568,3996,
秀城区,159060,2.14,28.87,15527,14128,1399,12066,3461,8587,6940,12037,3490,6310,5924,2702,591,
秀洲区,105858,2.58,40.96,10486,9604,882,8014,2472,4687,5799,7642,2844,7949,1053,1058,426,
嘉善县,129109,2.08,32.00,12802,11645,1157,12176,626,6362,6440,8332,4470,8257,2349,1124,1072,
海盐县,107995,3.24,49.33,10722,10097,625,6153,4569,7157,3565,8936,1786,7970,1708,751,293,
海宁市,185638,2.91,51.17,18390,17312,1078,14837,3553,10271,8119,15755,2635,13368,2900,1582,540,
平湖市,138580,3.44,47.76,13826,13183,643,12278,1548,6958,6868,9243,4583,10466,2210,894,256,
桐乡市,188926,4.02,59.17,18802,17958,844,14861,3941,9133,9669,16978,1824,14151,2376,1457,818,
湖州市,751428,3.02,33.85,74919,68297,6622,38178,36741,29129,45790,52735,22184,54210,11539,6613,2557,
市辖区,311244,3.37,30.86,31081,28763,2318,18552,12529,12790,18291,21629,9452,20263,6972,2878,968,
德清县,122176,2.69,43.29,12203,11643,560,9522,2681,5755,6448,10649,1554,8900,1876,889,538,
长兴县,185670,2.91,29.40,18595,15701,2894,6069,12526,4354,14241,10723,7872,14037,1821,2037,700,
