表8    家庭户住房状况（全部数据、长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,全 部 数 据,,,长    表    数    据  （户）,,,,,,,,,,,,,
,家庭户（户）,平均每户住房间数,人均住房建筑面积,家庭户,住房中有无厨房,,是否饮用自来水,,住房中有无洗澡设施,,住房中有无厕所,,住房来源,,,,
,,（间/户）,（平方米/人）,,有,    无    ,    是    ,    否    ,有,    无    ,有,    无    ,自建,购买,租用,其他,
,,,,,,,,,,,,,,,,,
灵寿县,79315,4.21,22.77,7947,4043,3904,3531,4416,1359,6588,5259,2688,7472,346,39,90,
高邑县,43204,4.55,20.74,4332,4283,49,4310,22,937,3395,4315,17,4196,61,41,34,
深泽县,66495,3.35,25.41,6610,6151,459,5545,1065,1993,4617,6255,355,5869,630,31,80,
赞皇县,58186,4.87,21.74,5829,5779,50,3208,2621,550,5279,5805,24,5662,55,73,39,
无极县,119171,4.75,24.39,11876,10899,977,10873,1003,1884,9992,10721,1155,11385,419,47,25,
平山县,116448,5.03,25.10,11865,6762,5103,6837,5028,1192,10673,7023,4842,11076,448,88,253,
元氏县,88435,5.24,23.92,8828,7788,1040,4976,3852,1760,7068,7284,1544,8365,400,36,27,
赵县,131280,4.34,22.14,13149,12505,644,13033,116,4334,8815,12926,223,12776,252,97,24,
辛集市,165712,4.23,25.13,16589,13187,3402,16456,133,5110,11479,14730,1859,15321,1084,96,88,
藁城市,183352,4.82,22.98,18295,17162,1133,18263,32,4272,14023,18097,198,17007,1210,33,45,
晋州市,132094,4.29,24.23,13130,12167,963,13053,77,4667,8463,12761,369,12524,486,81,39,
新乐市,105430,4.31,22.33,10472,10106,366,2465,8007,1322,9150,10151,321,9970,437,46,19,
鹿泉市,99997,3.53,31.68,9975,9523,452,8438,1537,2425,7550,9781,194,8433,913,391,238,
唐山市,2078606,2.20,22.38,208628,200177,8451,126406,82222,49747,158881,188230,20398,160037,36913,9684,1994,
路南区,96488,2.39,20.76,9493,8414,1079,9409,84,4013,5480,6671,2822,3409,4759,1100,225,
路北区,174613,2.13,20.38,17317,16830,487,17275,42,9939,7378,16239,1078,2255,12967,1904,191,
古冶区,123132,2.13,19.70,12456,11503,953,11918,538,1342,11114,9823,2633,4049,4962,3385,60,
开平区,81446,2.18,22.94,8140,7547,593,7434,706,1786,6354,7052,1088,4986,2237,838,79,
新区,53150,2.10,22.32,5259,5206,53,5246,13,2410,2849,5206,53,2047,2962,201,49,
丰润县,208853,2.22,23.07,20794,20352,442,14173,6621,2800,17994,20288,506,19114,1215,332,133,
滦县,158409,2.30,24.08,15988,15550,438,9813,6175,1653,14335,15100,888,14946,683,224,135,
滦南县,171039,2.24,24.37,17313,16849,464,5967,11346,1788,15525,16259,1054,16411,709,65,128,
乐亭县,157523,2.08,24.45,15926,15802,124,5745,10181,7479,8447,15510,416,14829,670,155,272,
迁西县,102604,2.30,22.67,10385,9959,426,2431,7954,1799,8586,8722,1663,9400,492,383,110,
玉田县,179857,2.22,21.19,18235,16718,1517,5120,13115,1617,16618,14847,3388,17129,791,158,157,
唐海县,45181,2.06,26.28,4561,4298,263,4544,17,588,3973,3106,1455,3567,875,77,42,
遵化市,190708,2.20,21.49,18928,18065,863,5102,13826,5041,13887,16771,2157,17712,937,196,83,
丰南市,157479,2.26,23.34,15883,15444,439,13410,2473,3005,12878,15076,807,13858,1564,302,159,
迁安市,178124,2.16,20.95,17950,17640,310,8819,9131,4487,13463,17560,390,16325,1090,364,171,
秦皇岛市,834385,2.36,22.32,83592,81241,2351,38838,44754,28849,54743,76015,7577,59603,16455,5818,1716,
海港区,183931,2.10,22.00,18215,17301,914,16907,1308,8985,9230,14941,3274,3190,10508,3811,706,
山海关区,52686,2.21,20.42,5319,5136,183,4645,674,2080,3239,4128,1191,2075,2408,629,207,
北戴河区,23472,2.29,28.10,2223,2180,43,2103,120,1367,856,1718,505,957,807,374,85,
