表4    各种受教育程度人口、平均受教育年限、文盲人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
县市名,6岁及以上各种受教育程度人口（人）,,,,,,,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,, 文盲率（%） ,,
,未上过学,,扫盲班,,小学,,初中,,高中,,中专,,大学专科,,大学本科,,研究生,,合计,男,女,合计,男,女, 合计 , 男 , 女 
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
绥滨县,4030,9002,325,505,26878,27355,35938,29448,11270,9150,3113,2753,2755,1941,526,253,8,2,7.97,8.37,7.55,12079,3541,8538,8.67,4.95,12.60
双鸭山市,32328,70281,2441,4020,208927,208754,321772,269399,83670,69861,22321,23047,25683,18144,4993,2881,112,41,8.07,8.42,7.70,98638,30085,68553,8.43,5.02,12.02
尖山区,3120,7167,185,284,18185,17647,40149,37297,15406,14365,4229,5391,8012,6612,1814,1267,47,14,9.21,9.48,8.94,9508,2731,6777,6.06,3.48,8.64
岭东区,3169,6655,129,124,11028,9366,19500,16459,3938,3332,949,1133,601,507,83,52,1,,7.51,7.90,7.09,9814,3160,6654,14.75,9.28,20.49
四方台区,1966,4021,47,94,9687,8790,17899,15130,2615,2005,658,704,434,306,73,34,2,1,7.66,7.99,7.30,5861,1888,3973,10.64,6.61,14.97
宝山区,3738,7821,153,240,17220,16449,39193,33722,7592,6618,2149,2192,1546,957,320,136,3,2,8.06,8.38,7.71,11011,3445,7566,9.20,5.61,12.99
集贤县,5317,11410,690,1413,51244,53364,67012,54424,15685,11748,2986,2839,3447,2323,434,235,24,14,7.81,8.15,7.45,16126,4974,11152,6.59,3.95,9.41
友谊县,2512,5778,173,240,11966,12075,23114,19154,8938,8537,2858,2612,3064,1937,796,426,10,,8.64,9.05,8.20,8194,2442,5752,8.90,5.18,12.79
宝清县,8691,19344,708,1112,67488,68913,81810,67619,21151,16803,6067,5724,5473,3345,988,477,11,4,7.78,8.17,7.38,27073,8121,18952,8.60,5.04,12.33
饶河县,3815,8085,356,513,22109,22150,33095,25594,8345,6453,2425,2452,3106,2157,485,254,14,6,7.96,8.37,7.52,11051,3324,7727,9.19,5.29,13.45
大庆市,41955,98110,2412,4675,356318,394106,502376,414025,203452,167853,44878,49691,55266,44175,28126,15008,1230,328,8.52,8.89,8.13,130883,36932,93951,6.34,3.51,9.27
萨尔图区,3881,9756,402,612,28228,29675,59912,48750,34496,30213,8426,10586,10971,9271,5927,3437,227,74,9.53,9.82,9.21,12707,3353,9354,4.82,2.46,7.35
龙凤区,3262,8549,134,240,22976,24627,40448,34036,26476,23178,5110,6089,8906,7494,5036,2615,146,48,9.45,9.83,9.06,10925,2754,8171,5.71,2.81,8.76
让胡路区,4238,11694,413,1140,36908,39781,68683,60250,52350,48657,11232,14738,17378,15426,11539,6451,722,176,9.88,10.21,9.55,14756,3586,11170,4.16,2.00,6.36
红岗区,2067,5685,136,253,17027,18879,28919,25287,22671,19357,3858,4187,4249,3498,2342,1184,72,16,9.31,9.68,8.92,7217,1773,5444,5.15,2.49,7.89
大同区,5186,11831,117,166,37787,42991,46175,37470,13580,10347,3643,3202,2975,1880,1268,473,22,2,7.82,8.28,7.34,15074,4166,10908,8.35,4.57,12.20
肇州县,6538,13575,379,714,60955,69787,86908,72195,16883,11610,3118,2679,2726,1721,567,219,16,6,7.74,8.09,7.37,18673,5774,12899,6.47,3.95,9.05
肇源县,7314,15589,351,543,73503,81580,76682,60128,16333,11172,3882,3019,3258,1968,566,242,8,3,7.50,7.89,7.10,22022,6885,15137,7.47,4.57,10.49
林甸县,5570,12844,308,654,40831,45594,47303,36828,9855,5761,2691,2567,2098,1122,384,171,7,2,7.39,7.90,6.88,17686,5114,12572,9.94,5.65,14.37
杜尔伯特蒙古族自治县,3899,8587,172,353,38103,41192,47346,39081,10808,7558,2918,2624,2705,1795,497,216,10,1,7.81,8.18,7.43,11823,3527,8296,6.78,3.94,9.77
伊春市,27599,64880,1613,2679,129551,125771,305805,262969,93475,84093,20018,23685,21748,17351,4281,2525,133,27,8.45,8.79,8.10,86779,24578,62201,8.46,4.73,12.31
伊春区,2070,5187,142,249,10945,11098,30539,28661,13232,12369,3806,4927,6408,5802,1776,1222,74,9,9.54,9.81,9.27,6314,1585,4729,5.19,2.63,7.71
南岔区,2928,7007,262,486,14376,13758,35688,31030,10480,9572,2390,2866,2110,1487,363,194,8,2,8.44,8.77,8.10,9542,2723,6819,8.12,4.57,11.77
友好区,1599,4121,143,168,5847,5328,17723,14891,5949,6012,864,906,729,523,129,67,4,,8.44,8.80,8.07,5492,1477,4015,9.77,5.20,14.43
西林区,793,2013,45,72,4133,4199,10963,9481,5460,4642,761,932,1072,819,219,88,1,1,8.99,9.33,8.63,2681,716,1965,6.72,3.50,10.09
翠峦区,1472,3098,21,39,4479,4115,13280,11804,3514,3087,610,816,533,393,78,25,0,,8.24,8.57,7.89,4109,1248,2861,10.20,6.12,14.37
新青区,1451,3098,24,37,4156,3880,13863,12123,3291,3119,768,897,744,514,80,53,1,,8.34,8.68,8.00,4298,1311,2987,10.39,6.26,14.64
美溪区,1170,2628,28,29,4182,3735,10777,8995,3209,2907,534,662,499,377,69,16,2,,8.25,8.60,7.88,3604,1066,2538,10.51,6.08,15.14
金山屯区,1216,2618,37,63,4376,4203,12926,11239,2811,2354,576,687,601,472,65,36,0,,8.24,8.58,7.89,3450,1013,2437,9.06,5.22,13.04
五营区,934,2305,81,122,3499,3258,11056,9391,2815,2575,650,791,582,454,78,47,2,,8.41,8.77,8.05,3128,862,2266,9.35,5.09,13.73
乌马河区,707,1773,75,210,3237,3291,10014,8232,2860,2690,552,653,523,469,49,37,2,,8.53,8.86,8.18,2234,581,1653,7.25,3.71,10.92
汤旺河区,906,2115,25,45,3046,2769,9541,8021,2560,2568,566,658,588,492,80,50,0,,8.48,8.80,8.15,2801,795,2006,9.58,5.35,13.94
带岭区,726,2057,97,180,3545,3509,8400,7223,3689,3428,601,704,833,651,194,118,5,,8.70,9.11,8.28,2466,577,1889,7.93,3.70,12.19
乌伊岭区,672,1483,18,26,2141,1955,6423,5358,1993,1764,454,532,328,205,42,16,0,,8.41,8.78,8.03,2060,606,1454,10.16,5.80,14.80
红星区,643,1542,34,64,2026,1903,6879,5848,1873,1705,465,493,398,277,55,18,1,,8.44,8.84,8.03,2055,581,1474,9.86,5.46,14.44
上甘岭区,583,1509,36,29,1836,1706,5574,4435,2108,2218,477,609,419,274,78,38,5,,8.63,9.02,8.23,2045,558,1487,10.83,5.85,15.93
嘉荫县,1765,3622,185,323,12829,12882,16802,13247,4628,3775,1606,1711,1286,965,231,100,5,2,7.99,8.32,7.63,4859,1474,3385,7.55,4.41,10.92
铁力市,7964,18704,360,537,44898,44182,85357,72990,23003,19308,4338,4841,4095,3177,695,400,23,13,8.10,8.45,7.73,25641,7405,18236,8.94,5.07,12.95
佳木斯市,37977,78024,6905,10176,345561,361735,507267,432449,134354,111299,41749,46716,45566,36091,17616,14039,411,245,8.32,8.59,8.04,107204,33259,73945,5.62,3.42,7.90
永红区,1866,4357,284,504,15310,16444,39017,37743,15570,14721,3796,4285,5373,4439,1746,1264,44,34,9.28,9.52,9.05,5042,1230,3812,3.46,1.70,5.18
向阳区,914,2253,112,251,6975,7517,15662,15895,10547,10468,3370,4962,7001,6937,8135,7900,185,133,11.06,11.25,10.88,2581,596,1985,2.63,1.26,3.89
前进区,1277,3163,315,558,10766,11394,24432,23454,16570,15676,8429,11492,8895,7296,2937,1984,87,32,10.28,10.52,10.05,3901,992,2909,2.93,1.51,4.32
东风区,1578,3383,154,283,9242,9667,23279,22047,10718,10295,3222,3350,2782,2362,987,609,17,6,9.24,9.48,9.00,3882,1009,2873,4.23,2.21,6.23
郊区,6269,12027,1986,1999,54553,54953,68829,56723,11903,8393,2993,2901,2433,1779,466,300,10,18,7.56,7.84,7.26,17051,5610,11441,6.93,4.39,9.66
桦南县,8794,17488,986,1389,73206,76610,94976,77253,16749,12238,4552,4455,3959,2526,546,309,13,5,7.63,7.96,7.28,25765,8447,17318,7.68,4.89,10.64
桦川县,3122,6154,504,885,31147,33813,41740,34921,8478,5936,2064,1970,2447,1556,317,195,8,3,7.84,8.16,7.49,8837,2908,5929,5.97,3.83,8.20
汤原县,4152,8393,729,1212,36534,36579,52660,43869,10700,8443,3840,3526,2898,1960,472,264,11,3,7.93,8.23,7.61,11890,3821,8069,6.43,3.98,9.08
抚远县,1487,3237,3,14,12575,13186,16534,13142,3979,2810,1243,1332,1682,1227,285,173,1,1,8.06,8.43,7.67,4359,1297,3062,7.18,4.13,10.46
同江市,2461,5046,564,1080,26473,28277,35018,27603,9534,7192,2584,2553,2956,2241,628,381,12,2,8.11,8.44,7.76,6763,2048,4715,5.20,3.04,7.52
富锦市,6057,12523,1268,2001,68780,73295,95120,79799,19606,15127,5656,5890,5140,3768,1097,660,23,8,7.97,8.25,7.67,17133,5301,11832,5.12,3.10,7.23
七台河市,15801,33161,1378,1991,118284,121168,190871,158707,40127,28520,12619,11885,12992,9241,3320,1691,71,42,8.06,8.40,7.68,47177,14755,32422,7.34,4.42,10.51
新兴区,3637,7898,396,633,28402,28514,51579,43663,7698,5102,2335,1989,1169,768,221,106,3,3,7.82,8.14,7.48,11103,3385,7718,7.24,4.25,10.46
桃山区,2197,4378,224,232,16697,16001,32427,28726,12085,9729,4935,5415,6978,5286,2101,1108,48,17,9.30,9.55,9.01,6372,2135,4237,5.03,3.21,7.02
茄子河区,3000,6179,197,313,20953,21104,34756,26962,4774,2508,1600,1236,1159,642,241,60,7,14,7.66,8.06,7.21,8823,2805,6018,8.47,5.05,12.37
勃利县,6967,14706,561,813,52232,55549,72109,59356,15570,11181,3749,3245,3686,2545,757,417,13,8,7.76,8.13,7.36,20879,6430,14449,8.09,4.86,11.50
牡丹江市,40119,90897,5895,11384,369723,380662,577054,498603,182705,157100,50759,56102,57907,46785,18609,14267,407,177,8.50,8.78,8.21,124553,36550,88003,5.63,3.24,8.09
东安区,1930,4922,226,520,16885,17384,34647,31771,19543,19018,4367,5135,8815,7437,2743,1850,85,36,9.68,9.93,9.42,6164,1574,4590,3.93,2.00,5.89
阳明区,2448,5688,251,490,18623,18636,33049,29752,14368,12968,3487,4296,4785,3944,1585,970,27,9,8.95,9.23,8.67,7561,2093,5468,5.53,3.04,8.06
爱民区,2380,6084,612,1576,24424,26256,48310,43470,26961,24392,9165,11046,11431,10627,6415,6456,88,55,9.82,10.03,9.60,7618,1901,5717,3.29,1.64,4.92
西安区,1864,5024,215,514,15988,17927,33456,30852,19467,18499,5700,6714,9343,7899,3017,1967,87,27,9.77,10.08,9.46,6135,1442,4693,3.89,1.84,5.92
东宁县,4299,9965,584,1122,30609,30157,44184,36578,13349,11083,3345,3437,3481,2606,646,394,21,9,8.07,8.44,7.68,13903,4066,9837,8.36,4.76,12.17
林口县,8249,17079,858,1269,82159,84365,89225,71899,15653,10582,5557,4961,3706,2388,553,320,14,10,7.53,7.86,7.17,24611,7868,16743,7.28,4.49,10.27
绥芬河市,555,1154,100,277,7956,8561,14185,11998,6092,5078,1587,1812,2401,1710,672,370,30,10,9.18,9.45,8.89,1493,445,1048,2.67,1.53,3.91
海林市,9020,20268,867,1380,60455,59709,103125,88988,26096,21855,6649,7304,5499,3938,1214,772,23,12,8.09,8.41,7.76,28328,8468,19860,7.83,4.59,11.21
宁安市,5470,12377,1112,2022,66838,68963,102601,89296,23585,19616,6675,7077,5069,3860,1019,627,18,4,8.16,8.41,7.90,16835,4959,11876,4.70,2.72,6.76
穆棱市,3904,8336,1070,2214,45786,48704,74272,63999,17591,14009,4227,4320,3377,2376,745,541,14,5,8.14,8.42,7.85,11905,3734,8171,4.75,2.92,6.67
黑河市,35795,75639,2095,3565,240012,247709,360273,296864,98678,80159,35194,33845,30885,23908,6855,4398,169,64,8.17,8.51,7.81,103364,31367,71997,7.67,4.53,10.99
爱辉区,3414,7585,195,446,22017,22648,36010,30594,13857,12172,5985,7140,7924,7492,2377,1723,69,27,9.09,9.37,8.80,9121,2399,6722,5.81,3.03,8.64
嫩江县,9378,20161,476,1164,71717,74865,117019,98373,26626,21312,7930,7530,7233,5443,1377,826,40,19,8.10,8.42,7.75,27466,8242,19224,6.79,3.97,9.75
逊克县,2091,4326,185,321,16608,16409,21600,17849,4734,3667,2180,1876,1695,1379,316,221,3,1,7.97,8.28,7.63,5960,1808,4152,7.45,4.36,10.78
孙吴县,2882,5877,134,191,14822,14890,19890,15923,4769,3364,2290,1970,1644,1270,332,214,7,2,7.79,8.22,7.33,8371,2630,5741,11.10,6.74,15.78
北安市,10309,22285,452,665,62721,64530,93256,76202,29681,25344,9922,9461,6781,4727,1469,895,30,11,8.13,8.50,7.74,30563,9200,21363,8.48,4.98,12.17
五大连池市,7721,15405,653,778,52127,54367,72498,57923,19011,14300,6887,5868,5608,3597,984,519,20,4,7.97,8.35,7.56,21883,7088,14795,8.07,5.02,11.38
绥化市,88033,193988,6553,12069,943106,1073978,1079289,837608,213553,141863,49062,41419,45501,30496,12223,6321,649,321,7.59,7.98,7.18,268322,80545,187777,6.71,3.96,9.57
北林区,11047,25714,901,1644,130736,148504,170890,143787,44068,33273,9497,9271,12869,10316,3034,1957,170,79,8.07,8.41,7.72,36076,10468,25608,5.63,3.25,8.06
望奎县,7322,15059,1001,1858,100098,112821,81042,59585,19353,12020,3221,2391,2819,1656,375,187,3,10,7.29,7.68,6.89,21694,6942,14752,6.13,3.85,8.51
兰西县,8423,20286,393,794,85805,98058,90052,65275,14441,8238,3523,2672,3048,1627,350,121,13,5,7.27,7.74,6.77,27848,7966,19882,8.39,4.73,12.15
青冈县,6182,14707,733,1187,82757,96576,85023,62534,17823,10310,3363,2469,2693,1494,409,165,13,2,7.43,7.87,6.98,19571,5521,14050,6.10,3.36,8.98
庆安县,3888,8045,1021,2220,71524,80505,74156,57994,13793,9649,4065,3554,3385,2207,501,299,11,5,7.65,7.97,7.32,11425,3596,7829,4.01,2.47,5.61
明水县,6685,15103,184,279,58065,65880,60891,45038,10568,5768,2907,2331,2217,1314,292,128,5,6,7.27,7.74,6.78,20147,5869,14278,8.96,5.12,12.95
绥棱县,7498,16460,199,334,49260,53967,65008,50505,12670,8850,4006,3596,3108,1965,514,286,16,11,7.56,8.01,7.09,22582,6725,15857,9.53,5.57,13.64
安达市,9489,19259,675,1231,74560,84708,110241,89267,19525,13219,4869,3766,4705,3052,4873,2223,324,153,7.83,8.25,7.39,26366,8230,18136,6.97,4.24,9.85
肇东市,15179,33329,845,1458,158062,178044,177840,138995,34601,24123,6862,5532,5555,3636,1053,544,55,35,7.50,7.88,7.11,46008,13849,32159,7.05,4.18,10.01
海伦市,12320,26026,601,1064,132239,154915,164146,124628,26711,16413,6749,5837,5102,3229,822,411,39,15,7.55,7.94,7.15,36605,11379,25226,6.38,3.87,9.02
大兴安岭地区,8026,19285,489,931,59166,60578,121791,101310,29439,25521,12419,13468,10544,8066,2942,1817,64,25,8.56,8.86,8.23,25157,6937,18220,6.15,3.30,9.18
加格达奇区,1698,4206,115,217,15496,16332,32085,27818,8795,7684,4118,4440,4242,3480,1512,967,37,19,8.96,9.24,8.68,5204,1334,3870,4.48,2.25,6.81
松岭区,421,1012,43,85,4270,4713,8942,7371,2080,1799,724,927,647,496,159,111,1,,8.57,8.83,8.30,1113,285,828,3.84,1.92,5.85
新林区,821,2045,132,289,5499,5573,13374,10908,2438,2103,832,1177,812,559,210,134,6,,8.34,8.67,7.99,2704,729,1975,6.69,3.51,10.05
呼中区,565,1678,27,61,4827,5133,12070,9883,2305,1937,1091,1132,654,448,108,70,4,2,8.47,8.80,8.11,2193,533,1660,6.04,2.85,9.44
呼玛县,1404,3046,55,70,9245,8832,12805,9863,3385,2909,1329,1317,1002,742,255,139,1,2,8.05,8.39,7.67,4278,1315,2963,8.89,5.22,12.90
塔河县,1798,4262,96,154,11041,10984,21931,18320,5702,4937,2366,2480,1674,1263,285,175,5,1,8.40,8.73,8.05,5722,1629,4093,7.67,4.26,11.28
漠河县,1319,3036,21,55,8788,9011,20584,17147,4734,4152,1959,1995,1513,1078,413,221,10,1,8.58,8.88,8.26,3943,1112,2831,6.13,3.34,9.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,176195,697501,49493,166650,1508016,1598621,3314430,2724142,1458400,1207097,524494,586702,537926,396157,493142,291556,53249,22939,9.30,9.86,8.71,893618,173496,720122,6.21,2.35,10.28
市辖区,132029,541723,37728,138628,1199634,1303044,2882927,2354329,1360912,1124553,485783,544304,513773,377794,480200,284490,53010,22866,9.54,10.08,8.97,684196,127497,556699,5.41,1.95,9.11
黄浦区,549,3658,231,1861,10280,16133,35227,30562,25231,21421,7843,8413,7879,5321,6207,3128,308,122,10.16,10.73,9.57,4089,431,3658,2.44,0.51,4.43
南市区,2255,13747,782,5066,25912,33259,78069,64920,45287,38684,14189,14998,13348,9427,9436,5161,640,264,9.62,10.25,8.98,16743,2034,14709,4.92,1.18,8.75
卢湾区,1277,8882,452,3024,18507,24904,55803,49333,39375,35266,12873,15665,15765,11782,15573,10307,1497,679,10.39,10.96,9.82,10439,1207,9232,3.57,0.82,6.31
徐汇区,4624,23159,1369,7348,58171,73056,169642,145145,110601,98677,42260,53493,60328,50149,69911,47209,12075,5135,10.85,11.32,10.35,27346,3961,23385,2.88,0.81,5.04
长宁区,3823,18599,1119,5326,40203,47717,122421,100700,77543,69701,25940,33472,35549,27830,39394,26372,3874,1910,10.53,10.99,10.04,22231,3495,18736,3.56,1.09,6.18
静安区,1007,6146,545,3753,14775,21412,50021,45244,36669,34357,11428,14990,16382,12571,16343,10186,1768,703,10.63,11.20,10.06,7064,798,6266,2.59,0.59,4.58
普陀区,5804,28348,2232,10888,66440,77755,202333,164748,121343,101655,39157,44156,44153,32063,43956,28104,4272,2453,10.12,10.62,9.59,35811,5604,30207,3.83,1.15,6.73
闸北区,4716,24458,1713,8351,51906,61554,155644,132892,92151,79023,29990,34033,32622,23336,25788,13764,2071,763,9.90,10.45,9.33,29280,4378,24902,4.17,1.22,7.26
虹口区,4440,24803,679,3771,48893,61831,154318,133680,99550,87744,32800,39944,43437,31770,39474,23970,3834,1832,10.38,10.90,9.84,28944,4007,24937,3.80,1.03,6.69
杨浦区,5618,30462,2465,12578,71022,85458,226515,193191,139409,120457,48508,53359,57741,41967,67886,38361,10284,4280,10.40,10.95,9.81,37210,5163,32047,3.37,0.90,6.05
闵行区,12488,45273,3180,9620,114710,119708,268372,212267,98401,72940,38468,40151,38254,27932,37361,19615,4067,1706,9.27,9.79,8.69,60337,12658,47679,5.61,2.22,9.40
宝山区,14884,52031,2762,8754,118781,121525,283515,209255,104343,75779,39818,39953,34027,22634,28053,16708,1508,607,9.07,9.58,8.48,64516,13599,50917,6.03,2.37,10.24
嘉定区,9883,40952,3243,10332,85179,84648,172998,137211,51902,38728,23431,22375,13923,9817,9606,5193,811,242,8.44,9.06,7.78,53491,10145,43346,8.07,2.98,13.46
浦东新区,20773,91466,5928,24309,207606,222338,533876,429890,216585,176097,74550,82225,73777,54179,56308,29466,5524,2043,9.27,9.80,8.70,115033,20056,94977,5.46,1.84,9.35
金山区,10950,37763,4061,10200,85296,80850,112354,95907,34270,26401,15345,16348,9991,6692,6474,2780,265,53,7.91,8.55,7.27,47992,10569,37423,9.64,4.24,15.07
松江区,13732,46289,1863,4845,93710,89652,136428,109208,36899,25683,15149,15866,9155,5551,4638,2086,102,29,7.82,8.46,7.16,61782,13890,47892,11.18,4.94,17.66
青浦区,15206,45687,5104,8602,88243,81244,125391,100176,31353,21940,14034,14863,7442,4773,3792,2080,110,45,7.59,8.20,6.95,61888,15502,46386,11.97,5.89,18.30
市辖县,44166,155778,11765,28022,308382,295577,431503,369813,97488,82544,38711,42398,24153,18363,12942,7066,239,73,7.61,8.22,7.01,209422,45999,163423,11.89,5.33,18.20
南汇县,13165,55265,2999,8712,115194,110078,177983,146867,36358,29194,14059,15752,8820,6501,5273,2710,110,26,7.74,8.36,7.12,70740,13380,57360,10.56,4.01,17.06
奉贤县,14379,44959,4927,10085,89459,86090,128564,110506,29880,22810,14054,15772,8837,8117,4501,3169,84,39,7.70,8.27,7.15,64612,15777,48835,11.98,5.94,17.82
崇明县,16622,55554,3839,9225,103729,99409,124956,112440,31250,30540,10598,10874,6496,3745,3168,1187,45,8,7.36,8.00,6.76,74070,16842,57228,13.42,6.37,19.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,1036621,3548900,396757,1241853,11289150,12728844,14646644,11915830,4557098,2875664,1092426,1027994,1168251,689270,644092,302492,42855,15310,7.85,8.52,7.18,4628144,1021676,3606468,7.88,3.49,12.27
南京市,81819,273589,36811,94396,722341,764562,1072799,815540,520749,401642,159676,153247,229834,158122,216566,115523,26189,10273,9.03,9.69,8.30,360378,81098,279280,6.96,2.99,11.32
玄武区,3136,11914,676,1968,28596,29841,66789,54119,48604,46665,18255,19607,34868,26863,45646,24046,8014,2929,11.25,11.75,10.66,14431,2782,11649,3.32,1.18,5.83
白下区,2391,10455,362,1246,22652,24383,52564,44142,40542,40592,14402,15989,26776,20728,22052,11107,3416,1146,10.86,11.36,10.31,12829,2281,10548,3.96,1.35,6.82
秦淮区,3060,11337,761,2229,22487,23523,53413,45373,34060,30998,10410,10164,13415,8337,7171,3266,494,151,9.68,10.23,9.10,14226,2916,11310,5.57,2.20,9.17
建邺区,3810,13096,753,2205,27101,27258,64196,49735,38183,34890,13256,13476,18149,13631,13756,8668,1353,461,10.02,10.47,9.52,16525,3568,12957,5.25,2.15,8.67
鼓楼区,3856,13984,672,1872,37374,36536,86424,62709,59307,57554,20816,25227,44782,36181,66939,39235,11206,4984,11.47,11.86,11.01,17266,3525,13741,3.07,1.15,5.39
下关区,4513,15397,755,1852,29156,28209,68095,52541,41711,36194,18713,14257,16439,9865,8619,3709,453,138,9.66,10.19,9.05,19662,4319,15343,6.14,2.51,10.39
浦口区,3479,10587,1126,2922,24325,22645,41910,29715,18692,13477,6621,5422,8990,4420,13178,6736,227,137,9.30,10.00,8.44,13991,3357,10634,7.18,3.10,12.27
大厂区,2451,9928,373,1392,20166,20306,37275,29475,25712,20393,8097,8040,9638,5918,6075,2376,209,50,9.52,10.15,8.80,12745,2399,10346,6.87,2.43,11.88
栖霞区,4721,17278,1921,5396,42609,43539,79874,56154,35925,25641,10607,9590,13959,10148,10748,8769,360,158,9.08,9.64,8.46,21654,4533,17121,6.39,2.51,10.83
雨花台区,4225,14421,872,2463,28961,28101,56840,40390,25319,18101,7931,7371,12103,7068,4948,1922,248,75,8.97,9.62,8.20,19108,4200,14908,8.07,3.26,13.83
江宁县,12341,37312,7329,18539,134154,141209,148916,117681,49059,27279,11301,9630,11490,6545,8529,2752,89,28,7.65,8.33,6.92,50685,12495,38190,7.89,3.78,12.23
江浦县,4218,16349,2673,9092,45895,52878,55209,40822,20121,10660,3804,3044,4356,2406,5294,2124,28,7,7.66,8.57,6.71,21210,4321,16889,9.15,3.70,14.67
六合县,8201,39810,4417,20234,110279,135499,134423,89530,38071,15613,6402,4568,6560,2774,1467,321,27,3,7.19,8.18,6.20,51420,8562,42858,9.96,3.34,16.46
溧水县,10785,26053,8253,13455,66852,67810,64646,51288,22854,12291,4652,3968,4406,1790,1093,278,26,3,6.93,7.63,6.20,37607,11008,26599,12.48,7.24,17.82
高淳县,10632,25668,5868,9531,81734,82825,62225,51866,22589,11294,4409,2894,3903,1448,1051,214,39,3,6.91,7.56,6.25,37019,10832,26187,11.52,6.70,16.38
无锡市,42333,168385,20207,63541,712171,747640,1073785,943612,332478,246441,120210,122519,102909,63938,52192,23657,2311,715,8.41,8.90,7.91,205117,39031,166086,4.81,1.81,7.88
崇安区,1549,5080,328,1063,13579,14544,33536,27817,19772,15509,7660,7366,9400,6180,4112,1881,241,59,9.87,10.34,9.33,6463,1478,4985,4.20,1.80,6.94
南长区,1406,6558,241,1089,15449,18256,35172,35189,22668,21188,9118,9197,12037,8281,6619,3042,311,86,10.04,10.62,9.46,7660,1210,6450,4.13,1.31,6.93
北塘区,1886,7221,486,1424,15396,16890,34445,34885,19532,17104,7375,7542,7569,4913,3623,1662,204,49,9.47,10.03,8.91,8867,1732,7135,5.41,2.13,8.61
郊区,6324,24603,1712,5841,79054,85168,165897,145058,63843,52173,30701,30592,29095,19769,21341,10836,1202,440,9.35,9.84,8.83,29586,5592,23994,4.22,1.55,7.05
马山区,331,1046,72,381,3706,3755,6676,6719,2491,1581,1155,886,812,481,307,163,6,3,8.73,9.26,8.19,1341,309,1032,4.91,2.23,7.66
江阴市,9384,41238,5341,18283,217377,227233,276171,245309,73478,50925,22588,21709,16691,10010,6668,2567,165,45,8.00,8.47,7.52,50190,8796,41394,4.68,1.65,7.68
宜兴市,12943,42749,9223,22822,187289,191519,244199,210795,68766,46033,20198,21869,14650,7202,4829,1617,86,14,7.86,8.36,7.35,54193,12221,41972,5.62,2.50,8.83
锡山市,8510,39890,2804,12638,180321,190275,277689,237840,61928,41928,21415,23358,12655,7102,4693,1889,96,19,8.06,8.53,7.59,46817,7693,39124,4.71,1.53,7.96
徐州市,156470,418115,60126,146438,1464319,1673082,1848085,1428112,476021,280945,112806,106016,119756,69526,48264,21694,2547,718,7.62,8.21,7.00,567353,150555,416798,8.48,4.49,12.49
鼓楼区,3111,11121,845,2023,26322,27302,57499,51839,30494,26017,11554,12427,10933,6764,3978,1570,130,36,9.32,9.81,8.81,13848,2868,10980,5.53,2.25,8.93
云龙区,1719,6266,1009,3347,19092,19860,38353,35132,20960,18714,7290,10717,10158,7213,6017,3281,298,117,9.64,10.13,9.16,7781,1582,6199,4.21,1.72,6.68
九里区,1696,4256,685,1591,26114,25091,50257,37341,16201,10189,5174,3949,3321,1468,1019,241,26,3,8.58,8.95,8.13,5777,1599,4178,3.67,1.82,6.03
贾汪区,10321,25366,3533,7848,81228,88543,104902,82199,23938,13671,8882,6511,5434,2880,1312,534,36,4,7.50,8.07,6.89,35438,10063,25375,9.49,5.30,13.81
泉山区,4145,14595,1029,2921,38965,42710,72168,71204,43566,39002,15828,20313,29419,20176,19948,8702,1616,378,10.05,10.64,9.44,18249,3779,14470,4.64,1.90,7.45
丰县,18676,49414,6489,14422,187213,212899,222225,178413,52250,30192,8750,6664,8409,4146,1733,495,44,15,7.40,7.94,6.85,66827,17662,49165,8.55,4.59,12.39
沛县,25311,67270,5594,12188,200890,216117,252249,204894,58981,32478,12567,10634,11871,6996,3306,898,68,9,7.45,8.02,6.86,91255,24372,66883,10.52,5.63,15.39
铜山县,24366,58514,13027,28681,221193,245099,269945,212273,55677,29813,9703,8897,9771,6641,4680,4164,143,64,7.31,7.85,6.77,80076,22641,57435,8.44,4.78,12.09
睢宁县,28255,84263,8238,24300,233822,270805,234236,149976,50677,22090,9637,7099,8060,2969,1639,424,37,12,6.84,7.64,6.01,111944,27802,84142,12.92,6.46,19.29
新沂市,17006,41982,6019,14979,158397,196522,204996,154261,54802,28471,9567,7540,10682,4976,2125,643,41,8,7.52,8.14,6.88,57604,16303,41301,7.97,4.49,11.48
邳州市,21864,55068,13658,34138,271083,328134,341255,250580,68475,30308,13854,11265,11698,5297,2507,742,108,72,7.35,7.94,6.74,78554,21884,56670,6.85,3.81,9.90
常州市,53518,178469,9300,25539,524127,546494,789138,707263,243730,182665,75591,78868,70414,45458,36733,16671,1044,267,8.25,8.77,7.73,230855,51180,179675,7.33,3.25,11.42
