表4    各种受教育程度人口、平均受教育年限、文盲人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
县市名,6岁及以上各种受教育程度人口（人）,,,,,,,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,, 文盲率（%） ,,
,未上过学,,扫盲班,,小学,,初中,,高中,,中专,,大学专科,,大学本科,,研究生,,合计,男,女,合计,男,女, 合计 , 男 , 女 
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
大港区,6335,16317,604,971,42388,43959,73971,60344,27652,23729,15709,18135,11235,9433,8742,4374,391,68,9.05,9.44,8.63,23056,6333,16723,7.17,3.86,10.63
东丽区,6793,19075,468,865,56681,55945,100799,82225,21366,19412,13157,13202,8969,7554,6963,3836,260,107,8.55,8.91,8.16,25835,6525,19310,6.98,3.42,10.78
西青区,6299,13962,1101,1897,66003,63883,94196,69427,20083,16519,16245,16928,7824,5680,5524,4131,106,63,8.45,8.72,8.14,18783,5554,13229,5.14,2.85,7.74
津南区,10039,25249,935,1385,66399,63437,90687,75287,13696,11999,8561,8518,4979,3047,4305,2510,75,34,7.73,8.17,7.28,33247,8786,24461,9.77,5.06,14.69
北辰区,5813,17337,717,1126,58172,56451,93610,76496,23942,21428,16068,16469,9539,8247,9496,7279,207,126,8.79,9.10,8.45,23163,5562,17601,6.15,2.87,9.63
武清区,8619,29995,821,2661,151515,152667,171979,152732,28836,24721,11227,11250,7031,4791,2066,1210,60,27,7.74,8.07,7.42,40392,8610,31782,6.22,2.66,9.76
市辖县,41418,128334,3946,8062,438546,460771,466857,376578,98004,67280,34409,33235,18246,13107,6431,3463,117,36,7.48,7.96,6.99,175006,41745,133261,9.81,4.69,14.89
宁河县,6424,18064,558,1031,70066,76369,69064,53822,14119,9749,5888,5806,2710,1867,846,474,21,8,7.44,7.89,6.98,24568,6135,18433,9.07,4.55,13.56
静海县,10276,26062,1419,2449,102038,110026,104951,84351,19955,12630,8891,8614,4432,3012,1644,910,37,9,7.45,7.89,7.00,38473,10792,27681,9.03,5.06,13.02
宝坻县,7092,32052,914,2709,120370,136517,134859,105915,27989,17368,8030,7303,4629,3058,1523,781,25,10,7.52,8.08,6.97,41999,7590,34409,8.57,3.14,13.87
蓟县,17626,52156,1055,1873,146072,137859,157983,132490,35941,27533,11600,11512,6475,5170,2418,1298,34,9,7.48,7.94,7.01,69966,17228,52738,11.71,5.75,17.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,1318509,2427952,567625,823974,10316126,11818925,14384103,11715220,3104687,2213206,879945,965771,694453,546766,330894,208939,12153,5867,7.74,8.09,7.38,4425208,1684503,2740705,8.59,6.47,10.76
石家庄市,146124,283404,86405,124032,1284609,1420471,1912418,1641256,550901,432944,143798,166916,146244,125423,105380,78005,4381,2567,8.22,8.53,7.90,523854,197271,326583,7.35,5.49,9.24
长安区,3096,8224,1105,2386,27846,31894,67727,58167,48762,47467,23398,26815,28724,25899,32873,26552,1428,1068,11.03,11.28,10.78,12376,3469,8907,2.93,1.62,4.27
桥东区,1964,5757,418,1502,22392,24049,53246,42415,29205,27327,10631,13616,16082,13240,12965,7628,516,220,10.31,10.61,9.98,8533,2388,6145,3.32,1.78,4.99
桥西区,1796,5375,850,1043,17963,17711,38258,31475,23707,23741,14331,18425,17101,15797,18617,17141,1174,671,11.06,11.20,10.91,8021,2243,5778,3.31,1.84,4.80
新华区,2396,6304,1493,2053,22763,23566,51831,45020,33894,33435,20535,23936,22534,19726,19156,12021,813,424,10.78,11.04,10.51,10503,3256,7247,3.38,2.04,4.79
郊区,7542,8916,1509,7706,37880,40250,87146,75048,35482,32843,13669,14724,15462,14625,9643,7322,279,106,9.38,9.62,9.13,16242,7480,8762,4.51,4.09,4.95
井陉矿区,1356,4845,262,588,11784,11164,19138,17480,8785,8172,2558,2686,2122,1468,923,355,3,2,8.66,9.12,8.21,6347,1394,4953,7.99,3.54,12.37
井陉县,6523,8931,5593,7975,43725,49179,73775,63612,20427,12729,3045,2435,2170,1331,579,263,6,1,7.70,8.03,7.34,21859,9835,12024,8.83,7.78,9.94
正定县,8572,23605,3043,4278,87817,94358,129076,115983,33968,26650,6033,7693,5739,7017,1543,1296,30,8,7.98,8.29,7.67,35625,10351,25274,7.95,4.69,11.12
栾城县,6680,14945,5938,7251,59536,65333,76342,66452,20637,13656,3241,3975,2672,2168,712,423,10,7,7.51,7.88,7.14,25478,9053,16425,9.26,6.62,11.86
行唐县,7497,14921,3924,4931,61305,69704,85402,74140,20390,14760,2489,2987,2033,1447,388,226,13,4,7.57,7.90,7.24,26579,9784,16795,9.05,6.66,11.43
灵寿县,8220,17253,903,1558,52104,53391,67993,56112,17032,12337,2259,2678,1880,1231,417,231,4,1,7.52,7.91,7.11,25212,8089,17123,10.82,6.79,15.04
高邑县,2753,6386,1691,2758,26381,31071,38869,33645,11751,6923,1633,1589,1284,810,293,130,1,,7.74,8.20,7.28,11355,3963,7392,8.58,6.04,11.08
深泽县,4459,7428,2898,3441,40874,43379,55480,48214,10278,8389,2144,2708,1724,1277,365,217,5,1,7.62,7.84,7.40,15839,6537,9302,8.32,6.77,9.92
赞皇县,4408,6752,3517,4190,34861,42226,55502,43485,10568,5174,2519,1997,1473,742,333,99,3,2,7.52,7.90,7.11,15602,6778,8824,8.88,7.42,10.46
无极县,9503,21320,2475,3507,88879,96140,103398,86428,17333,12405,2739,3963,1910,1508,433,332,8,4,7.35,7.69,7.01,33103,10686,22417,9.05,5.88,12.18
平山县,8859,13438,7303,9727,60471,67287,104248,86046,24279,16143,3788,3974,3131,1987,637,322,7,3,7.66,7.98,7.32,29722,13029,16693,8.88,7.52,10.33
元氏县,7771,14117,3912,5230,55409,66351,87825,75234,19503,12168,2529,3215,1778,1168,633,332,7,1,7.59,7.95,7.22,26501,10263,16238,9.50,7.40,11.58
赵县,10451,16903,9085,10748,89325,100112,123986,106698,22773,13820,3511,3394,1917,1443,368,255,11,8,7.38,7.67,7.08,37937,16409,21528,9.29,8.01,10.59
辛集市,9415,13160,7563,11795,99094,105924,137223,126215,33396,25914,5081,5735,3338,2547,972,556,7,15,7.76,7.97,7.54,32848,14651,18197,6.77,6.03,7.52
藁城市,11713,26554,6428,8715,143783,160655,152103,128067,32410,22424,4635,5279,4333,3318,1090,726,9,4,7.41,7.75,7.07,45435,15624,29811,8.11,5.59,10.62
晋州市,7709,13472,6782,8628,85745,95619,116953,100759,23844,15943,4005,4491,2439,1758,663,390,18,2,7.59,7.86,7.30,28973,12082,16891,7.44,6.16,8.72
新乐市,7384,13448,4989,6545,64651,76330,101533,87799,21199,15627,2661,3175,2363,1743,500,375,12,4,7.66,7.96,7.35,26119,10333,15786,7.98,6.33,9.61
鹿泉市,6057,11350,4724,7477,50021,54778,85364,72762,31278,24897,6364,7426,4035,3173,1277,813,17,11,8.18,8.49,7.86,23645,9574,14071,7.73,6.18,9.33
