表1    总人口、户籍人口、少数民族人口比重、非农业户口人口比重、城乡人口、家庭户人口、家庭户类别（全部数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,总人口（人）,,,总人口,户籍人口（人）,少数民族人口比重,非农业户口人口比重,城乡人口（人）,,家庭户,,,,家庭户类别（户）,,,
,合计,男,女,性别比,,（%）,（%）,城镇,乡村,户数（户）,人口数（人）,户规模（人/户）,其中：一人户(户),一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,,,,,
北京市,13569194,7074518,6494676,108.93,11167502,4.31,60.17,10522464,3046730,4096844,11922945,2.91,494553,1267259,2240735,578024,10826
市辖区,11509595,6020903,5488692,109.70,9285488,4.35,66.20,9876661,1632934,3483627,9983850,2.87,443010,1105041,1892079,478676,7831
东城区,535558,269492,266066,101.29,635381,6.40,89.73,535558,,169723,489295,2.88,23827,50061,90787,28595,280
西城区,706691,360472,346219,104.12,792201,5.94,88.30,706691,,230554,630535,2.73,36799,76851,121622,31762,319
崇文区,346205,173384,172821,100.33,414322,4.82,88.09,346205,,118524,328133,2.77,17744,38961,62366,17054,143
宣武区,526132,272000,254132,107.03,555035,7.40,90.00,526132,,173619,480961,2.77,25418,54503,93989,24929,198
朝阳区,2289756,1216155,1073601,113.28,1537899,5.00,73.04,2289756,,712624,1979644,2.78,99778,242632,382168,86667,1157
丰台区,1369480,719896,649584,110.82,825739,3.57,68.55,1369480,,431537,1215762,2.82,54246,142272,237601,50959,705
石景山区,489439,260316,229123,113.61,333887,3.04,79.38,489439,,153046,429593,2.81,18894,50854,83326,18643,223
海淀区,2240124,1195796,1044328,114.50,1628415,4.50,75.69,2240124,,614648,1708315,2.78,86676,207343,329467,76597,1241
门头沟区,266591,138307,128284,107.81,236573,1.31,60.96,187616,78975,86818,256102,2.95,8828,25827,49806,11028,157
房山区,814367,422230,392137,107.67,752347,2.71,33.73,379882,434485,236802,753256,3.18,18858,59381,139192,37451,778
通州区,673952,339349,334603,101.42,602121,3.89,31.99,346645,327307,205049,630961,3.08,19481,56789,113426,33839,995
顺义区,636479,325122,311357,104.42,544153,2.82,20.77,207341,429138,179649,585370,3.26,14144,45667,95643,37157,1182
昌平区,614821,328384,286437,114.64,427415,3.21,41.90,251792,363029,171034,495923,2.90,18317,53900,92686,23995,453
市辖县,2059599,1053615,1005984,104.73,1882014,4.13,26.42,645803,1413796,613217,1939095,3.16,51543,162218,348656,99348,2995
大兴县,671444,350691,320753,109.33,533127,3.83,30.15,188109,483335,180621,602419,3.34,13559,43432,100455,35484,1250
平谷县,396701,197646,199055,99.29,388985,0.68,23.28,119053,277648,113163,385248,3.40,7740,25791,63424,23115,833
怀柔县,296002,152357,143645,106.06,266590,7.80,30.04,116900,179102,95267,278700,2.93,9242,29274,53434,12238,321
密云县,420019,210890,209129,100.84,417605,5.64,23.30,128999,291020,135062,407628,3.02,12048,36750,79156,18737,419
延庆县,275433,142031,133402,106.47,275707,3.60,22.68,92742,182691,89104,265100,2.98,8954,26971,52187,9774,172
,,,,,,,,,,,,,,,,,
天津市,9848731,5016375,4832356,103.81,9180618,2.71,55.43,7089812,2758919,2976741,9218220,3.10,220751,695714,1817012,452511,11504
市辖区,7499181,3825069,3674112,104.11,6873253,2.95,68.40,6755403,743778,2322819,6928475,2.98,189954,570251,1416880,329476,6212
和平区,310368,152798,157570,96.97,428725,3.16,95.04,310368,,102265,291210,2.85,12536,28028,57333,16729,175
河东区,720247,363922,356325,102.13,689767,2.20,95.99,720247,,239825,684498,2.85,24001,61832,146428,31236,329
河西区,779131,397913,381218,104.38,731170,2.47,92.52,779131,,248410,706341,2.84,24126,66811,148432,32797,370
南开区,860104,436525,423579,103.06,768058,3.09,93.04,860104,,262363,760485,2.90,23463,65121,160655,36092,495
河北区,633603,320129,313474,102.12,604962,2.93,95.02,633603,,206978,599846,2.90,20026,51156,125562,29842,418
红桥区,527013,267141,259872,102.80,566826,8.06,94.94,527013,,175262,497648,2.84,18333,45320,107603,22072,267
塘沽区,552610,289378,263232,109.93,466046,2.67,74.91,552610,,173474,506279,2.92,15248,45731,107932,19544,267
汉沽区,173723,87064,86659,100.47,168558,0.51,69.90,139844,33879,56134,171211,3.05,3335,14193,33476,8281,184
大港区,389664,200426,189238,105.91,335741,2.76,60.02,345626,44038,125407,364489,2.91,7058,36235,79377,9598,197
东丽区,442224,228229,213995,106.65,308730,2.73,40.84,427927,14297,132807,400890,3.02,9289,34044,82133,16415,215
西青区,433697,229805,203892,112.71,314259,1.10,34.42,431145,2552,122798,368780,3.00,8304,31498,77280,13808,212
津南区,417254,213173,204081,104.46,365932,1.99,25.25,417254,,119821,384625,3.21,5716,23707,76673,19075,366
北辰区,444791,229123,215668,106.24,319333,5.37,47.63,444791,,129985,401374,3.09,8429,29482,81823,18323,357
武清区,814752,409443,405309,101.02,805146,1.61,12.29,165740,649012,227290,790799,3.48,10090,37093,132173,55664,2360
市辖县,2349550,1191306,1158244,102.85,2307365,1.95,14.00,334409,2015141,653922,2289745,3.50,30797,125463,400132,123035,5292
宁河县,359247,182410,176837,103.15,358015,0.99,19.35,63517,295730,96343,352497,3.66,3113,14789,60622,20320,612
静海县,542593,276103,266490,103.61,503795,1.10,14.89,103801,438792,165351,528422,3.20,8434,37945,104045,22666,695
宝坻县,646947,325063,321884,100.99,652104,0.88,12.82,83605,563342,178523,629930,3.53,7949,33827,109162,34017,1517
蓟县,800763,407730,393033,103.74,793451,3.83,11.98,83486,717277,213705,778896,3.64,11301,38902,126303,46032,2468
,,,,,,,,,,,,,,,,,
河北省,66684419,33936333,32748086,103.63,65843642,4.35,18.56,17560097,49124322,17934977,64296922,3.59,1111945,3386539,11160802,3260299,127337
石家庄市,9241186,4691030,4550156,103.10,8538988,0.81,22.92,3238859,6002327,2351008,8693802,3.70,159949,416673,1380916,531258,22161
长安区,491074,249148,241926,102.99,438593,2.11,91.90,491074,,135146,409112,3.03,10558,34793,80525,19495,333
桥东区,298668,155403,143265,108.47,200458,1.69,81.84,298668,,84187,250524,2.98,9441,25182,46761,12036,208
桥西区,279666,141353,138313,102.20,186134,2.34,87.00,279666,,73719,218154,2.96,7490,20948,42826,9752,193
新华区,362110,185923,176187,105.53,250733,2.26,87.10,362110,,101674,300048,2.95,10390,29502,58958,12971,243
郊区,437912,223182,214730,103.94,255062,0.94,39.59,437912,,110648,363110,3.28,10577,27471,62069,20288,820
井陉矿区,100545,50467,50078,100.78,95765,0.27,52.95,66123,34422,31347,97182,3.10,2511,8898,17181,5168,100
井陉县,328549,169854,158695,107.03,315632,0.12,10.54,53377,275172,88527,318452,3.60,6333,14841,53166,19924,596
正定县,593951,294579,299372,98.40,577781,0.66,10.99,91299,502652,145087,562872,3.88,8397,20073,82548,40638,1828
栾城县,376187,190273,185914,102.34,357150,0.16,9.09,69472,306715,87865,367807,4.19,3207,9182,48969,28160,1554
行唐县,395382,198143,197239,100.46,409509,0.25,7.61,11085,384297,103689,387323,3.74,6827,16421,65627,20970,671
灵寿县,314656,160589,154067,104.23,310442,0.13,11.11,40358,274298,79315,304416,3.84,5114,13280,49133,16278,624
高邑县,177537,90071,87466,102.98,170139,0.05,8.75,2088,175449,43204,174335,4.04,1670,5128,26482,11142,452
深泽县,249797,127212,122585,103.77,246817,0.20,11.69,40701,209096,66495,245776,3.70,3998,13526,39438,12956,575
赞皇县,230532,120298,110234,109.13,232344,0.06,7.08,7309,223223,58186,224332,3.86,3629,8587,39820,9493,286
无极县,483538,243430,240108,101.38,475844,2.83,7.30,48294,435244,119171,475061,3.99,5601,15488,69639,32580,1464
平山县,444084,229545,214539,106.99,451221,0.13,6.82,39330,404754,116448,435472,3.74,10135,20668,69455,25279,1046
元氏县,386518,196075,190443,102.96,379065,0.09,5.19,36917,349601,88435,378551,4.28,3771,8866,53949,24353,1267
赵县,550957,282469,268488,105.21,549357,0.06,6.26,63522,487435,131280,542610,4.13,7670,16886,77741,34933,1720
辛集市,623219,314536,308683,101.90,607087,0.20,11.94,172870,450349,165712,597397,3.61,15555,32912,89596,41192,2012
藁城市,758269,380317,377952,100.63,735616,1.10,7.54,191420,566849,183352,733584,4.00,8490,22459,106114,52261,2518
晋州市,520942,265012,255930,103.55,502825,0.10,6.49,144252,376690,132094,505837,3.83,7864,22126,79396,29386,1186
新乐市,439644,220811,218833,100.90,446462,1.60,6.81,152367,287277,105430,427003,4.05,4705,13246,64039,26787,1358
鹿泉市,397449,202340,195109,103.71,344952,0.38,16.20,138645,258804,99997,374844,3.75,6016,16190,57484,25216,1107
唐山市,7040554,3582630,3457924,103.61,6942165,3.61,26.96,2265605,4774949,2078606,6818561,3.28,122779,451032,1295128,322969,9477
路南区,330195,169172,161023,105.06,311118,1.73,67.03,330195,,96488,303263,3.14,6776,22862,57361,15927,338
路北区,567476,280749,286727,97.92,544825,2.15,87.39,567476,,174613,519305,2.97,13115,42919,106958,24346,390
古冶区,383209,193901,189308,102.43,374614,1.54,72.71,258856,124353,123132,373307,3.03,9310,31499,72361,18913,359
开平区,266378,137266,129112,106.32,257752,3.67,51.36,146029,120349,81446,255208,3.13,4916,18758,50088,12338,262
新区,164053,82003,82050,99.94,166223,2.09,64.07,102810,61243,53150,156931,2.95,3604,14209,33024,5803,114
丰润县,715835,362869,352966,102.81,705942,2.68,12.51,106496,609339,208853,700927,3.36,11734,44958,129068,33738,1089
滦县,536151,274476,261675,104.89,531105,1.76,11.72,54979,481172,158409,523529,3.30,8494,32311,105117,20445,536
滦南县,570535,290761,279774,103.93,564811,2.60,8.48,51810,518725,171039,560146,3.27,8337,35967,106581,27420,1071
乐亭县,497117,252619,244498,103.32,497595,1.50,12.96,54606,442511,157523,483990,3.07,9683,42138,93908,20915,562
迁西县,353616,182237,171379,106.34,347355,2.70,11.40,42774,310842,102604,348066,3.39,6855,20710,66325,15189,380
玉田县,650408,329978,320430,102.98,648385,4.99,9.76,58860,591548,179857,637859,3.55,9617,33151,111929,33427,1350
唐海县,138343,69706,68637,101.56,136416,1.11,11.91,29140,109203,45181,135554,3.00,2487,12827,28324,3931,99
遵化市,683662,348121,335541,103.75,683331,12.70,11.73,141807,541855,190708,669717,3.51,10580,33246,120724,35523,1215
丰南市,550872,285442,265430,107.54,539668,3.39,23.99,148192,402680,157479,527157,3.35,7815,32737,98307,25678,757
迁安市,632704,323330,309374,104.51,633025,2.74,10.12,171575,461129,178124,623602,3.50,9456,32740,115053,29376,955
秦皇岛市,2753962,1403179,1350783,103.88,2642018,16.01,27.12,900132,1853830,834385,2649692,3.18,54912,203498,514646,113072,3169
海港区,584806,294287,290519,101.30,477970,6.45,74.01,584806,,183931,527082,2.87,15733,55057,111503,17079,292
山海关区,158399,80343,78056,102.93,142365,8.39,56.21,94092,64307,52686,153098,2.91,3780,15442,31674,5473,97
北戴河区,74282,36725,37557,97.78,63502,3.50,48.93,39331,34951,23472,66157,2.82,2470,7856,13370,2188,58
青龙满族自治县,482424,252184,230240,109.53,507786,76.00,6.85,35884,446540,131980,476108,3.61,6724,22318,82217,26587,858
昌黎县,546440,276632,269808,102.53,540449,1.36,12.62,75987,470453,169020,532849,3.15,10746,41684,104286,22355,695
抚宁县,504064,257067,246997,104.08,505450,1.50,10.48,42793,461271,149164,497142,3.33,7503,31198,93272,23950,744
卢龙县,403547,205941,197606,104.22,404496,1.42,8.60,27239,376308,124132,397256,3.20,7956,29943,78324,15440,425
邯郸市,8386814,4266539,4120275,103.55,8304999,0.62,16.22,1964038,6422776,2055109,8140621,3.96,115552,300046,1319536,417789,17738
邯山区,284540,143450,141090,101.67,277084,2.41,84.53,284540,,82083,258711,3.15,5771,19013,51697,11163,210
丛台区,302460,149410,153050,97.62,285317,1.95,87.26,302460,,85636,275825,3.22,6127,20158,51644,13544,290
复兴区,235387,128563,106824,120.35,241010,1.56,80.12,235387,,67037,208128,3.10,4832,16459,43015,7439,124
峰峰矿区,507347,272459,234888,116.00,488047,0.34,56.01,384011,123336,130197,461013,3.54,8250,24583,80103,25033,478
邯郸县,392608,198097,194511,101.84,376457,0.10,5.75,17773,374835,94389,384512,4.07,5606,13300,61652,18526,911
临漳县,572777,286853,285924,100.32,566210,0.06,4.19,53402,519375,131332,564402,4.30,4424,12034,85912,31713,1673
成安县,352944,174891,178053,98.22,357586,0.13,6.06,30079,322865,85728,349447,4.08,4327,12422,54348,17977,981
大名县,713584,359567,354017,101.57,725648,2.64,4.08,22853,690731,157879,702777,4.45,5472,14342,99699,41419,2419
涉县,383284,198958,184326,107.94,380016,0.08,8.45,64201,319083,109396,369430,3.38,12033,22417,73588,13176,215
磁县,634470,322668,311802,103.48,626959,0.16,7.60,94503,539967,150381,621744,4.13,6796,16497,96391,35868,1625
肥乡县,308105,154329,153776,100.36,307659,0.07,4.42,6788,301317,74307,305667,4.11,3704,9806,45231,18195,1075
永年县,828897,419557,409340,102.50,826834,0.07,4.71,93417,735480,196131,815013,4.16,10706,27065,129543,37991,1532
邱县,200564,100376,100188,100.19,198881,4.70,4.92,21353,179211,51529,197038,3.82,3089,8161,34944,8111,313
鸡泽县,252643,129866,122777,105.77,251996,0.09,4.27,20395,232248,57836,247420,4.28,3020,7825,38479,11006,526
广平县,244997,121778,123219,98.83,246156,0.05,5.12,30848,214149,53003,243270,4.59,1694,4504,31893,15690,916
馆陶县,280877,141738,139139,101.87,279918,0.07,5.80,39101,241776,72991,276185,3.78,5510,12895,47841,11757,498
魏县,778238,393294,384944,102.17,783074,0.08,3.43,71908,706330,172768,773487,4.48,5097,13921,111687,45050,2110
曲周县,392896,197577,195319,101.16,392167,0.07,4.56,43241,349655,93566,390285,4.17,5000,12860,59464,20198,1044
武安市,720196,373108,347088,107.50,693980,0.08,8.78,147778,572418,188920,696267,3.69,14094,31784,122405,33933,798
邢台市,6645766,3374805,3270961,103.17,6577586,0.29,13.09,1331530,5314236,1659042,6427130,3.87,102605,263456,1066729,316022,12835
桥东区,219201,108316,110885,97.68,208371,2.25,75.73,219201,,64324,200124,3.11,5461,16025,40582,7563,154
桥西区,317081,164345,152736,107.60,294389,1.13,73.27,317081,,87681,280468,3.20,5262,18644,59325,9513,199
邢台县,463419,238544,224875,106.08,455285,0.14,5.02,34822,428597,120003,446184,3.72,8511,19517,79029,20828,629
临城县,191355,97415,93940,103.70,190349,0.02,7.96,19212,172143,49740,184669,3.71,2695,8079,32006,9260,395
内丘县,255402,131553,123849,106.22,250566,0.01,7.41,11084,244318,62841,246870,3.93,3356,8415,40362,13540,524
柏乡县,181104,91949,89155,103.13,179894,0.02,5.85,21568,159536,42753,177284,4.15,1728,4544,26028,11604,577
隆尧县,473148,239652,233496,102.64,473320,0.03,5.54,56442,416706,111949,449350,4.01,6510,15111,68662,26771,1405
任县,303308,154022,149286,103.17,304023,0.01,3.68,21622,281686,70235,300078,4.27,3435,8843,43694,16871,827
南和县,314106,159647,154459,103.36,311523,0.02,3.12,4987,309119,71904,312206,4.34,3090,7195,48525,15490,694
宁晋县,712692,362769,349923,103.67,710389,0.05,6.06,63376,649316,175439,698633,3.98,10381,23681,108788,41148,1822
巨鹿县,356085,178769,177316,100.82,354198,0.02,5.15,40615,315470,89387,352790,3.95,5182,13198,58410,16986,793
新河县,162888,81384,81504,99.85,165551,0.02,7.27,22253,140635,46423,159904,3.44,3790,8994,30372,6844,213
广宗县,262551,133097,129454,102.81,267522,0.05,4.49,17633,244918,69229,259569,3.75,5231,14098,46776,8084,271
平乡县,283360,144401,138959,103.92,278119,0.01,4.13,41226,242134,63510,273258,4.30,3012,8628,40996,13183,703
威县,530259,268630,261629,102.68,531423,0.85,4.90,31540,498719,134132,519630,3.87,9448,22447,86468,24203,1014
清河县,365073,182835,182238,100.33,349717,0.13,33.30,60503,304570,87682,353914,4.04,5858,15294,56462,15286,640
临西县,313118,159328,153790,103.60,313337,1.07,5.90,43651,269467,78795,308289,3.91,4115,11786,51477,15031,501
南宫市,467356,234978,232378,101.12,465384,0.01,8.39,126690,340666,120938,449744,3.72,8035,20566,74073,25308,991
沙河市,474260,243171,231089,105.23,474226,0.13,11.94,178024,296236,112077,454166,4.05,7505,18391,74694,18509,483
保定市,10471123,5302641,5168482,102.60,10451802,1.80,14.22,2419839,8051284,2708057,10090620,3.73,153894,447634,1669849,563969,26605
新市区,393351,196514,196837,99.84,378030,2.58,67.63,393351,,113931,364646,3.20,6704,25557,69594,18204,576
北市区,267657,136136,131521,103.51,241157,4.27,71.35,267657,,67146,209189,3.12,6081,16908,39578,10356,304
南市区,241488,122975,118513,103.76,232293,3.83,59.04,241488,,64780,209685,3.24,4879,15189,38140,11106,345
满城县,391000,201252,189748,106.06,375616,1.22,11.25,52705,338295,97493,374032,3.84,4983,14728,59420,22233,1112
清苑县,605580,306279,299301,102.33,597175,0.64,6.54,76878,528702,154908,593011,3.83,8364,25324,96468,31671,1445
涞水县,327983,167497,160486,104.37,332934,5.97,7.71,40580,287403,89214,322185,3.61,4955,15029,58183,15394,608
阜平县,192950,98481,94469,104.25,202136,0.09,10.14,25175,167775,56706,190240,3.35,4867,11964,36220,8352,170
徐水县,553557,279589,273968,102.05,560612,2.08,9.95,61206,492351,141400,541500,3.83,6279,21209,88317,30288,1586
定兴县,538039,271451,266588,101.82,547070,3.06,6.67,44420,493619,128532,530594,4.13,4080,12660,77491,36279,2102
唐县,515915,261916,253999,103.12,517251,0.11,6.27,38886,477029,128690,507804,3.95,7272,18598,79733,29043,1316
高阳县,308850,156874,151976,103.22,298604,0.35,9.76,52441,256409,81462,295502,3.63,5277,15762,49186,15743,771
容城县,244167,122911,121256,101.36,238110,0.87,7.44,59079,185088,59616,237536,3.98,2600,8957,35654,14114,891
涞源县,250790,134642,116148,115.92,256918,0.12,14.10,51335,199455,75703,242651,3.21,8571,17402,49205,8895,201
望都县,251636,127915,123721,103.39,256338,0.15,9.46,16927,234709,63381,244859,3.86,2973,8399,37832,16353,797
安新县,393001,196887,196114,100.39,400296,0.17,5.25,37498,355503,110063,386467,3.51,6848,22486,72212,14769,596
易县,541399,278913,262486,106.26,545053,5.83,9.28,35759,505640,145699,529751,3.64,9433,23102,92236,29194,1167
曲阳县,522421,266992,255429,104.53,516398,0.07,6.51,20160,502261,128674,509996,3.96,7687,18283,87158,22493,740
蠡县,511086,253572,257514,98.47,475461,0.23,5.10,93764,417322,115270,465456,4.04,5476,18132,68171,27179,1788
顺平县,282936,143862,139074,103.44,288985,0.23,7.81,18765,264171,77198,278090,3.60,4856,13297,46975,16193,733
博野县,241774,121934,119840,101.75,245992,0.09,5.65,10985,230789,64769,238075,3.68,3848,11969,40316,11962,522
雄县,323474,163030,160444,101.61,323396,2.76,6.86,30089,293385,83562,320554,3.84,3715,12614,53270,16795,883
涿州市,546754,275834,270920,101.81,576271,1.89,22.36,188532,358222,150100,531393,3.54,8702,25635,91135,31982,1348
定州市,1107903,559214,548689,101.92,1117232,2.48,9.54,273301,834602,276896,1076121,3.89,13308,37169,164176,71853,3698
安国市,378830,189944,188886,100.56,385139,0.93,12.41,121948,256882,100494,370105,3.68,6052,17696,58991,22630,1177
高碑店市,538582,268027,270555,99.07,543335,2.21,12.55,166910,371672,132370,521178,3.94,6084,19565,80188,30888,1729
张家口市,4191035,2162852,2028183,106.64,4472157,1.64,24.61,1218144,2972891,1374172,4089634,2.98,135886,397846,848785,125452,2089
桥东区,281044,140840,140204,100.45,245448,4.22,77.34,281044,,94218,262291,2.78,9162,29079,57113,7935,91
桥西区,237049,117900,119149,98.95,237052,4.38,74.56,237049,,79439,221648,2.79,8949,24738,47900,6714,87
宣化区,317121,160888,156233,102.98,290300,2.79,73.71,251278,65843,108736,303618,2.79,9656,33314,67514,7831,77
下花园区,68134,35420,32714,108.27,67994,1.11,51.17,37147,30987,23845,66456,2.79,2552,7907,14409,1514,15
宣化县,291878,154565,137313,112.56,295755,0.27,9.62,36835,255043,93969,282620,3.01,9766,26983,58933,7939,114
张北县,297741,149648,148093,101.05,375243,1.45,12.47,50754,246987,104476,293471,2.81,10357,34779,63566,6058,73
康保县,226461,114888,111573,102.97,283168,0.72,9.25,14071,212390,76200,224001,2.94,6327,22643,47840,5626,91
沽源县,177143,91398,85745,106.59,226228,3.32,10.80,19030,158113,59711,174973,2.93,5414,17565,37487,4601,58
尚义县,157766,78890,78876,100.02,190689,0.84,11.42,23178,134588,53736,155709,2.90,4261,16545,33825,3326,40
蔚县,447059,238003,209056,113.85,459245,0.26,9.06,62991,384068,138621,439868,3.17,17851,35850,84264,18173,334
阳原县,257496,133494,124002,107.65,274816,0.19,10.18,31732,225764,81454,254668,3.13,8089,22384,50769,8128,173
怀安县,224710,114967,109743,104.76,245494,0.29,12.25,29236,195474,73153,221735,3.03,6951,21619,45018,6436,80
万全县,207403,107365,100038,107.32,218900,0.21,10.85,28176,179227,66701,205385,3.08,5801,18636,41611,6327,127
怀来县,323387,167187,156200,107.03,329676,2.43,17.10,49011,274376,100573,317910,3.16,8176,25064,64093,11175,241
涿鹿县,326101,173236,152865,113.33,331164,1.37,12.23,32586,293515,102337,319745,3.12,10252,25865,62944,13258,270
赤城县,242181,128205,113976,112.48,278404,1.33,8.45,16755,225426,79790,238963,2.99,8370,22757,48749,8093,191
崇礼县,108361,55958,52403,106.78,122581,4.28,12.25,17271,91090,37213,106573,2.86,3952,12118,22750,2318,27
承德市,3324121,1718138,1605983,106.98,3547684,44.68,19.03,834121,2490000,964964,3244278,3.36,56410,187325,606899,166801,3939
双桥区,275061,137521,137540,99.99,263456,20.01,72.92,251907,23154,79581,244196,3.07,5553,19630,49334,10431,186
双滦区,93455,48475,44980,107.77,98188,18.91,56.59,72638,20817,29315,90145,3.08,1637,7574,18146,3539,56
鹰手营子矿区,68735,35225,33510,105.12,72072,10.19,63.13,61875,6860,22351,66888,2.99,1602,6477,12920,2899,55
承德县,447345,234915,212430,110.58,474794,12.33,10.70,70741,376604,128165,436078,3.40,7573,22816,79828,24948,573
兴隆县,303861,157152,146709,107.12,315057,9.70,12.45,32173,271688,85532,300537,3.51,4560,15137,51320,18442,633
平泉县,436917,224522,212395,105.71,458242,35.78,12.51,44370,392547,123793,430516,3.48,5579,19910,78740,24541,602
滦平县,309532,160237,149295,107.33,333595,58.80,10.06,40508,269024,89128,306280,3.44,5255,15414,56882,16473,359
隆化县,373773,194794,178979,108.84,415307,61.32,10.26,73498,300275,108668,368545,3.39,6840,20298,69066,18880,424
丰宁满族自治县,341561,177673,163888,108.41,375335,72.85,11.66,75004,266557,102815,336115,3.27,6358,21917,65770,14809,319
宽城满族自治县,221887,115898,105989,109.35,230276,82.48,14.32,31764,190123,63304,218087,3.45,3551,12402,41054,9596,252
围场满族蒙古族自治县,451994,231726,220268,105.20,511362,71.10,12.10,79643,372351,132312,446891,3.38,7902,25750,83839,22243,480
沧州市,6639501,3380277,3259224,103.71,6552652,3.31,15.96,1435714,5203787,1803085,6458619,3.58,88090,333377,1164196,294195,11317
新华区,175898,87853,88045,99.78,151298,15.81,74.68,175898,,53106,168082,3.17,3076,12111,34248,6590,157
运河区,267663,135795,131868,102.98,250766,7.00,72.77,267663,,73342,236592,3.23,3875,15416,48324,9355,247
沧县,643114,326566,316548,103.16,647916,3.54,3.73,20611,622503,175917,632650,3.60,8180,31788,115718,27339,1072
青县,382228,193183,189045,102.19,380487,6.19,13.28,65598,316630,107488,375207,3.49,4690,20456,70818,15733,481
东光县,343807,174454,169353,103.01,340415,0.29,9.25,35689,308118,98505,333688,3.39,6045,21046,64473,12640,346
海兴县,198024,101321,96703,104.78,207503,1.92,10.99,22113,175911,55273,195608,3.54,3323,11510,36015,7517,231
盐山县,402952,206998,195954,105.64,398501,0.76,6.49,29039,373913,101431,397037,3.91,3502,13713,66442,20481,795
肃宁县,325257,166246,159011,104.55,329890,1.15,9.23,25090,300167,83111,315019,3.79,4322,13553,50408,18305,845
南皮县,337931,172409,165522,104.16,339224,0.61,7.71,36860,301071,90611,329976,3.64,3892,15043,56681,18189,698
吴桥县,278693,140924,137769,102.29,273703,0.26,10.87,26483,252210,77658,267319,3.44,4572,15150,47990,14048,470
献县,541988,276345,265643,104.03,539992,1.02,5.89,25544,516444,138812,528751,3.81,6067,21470,90400,25855,1087
孟村回族自治县,181304,92576,88728,104.34,182735,24.36,8.64,30154,151150,46677,178914,3.83,1871,7927,30301,8076,373
泊头市,550888,280209,270679,103.52,547242,2.95,18.65,165892,384996,148197,532854,3.60,7800,24875,96775,25718,829
任丘市,768900,390649,378251,103.28,747609,0.95,23.30,285132,483768,213593,745669,3.49,10561,46061,137226,29061,1245
黄骅市,483273,251128,232145,108.18,457643,4.71,20.28,95540,387733,137756,474410,3.44,6506,29542,89553,18005,656
河间市,757581,383621,373960,102.58,757728,2.16,8.83,128408,629173,201608,746843,3.70,9808,33716,128824,37283,1785
廊坊市,3833444,1950254,1883190,103.56,3638380,2.49,16.35,1124617,2708827,983505,3672123,3.73,44756,164274,604932,205272,9027
安次区,342057,174250,167807,103.84,323257,0.97,21.61,134138,207919,85800,315857,3.68,4235,13621,52930,18612,637
广阳区,373331,188844,184487,102.36,316577,4.00,50.48,241722,131609,104945,347264,3.31,5548,23456,64471,16423,595
固安县,400240,203229,197011,103.16,390300,1.65,8.80,45569,354671,96732,390850,4.04,3632,11205,56649,27297,1581
永清县,373056,192649,180407,106.79,360622,2.30,7.04,48990,324066,92679,356534,3.85,3602,11808,58214,21782,875
香河县,308874,154698,154176,100.34,302219,1.71,11.04,38343,270531,81505,302625,3.71,3774,12915,46293,21224,1073
大城县,446577,227226,219351,103.59,443398,0.17,7.10,56264,390313,114254,439046,3.84,5538,20912,75869,16858,615
文安县,461868,237410,224458,105.77,442138,2.47,6.54,115916,345952,118891,443113,3.73,4935,21163,77651,19270,807
大厂回族自治县,112658,56839,55819,101.83,106860,21.84,16.18,29718,82940,30177,109148,3.62,1610,5510,17082,7265,320
霸州市,557901,285321,272580,104.67,527709,1.42,14.40,220081,337820,142880,542916,3.80,5715,23797,89287,28766,1030
三河市,456882,229788,227094,101.19,425300,2.65,23.94,193876,263006,115642,424770,3.67,6167,19887,66486,27775,1494
衡水市,4156913,2103988,2052925,102.49,4175211,0.10,13.19,827498,3329415,1123044,4011842,3.57,77112,221378,689186,203500,8980
桃城区,422761,212417,210344,100.99,419440,0.28,49.23,248471,174290,116964,381628,3.26,9059,28470,71625,16290,579
枣强县,376990,190924,186066,102.61,379936,0.02,9.71,52414,324576,102901,364074,3.54,7813,21121,64425,16640,715
武邑县,319532,162882,156650,103.98,326542,0.04,8.96,40089,279443,88539,305593,3.45,6320,18959,56010,13090,480
武强县,212158,107858,104300,103.41,213441,0.04,8.87,28699,183459,52858,206661,3.91,2685,7655,31229,13320,654
饶阳县,293413,148493,144920,102.47,291633,0.07,7.95,29832,263581,75283,289680,3.85,4512,12082,43390,18697,1114
安平县,322650,163118,159532,102.25,320069,0.13,7.91,37405,285245,85139,314954,3.70,5477,16389,49424,18290,1036
故城县,451467,228418,223049,102.41,452542,0.11,10.26,68651,382816,116809,440024,3.77,6366,19510,75473,21033,793
景县,489817,248098,241719,102.64,492159,0.13,8.25,52341,437476,132927,478467,3.60,8012,24123,86933,21252,619
阜城县,325742,165689,160053,103.52,331263,0.06,8.81,31952,293790,91107,316201,3.47,6182,18196,60607,11921,383
冀州市,373825,187005,186820,100.10,379830,0.05,10.38,103838,269987,108324,358753,3.31,9718,25238,62998,19438,650
深州市,568558,289086,279472,103.44,568356,0.10,9.44,133806,434752,152193,555807,3.65,10968,29635,87072,33529,1957
,,,,,,,,,,,,,,,,,
山西省,32471242,16800758,15670484,107.21,31857109,0.32,25.53,11431995,21039247,8650261,31448836,3.64,599498,1632322,5457298,1496446,64195
太原市,3344392,1741413,1602979,108.64,3017197,0.72,60.95,2755726,588666,925336,3022987,3.27,77952,212300,574586,135424,3026
