表1    总人口、户籍人口、少数民族人口比重、非农业户口人口比重、城乡人口、家庭户人口、家庭户类别（全部数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,总人口（人）,,,总人口,户籍人口（人）,少数民族人口比重,非农业户口人口比重,城乡人口（人）,,家庭户,,,,家庭户类别（户）,,,
,合计,男,女,性别比,,（%）,（%）,城镇,乡村,户数（户）,人口数（人）,户规模（人/户）,其中：一人户(户),一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,,,,,
利川市,786984,417988,368996,113.28,828443,56.71,8.22,114404,672580,211084,772947,3.66,14764,33699,136719,39643,1023
建始县,510555,266673,243882,109.35,506739,36.31,9.75,50937,459618,139383,499232,3.58,10875,21848,82654,33155,1726
巴东县,485338,256008,229330,111.63,485691,44.03,10.00,69531,415807,140395,475503,3.39,14896,27931,82999,28613,852
宣恩县,335984,176585,159399,110.78,340382,66.40,8.35,33836,302148,89212,326861,3.66,5407,13001,56095,19496,620
咸丰县,363710,192517,171193,112.46,357448,84.95,9.03,49308,314402,103085,355525,3.45,10244,19925,64332,18457,371
来凤县,316707,164156,152551,107.61,311059,52.28,15.23,57416,259291,77477,263728,3.40,7495,16872,46658,13621,326
鹤峰县,220187,115495,104692,110.32,213614,71.06,11.84,34450,185737,62148,206397,3.32,5481,12331,36982,12379,456
省直辖行政单位,4158497,2172446,1986051,109.39,4304832,0.40,17.44,1342683,2815814,998498,3603732,3.61,56712,184008,588545,216615,9330
仙桃市,1474078,774487,699591,110.71,1477233,0.40,14.75,518807,955271,362977,1398038,3.85,14682,53381,224569,81977,3050
潜江市,992438,506290,486148,104.14,1007607,0.40,28.47,372811,619627,253782,938322,3.70,11804,40373,148074,61674,3661
天门市,1613739,849283,764456,111.10,1741711,0.10,12.47,425090,1188649,359891,1192001,3.31,27706,85694,202712,69001,2484
神农架林区,78242,42386,35856,118.21,78281,6.24,30.82,25975,52267,21848,75371,3.45,2520,4560,13190,3963,135
,,,,,,,,,,,,,,,,,
湖南省,63274173,32993704,30280469,108.96,65325313,10.13,19.60,17397837,45876336,17662105,61061446,3.46,1522673,3619011,10455285,3463423,124386
长沙市,6138719,3185555,2953164,107.87,5819249,0.79,31.80,2743826,3394893,1705895,5463265,3.20,175805,441007,929934,324038,10916
芙蓉区,390074,204551,185523,110.26,309893,1.71,66.19,390074,,112259,314975,2.81,14833,42111,58337,11631,180
天心区,396827,203501,193326,105.26,348329,1.75,78.07,396827,,111727,312002,2.79,15249,38435,60604,12505,183
岳麓区,409939,218316,191623,113.93,307009,2.38,68.11,409939,,96712,279376,2.89,11521,32444,53224,10863,181
开福区,423645,213186,210459,101.30,394672,0.96,69.19,423645,,131843,383155,2.91,16303,41128,73641,16804,270
雨花区,502388,259750,242638,107.05,388798,1.66,71.21,502388,,140042,411341,2.94,14964,44544,80759,14521,218
长沙县,774707,403933,370774,108.94,772921,0.58,13.90,127754,646953,215426,717380,3.33,20546,51050,115419,47411,1546
望城县,686349,357495,328854,108.71,701019,0.40,13.57,110917,575432,188531,639874,3.39,16574,42405,103262,41786,1078
宁乡县,1247218,644213,603005,106.83,1284354,0.37,10.32,95766,1151452,366324,1180787,3.22,36187,87472,202373,73904,2575
浏阳市,1307572,680610,626962,108.56,1312254,0.07,9.85,286516,1021056,343031,1224375,3.57,29628,61418,182315,94613,4685
株洲市,3581820,1844915,1736905,106.22,3653222,0.46,25.45,1367609,2214211,994177,3416224,3.44,76721,205772,547992,229620,10793
荷塘区,260835,133726,127109,105.21,210363,1.19,61.84,260835,,77775,226406,2.91,8053,25447,44179,7959,190
芦淞区,226162,113331,112831,100.44,193696,1.21,67.91,226162,,69093,196443,2.84,6900,24364,38015,6578,136
石峰区,272258,144904,127354,113.78,242787,1.53,69.78,272258,,82435,240780,2.92,9295,25206,47959,9049,221
天元区,120741,62096,58645,105.88,98734,0.63,41.47,77847,42894,33766,111046,3.29,2792,8411,19941,5227,187
株洲县,429723,223416,206307,108.29,442163,0.16,11.77,55669,374054,116263,419092,3.60,7649,20344,65276,29327,1316
攸县,679839,348901,330938,105.43,743581,0.06,13.42,126475,553364,187824,664801,3.54,12177,33971,97227,53671,2955
茶陵县,493059,249879,243180,102.75,555857,0.04,12.30,78241,414818,134929,487031,3.61,7489,20526,80528,32658,1217
炎陵县,164807,84535,80272,105.31,173304,1.97,16.21,33694,131113,46311,157940,3.41,3526,8514,27359,10022,416
醴陵市,934396,484127,450269,107.52,992737,0.13,13.76,236428,697968,245781,912685,3.71,18840,38989,127508,75129,4155
湘潭市,2672069,1374428,1297641,105.92,2797398,0.46,27.58,959924,1712145,775025,2556804,3.30,69316,178036,426204,164990,5795
雨湖区,362871,185206,177665,104.24,343782,1.56,79.68,362871,,101142,306745,3.03,9695,28135,57956,14713,338
岳塘区,344912,178413,166499,107.16,325395,0.82,69.02,344912,,103334,314267,3.04,8694,27282,61155,14566,331
湘潭县,1061269,549016,512253,107.18,1134658,0.19,8.73,81786,979483,299052,1047277,3.50,23777,58307,162400,75571,2774
湘乡市,807718,413489,394229,104.89,892014,0.19,12.90,156056,651662,243766,794876,3.26,25230,58784,129761,53198,2023
韶山市,95299,48304,46995,102.79,101549,0.39,15.85,14299,81000,27731,93639,3.38,1920,5528,14932,6942,329
衡阳市,6784891,3583138,3201753,111.91,7074695,0.25,20.01,1811187,4973704,1864647,6552100,3.51,161884,359919,1123180,370514,11034
江东区,177909,90232,87677,102.91,160090,0.91,85.21,177909,,59066,164724,2.79,7016,18631,34075,6240,120
城南区,195001,99827,95174,104.89,185079,0.95,87.57,195001,,57599,161183,2.80,6741,17261,34373,5868,97
城北区,233674,118593,115081,103.05,208243,0.82,89.88,233674,,69599,202929,2.92,7462,19198,42160,8100,141
郊区,219044,114220,104824,108.96,190745,0.37,17.09,150683,68361,61796,211469,3.42,4903,12866,38386,10283,261
南岳区,53423,27350,26073,104.90,52331,0.20,37.62,47551,5872,13110,45328,3.46,1072,2741,7528,2722,119
衡阳县,1087777,576995,510782,112.96,1165354,0.12,11.94,141650,946127,297252,1060248,3.57,27369,58479,172335,64512,1926
衡南县,982217,524034,458183,114.37,1037695,0.12,12.77,127152,855065,259987,958613,3.69,18912,42121,160929,55558,1379
衡山县,381300,197609,183691,107.58,402171,0.10,12.06,47167,334133,100935,372855,3.69,7453,16118,56454,27166,1197
衡东县,594131,307687,286444,107.42,662392,0.13,10.73,77548,516583,172890,585669,3.39,17677,37499,94440,39386,1565
祁东县,884957,466828,418129,111.65,918861,0.23,11.97,145399,739558,257573,872691,3.39,25894,58626,156158,41521,1268
耒阳市,1180235,631431,548804,115.06,1242200,0.15,13.63,254217,926018,305718,1150129,3.76,21703,44785,196354,62880,1699
常宁市,795223,428332,366891,116.75,849534,0.38,17.48,213236,581987,209122,766262,3.66,15682,31594,129988,46278,1262
邵阳市,6963619,3645707,3317912,109.88,7228341,6.17,13.56,1340260,5623359,1933227,6832071,3.53,167869,379075,1197862,345754,10536
双清区,262658,134130,128528,104.36,244321,1.81,58.80,262658,,80434,253349,3.15,9525,21146,48766,10279,243
大祥区,277672,140607,137065,102.58,278547,2.81,52.95,166876,110796,78565,250134,3.18,8771,20874,47826,9646,219
北塔区,67538,34826,32712,106.46,72224,2.72,23.30,29555,37983,19983,66144,3.31,2051,4915,12137,2831,100
邵东县,1139536,596561,542975,109.87,1179591,0.31,10.16,200101,939435,323548,1122067,3.47,35451,71753,189474,60127,2194
新邵县,686810,363061,323749,112.14,720903,0.25,9.79,89865,596945,195051,672665,3.45,19091,41844,119787,32494,926
邵阳县,887378,469719,417659,112.46,951145,0.49,7.59,92157,795221,233948,883712,3.78,17034,41488,150130,41065,1265
隆回县,1056727,558702,498025,112.18,1087722,1.85,7.49,106494,950233,294810,1051213,3.57,25358,51710,190116,51695,1289
洞口县,752581,392409,360172,108.95,790656,1.95,11.96,136942,615639,206845,732300,3.54,12185,35918,129286,40512,1129
