27.各民族人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    地区别,  布依族,  朝鲜族,  满族,    侗一族,  瑶族,  白族,  土家族,  哈尼族,  哈萨克族,,,    地区别,    傣族,    黎族,  傈僳族,    佤族,  畲族,  高山族,  拉祜族,  水族,  东乡族,,,    地区别,  纳西族,  景颇族,柯尔克孜族,    土族,达斡尔族,仫佬族,  羌族,  布朗族,  撒拉族,,,    地区别,  毛难族,  仡佬族,  锡伯族,    阿昌族,  普米族,  塔吉克族,  怒族,乌孜别克族,俄罗斯族,,,    地区别,鄂温克族,崩龙族,保安族,    裕固族,  京族,塔塔尔族,独龙族,鄂伦春族,赫哲族,,,,,,,,外国人加入中
上海市,"    11,859,700","    11,809,894","    1,277","    44,329",    104,    176,    128,    71,    519,,,江苏省,    55,    305,"    2,483",    92,    21,    82,    76,    3,    3,,,江苏省,    12,    31,    5,    1,    24,    68,-,    17,    1,,,江苏省,    25,-,-,    8,    9,    6,    1,-,    3,,,江苏省,    4,    1,    25,-,    3,    2,-,    1,    6,,,江苏省,    4,-,-,-,    3,    2,-,-,    1,,,黑龙江省,-,    1,-,    100,    883
江苏省,"    60,521,113","    60,410,499","    1,770","    104,295",    82,    54,    307,    65,603,,,浙江省,    70,    103,"    1,177",    108,    26,    39,    70,    4,-,,,浙江省,    26,    97,-,    16,"    148,259",    54,-,    21,-,,,浙江省,    116,    1,    2,    11,    12,-,    5,-,-,,,浙江省,    1,-,    5,-,-,-,-,-,    1,,,浙江省,    2,-,-,-,    3,-,-,-,    2,,,上海市,-,-,-,    23,    35
浙江省,"    38,884,593","    38,722,988",    249,"    9,418",    35,    11,    470,    48,"    1,084",,,安徽省,    626,    228,"    1,518",    227,    29,    57,    64,    18,    7,,,安徽省,    23,    33,-,-,"    1,139",    49,    1,    46,    2,,,安徽省,    7,-,-,    8,    18,    5,    11,-,    2,,,安徽省,    6,-,    28,-,-,-,    1,-,    1,,,安徽省,-,-,-,-,    8,-,    4,-,-,,,江苏省,-,-,-,    24,    31
安徽省,"    49,665,947","    49,404,136",    444,"    255,104",    105,    42,    637,    158,"    1,1 00",,,福建省,    139,    55,"    1,915",    171,    239,    14,    37,-,-,,,福建省,    21,    41,-,-,"    210,893",    421,    1,   32,    1,,,福建省,    21,-,-,    5,-,    5,    7,-,-,,,福建省,    2,-,3,-,    1,-,-,-,    3,,,福建省,-,-,-,-,    180,-,    1,-,-,,,浙江省,-,-,-,    19,    40
福建省,"    25,872,917","    25,621,412",    162,"    31,188",    87,    10,"    2,771",    81,"    1,942",,,江西省,    109,    133,"    1,864",    305,    552,    95,    123,    10,-,,,江西省,    31,    76,7,-,7411,    44,    2,    34,-,,,江西省,    1 5,1,-,    11,    7,    8,    9,    1,-,,,江西省,    20,    3,    14,-,-,-,-,-,    1,,,江西省,-,-,-,    3,    3,-,    3,-,-,,,安徽省,    4,-,-,    23,    28
江西省,"    33,185,471","    33,163,337",    456,"    7,954",    39,    7,    710,    82,"    1,908",,,山东省,    219,    939,"    11,633",    531,    65,    122,    109,    21,    2,,,山东省,    13,    19,1,-,    11,    45,-,    30,    7,,,山东省,    16,-,-,    8,    23,    12,-,-,    1,,,山东省,    4,    7,    41,-,    1,-,    2,-,    6,,,山东省,    1,-,-,-,    10,-,-,    3,    3,,,福建省,-,-,-,    59,    997
山东省,"    74,419,152","    74,011,099","    1,445","    389,989",    173,    44,    928,    161,"    1,204",,,河南省,    146,    545,"    22,685",    167,    54,    221,    277,    22,    3,,,河南省,    51,    56,    12,-,    35,    36,    4,    23,    12,,,河南省,    42,    1,-,    47,    33,    6,    10,    2,    1,,,河南省,    1,-,    50,    3,    5,-,    1,-,-,,,河南省,-,-,-,    2,    14,-,-,    1,-,,,江西省,-,-,    1,    67,    15
河南省,"    74,422,573","    73,622,857","    40,848","    730,282",    521,    737,    515,    283,"    1,583",,,湖北省,    702,    652,"    7,061","    21,786",    941,    216,1487758,    9,-,,,湖北省,    19,    475,    6,    1,    482,    49,    7,333,    87,,,湖北省,    72,-,-,    79,    8,    19,    8,-,    1,,,湖北省,    4,    2,    56,-,    19,-,-,-,    1,,,湖北省,    1,    5,-,    1,    62,-,-,    3,    8,,,山东省,-,-,-,    78,    126
湖北省,"    47,808,118","    46,029,384","    3,127","    70,037",    83,    68,"    179,144",    598,"    4,503",,,湖南省,    471,    221,"    2,426","    317,923","    282,877",    155,"    745,056",    45,    3,,,湖南省,    43,"    2,910",    2,    7,    18,    54,    7,    66,    8,,,湖南省,    35,    1,    1,    58,-,    27,    2,    1,    3,,,湖南省,    8,    8,    44,-,    2,    5,-,    3,-,,,湖南省,-,-,-,-,    1 7,-,-,-,-,,,河南省,-,-,    1,    217,    161
湖南省,"    54,010,155","    51,808,894",    540,"    66,953",    95,"    4,450","    761,136","    1,288","    14,116",,,广东省,    237,    154,"    4,377",    780,"    95,779",    155,    343,    31,    1,,,广东省,    154,"    810,849",    14,    13,"    3,206",    64,    49,    48,    1,,,广东省,    7,    1,-,    62,    1,    107,    4,-,    4,,,广东省,    39,    2,    18,-,    2,-,    3,    4,    1,,,广东省,-,-,    1,-,"    1,133",-,    1,    3,-,,,湖北省,    1,-,-,    197,    43
广东省,"    59,299,620","    58,241,581",    506,"    10,891",    388,    12,"    41,419",    145,"    86,513",,,广西壮族自治区,"    6,787",    248,"    2,250","    229,593","    863,809",    151,    244,    22,    1,,,广西壮族自治区,    114,"    1,853",    51,    13,    33,    39,    1,"    4,063",    2,,,广西壮族自治区,    16,    6,-,    55,    40,"    88,840",    13,    4,    3,,,广西壮族自治区,"    37,933",    980,    30,    8,    36,    5,-,    2,-,,,广西壮族自治区,-,    2,    1,    5,"    9,864",    23,    7,    2,-,,,湖南省,    2,-,-,    117,    57
广西壮族自治区,"    36,421,421","    22,485,565",        377,"    19,374",    149,    58,"    337,444","    4,717","    12,323,978",,,四川省,"    4,206",    418,"    7,162",    586,    138,"    3,076","    598,274",    97,    25,,,四川省,"    2,900",    94,"    13,772",    15,    27,    57,    15,    113,    14,,,四川省,"    13,444",    3,    5,    137,    32,    53,"    102,553",    128,    4,,,四川省,    6,    179,    81,    7,    16,    4,    1,-,    6,,,四川省,    5,    3,    3,-,    16,-,3,-,    4,,,广东省,        3,-,    2,    87,    425
四川省,"    99,713,246","    96,051,716","    14,560","    91,092","    921,984",    57,"    355,335","    1,526,707","    2,976",,,贵州省,"    2,098,852",    167,"    10,367","    851,119","    19,398","    4,858","    1,625",    34,-,,,贵州省,    137,"    70,018",    9 7,    10,    37,    345,    12,"    275,680",    291,,,贵州省,    194,    56,-,"    13,509",-,"    1,142",    12,    1,    15,,,贵州省,    58,"    51,521",    64,    5,    4,    3,    2,-,-,,,贵州省,-,    10,    1,    1,"    1,424",-,    12,-,    3,,,广西壮族自治区,-,    4,-,"    1,907",    699
贵州省,"    28,552,942","    21,129,487",    719,"    98,452",    205,    22,"    2,582,587","    564,556","    27,691",,,云南省,"    4,982",    96,"    3,101",    738,"    147,147","    1,121,299",    797,"    1,058,386",-,,,云南省,"    835,761",    266,"    467,869","    298,516",    59,    22,"    304,131","    6,126",    5,,,云南省,"    236,326","    92,876",-,"    2,888",    5,    19,    6,"    58,328",    6,,,云南省,    6,"    1,446",    13,"    20,404","    24,141",-,"    22,837",-,-,,,云南省,-,"    12,274",-,    2,    287,-,"    4,599",-,    4,,,四川省,    8,-,    1,"    1,100",    28
云南省,"    32,553,699","    22,231,575","    6,211","    437,933","    95,925",    13,    752，122,"    3,352,732","    894,408",,,西藏自治区,    22,    19,    92,    16,    3,    41,    21,    1,    5,,,西藏自治区,    4,-,    1,-,-,    1,    2,    1,-,,,西藏自治区,    842,-,-,    61,-,-,    1,-,-,,,西藏自治区,-,-,    2,-,    1,-,    44,-,-,,,西藏自治区,-,-,-,    2,-,-,    1,-,-,,,贵州省,    12,    32,-,"    748,080",    15
西藏自治区,"    1,863,623","    91,384",    1 12,"    1,772","  1,764,600",    2,    62,    37,    59,,,陕西省,    89,    643,"    8,443",    197,    52,    156,    200,    3,    10,,,陕西省,    12,    12,-,-,    15,    12,-,    3,    13,,,陕西省,    29,-,    3,    35,    19,    2,    9,-,    9,,,陕西省,    6,    1,    124,-,-,    1,-,    3,    6,,,陕西省,    4,-,-,    5,    6,    1,-,-,-,,,云南省,-,    3,"    11,954","    44,980",    75
陕西省,"    28,904,369","    28,771,254","    1,741","    118,528","    1,120",    84,    292,    70,"    1,133",,,甘肃省,    71,    415,"    8,511",    82,    23,    83,    80,    3,"    2,366",,,甘肃省,    5,    4,    3,    1,    9,    8,-,    11,"    237,879",,,甘肃省,    15,-,    4,"    12,578",    10,    4,    19,-,5117,,,甘肃省,    5,-,    102,-,-,    1,-,-,    16,,,甘肃省,-,-,"    8,322","    10,227",    1,-,-,-,    1,,,西藏自治区,"    1,094","    1,014",-,"    2,291",    13
甘肃省,"    19,569,191","    18,013,975","    6,197","    957,170","    304,573",    377,    170,    54,    667,,,青海省,    46,    245,"    3,034",    42,    56,    66,    62,-,"    1,495",,,青海省,    3,    5,-,-,    11,    8,-,    14,    651,,,青海省,    15,    2,-,"    129,194",    12,    5,    16,-,"    60,981",,,青海省,-,-,    27,-,-,-,-,-,    5,,,青海省,-,-,    377,    74,    1,-,-,-,-,,,陕西省,    6,    1,-,    12,    5
青海省,"    3,895,695","    2,359,909","    50,454","    533,859","    753,897",    136,    141,    70,    770,,,宁夏回族自治区,    30,    187,"    7,120",    46,    13,    9,    98,-,    4,,,宁夏回族自治区,    1,    2,-,-,    12,    2,-,-,    129,,,宁夏回族自治区,    5,-,-,    59,-,-,-,-,    9,,,宁夏回族自治区,    9,-,    31,-,-,-,-,-,    1,,,宁夏回族自治区,-,-,    10,    10,    1,-,-,-,    3,,,甘肃省,    2,-,-,    14,    16
宁夏回族自治区,"    3,895,576","    2,651,336",    863,"    1,235,182",    47,    21,    70,    18,    246,,,新疆维吾尔自治区,    320,    439,"    9,182",    433,    167,    163,    513,    6,"    903,337",,,新疆维吾尔自治区,    2,    13,    5,-,    64,    33,-,    36,"    40,346",,,新疆维吾尔自治区,    26,    7,"    112,366",    430,"    4,359",    28,    26,-,"    2,933",,,新疆维吾尔自治区,    11,-,"    27,377",-,    6,"    26,573",-,"    12,188","    2,663",,,新疆维吾尔自治区,    11,-,    283,    179,    14,"    4,078",    1,    2,    1,,,青海省,-,-,-,    6,    6
新疆维吾尔自治区,"    13,081,538","    5,283,971","    117,510","    567,689","    1,967","    5,955,947",    981,    172,"    4,453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宁夏回族自治区,-,-,-,    2,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新疆维吾尔自治区,-,    4,-,    36,    187
