31.各少数民族人口的行业状况,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,住宅管理、公,,,,,,
,,,,电力、煤气、,,,,,商业、饮食业、,,,    民族别,用事业管理和,卫生、体育和,教育、文化,    科学研究和综,,国家机关、政,其它行业
,,农、牧、,矿业及木,,,地质勘探,,交通运输、,,,,,,社会福利事业,艺术事业,    合技术服务事业,金融、保险业,党和群众团体,
    民族别,  合计,,,自来水的生产,    制造业,,建筑业,,物资供销,,,,居民服务业,,,,,,
    民族别,    合计,,,自来水的生产,    制造业,,建筑业,,物资供销,,,,,社会福利事业,艺术事业,合技术服务事业,,党和群众团体,
,,林、渔业,材采运业,,,和普查业,,邮电通信业,,,,,居民服务业,,,,,,
,,,,和供应业,,,,,及仓储业,,,(续)仫佬族,    76,    194,    874,    23,    62,    552,    23
(续)仫佬族,"    43,809","    38,309",    719,    88,"    1,341",    41,    255,    332,    920,,,羌族,    43,    359,"    1,212",    41,    90,    966,    16
羌族,"    44,937","    40,558",    181,    1 02,    537,    10,    67,    206,    549,,,布朗族,    2,    56,    240,    5,    29,    211,    2
布朗族,"    30,354","    29,247",    37,    32,    192,    3,    40,    90,    168,,,撒拉族,    21,    93,    510,    7,    33,    481,    30
撒拉族,"    30,378","    28,037",    94,    38,    313,    12,    191,    189,    329,,,毛难族,    18,    97,    451,    19,    28,    253,    6
毛难族,"    18,999","    16,826",    253,    41,    439,    42,    88,    180,    258,,,仡佬族,    8,    46,    336,    1,    24,    198,    9
仡佬族,"    25,110","    23,945",    1 61,    20,    160,    10,    50,    40,    102,,,锡伯族,    221,    614,"    2,197",    189,    142,"    1,375",    56
锡伯族,"    35,717","    21,041",        565,    182,"    5,465",    88,"    1,020",    792,"    1,770",,,阿昌族,-,    31,    122,    5,    19,    124,    3
阿昌族,"    10,000","    9,453",    22,    13,    67,    2,    29,    42,    68,,,普米族,    2,    54,    193,    3,    27,    151,    3
普米族,"    11,929","    11,107",    71,    21,    100,    5,    18,    66,    108,,,塔吉克族,    8,149,    416,    5,    53,    496,    37
塔吉克族,"    13,044","    11,491",    18,    12,    73,-,    9,    109,    168,,,怒族,    7,    88,    237,    7,    28,    149,    2
怒族,"    11,805","    10,859",    20,    12,    82,    2,    45,    166,    101,,,乌孜别克族,    83,    160,    439,    6,    32,    207,    11
乌孜别克族,"    4,296","    1,510",    43,    37,    773,    10,    188,    120,    677,,,俄罗斯族,    27,    56,    140,    10,    5,    46,    1
俄罗斯族,"    1,127",    187,    39,    31,    329,    7,    74,    72,    103,,,鄂温克族,    34,    246,    500,    34,    77,    693,    6
鄂温克族,"    6,779","    4,209",    68,    12,    275,    6,    104,    86,    429,,,崩龙族,    3,18,    47,    2,    5,    50,-
崩龙族,"    6,115","    5,867",    20,    1,    38,-,    11,    16,    37,,,保安族,    2,    9,    39,    1,    7,    74,    3
保安族,"    4,634",4344,    30,    5,    39,    1,    22,    13,    45,,,裕固族,    6,    52,    11 1,    1,    27,    204,    6
裕固族,"    4,691","    4,013",    17,    7,    90,    2,    13,    49,    93,,,京族,    17,    41,    134,    19,    6,    113,-
京族,"    6,693","    5,610",    146,    21,    259,    16,    86,    55,    170,,,塔塔尔族,    6,    63,    194,    9,    9,    97,    1
塔塔尔族,"    1,397",    656,    36,    4,    112,    13,    27,    63,    107,,,独龙族,    1,    31,    51,    3,    6,    52,-
独龙族,"    2,396","    2,140",    8,    3,    17,-,    12,    45,    27,,,鄂伦春族,    34,    67,    117,    5,    10,    223,    4
鄂伦春族,"    1,466",    743,    24,    3,    66,-,    17,    29,    124,,,赫哲族,    6,    24,    52,    2,    13,    60,-
赫哲族,    559,    250,    3,    7,    44,    1,    14,    41,    42,,,门巴族,    5,    26,    24,    1,    2,    70,-
门巴族,    664,    484,    1,    7,    16,    1,    7,    9,    11,,,珞巴族,-,    20,    9,    1,-,    40,-
珞巴族,    574,    480,    1,    1,    5,-,    2,    8,    7,,,基诺族,-,    32,    99,    8,    12,    60,    1
基诺族,"    5,785","    5,289",    15,    4,    91,-,    65,    32,    77,,,其他,    60,    815,"    4,445",    49,    348,"    2,509",    31
其他,"    373,978","    358,103","    2,241",    307,"    1,917",    53,    534,    691,"    1,875",,,外国人加入中国籍(入籍),    23,    70,    133,    17,    3,    30,    2
外国人加入中国籍(入籍),"    1,836",    887,    46,    10,    387,    7,    54,    32,    135,,,,,,,,,,
