32.各少数民族人口的职业状况,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
  男,"    1,432,699","    44,528","    17,381","    13,353","    6,688","    4,969","    1,298,597","    46,973",    210
  女,"    1,356,559","    9,198","    1,260","    1,538","    2,705","    3,480","    1,329,119","    9,168",    91
壮族,"    6,757,462",197093,    51，668,"    50,127","    46,753","    44,305","    6,119,1 55","    246,897","    1,464"
  男,"    3,463,361","    155,614","    48,797","    44,905","    26,894","    21,376","    2,981,570","    183,279",    926
  女,"    3,294,101","    41,479","    2,871","    5,222","    19,859","    22,929","    3,137,585","    63,618",    538
布依族,1064167,22363,"    7,216","    5,651","    3,493","    2,884","    1,001,786","    20,523",    251
  男,"    540,969","    17,660",6678,"    4,982","    2,143","    1,562","    491,219","    16,544",    181
  女,"    523,198",4703,    538,    669,"    1,350","    1,322","    510,567","    3,979",    70
朝鲜族,"    918,673","    93,724","    27,540","    19,751",    25，082,"    30,894","    529,063","    191,268","    1,351"
  男,"    499,729","    52,399","    24,874","    15,467","    10,011","    10,120","    271,128","    115,032",    698
  女,"    418,944","    41,325","    2,666","    4,284","    15,071","    20,774","    257,935","    76,236",    653
满族,"    1,945,509","    162,320","    51,169","    37,964","    49,075","    63,925","    1,131,238","    446,994","    2,824"
  男,"    1,294,019","    91,803","    44,946","    26,868","    25,199","    34,949","    759,121","    309,670","    1,463"
  女,"    651,490","    70,517","    6,223","    11,096","    23,876","    28,976","    372,117","    137,324","    1,361"
侗族,"    738,884","    18,149","    5,795","   4,481","    3,196","    2,637","    687,458","    16,997",    171
  男,"    398,747","    14,716","    5,431","    3,896","    1,963","    1,141","    357,752","    13,726",    122
  女,"    340,137","    3,433",    364,    585,"    1,233","    1,496","    329,706","    3,271",    49
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,国家机关、党,,,,,,
,,各类专业、,,办事人员和,    商业工作,  服、务性,  农林牧渔,生产工人、运输,不便分类的
    民族别,    合计,,群组织、企事,,,,,,
,,技术人员,,有关人员,    人员,  工作人员,  劳动者,工人和有关人员,其它劳动者
,,,业单位负责人,,,,,,
(续)瑶族,"    714,851","    1 4,028","    3,581","    3,875","    2,082","    1,829","    677,823","    11,545",    88
  男,"    377,942","    11,312","    3,336","    3,519","    1,403","    1,031","    347,736","    9,542",    63
  女,"    336,909","    2,716",    245,    356,    679,    798,"    330,087","    2,003",    25
白族,"    568,848","    23,806","    7,1 52","    6,144","    4,255","    4,905","    475,752","    46,725",    109
  男,"    287,570","    1 7,825","    6,783",    5，265,"    2,483","    2,273","    214,835","    38,032",    74
  女,"    281,278","    5,981",369,    879,"    1,772","    2,632","    260,917","    8,693",    35
土家族,"    1,492，121","    43,316",11369,"    7,996","    8,552","    8,478","    1,362,464","    49,658",    288
  男,"    806,536","    33,464","    10,616","    6,837","    4,998","    4,666","    705,291","    40,506",    158
  女,"    685,585","    9,852",    753,"    1,1 59","     3,554","    3,812","    657,173","    9,152",    130
哈尼族,    532，647,"    8,301","    2,052","    2,756","    1,598","    1,538","    507,787","    8,545",    70
  男,"    274,023","    6,840","    1,967","    2,518","    1,106",    818,"    253,827",6893,    54
  女,"    258,624","    1,461",    85,    238,    492,    720,253960,"    1,652",    16
哈萨克族,"    294,923","    32,889","    5,821","    5,809","    3,816","    4,812","    219,752","    21,925",    99
  男,"    199,920",    24，247,5568,"    5,008","    2,429","    2,675","    142,901","    1 7,023",    69
  女,"    95,003","    8,642",    253,    801,"    1,387","    2,137","    76,851","    4,902",    30
傣族,"    454,707","    9,308","    1,775","    2,441","    1,668","    1,473","    427,786","    10,214",    42
  男,"    231,207","    6,543","    1,599",    2，045,    832,    497,"    211,441","    8,225",    25
  女,"    223,500","    2,765",    176,    396,    836,    976,"    216,345","    1,989",    17
黎族,"    405,375","    11,272","    2,61 5",    2，699,"    2,243","    1,770","    376,442","    8,225",    109
  男,"    204,582","    9,252","    2,442","    2,343","    1,321",    588,"    182,267","    6,283",    86
  女,"    200,793",    2，020,    173,    356,    922,"    1,182","    194,175","    1,942",    23
僳僳族,"    251,161","    3,616",    850,"    1,310",    651,    492,"    240,597","    3,628",    1 7
  男,"    128,018","   3,083",    789,"    1,203",    493,    294,"    118,906","    3,238",    12
  女,"    123,143",    533,    61,    107,    158,    198,"    121,691",    390,    5
佤族,"    157,029","    2,654",    601,    807,    460,    351,"    148,121","    4,034",    1
  男,"    79,176","    2,109",    553,    739,    319,    1 79,"    71,737",3540,    -
  女,"    77,853",    545,    48,    68,    141,    172,"    76,384",    494,    1
畲族,"    162,377","    3,875","    1,039",    930,"    1,067","    1,082","    144,566","    9,745",    73
  男,"    112,344","    2,800",    976,    807,    769,    689,"    98,519","    7,729",    55
  女,"    50,033","    1,075",    63,123,    298,    393,"    46,047","    2,016",    18
高山族,    902,    112,    44,    45,    32,    51,    320,    291,    7
  男,    520,    66,    40,    27,    1 4,    28,    150,    190,    5
  女,    382,    46,    4,    18,    18,    23,    170,    101,    2
拉祜族,"    165,406","    1,451",    264,    470,    350,    320,"    160,338","    2,205",    8
  男,"    84,298",    968,    239,    399,    226,    126,"    80,606","    1,730",    4
  女,"    81,108",    483,    25,    71,    124,    194,"    79,732",    475,    4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,国家机关、党,,,,,,
,,各类专业、,,办事人员和,    商业工作,  服务性,  农林牧渔,生产工人、运输,不便分类的
    民族别,    合计,,群组织、企事,,,,,,
,,技术人员,,有关人员,    人员,  工作人员,  劳动者,工人和有关人员,其它劳动者
,,,业单位负责人,,,,,,
(续)水族,"    143,807","    2,230",    749,    620,    345,    373,"    137,170","    2,299",    21
  男,"    74,147","    1,825",    699,    547,    201,    235,"    68,760","    1,864",    16
  女,"    69,660",    405,    50,    73,    144,    138,"    68,410",    435,    5
东乡族,142191,"    1,343",    396,    324,    249,    416,"    137,750","    1,710",    3
  男,"    75,810","    1,272",    382,    298,    200,    332,"    71,832","    1,493",    1
  女,"    66,381",    71,    14,    26,    49,    84,"    65,918",    217,    2
纳西族,"    133,640",6901,"    2,453","    2,260","    1,565","    1,912","    107,572","    10,952",    25
  男,"    68,269","    4,938","    2,287","    1,924",    729,    468,"    50,576","    7,333",    14
  女,"    65,371","    1,963",    166,    336,    836,"    1,444","    56,996","    3,619",    11
景颇族,"    43,768","    1,266",    286,    409,    314,    143,"    40,479",    870,    1
  男,"    21,163",    784,    246,    332,    129,    30,"    19,016",    626,    -
  女,"    22,605",482,    40,    77,    185,113,"    21,463",    244,    1
柯尔克孜族,"    48,468","    3,398",    766,    838,    318,    452,"    40,675","    1,998",    23
  男,"    27,204","    2,630",    714,    717,    222,    274,"    21,080","    1,551",    16
  女,"    21,264",    768,    52,    121,    96,    178,"    19,595",    447,    7
土族,"    73,768","    2,829",    585,    694,    308,    409,"    66,320","    2,603",    20
  男,"    39,777","    2,382",    561,    616,    236,    288,"    33,473","    2,210",    11
  女,"    33,991",    447,    24,    78,    72,    121,"    32,847",    393,    9
达斡尔族,"    33,633","    5,515","    1,872","    1,957","    1,288","    1,484","    15,289","    6,172",    56
  男,"    23,099","    2,404","    1,557","    1,308",    524,    792,"    11,899","    4,583",    32
  女,"    10,534","    3,111",    315,    649,    764,    692,"    3,390","    1,589",    24
仫佬族,"    43,809","    1,366",    429,    448,    480,    561,"    38,188","    2,324",13
  男,"    23,039",    944,    395,    376,    228,    256,"    19,111","    1,722",    7
  女,"    20,770",    422,    34,    72,    252,    305,"    19,077",    602,    6
羌族,"    44,937","    2,124",    671,    465,    209,    295,"    39,569","    1,575",    29
  男,"    23,703","    1,629",    592,    385,    103,    154,19544,"    1,276",    20
  女,"    21,234",    495,    79,    80,    106,    141,"    20,025",    299,    9
布朗族,"    30,354",    374,    89,    136,    86,    68,"    29,163",    437,    1
  男,"    15,623",    303,    82,    123,    55,    34,"    14,648",    378,    -
  女,"    14,731",    71,    7,    13,    31,    34,"    14,515",    59,    1
撒拉族,"    30,378",    967,    218,    248,    234,    201,"    27,537",    968,    5
  男,"    15,825",    846,    215,    216,    1 76,    123,"    13,446",    801,    2
  女,"    14,553",    121,    3,    32,    58,    78,"    14,091",    167,    3
毛难族,"    18,999",    715,    217,    202,    132,    128,"    16,732",    868,    5
  男,"    9,936",    565,    198,    1 75,    91,    46,"    8,189",    668,    4
  女,"    9,063",    150,    19,    27,    41,    82,"    8,543",    200,    1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,国家机关、党,,,,,,
,,各类专业、,,办事人员和,  商业工作,  服务性,  农林牧渔,生产工人、运输,不便分类的
    民族别,  合计,,群组织、企事,,,,,,
,,技术人员,,有关人员,    人员,  工作人员,  劳动者,工人和有关人员,其它劳动者
,,,业单位负责人,,,,,,
(续)仡佬族,"    25,110",    449,    154,    95,    56,    42,"    23,888",    414,    12
  男,"    13,551",    354,    141,    80,    40,    21,"    12,539",    369,    7
  女,"    11,559",    95,    13,    15,    16,    21,"    11,349",    45,    5
锡伯族,"    35,717","    4,347","    1,061","    1,042",    928,    989,"    19,395","    7,906",    49
  男,"    23,096","    2,314",    951,    746,        490,    516,"    12,566","    5,484",    29
  女,"    12,621","    2,033",    110,    296,    438,    473,"    6,829","    2,422",    20
阿昌族,"    10,000",    214,    59,    60,    45,    22,"    9,422",    176,    2
  男,"    5,066",    174,    53,    54,    30,    11,"    4,581",    161,    2
  女,"    4,934",    40,    6,    6,    15,    11,"    4,841",    15,-
普米族,"    11,929",    345,    73,    104,    47,    39,"    11,064",    257,-
  男,"    6,181",    292,    68,    92,    33,    19,"    5,440",    237,-
  女,"    5,748",    53,    5,    12,    14,    20,"    5,624",    20,-
塔吉克族,"    13,044",    756,    210,    266,    75,    87,"    11,309",    338,    3
  男,"    6,848",    626,    204,    253,    65,    75,"    5,310",    312,    3
  女,"    6,196",    130,    6,    13,    10,    12,"    5,999",    26,-
怒族,"    11,805",    367,    70,    135,    45,    59,"    10,810",    315,    4
  男,6088,    266,    66,    126,    30,    33,"    5,279",    284,    4
  女,"    5,717",    1 01,    4,    9,    15,    26,"    5,531",    31,-
乌孜别克族,"    4,296",    742,    134,    159,    467,    274,"    1,351","    1,165",    4
  男,"    3,013",    382,    118,    115,    365,    214,    957,    860,    2
  女,"    1,283",    360,    16,    44,    102,    60,    394,    305,    2
俄罗斯族,"    1,127",    248,    16,    47,    61,    97,    133,    519,    6
  男,    548,    64,    14,    18,    14,    27,    69,    337,    5
  女,    579,    184,    2,    29,    47,    70,    64,    182,    1
鄂温克族,"    6,779",    968,    326,    356,    227,    209,"    4,037",    646,    10
  男,"    4,285",    380,    273,    246,    99,    107,"    2,663",    513,    4
  女,"    2,494",    588,    53,    110,    128,    102,"    1,374",    133,    6
崩龙族,"    6,115",    104,    17,    27,    23,    13,"    5,838",    92,    1
  男,"    3,182",    83,    17,    23,    17,    5,"    2,961",    75,    1
  女,"    2,933",    21,-,    4,    6,    8,2877,    17,-
保安族,"    4,634",    73,    54,    28,    24,    24,"    4,322",    108,    1
  男,"    2,400",    62,    51,    26,    16,    12,"    2,148",    84,    1
  女,"    2,234",    11,    3,    2,    8,    12,"    2,174",    24,-
裕固族,"    4,691",    316,    131,    110,    53,    37,"    3,759",    280,    5
  男,"    2,542",    219,    127,    87,    34,    14,"    1,844",    214,    3
  女,"    2,149",    97,    4,    23,    19,    23,"    1,915",    66,    2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,国家机关、党,,,,,,
,,各类专业、,,办事人员和,    商业工作,  服务性,  农林牧渔,生产工人、运输,不便分类的
    民族别,    合计,,群组织、企事,,,,,,
,,技术人员,,有关人员,    人员,  工作人员,  劳动者,工人和有关人员,其它劳动者
,,,业单位负责人,,,,,,
(续),,,,,,,,,
京族,"    6,693",    240,    76,    92,    106,    131,"    5,494",    549,    5
  男,"    3,116",    149,    70,    83,    55,    35,"    2,339",    380,    5
  女,"    3,577",    91,    6,    9,    51,    96,"    3,155",    169,-
塔塔尔族,"    1,397",    329,    61,    59,    73,    62,    539,    270,    4
  男,    927,    180,    52,    30,    32,    43,    369,    218,    3
  女,    470,    149,    9,    29,    41,    19,    1 70,    52,    1
独龙族,"    2,396",    91,    20,    50,    17,    15,"    2,116",    86,    1
  男,"    1,192",    59,    18,    40,    8,    12,    980,    74,    1
  女,"    1,204",    32,    2,    10,    9,    3,"    1,136",    12,-
鄂伦春族,"    1,466",    223,    96,    121,    82,    66,    684,    194,-
  男,    981,    72,    66,    85,    30,    22,    557,    149,-
  女,    485,    151,    30,    36,    52,    44,    127,    45,-
赫哲族,    559,    109,    35,    47,    22,    43,    200,    102,    1
  男,    363,    41,    27,    33,    8,    16,    161,    76,    1
  女,    196,    68,    8,    14,    14,    27,    39,    26,-
门巴族,    664,    57,    36,    39,    5,    13,    455,    57,    2
  男,    349,    26,    29,    29,    2,    5,    212,    45,    1
  女,    315,    31,    7,    10,    3,    8,    243,    12,    1
珞巴族,    574,    24,    4,    33,    3,    6,    475,    27,    2
  男,    277,    5,    4,    23,    1,    3,    220,    20,    1
  女,    297,    19,-,    10,    2,    3,    255,    7,    1
基诺族,"    5,785",    140,    29,    63,    32,    37,"    5,212",    271,    1
  男,"    3,052",    111,    25,    57,    20,    18,"    2,609",    211,    1
  女,"    2,733",    29,    4,    6,    12,    19,"    2,603",    60,-
其它,"    373,978","    6,428","    1,891",1279,"    1,082",    678,"    357,190","    5,373",    57
  男,"    194,522","    5,353","    1,796","    1,126",    751,    450,"    180,317","    4,691",    38
  女,"    179,456","    1,075",    95,    153,    331,    228,"    1 76,873",    682,    19
外国人加入中国籍(入籍),"    1,836",    274,    43,    35,    78,    131,    819,    453,    3
  男,    713,    69,    23,    16,    21,    33,    307,    243,    1
  女,1123,    205,    20,    19,    57,    98,    512,    210,    2
