32.各少数民族人口的职业状况,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,国家机关、党,,,,,,
,,各类专业、,,办事人员和,  商业工作,  服务性,  农林牧渔,生产工人、运输,不便分类的
    民族别,    合计,,群组织、企事,,,,,,
,,技术人员,,有关人员,    人员,  工作人员,  劳动者,工人和有关人员,其它劳动者
,,,业单位负责人,,,,,,
总计,"    33,088,072","    1,319,128","    377,176","    337,803","    380,682","    426,855","    27,733,593","    2,495,258","    17,577"
  男,"    1 7,858,265","    885,884","    339,690","    269,445","    205,021","    221,337","    14,202,401","    1,724,187","    10,300"
  女,"    15,229,807","    433,244","    37,486","    68,358","    175,661","    205,518","    13,531,192","    771,071","    7,277"
蒙古族,"    1,369，288","    129,569","    37,254","    35,483","    24,200","    29,709","    972,729","    138,165","    2,179"
  男,"    868,359","    77,785","    33,323","    25,658","    11,672","    16,972","    601,907","    99,757","    1,285"
  女,"    500,929","    51,784","    3,931","    9,825","    12,528","    12,737","    370,822","    38,408",    894
回族,"    3,596,996","    204,184","    62,525","    62,618","    126,364","    146,551","    2,182,982","    806,085","    5,687"
  男,"    1,969,940","    110,303","    52,192","    43,426","    61,749","    72,857","    1,130,693","    495,574","    3,146"
  女,"    1,627,056","    93,881","    10,333","    19,192","    64,615","    73,694","    1,052,289","    310,511","    2,541"
藏族,"    1,952,849","    70,094","    24,756","    19,484","    7,556","    12,095","    1,730，825","    87,511",    528
  男,"    976,628","    53,910","    21,603","    15,789","    4,509","    6,180","    809,796","    64,523",    318
  女,"    976,221","    16,184","    3,153","    3,695","    3,047","    5,915","    921,029",22988,    210
维吾尔族,"    2,933,501","    122,318","    26,001","    27,607","    42,085","    41,481","    2,463,647","    209,272","    1,090"
  男,"    1,614,020","    79,953","    24,280","    23,698","    28,003","    28,650","    1,269,786","    158,856",        794
  女,"    1,319,481",42365,"    1,721","    3,909","    14,082","    12,831","    1,193,861","    50,416",    296
苗族,"    2,502,791","    45,088","    14,121","    11,616","    7,632","    7,308","    2,370,290","    46,291",    445
  男,"    1,313,771","    36,901","    13,156","    10,288","    4,742","    3,974","    1,206,614","        37,780",    316
  女,"    1,189,020","    8,187",    965,"    1,328","    2,890","    3,334","    1,163,676","    8,511",    129
彝族,"    2,789,258","    53,726","    18,641","    14,891","    9,393","    8,449","    2,627,716","    56,141",    301
