28.各少数民族人口年龄状况,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,    民族别,4 5—4 9岁,5 0-5 4岁,5 5—5 9岁,    6 0—6 4岁,6 5—9 9岁,1 0 0岁及以上,  不详
羌族,"    102,815","    45,534","    11,449","    5,936","    7,851","    6,181","    5,611","    5,638",,,(续)仫佬族,"    4,039","    3,508","    2,103","    1,872","    4,628",-,-
布朗族,"    58,473","    24,065","    6,786","    4,819","    4,190","    3,381","    2,710",    2，351,,,羌族,"    2,269","    3,064","    2,916",2526,"    3,839",-,    1
撒拉族,"    69,135","    32,482","    7,983","    3,967","    4,581","    4,007","    3,532","    2,939",,,布朗族,"    2,409","    2,195","    1,782","    1,469","    2,312",    4,-
毛难族,"    38,159","    15,299","    5,087","    2,436","    2,762","    2,180","    1,855",1703,,,撒拉族,"    2,452",2088,"    1,568","    1,360","    2,176",-,-
仡佬族,"    54,164","    24,658","    6,296","    2,869","    3,959","    2,633","    2,523","    2,382",,,毛难族,"    1,631","    1,548","    1,040",    886,"    1,732",-,-
锡伯族,"    83,683","    31,45 5","    11,482","    7,317","    8,022","    5,814","    3,757","    3,346",,,仡佬族,"    2,015","    1,870","    1,268","    1,202","    2,487",    2,-
阿昌族,"    20,433","    8,376","    2,395","    1,926","    1,467","    1,053",    921,    734,,,锡伯族,"    2,894",2458,"    2,041","    1,646","    3,451",-,-
普米族,"    24,238","    10,048","    2,909","    1,412","    1,586","    1,358","    1,293","    1,103",,,阿昌族,    745,    694,    620,    578,    924,-,-
塔吉克族,"    26,600","    11,128","    2,433","    2,258","    1,906","    1,440","    1,418","    1,230",,,普米族,"    1,180",    943,    698,    638,"    1,069",-,    1
怒族,"    22,896","    9,785","    2,594","    1,651",1503,"    1,205","    1,123","    1,030",,,塔吉克族,"    1,123",    889,    731,    626,"    1,399",    18,    1
乌孜别克族,"    12,213","    4,922","    1,541","    1,100",    926,    725,    625,    592,,,怒族,"    1,015",    785,    612,    611,    979,    3,-
俄罗斯族,"    2,917",    892,    365,    233,    206,    155,    148,    184,,,乌孜别克族,    400,    367,    284,    243,    488,-,-
鄂温克族,"    19,398","    8,472","    2,887","    1,950","    1,493",    924,    603,    711,,,俄罗斯族,    161,    128,    110,    57,    278,-,-
崩龙族,"    12,297","    5,11 4","    1,448","    1,205",    877,    651,    498,    460,,,鄂温克族,    729,    541,    379,    234,    475,-,-
保安族,"    9,017","    3,345","    1,241",    669,    661,    579,    548,    475,,,崩龙族,    438,    400,    371,    320,    51 4,    1,-
裕固族,"    10,568","    4,466","    1,530",    627,    855,    635,    548,    470,,,保安族,    396,    339,    230,    219,    315,-,-
京族,"    13,108","    4,786","    1,683",    930,"    1,063",    875,    746,    682,,,裕固族,    375,    305,    265,    203,    289,-,-
塔塔尔族,"    4,122","    1,848",    486,    335,    296,    203,    196,    198,,,京族,    564,    477,332,    308,    662,-,-
独龙族,4633,"    1,910",    522,    360,    293,    324,    248,    230,,,塔塔尔族,    145,    115,    81,    77,    142,-,-
鄂伦春族,"    4,103","    1,715",    577,    416,    312,    260,    178,    181,,,独龙族,    211,    126,    76,    111,    220,    2,-
赫哲族,"    1,489",    586,    203,    147,    117,    90,    65,    63,,,鄂伦春族,    148,    138,    76,    51,    51,-,-
门巴族,"    1,140",    382,    138,    103,    79,    70,    67,    68,,,赫哲族,    56,    57,    45,    20,    40,-,-
珞巴族,"    1,066",    395,    105,    99,    54,    81,    68,    62,,,门巴族,    68,    47,    37,    30,    51,-,-
基诺族,"    11,962","    4,659","    1,510",    944,    837,    784,    552,    515,,,珞巴族,    50,    50,    26,    22,    54,-,-
其他,"    799,705","    360,351","    93,385","    40,547","    60,541","    42,013","    37,764","    35,409",,,基诺族,    527,    455,    374,    303,    498,    4,-
外国人加入中国籍(入籍),"    4,937",    354,    166,    124,    96,    104,    274,    466,,,其他,"    29,330","    27,183","    19,449","    17,064","    36,666",    3,-
,,,,,,,,,,,外国人加入中国籍(入籍),    431,    511,    658,    534,"    1,219",-,-
