65.各种职业人口的文化程度,,,,,,,
,,,,,,,
,,,,,,,
    职业别,    合计,大学毕业,大学肄业,    高中,    初中,    小学,文盲、半文盲
  14.锻工、工具制造工、机床安装操作工,"    6,529,387","    9,171","    5,726","    1,578,983","    2,968,994","    1,701,259","    265,254"
  15.机器装配工和精密仪器制造工,"    3,937,884","    9,81 7","    4,557","    988,705","    1,815,557","    1,016,156","    103,092"
  16.电气、电子没备安装工、修理工、装配,,,,,,,
    工和育关人员,"    4,201,379",    19，046,"    6,872","    1,254,754","    1,895,732","    941,462","    83,513"
  17.广播电台(站)录音设备操作人员和电,,,,,,,
    影放映员,"    279,920","    1,509",    269,"    111,481","    128,464","    37,137","    1,060"
  18.管工、焊工、冷作工和金属构件安装工,"    3,01 4,886",2638,"    1,662","    636,848","    1,388,870","    860,571","    124,297"
  19.玻璃、陶瓷和搪瓷制品工人,"    908,665",    412,200,"    165,036","    366,067","    296,612","      80,338"
  20.油漆工人,"    879,461",    487,    410,"    1 73,850","    380,340","    265,200","    59,1 74"
  21．其他生产工人和有关人员,"    4,906,521","    1,1 70",    807,"    591,217","    1,756,949","    1,885,373","    671,005"
  22．建筑工人,"    6,824,042","    2,157","    1,375","    933,933","    2,776,825","    2,500,784","    608,968"
  23.动力设备操作工,"    1,727,964","    2,760","    1,129","    378,750","    720,269","    537,382","    87,674"
  24.装卸工和有关设备操作工,"    3,651,646",1752,"    1,1 54","    590,885","    1,440,779","    1,186,571","    430,505"
  25.运输设备操作工,"    6,441,673","    5,639","    1,909","    1,004,290","    2,383,807","    2,348,400","    697,628"
  26.检验、计量、试验、分析人员和有关人员,"    2,029,058","    23,265","    4,601","    681,072","    875,323",403515,"    41,282"
  27.其他生产工人、运输工人和有关人员,"    4,801,912","    12,595","    4,750","    1,088,696","    2,062,933","    1,423,106","    209,832"
八、不便分类的其他劳动者,"    458,342",30380,"    2,383","    161,742","    174,920","    67,1 52","    21,765"
  1．不便分类的其他劳动者,"    458,342","    30,380",2383,"    161,742","    174,920","    67,152","    21,765"
