61.各行业人口的年龄构成,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    女,,,,,,,
,,    男,,,,,,,,,,    行业别,,,,,,,,
    行业别,    合计,,,,,,,,,,,,    小计,1 5—1 9岁,2 0-2 4岁,5—2 9岁,3 0-3 4岁,3 5—4 9岁,5 0—5 4岁,5 5岁及以上
    3.缝纫业,"    3,068,476","    893,871","    140,754","    141,013","    151,991","    110,299",236256,"    49,608","    63,950",,,    4．皮革、毛皮及其制品制造业,"    574,015","    112,393","    121,085","    117,888","    79,382","    119,274","    13,606","    8,387"
    4．皮革、毛皮及其制品制造业,"    1,026,637","    452,622","    81,221","    85,072","    84,601","    49,677","    108,338","    23,101","    20,612",,,    5．木材加工业,"    295,655","    52,645","    69,429","    60,492","    37,267","    66,799","    5,999","    3,024"
    5．木材加工业,"    880,550","    584,895","    89,132","    102,493","    106,272",72709,"    175,344","    21,373","    17,572",,,    6．家俱制造业,"    264,209",43826,"    49,289","    55,409","    37,345","    66,166","    7,545","    4,629"
    6．家俱制造业,"    2,306,805","    2,042,596","    513,644","    407,916","    382,061","    235,1 70",386346,"    51,735","    65,724",,,    7．制浆、造纸及纸制品业,"    687,751","    113,250","    127,281","    129,075","    93,272","    178,269","    24,504","    22,100"
    7．制浆、造纸及纸制品业,"    1,402,762","    715,011","    88,967","    121,358","    1 39,186","    98,869","    220,782","    25,714","    20,135",,,    8．文教、艺术用品制造业及印刷业,"    3,013,021","    1,006,813","    631,456","    499,046","    332,615","    455,041","    48,918","    39,132"
    8．文教、艺术用品制造业及印刷业,"    3,971,169","    958,148","    140,992","    1 70,609","    1 77,884","    119,119","    273,248","    38,600","    37,696",,,    9．化学工业,"    1,229,894","    144,045","    229,61 7","    294,910","    208,746","    322,284","    21,235","    9,057"
    9．化学工业,3508985,"    2,279,091","    190,167","    330,016","    485,951","    411,357","    788,895","    47,234","    25,471",,,    10.医药制造业,"    294,403","    33,506","    54,071","    62,689","    47,748","    85,370","    7,546","    3,473"
    10.医药制造业,"    553,796","    259,393","    27,861","    46,283","    50,61 7",37893,"    83,763","    7,937",5039,,,    11.橡胶及塑料制品制造业,"    1,101,767","    177,156","    201,723","    225,365","    172,485","    283,350","    26,458","    15,230"
    11．橡胶及塑料制品制造业,"    1,939,617","    837,850","    101,870","    144,747","    174,21 8","    120,472","    247,350","    28,924","    20,269",,,    12.石油及煤制品制造业,"    194,065","    21,584","    35,500","    43,786","    30,750","    56,036",4575,"    1,834"
    12.石油及煤制品制造业,"    510,910","    316,845","    27,282","    46,826","    66,826","    50,894","    111,850","    8,592","    4,575",,,    13.非金属矿物制品制造业,"    2,241,792","    487,355","    474,671","    429,766","    309,557","    485,929","    36,936","    17,578"
    13.非金属矿物制品制造业,"    7,413,201","    5,171,409","    701,369","    863,007","    1,078,771","    785,554","    1,506,843","    140,082",95783,,,    14.冶金工业,"    634,804","    69,753","    114,608","    146,189","    109,331","    180,383","    11,095","    3,445"
    14.冶金工业,"    2，214,573","    1,579,769","    108,576","    1 91,977","    295,429","    297,406","    638,723","    34,203","    13,455",,,    15.金属制品制造业,"    1,472,247","    207,924","    271,134","    311,359","    226,253","    401,049","    35,716","    18,812"
    15.金属制品制造业,"    3,919,606","    2,447,359",293092,"    374,913","    489,408","    352,084","    784,344",84358,"    69,160",,,    16.一般机械(不包括电气机械)制造业,"    2,972,790","    290,701","    526,855","    701,139","    532,168","    856,762","    48,175","    16,990"
    16.一般机械(不包括电气机械)制造业,"    8,697,947","    5,725,157","    434,229","    763,206","    1,097,41 3","    959,717","    2,249,769",141398,"    79,425",,,    17.电气、电子机械设备制造业,"    1,660,146","    1 70,122","    308,472","    370,144","    284,486","    488,300","    27,950","    10,672"
    17．电气、电子机械设备制造业,"    3,448,322","    1,788,1 76","    1 56,537","    283,263","    342,522","    280,469","    658,286","    42,609","    24,490",,,    18.交通运输设备制造业,"    898,124","    78,269","    161,675","    210,579","    150,826","    274,694","    16,619","    5,462"
    18.交通运输没备制造业,"    2,569,887","    1,671,763","    115,216","    226,729","    31 4,929","    267,191","    677,508","    45,446","    24,744",,,    19.精密机械及仪器仪表制造业,"    565,871","    53,832","    110,075","    128,707","    96,107","    165,431","    8,725","    2,994"
    19.精密机械及仪器仪表制造业,"    1,229,772","    663,901","    62,123","    107,559","    1 22,191","    95,886","    248,795","    16,71 5","    10,632",,,    20.其它制造业及修理业,"    915,835","    189,226","    136,519","    146,458","    111,108","    230,045","    45,457","    57,022"
    20.其它制造业及修理业,"    1,795,565","    879,730","    169,494",135639,"    139,329","    97,955","    232,982","    42,114","    62,217",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,    男,,,,,,,,,,,    女,,,,,,,
    行业别,    合计,,,,,,,,,,,    行业别,,,,,,,,
,,    小计,1 5-1 9岁,2 0—2 4岁,2 5—2 9岁,3 0-3 4岁,3 5—5 4岁,5 5—5 9岁,6 0岁及以上,,,,    小计,1 5—1 9岁,2 0—2 4岁,2 5—2 9岁,3 0—3 4岁,3 5-4 9岁,5 0-5 4岁,5 5岁及以上
(续),,,,,,,,,,,,(续),,,,,,,,
五、地质勘探和普查业,824043,    642，1 40,"    39,356","    87,010","    115,069","    99,925","    287,358","    10,277","    3,145",,,五、地质勘探和普查业,"    181,903","    21,599","    45,431","    38,383","    20,426","    52,787","    2,658",    619
  1．地质勘探和普查业,"    824,043","    642,140","    39,356","    87,010","    115,069","    99,925","    287,358","    10,277","    3,145",,,  1．地质勘探和普查业,"    181,903","    21,599","    45,431","    38,383","    20,426","    52,787","    2,658",    619
六、建筑业,"    11,009,419","    8,932,095","    1,315,511","    1,524,047","    1,766,475","    1,262,959","    2,690,484","    224,667","    147,952",,,六、建筑业,"    2,077,324","    300,476","    451,709","    460,322","    282,813","    517,919","    46,719","    17,366"
  1．土木工程建筑业,9920987,"    8,1 50,736",1256347,"    1,410,630","    1,630,884","    1,154,794","    2,358,571","    203,248","    136,262",,,  1．土木工程建筑业,"    1,770,251","    265,651","    388,922","    394,947","    240,738","    426,182","    38,895","    14,916"
  2．线路、管道和设备安装业,"    602,351","    439,854","    36,337","    65,902","    79,340",70836,"    171,663","    10,492","    5,284",,,  2．线路、管道和设备安装业,"    162,497","    19,554","    36,026","    37,489","    26,31 5","    39,782","    2,501",    830
  3．勘察设计,"    270,219","    184,999","    6,560","    16,881","    24,362","    16,829","    107,31 5","    8,016","    5,036",,,  3．勘察设计,"    85,220","    4,652","    12,026","    14,954","    8,450","    39,269","    4,488","    1,381"
  4．筹建机构,"    21 5,862","    156,506","    16,267","    30,634","    31,889","    20,500","    52,935","    2,911","    1,370",,,  4．筹建机构,"    59,356","    10,619","    14,735","    12,932","    7,310","    12,686",    835,    239
