59.市、镇、县各种职业分性别人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  市(不含市辖县),,,    镇,,,    县(不含镇),,
    职业别,,,,,,,,,
,    合计,    男,    女,    合计,    男,    女,    合计,    男,    女
  1．采矿、采石、勘探、钻井、采盐工人,"    1,672,675","    1,476,540","    196,135","    566,406","    495,235","    71,171","    2,183,791","    1,976,548","    207,243"
  2．金属冶炼和处理工人,"    1,723,039","    1,148,920","    574,119","    461,499","    31 8,71 7","    142,782","    758,542","    530,974","    227,568"
  3．化学工人,"    802,617","    405,129","    397,488","    326,660","    190,968","    135,692","    329,504","    211,769","    117,735"
  4．橡胶和塑料制品生产工人,"    622,115","    207,642","    414,473","    182,1 42","    58,844","    123,298","    450,491","    117,491","    333,000"
  5．纺织、针织、印染工人,"    2，596,798","    706,231","    1,890,567","    914,642","    221,252","    693,390","    1,446,202","    239,154","    1,207,048"
  6．皮革、皮毛制造及制品制作工人,"    346,1 76","    115,410","    230,766","    160,021","    60,223","    99,798","    293,013","    112,721","    180,292"
  7．裁剪缝纫工人,"    1,216,355","    172,396","    1,043,959","    579,048","    87,1 51","    491,897","    3,174,582","    443,581","    2,731,001"
  8．食品饮料制造工人,"    871,613","    382,035","    489,578","    707,067","    368,545","    338,522","    1,687,789","    1,248,382","    439,407"
  9．制烟工人,"    56,756","    24,906","    31,850","    27,467","    11,859","    15,608","    13,824","    5,869","    7,955"
  10.木材加工和木、竹、麻、藤、棕、草制,,,,,,,,,
    品制作工人,"    1,534,771","    1,273,560","    261,211","    779,848","    598,027","    181,821","    4,612,895",3720899,"    891,996"
  11.造纸和纸制品制作工人,"    355,606","    110,716","    244,890","    167,394","    62,001","    105,393","    357,604","    153,972","    203,632"
  12．印刷工人和有关人员,"    541,029","    189,383",351646,"    209,750","    76,296","    133,454","    150,396","    48,627","    101,769"
  13．石料切割和雕刻工,"    52,062","    42,174","    9,888","    26,907","    21,776","    5,131","    275,550","    262,324","    13,226"
  14.锻工、工具制造工、机床安装操作工,"    3,578,701","    2,263,244","    1,315,457","    1,134,759","    788,330","    346,429","    1,815,927","    1,377,894","    438,033"
  15.机器装配工和精密仪器制造工,"    2,476,961","    2,002,403","    474,558","    746,431","    641,470","    104,961","    714,492","    633,503",80959
  16.电气、电子设备安装工、修理工、装配,,,,,,,,,
    工和有关人员,"    2,385,445","    1,548,635","    836,810","    695,205","    520,344","    174,861","    1,120,729","    946,649","    174,080"
  17.广播电台(站)录音设备操作人员和电,,,,,,,,,
    影放映员,"    60,509","    49,022","    11,487","    51,590","    42,280","    9,310","    167,821","    153,491","    14,330"
  18.管工、焊工、冷作工和金属构件安装工,"    2,051,413","    1,406,229","    645,184","    436,419","    310,985","    125,434","    527,054","    388,428","    138,626"
  19玻璃、陶瓷和搪瓷制品工人,"    399,342","    196,255","    203,087","    165,456","    84,415","    81,041","    343,867","    203,512","    140,355"
  20.油漆工人,"    500,643","    192,555","    308,088","    125,085","    53,865","    71,220","    253,733","    187,767","    65,966"
  21.其他生产工人和有关人员,"    1,294,492","    618,065","    676,427","    556,078","    292,214","    263,864","    3,055,951","    2,132,798","    923,153"
  22．建筑工人,"    2,570,144","    1,845,539","    724,605","    848,167","    633,511","    214,656","    3,405,731","    3,162,224","    243,507"
  23.动力设备操作工,"    858,460","    643,930","    214,530","    362,076","    290,455","    71,621","    507,428","    433,801","    73,627"
  24．装卸工和有关设备操作工,"    2,168,697","    1,586,544","    582,1 53","    622,289","    452,495","    169,794","    860,660","    705,600","    155,060"
  25.运输设备操作工,2782160,"    2,502,737","    279,423","    1,363,646","    1,215,949","    147,697","    2,295,867","    2,122,345","    173,522"
  26.检验、计量、试验、分析人员和有关人员,"    1,334,330","    455,941","    878,389","    369,553","    138,366","    231,187","    325,1 75","    1 32,828","    192,347"
  27.其他生产工人、运输工人和有关人员,"    2,445,268","    1,066,607","    1,378,661","    1,026,129","    580,046","    446,083","    1,330,515","    935,353","    395,162"
八、不便分类的其他劳动者,"    254,895","    141,631","    113,264","    99,205","    58,033","    41,172","    104,242","    67,606","    36,636"
  1．不便分类的其他劳动者,"    254,895","    141,631","    113,264","    99,205","    58,033","    41,172","    104,242","    67,606","    36,636"
