54.在业人口的行业状况,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    制造业,,,    地质勘 探和普查业,,,    建筑业,,,,,,  交通运输、邮电通信业,,,  商业、饮食业、物资供销及仓储业,,,  住宅管理、公用事业管理,,,,,,卫生、体育和社会福利事业,,,    教育、文化艺术事业,,,科学研究和综合技术服务事业,,,,,,    金融、保险业,,,    国家机关、政党和群众团体,,,其它行业,,
,  农、牧、林、渔业,,,    矿业及木材采运业,,,  电力、煤气、自来水的生产,,,,,,,,,,,,,,,,,,,,,,,,    和居民服务业,,,,,    地区别,,,,,,,,,,,,    地区别,,,,,,,,,
,,,,,,,    和供应业,,,,,    地区别,,    男,    女,    小计,    男,    女,  小计,    男,    女,,,    地区别,,,,,,,,,,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女
    地区别,,,,,,,,,,,,,  小计,,,,,,,,,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,,,,,,,,,,,,,总计,"    1,022,975","    696,274","    326,701","    8,018,546","    6,378,798","    1,639,748","    289,202","    182,921","    106,281"
黑龙江省,"    6,739,253","    4,828,067","    1,911,186","    867,713","    628,800","    238,913","    79,877","    56,732","    23,145",,,上海市,"    3,420,583","    1,783,502","    1,637,081","    3,315","    2,861",    454,"    327,580","    280,002","    47,578",,,上海市,"    359,197",281849,"    77,348","    538,747","    298,899","    239,848","    141,545","    79,241","    62,304",,,上海市,"    135,930","    48,634","    87,296","    287,603","    1 47,875","    139,728","    76,605","    50,224","    26,381",,,江苏省,"    49,883","    33,875","    16,008","    393,249","    320,481","    72,768","    19,714","    11,128","    8,586"
上海市,"    1,909,471","    787,748","    1,121,723","    4,308","    3,013",    1，295,"    43,112","    32,173","    10,939",,,江苏省,"    6,799,204","    3,909,571","    2,889,633","    33,675","    26,899","    6,776","    1,083,032",1003652,"    79,380",,,江苏省,"    708,030","    547,352","    160,678","    1,024,952","    635,408","    389,544","    190,819","    121,330","    69,489",,,江苏省,"    198,380","    103,347","    95,033","    761,542","    495,635","    265,907","    48,473","    30,559","    17,914",,,浙江省,"    38,494","    24,276","    14,218","    234,282","    1 89,156",45126,"    10,034","    6,452","    3,582"
江苏省,23003254,"    10,956,282","    12,046,972","    378,125","    306,947","    71,178","    70,783","    54,630","    16,1 53",,,浙江省,"    4,929,719","    2,305,040","    2,624,679","    14,864","    12,281","    2,583","    627,094","    572,827","    54,267",,,浙江省,"    378,710","    313,858","    64,852","    680,337","    390,575","    289,762","    116,138","    67,936",    48，202,,,浙江省,"    153,627","    79,049","    74,578","    411,812","    236,109","    175,703","    20,932","    14,364","    6,568",,,安徽省,"    39,408","    27,371","    12,037","    256,716","    208,569","    48,1 47","    3,506","    1,947","    1,559"
浙江省,13091717,"    8,401,464","    4,690,253","    213,752","    178,304","    35,448","    54,387","    43,079","    11,308",,,安徽省,"    1,962,554","    1,251,856","    710,698","    28,273","    22,375","    5,898","    449,477","    375,633","    73,844",,,安徽省,342186,"    259,208","    82,978","    646,382","    363,973","    282,409","    107,573","    69,257","    38,316",,,安徽省,"    160,113","    89,798","    70,315","    533,084","    379,754","    153,330","    25,072","    16,307","    8,765",,,福建省,"    26,745","    18,755","    7,990","    202,918","    166,285","    36,633","    5,745","    4,1 30","    1,615"
安徽省,"    21,135,041","    11,105,887","    10,029,154","    287,048","    226,893","    60,155","    44,459","    32,212","    12,247",,,福建省,"    1,487,443","    859,545","    627,898","    14,027","    11,655","    2,372","    341,187","    300,842","    40,345",,,福建省,"    273,530","    227,411","    46,119","    416,032","    261,522","    154,510","    62,717","    40,472","    22,245",,,福建省,"    103,872","    55,512","    48,360","    320,694","    203,853","    116,841","    13,839","    9,758","    4,081",,,江西省,"    32,732","    22,240","    10,492","    236,887","    189,489","    47,398","    4,667","    2,583","    2,084"
福建省,"    8,194,837","    4,838,693","    3,356,144",    237，277,"    205,618","    31,659","    46,660","    37,322","    9,338",,,江西省,"    1,669,854",1101993,"    567,861","    37,300","    28,374","    8,926","    367,098","    321,728","    45,370",,,江西省,"    238,542","    177,769","    60,773","    410,077","    228,040","    182,037","    77,703","    50,407","    27,296",,,江西省,"    131,070","    72,873","    58,197","    372,073","    255,240","    116,833","    29,874","    18,831","    11,043",,,山东省,"    61,700","    43,757","    17,943","    444,768","    375,541","    69,227","    17,148","    13,014","    4,134"
江西省,"    11,579,778","    6,213,506","    5,366,272","    321,163","    248,038","    73,125","    56,182","    41,743","    14,439",,,山东省,"    3,650,092","    2,036,402","    1,613,690","    32,433","    25,210","    7,223","    593,131","    509,915","    83,216",,,山东省,"    402,911","    331,469","    71,442","    876,124","    560,627","    315,497","    112,186","    68,247","    43,939",,,山东省,"    278,588","    158,112","    120,476","    838,220","    590,286","    247,934","    42,592","    27,387","    15,205",,,河南省,"    58,999","    41,847","    17,152","    415,326","    352,720","    62,606","    11,985","    6,956","    5,029"
山东省,"    32,094,120","    1 7,033,219","    15,060,901","    577,834","    492,621","    85,213","    76,006","    59,111","    16,895",,,河南省,"    2,403,750","    1,446,376","    957,374","    47,295","    37,357","    9,938","    323,697","    256,622","    67,075",,,河南省,"    394,288","    314,140","    80,148","    828,024","    508,555","    319,469","    103,291","    56,718","    46,573",,,河南省,"    273,115","    165,437","    107,678","    897,987","    616,429","    281,558","    40,566","    26,844","    13,722",,,湖北省,"    48,904","    32,854","    16,050","    356,064","    291,699","    64,365","    8,716","    4,991","    3,725"
河南省,"    33,475,429","    1 7,380,588","    16,094,841",    453，214,"    386,367","    66,847","    77,845",59268,"    18,577",,,湖北省,"    2,762,243","    1,547,626","    1,214,617","    33,194","    25,030","    8,164","    449,607","    340,879","    108,728",,,湖北省,"    462,451","    351,683","    110,768","    759,755","    434,430","    325,325","    97,348","    50,765",46583,,,湖北省,195356,"    98,075",97281,"    624,857","    426,644","    198,21 3","    61,281","    37,560","    23,721",,,湖南省,"    42,928","    28,718","    14,210","    412,975","    330,551","    82,424","    16,883","    10,061","    6,822"
湖北省,"    19,643,422","    10,349,783","    9,293,639","    175,833","    136,364","    39,469","    68,465","    48,318","    20,147",,,湖南省,"    2,447,012","    1,467,435","    979,577","    36,325","    28,840","    7,485","    425,815","    364,448","    61,367",,,湖南省,"    391,286","    306,224","    85,062","    591,131","    308,637","    282,494","    87,475","    50,315","    37,160",,,湖南省,"    173,686","    91,165","    82,521","    591,434","    388,900","    202,534","    38,179","    23,976","    14,203",,,广东省,"    74,093","    54,182","    19,911","    560,801","    440,103","    120,698","    13,445","    7,472","    5,973"
