63.按现行行业分类分组的工业部门的在业人口,,,
,,,
,,,
    行业别,    合计,    男,    女
    (1)原盐,"    250,333","    188,924","    61,409"
    (2)加工盐,"    47,031","    29,002","    18,029"
  3．食品工业,"    3,051,270","    1,747,732",1303538
    (1)屠宰及肉类加工,"    359,962","    230,578","    129,384"
    (2)水产品加工,"    37,956","    21,257","    16,699"
    (3)罐头,"    159,134","    74,578","    84,556"
    (4)制糖,"    229,912","    157,637","    72,275"
    (5)制茶,"    104,454","    56,118","    48,336"
    (6)卷烟、烤烟,"    201,751","    102,580","    99,171"
    (7)酿酒,570839,"    395,040",175799
    (8)蛋乳制品,"    72,71 7","    39,208","    33,509"
    (9)其它食品,"    1,314,545","    670,736","    643,809"
十、纺织、缝纫及皮革工业,"    10,917,585","    3,811,000","    7,106,585"
  1．纺织工业,"    6,822,472","    2,464,507","    4,357,965"
    (1)化学纤维工业,"    175,892",103088,"    72,804"
    (2)纤维原料初步加工,"    204,501",134838,"    69,663"
,,,
,,,
,,,
,,,
    行业别,    合计,    男,    女
(续),,,
    (3)棉纺织,"    3,489,21 2","    1,314,71 7","    2,174,495"
    (4)毛纺织,"    473,735","    180,453","    293,282"
    (5)麻纺织,"    224,445","    87,365","    137,080"
    (6)丝绢纺织,"    755,450","    236,342","    519,108"
    (7)针织品,1314516,"    373,206","    941,310"
    (8)其它纺织品,"    184,721","    34,498","    150,223"
  2．缝纫工业,"    3,068,476","    893,871","    2,174,605"
    (1)生活用缝制品,"    2,951,133","    862,842","    2,088,291"
    (2)生产用缝制品,"    11 7,343","    31,029","    86,314"
  3．皮革工业,"    1,026,637","    452,622","    574,015"
    (1)制革,"    102,048","    61,487","    40,561"
    (2)皮革制品,"    924,589","    391,135","    533,454"
十一、造纸及文教用品工业,"    5,373,931","    1,673,159","    3,700,772"
  1．造纸工业,"    1,402,762","    715,011","    687,751"
    (1)纸浆,"    14,558","    8,995","    5,563"
    (2)机制纸及纸板,"    873,919","    539,871","    334,048"
    (3)加工纸、土纸,"    514,285","    166,145","    348,140"
  2．文教、艺术用品工业,"    3,971,169","    958,148","    3,013,021"
    (1)印刷,"    939,357","    407,740","    531,617"
    (2)文教、体育用品,"    288,381","    129,858","    158,523"
    (3)工艺美术品,"    2,743,431",420550,"    2,322,881"
十二、其它工业,"    223,915",148839,"    75,076"
  其它工业,"    223,915","    148,839","    75,076"
