58.市、镇、县各行业分性别人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  市(不含市辖县),,,    镇,,,    县(不含镇),,
    行业别,,,,,,,,,
,    合计,    男,    女,    合计,    男,    女,    合计,    男,    女
    19.精密机械及仪器仪表制造业,"    926,741","    478,625","    448,116","    1 41,005","    80,681","    60,324","    162,026","    104,595","    57,431"
    20．其它制造业及修理业,"    504,345","    223,092","    281,253","    212,960","    98,048","    114,912","    1,078,260","    558,590","    519,670"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  市(不含市辖县),,,    镇,,,    县(不含镇),,
    行业别,,,,,,,,,
,    合计,    男,    女,    台计,    男,    女,    合计,    男,    女
,,,,,,,,,
(续),,,,,,,,,
五、地质勘探和普查业,"    350,1 53","    271,852","    78,301","    239,396","    188,039","    51,357","    234,494","    1 82,249","    52,245"
  1．地质勘探和普查业,"    350,153","    271,852","    78,301","    239,396","    188,039","    51,357",234494,"    1 82,249",    52，245
六、建筑业,"    5,395,371","    3,954,880","    1,440,491","    1,505,931","    1,1 59,569","    346,362","    4,108,117","    3,817,646","    290,471"
  1．土木工程建筑业,"    4,551,593",3355491,"    1,196,102","    1,381,840","    1,068,891","    312,949","    3,987,554","    3,726,354","    261,200"
  2．线路、管道和设备安装业,"    484,107","    352,831","    1 31,276","    64,1 80","    45,607","    18,573","    54,064","    41,416","    12,648"
  3．勘察设计,"    248,145","    168,753","    79,392","    1 4,798","    11,034","    3,764","    7,276","    5,21 2","    2,064"
  4．筹建机构,"    111,526","    77,805","    33,721","    45,113","    34,037","    11,076","    59,223","    44,664","    14,559"
七、交通运输、邮电通信业,"    4,628,162",3402528,"    1,225,634","    2,235,473","    1,718,720","    51 6,753","    2,117,337","    1,805,154","    312,1 83"
  1．运输业,"    4,304,530","    3,202,788","    1,101,742","    2,000,513","    1,557,521","    442,992","    1,901,983","    1,636,149","    265,834"
  2．由5电通信业,"    323,632","    199,740","    123,892","    234,960","    161,199","    73,761","    215,354","    169,005","    46,349"
八、商业、饮食业、物资供销及仓储业,"    5,893,913","    2,786,497","    3,107,416","    3,985,104","    2,088,777","    1,896,327","    5,628,91 1","    3,926,342","    1,702,569"
  1．商业,"    4,168,712","    1,896,617","    2,272,095","    3,069,379","    1,608,234","    1,461,145","    4,841,841","    3,435,140","    1,406,701"
  2．饮食业,"    877,056","    318,625","    558,431","    554,698","    218,112","    336,586","    547,91 3","    299,392","    248,521"
  3．物资供销,"    496,479","    339,922","    1 56,557","    227,133","    1 64,624","    62,509","    95,291","    72,553","    22,738"
  4．仓储业,"    351,666","    231,333","    120,333","    1 33,894","    97,807","    36,087","    143,866","    119,257","    24,609"
九、住宅管理、公用事业管理和居民服务业,"    1,444,447","    71 4,1 64","    730,283","    51 4,864","    258,861","    256,003","    482,094","    373,040","    109,054"
  1．房地产管理事业,"    231,1 00","    1 47,925","    83,1 75","    69,830","    49,329","    20,501","    23,459","    19,713","    3,746"
  2．公用事业,"    438,376","    233,781","    204,595","    78,212","    44,688","    33,524","    28,235","    19,266","    8,969"
  3．居民服务业,"    774,971","    332,458","    442,513","    366,822","    164,844",    201，978,"    430,400","    334,061","    96,339"
十、卫生、体育和社会福利事业,"    1,426,740","    557,858","    868,882","    835,137","    359,536","    475,601","    1,839,478","    1,210,1 68","    629,310"
  1．卫生事业,"    1,330,367","    507,671","    822,696","    809,083","    344,648","    464,435","    1,805,918","    1,186,554","    619,364"
  2．体育事业,"    45,511","    30,738","    14,773","    5,767","    4,274","    1,493","    2,127","    1,648",    479
  3．社会福利事业,"    50,862","    19,449","    31,413","    20,287","    10,614","    9,673","    31,433","    21,966","    9,467"
十一、教育、文化艺术事业,"    3,397,506","    1,781,648","    1,61 5,858","    1,520,1 83","    861,477","    658,706","    7,464,390","    5,358,449","    2,105,941"
  1．教育事业,"    2,932,081","    1,477,157","    1,454,924","    1,232，230","    659,430","    572,800","    7,120,506","    5,079,815","    2,040,691"
  2．文化艺术事业,"    465,425","    304,491","    160,934","    287,953","    202,047","    85,906","    343,884","    278,634","    65,250"
十二、科学研究和综合技术服务,"    894,068","    558,981",335087,"    174,728","    114,91 5","    59,813","    133,476","    87,874","    45,602"
  1．科学研究,"    760,628","    472,222","    288,406","    122,678","    77,655","    45,023","    105,531","    67,349","    38,182"
  2．综合技术服务事业,"    133,440","    86,759","    46,681","    52,050","    37,260","    14,790","    27,945","    20,525","    7,420"
十三、金融、保险业,"    297,232","    166,894","    130,338","    283,703","    179,764","    103,939","    442,040","    349,616","    92,424"
  1．金融业,"    290,029","    162,004","    128,025","    281,165","    177,868","    103,297","    440,459","    348,250","    92,209"
  2．保险业,"    7,203","    4,890","    2,313","    2,538","    1,896",    642,"    1,581","    1,366",    215
十四、国家机关、政党和群众团体,"    3,205,61 2","    2,303,023","    902,589","    2,372,929","    1,929,131","    443,798","    2,440,005","    2,1 46,644","    293,361"
  1．国家机关,"    2,191,696","    1,690,483","    501,213","    1,874,031","    1,571,764","    302,267","    1,985,891","    1,777,898","    207,993"
  2．政党机关,"    134,876","    109,303","    25,573","    153,391","    138,630","    14,761","    130,971","    125,1 70","    5,801"
  3．群众团体,"    196,664","    64,132","    132,532","    86,797","    38,477","    48,320","    55,627","    29,088","    26,539"
  4．企业管理机关,"    682,376","    439,105","    243,271","    258,710","    180,260","    78,450","    267,516","    214,488","    53,028"
十五、其他行业,"    130,392","    81,065","    49,327","    49,020","    30,260","    18,760","    109,790","    71,596","    38,194"
  1．其他行业,    130，392,"    81,065","    49,327","    49,020","    30,260","    18,760","    109,790","    71,596","    38,194"
