57.各种职业分性别人口数,,,,,,
,,,,,,
,,,,,,
    (2)检察人员,"    49,261","    44,899","    4,362",    0.01,    0．01,-
    (3)律师,"    6,366","    5,619",    747,-,-,-
    (4)其他法律工作人员,"    74,240","    64,493","    9,747",    0.01,    0.01,-
  8．教学人员,"    9,596,323","    5,847,230","    3,749,093",    1.84,1.12,    0.72
    (1)高等教育教师,"    321,320","    235,168","    86,152",    0．06,    0．05,    0.02
    (2)中等教育教师,"    2,871,238","    2,023,1 00","    848,138",    0．55,    0．39,    0．16
    (3)小学教师,"    5,858,216","    3,427,140","    2,431,076",    1.12,    0.66,    0.47
    (4)幼儿教师,"    299,270","    5,181","    294,089",    0.06,-,    0.06
    (5)盲聋哑学校教师,"    5,640","    1,696","    3,944",-,-,-
    (6)数学辅助人员,"    85,279","    44,662","    40,617",    0.02,    0．01,    0．01
    (7)其他教师,"    155,360","    110,283","    45,077",    0．03,    0.02,    0.01
  9．文艺、体育工作人员,"    511,473",347670,"    163,803",    0．10,    0．07,    0．03
    (1)文艺创作和评论人员,"    7,838","    7,108",    730,-,-,-
    (2)编导和音乐指挥人员,"    11,023","    9,008","    2,015",-,-,-
    (3)演员,"    170,344","    89,399",80945,0.03,0.02,0.02
    (4)乐器演奏员,"    57,433","    50,145","    7,288",0.01,    0.01,-
    (5)摄影人员,"    102,371","    75,875","    26,496",0.02,0.01,0.01
    (6)电影、电视摄制人员,"    4,967","    3,530","    1,437",-,-,-
    (7)美术工作人员,"    89,091","    62,776","    26,31 5",0.02,0.01,0.01
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,  占总合计数的百分比(％),,
    职业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
(续),,,,,,
    (8)舞台工作人员,"    15,558","    11,558","    4,000",-,-,-
    (9)体育教练员和裁判员,"    22,368","    17,758","    4,610",-,-,-
    (10)运动员,"    9,389","    5,909","    3,480",-,-,-
    (11)其他文艺、体育工作人员,"    21,091","    14,604","    6,487",-,-,-
  10.化工作人员,"    412,491","    184,970","    227,521",    0．08,    0.04,    0.04
    (1)记者,"    1 4,728","    12,512","    2,216",-,-,-
    (2)编辑,"    45,433","    33,767","    11,666",    0.01,    0．01,-
    (3)播音员,"    83,134","    35,526","    47,608",    0.02,    0．01,    0．01
    (4)翻译,"    37,942","    24,697","    13,245",    0．01,-,-
    （5)图书业务人员,"    111,584","    31,252","    80,332",    0．02,    0.01,    0.02
    (6)档案业务人员,"    86,1 73","    24,196",61977,    0．02,-,    0．01
    (7)考古和文物工作人员,"    6,411","    4,709","    1,702",-,-,-
    (8)展览讲解员,"    3,317",    519,"    2,798",-,-,-
    (9)其他文化工作人员,"    23,769","    17,792","    5,977",-,-,-
  11.宗教职业者,"    25,448","    21,209","    4,239",-,-,-
    (1)宗教职业者,"    25,448","    21,209","    4,239",-,-,-
二、国家机关、党群组织、企事业单位负责人,"    8,130,787","    7,286,564","    844,223",    1.56,    1.40,    0．16
  1．国家机关及其工作机构负责人,"    894,910","    843,968",50942,    0．17,    0.16,    0.01
    (1)中央级国家机关及其工作机构负责人,"    16,206","    13,652","    2,554",-,-,-
    (2)省级国家机关及其工作机构负责人,"    69,911","    63,367","    6,544",    0.01,    0．01,-
    (3)地、市、县级国家机关及其工作机构,,,,,,
      负责人,"    808,793","    766,949","    41,844",    0.16,    0.15,    0．01
  2．党群组织负责人,    1，286，251,"    1,090,103","    196,148",    0．25,    0．21,    0．04
    (1)中国共产党各级组织负责人,"    926,883","    859,659","    67,224",    0．18,    0．16,    0.01
    (2)共青团、工会、妇联负责人,"    342,433","    21 5,133","    127,300",    0．07,    0.04,    0．02
    (3)民主党派、人民团体负责人,"    16,935","    15,311","    1,624",-,-,-
  3．城镇街道和农村人民公社负责人,"    396,475","    296,150","    100,325",    0.08,    0．06,    0．02
    (1)城镇街道负责人,"    28,350","    22,219","    6,131",    0.01,-,-
    (2)居民委员会负责人,"    100,395","    16,564","    83,831",    0．02,-,    0.02
    (3)农村人民公社负责人,"    267,730","    257,367","    10,363",    0.05,    0．05,-
  4．企事业单位及其工作机构负责人,"    5,553,151","    5,056,343","    496,808",    1.06,    0．97,    0．10
    (1)企事业单位负责人,"    2,635,029","    2,442,384","    192,645",    0．51,    0．47,    0．04
    (2)企事业单位工作机构负责人,"    2,918,122","    2，613,959","    304,163",    0.56,    0．50,    0．06
三、办事人员和有关人员,"    6,788,347","    5,127,143","    1,661,204",    1.30,    0．98,    0.32
  1．行政办事人员,"    3,599,196","    2,640,670","    958,526",    0．69,    0．51,    0．18
    (1)行政业务办事人员,"    2,074,757","    1,619,239","    455,518",    0．40,    0．31,    0．09
    (2)秘书,"    319,775","    236,833","    82,942",    0.06,    0.05,    0．02
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,  占总合计数的百分比(％),,
    职业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
(绩),,,,,,
    (3)收发员和通讯员,"    127,627","    80,054","    47,573",    0．02,    0．02,    0．01
    (4)打字、誊印人员,"    200,967","    27,458","    1 73,509",    0.04,    0.01,    0．03
    (5)其他行政办事人员,"    876,070","    677,086","    198,984",    0．17,    0.13,    0．04
  2．政治、保卫工作人员,"    2,059,288","    1,782,835","    276,453",    0.39,    0.34,    0.05
    (1)政治工怍人员,"    654,498","    494,723","    159,775",    0．13,    0．09,    0．03
    (2)人事管理人员,"    116,069","    80,010","    36,059",    0．02,    0.02,    0.01
    (3)人民警察和公安业务人员,"    701,1 27","    665,413","    35,71 4",    0.13,    0．13,    0．01
    (4)消防人员,"    56,458","    55,631",    827,    0．01,    0．01,-
    (5)其他政治、保卫工作人员,"    531,136","    487,058","    44,078",    0.10,    0.09,    0.01
  3．邮电工作人员,"    606,627","    298,664","    307,963",    0.12,    0．06,    0.06
    (1)邮政业务人员,"    249,906","    187,706","    62,200",    0．05,    0．04,    0．01
    (2)电信业务人员,"    347,645","    103,967","    243,678",    0.07,    0．02,    0.05
    (3)其他邮电工作人员,"    9,076","    6,991","    2,085",-,-,-
  4．其他办事人员和有关人员,"    523,236","    404,974","    118,262",    0.10,    0．08,    0．02
