55.在业人口的职业状况,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,  办事人员和有关人员,,,    商业 工作人员,,,  服务性工作人员,,,,,,  农林牧渔劳动者,,,  生产工人、运输工人和有关人‘员,,,  不便分 类的其它劳动者,,
,    在业人口数,,,    各类 专业、技术人员,,,  国家机关、党群组织、,,,,,    地区别,,,,,,,,,,,,    地区别,,,,,,,,,
    地区别,,,,,,,  企事业单位负责人,,,,,,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女
山东省,"  40,097,853","    22,324,918","  17,772,935","    1,742,516","    1,181,158","    561,358","    511,314","    464,777","    46,537",,,河南省,"    388,939","    309,848","    79,091","    526,234","    302,181","    224,053","    504,999","    307,500","    197,499",,,河南省,"    33,262，166","    17,185,976","    16,076,190","    3,086,980","    2，098,634","    988,346","    24,852","    15,591","    9,261"
河南省,"  39,804,81 1","    21,656,224","  18,148,587","    1,584,305",1042313,"    541,992","    426,336","    394,1 81","    32,1 55",,,湖北省,"    299,657","    225,351","    74,306","    459,365","    251,727","    207,638","    589,315","    301,257","    288,058",,,湖北省,"    18,928,052","    9,747,870",9180182,"    3,688,529","    2,410,391","    1,278,138","    18,303","    10,283","    8,020"
湖北省,"  25,747,496","    14,176,701","  11,570,795","    1,341,733","    852,958","    488,775","    422,542","    376,864","    45,678",,,湖南省,"    290,614","    224,180","    66,434","    379,085","    184,088","    194,997","    440,724","    221,374","    219,350",,,湖南省,"    22,231,219","  12，027,005","    10,204,214","    3,422,961","    2,399,526","    1,023,435","    1 3,426","    7,284","    6,142"
湖南省,"  28,277,272","    16,107,108","  12，170,164","    1,157,667",735780,"    421,887","    341,576","    307,871","    33,705",,,广东省,"    421,052","        332,443","    88,609","    794,670","    492,262","    302,408","    678,81 3","    320,847","    357,966",,,广东省,"    21,764,787","  11,282,663","    10,482,124","    5,11 5,480","    2,938,322","    2,177,1 58","    17,1 77","    10,040","    7,137"
广东省,"  30,673,733","    16,734,773","  13,938,960","    1,465,773","    983,1 47","    482,626","    415,981","    375,049","    40,932",,,广西壮族自治区,"    175,481","    144,948","    30,533","    253,380","    133,477","    119,903","    240,848","    107,537","    133,311",,,广西壮族自治区,"    15,659,802","    8,029,487","    7,630,315","    1,398,633","    917,126","    481,507","    6,819","    4,072","    2,747"
广西壮族自治区,"  18,615,027","    9,986,722","    8,628,305","    685,936","    472,997",212939,"    194,128","    1 77,078","    17,050",,,四川省,"    525,216","    396,611","    128,605","    650,396","    317,31 6","    333,080","    782,203","    41 7,574","    364,629",,,四川省,"    45,116,456","    23,198,758","  21,917,698","    5,008,492","    3,512,310","    1,496,182","    40,369","    23,601","    16,768"
四川省,54722395,"    29,612,264","  25,110,131","    2,047,527","    1,252,748","    794,779","    551,736","    493,346","    58,390",,,贵州省,"    137,629","    101,580","    36,049","    161,978","    75,335","    86,643","    145,558","    59,193","    86,365",,,贵州省,"    11,921,242","    6,013,414","    5,907,828","    942,562","    632,385","    310,177","    8,810","    5,316","    3,494"
贵州省,"  13,987,354",7353353,6634001,"    506,212","    31 8,410","    1 87,802","    163,363","    147,720","    1 5,643",,,云南省,"    166,005","    130,298","    35,707","    150,374","    77,81 6","    72,558","    191,950",77033,"    11 4,917",,,云南省,"    14,041,678","    6,955,628","    7,086,050","    1,300,322","    919,847","    380,475","    4,949","    3,047","    1,902"
云南省,"  16,642,228","    8,721,256","    7,920,972","    618,440","    403,491","    214,949","    168,510","    154,096","    1 4,414",,,西藏自治区,"    16,561","    13,082","    3,479","    5,581","    2,991","    2,590","    12,705","    6,093","    6,612",,,西藏自治区,"    837,305","    393,585",443720,"    82,572","    58,373","    24,199",    414,    265,    149
西藏自治区,"    1,016,387","    518,169","    498,218","    42,434","    27,223","    15,211","    18,815","    16,557","    2,258",,,陕西省,"    229,195","    181,208",47987,"    209,522","    109,057","    100,465","    286,063","    1 54,900","    131,163",,,陕西省,"    11,339,139","    5,984,165","    5,354,974","    1,876,642","    1,274,685","      601,957","    8,876","    6,176","    2,700"
陕西省,"  15,051,649","    8,489,684","    6,561,965","    873,529","    568,806","    304,723","    228,683","    210,687","    1 7,996",,,甘肃省,"    124,456","    96,835","    27,621","    117,218","    60,838","    56,380","    1 54,297","    78,279","    76,018",,,甘肃省,"    8,315，224","    4,218,709","    4,096,515","    1,019,293","    710,738","    308,555","    9,466","    5,706","    3,760"
甘肃省,"  10,325,042","    5,600,782","    4,724,260","    452,864","    307,165","    1 45,699","    132,224","    122,51 2","    9,712",,,青海省,"    38,095","    29,495","    8,600","    28,486","    14,063","    14,423",47317,"    24,148","    23,169",,,青海省,"    1,257,854","    623,096","    634,758","    307,867","    205,224","    102,643","    3,089","    1,731","    1,358"
青海省,1854349,"    1,017,806","    836,543","    1 35,680","    86,497","    49,183","    35,961","    33,552","    2,409",,,宁夏回族自治区,"    30,384","    23,163","    7,221","    25,332","    11,917","    13,41 5","    40,532","    19,930","    20,602",,,宁夏回族自冶区,"    1,329,719","    669,365","    660,354","    252,715","    176,119",76596,1470,    938,    532
宁夏回族自治区,"    1,820,328","    999,505","    820,823","    109,627","    69,694","    39,933","    30,549",28379,"    2,1 70",,,新疆维吾尔自治区,"    132,569",103324,"    29,245","    113,856","    56,777","    57,079","    182,040","    91,360","    90,680",,,新疆维吾尔自治区,"    3,904,873","    2,029,071","    1,875,802","    1,165,965","    759,963","    406,002","    4,809","    3,101","    1,708"
新疆维吾尔自治区,"    6,138,095","    3,449,302","    2,688,793","    497,202","    279,710","    217,492",156781,"    125,996","    10,785",,,,,,,,,,,,,,,,,,,,,,,,
