62.各种职业人口的年龄构成,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    女,,,,,,,
,,    男,,,,,,,,,,    职业别,,,,,,,,
    职业别,    合计,,,,,,,,,,,,  小计,1 5-1 9岁,2 0-2 4岁,  2 5—2 9岁,3 0-3 4岁,3 5—4 9岁,5 0-5 4岁,5 5岁及以上
  1.行政办事人员,"    3,599,196","    2,640,670","    74,826","    203,881","    362,456","    378,028","    1,424,587","    137,863","    59,029",,,  3．邮电工作人员,"    307,963","    36,685","    66,566","    79,742","    43,857","    78,721","    1,939",    453
  2．政治、保卫工作人员,"    2,059,288","    1,782,835","    1 37,968","    291,665","    318,819","    287,912","    689,698","    37,091","    19,682",,,  4．其他办事人员和有关人员,"    118,262","    7,480","    1 5,986","    24,534","    20,481","    41,430","    4,868","    3,483"
  3．邮电工作人员,"    606,627","    298,664",    30，307,"    46,548","    55,714","    46,077","    113,720","    4,486","    1,812",,,四、商业工作人员,"    4,317,602","    650,434",881963,"    877,239","    601,411","    997,001","    129,440","    180,114"
  4．其他办事人员和有关人员,"    523,236","    404,974","    1 0,514","    30,704","    57,786","    61,294",210339,"    22,180","    12,157",,,  1．售货人员,"    3,990,593","    623,897","    837,034","    820,620","    551,145","    873,988","    114,736","    169,173"
四、商业工作人员,"    9,415,378","    5,097,776",471382,"    686,881","    861,853","    703,470","    1,755,496","    288,082","    330,612",,,  2．采购员和供销人员,"    195,886","    10,006","    23,943","    34,693","    33,664","    82,612","    7,748","    3,220"
  1．售货人员,"    7,013,707","    3,023,11 4","    403,41 7","    495,289","    504,402","    352,254","    827,412","    180,995","    259,345",,,  3．收购人员,"    109,440","    13,986","    1 7,332","    18,166","    13,813","    33,238","    6,147","    6,758"
  2．采购员和供销人员,"    1,891,822","    1,695,936","    35,406","    142,094","    300,588","    300,066",783387,"    86,529","    47,866",,,  4．其他商业工作人员,"    21,683","    2,545","    3,654","    3,760","    2,789","    7,163",    809,    963
  3．收购人员,"    413,802",304362,"    28,641","    41,751","    47,061","    41,394","    111,292","    15,994","    18,229",,,五、服务性工作人员,"    5,51 4,587","    601,669","    798,172","    903,789","    740,882","    1,841,081","    305,236","    323,758"
  4．其他商业工作人员,"    96,047","    74,364","    3,918","    7,747","    9,802","    9,756","    33,405","    4,564","    5,172",,,  1．服务员,"    4,183,278","    481,210","    606,008","    673,066",540307,"    1,385,867","    234,674","    262,146"
五、服务性工作人员,"    11,505,724","    5,991,1 37","    584,680",671073,"    780,890","    635,814","    2,1 36,623","    504,807","    677,250",,,  2．厨师和炊事员,"    1,185,559","    102,690","    1 71,940","    209,311","    183,857",    412，920,"    61,074","    43,767"
  1．服务员,"    7,780,219","    3,596,941","    393,71 7","    380,593","    386,180","    308,024","    1,276,116","    344,392","    507,919",,,  3．导游员,    976,    225,    372,    200,    77,    82,    8,    12
  2．厨师和炊事员,"    3,051,556","    1,865,997","    11 7,509",219356,"    319,471","    271,699","    696,863","    126,228","    114,871",,,  4．生活日用品修理人员,"    95,187","    13,266","    16,385","    16,622","    11,421","    27,755","    4,702","    5,036"
  3．导游员,"    2,1 73","    1,1 97",    1 30,    291,    254,    147,    311,    36,    28,,,  5．其他服务性工作人员,"    49,587","    4,278","    3,467","    4,590","    5,220","    14,457","    4,778","    12,797"
  4．生活日用品修理人员,"    575,481","    480,294","    68,881","    67,102","    70,295","    51,770","    148,259","    29,909","    44,078",,,六、农林牧渔劳动者,"  175,657,806","    39,935,246","    22,861,410","    29,1 39,046","    23,692,314","  43,749,401",8369038,7911351
  5．其他服务性工作人员,"    96,295","    46,708","    4,443","    3,731","    4,690","    4,1 74","    15,074","    4,242","    10,354",,,  1．农林牧渔生产负责人,"    37,236",    614,"    1,21 7","    3,620","    5,704","    21,847","    2,694","    1,540"
六、农林牧渔劳动者,"  375,380,478","  1 99,722,672","  35,922,305","    23,047,475","  29,936,623",23928372,"  63,074,261",11100345,"    12,713,291",,,  2．农业劳动者,"    171,138,71 5","    39,285,479",22360758,"    28,495,976","  23,118,91 7","  42,338,013","    8,024,178","    7,515,394"
  1．农林牧渔生产负责人,"    1,720,639",1683403,    768,"    10,251","    109,853",245722,"    1,173,235","    105,542","    38,032",,,  3．林业劳动者,"    926,102","    227,183","    1 69,208",160752,"    11 7,958","    210,153",23804,"    1 7,044"
  2．农业劳动者,"  360,063,786",188925071,"    34,81 7,970",21859963,"  28,297,853",22584035,"    59,097,366","    10,409,919","  11,857,965",,,  4．牧业劳动者,"    2,981,389","    291,761","    237,028","    387,921","    377,940",1039562,"    294,217","    352,960"
  3．林业劳动者,"    2,997,029","    2,070,927","    288,566","    249,981","    258,025","    203,027","    710,578","    1 49,309","    211,441",,,  5.渔业劳动者,"    320,549","    69,872","    49,228","    52,865","    38,956","    78,155","    14,842",16631
  4．牧业劳动者,"    5,822,240","    2,840,851","    404,628","    167,956","    197,750","    203,409","    1,067,484","    31 5,476","    484,1 48",,,  6．狩措业劳动者,    486,    90,    68,    76,    66,    129,    31,    26
  5．渔业劳动者,"    1,752,41 7","    1,431,868","    187,091","    191,561","    235,440","    179,126","    476,843","    81,814","    79,993",,,  7．农业机械操作人员,"    28,232","    3,561","    8,307","    7,095","    4,241","    4,814",    117,    97
  6．狩猎业劳动者,"    3,253",2767,    252,    258,    351,341,1149,    192,    224,,,  8．其他农林牧渔劳动者,"    225,097","    56,686","    35,596","    30,741",28532,"    56,728","    9,155","    7,659"
