,,,,,,,,,,,,,
表8-11全国镇不同规模的家庭户类 别,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,  一代户和,  二代户和,  三代户和,  四代户和,  五代户和,
    户规模,    合计,  单身户,  一对夫妇户,  二代户,  三代户,  四代户,  五代户,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它
,,,,,,,,  及非亲属,  及非亲属,  及非亲属,  及非亲属,  及非亲属,
总计,    64 144 453,    3 131 070,    3 982 442,    41 788 442,  10 871 814,    429 225,    627,    544 914,  1 512 693,    823 588,    41 170,    86,  1 018 382
一人户,    4 149 452,    3 131 070,-,-,-,-,-,-,-,-,-,-,  1 018 382
二人户,    7 049 791,-,    3 982 442,    2 785 954,-,-,-,    281 395,-,-,-,-,-
三人户,    14 442 109,-,-,    13 765 772,    276 685,-,-,    166 998,    232 654,-,-,-,-
四人户,    16 477 549,-,-,    14 103 695,    1 818 532,    4 134,-,    52 391,    474 677,    24 120,-,-,-
五人户,    11 519 088,-,-,    7 476 061,    3 382 269,    36 270,    2,    25 676,    433 377,    165 047,    386,-,-
六人户,    5 599 549,-,-,    2 593 982,    2 494 997,    72 837,    23,    9 475,    201 435,    222 374,    4 425,    1,-
七人户,    2 669 151,-,-,    783 007,    1 490 940,    94 435,    68,    4 585,    100 040,    186 836,    9 231,    9,-
八人户,    1 203 238,-,-,    212 937,    738 338,    88 013,    131,    2 118,    40 989,    1 11 165,    9 540,    7,-
九人户,    535 497,-,-,    51 766,    340 104,    61 626,    147,    993,    16 460,    57 270,    7 120,    11,-
十人及十人以上户,    499 029,-,-,    15 268,    329 949,    71 910,    256,    1 283,    13 061,    56 776,    10 468,    58,-
