表8—8  全国按户主民族分的家庭户的类别,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,  一代户和,  二代户和,  三代户和,  四代户和,  五代户和,
    民族别,    合计,  单身户,  一对夫妇户,  二代户,  三代户,  四代户,  五代户,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它
,,,,,,,,  及非亲属,  及非亲属,  及非亲属,  及非亲属,  及非亲属,
总计,  276 91 1 767,    13 532 357,    17 865 992,  182 1 15 935,  45 681 327,  1 699 585,    2 469,  2 256 954,  6 326 602,  3 442 128,    164 963,    304,3 823 151
德昂族,    2 670,    48,    62,    1 626,    657,    33,-,    12,    84,    134,    6,-,    8
保安族,    2 183,    38,    54,    1 336,    577,    13,-,    14,    64,    77,    3,-,    7
裕固族,    2 412,    104,    89,    1 582,    366,    13,-,    29,    128,    72,    4,-,    25
京族,    3 151,    166,    144,    1 887,    700,    34,-,    36,    78,    31,    -,-,    75
塔塔尔族,    963,    32,    27,    653,    108,    2,-,    20,    81,    26,    -,-,    14
独龙族,       1 105,    53,    43,    676,    170,    2,-,    26,    76,    37,    1,-,    21
鄂伦春族,    1 332,    68,    70,    891,    129,    2,-,    34,    97,    27,    -,-,    14
赫哲族,    887,    26,    62,    638,    84,    4,-,    7,    45,    15,    1,-,    5
门巴族,    1 219,    40,    34,    533,    293,    11,-,    33,    123,    127,    9,-,    16
珞巴族,    433,    42,    14,    211,    78,    3,-,    11,    30,    37,    -,-,    7
基诺族,    3 364,    134,    112,    1 737,    874,    64,-,    24,    145,    230,    10,-,    34
其他未识别的民族,    162 936,    10 312,    11 952,    119 801,    14 748,    411,-,    1 228,    2 272,    964,    43,-,    1 205
外国人加入中国籍,    995,    292,    43,    406,    186,    7,-,    8,    17,    7,    -,-,    29
