,,,,,,,,,,,,,
表8-12全国县不同规模的家庭户类 别,,,,,,,,,,,,,
    单位：户,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,  一代户和,  二代户和,  三代户和,  四代户和,  五代户和,
    户规模,    合计,  单身户,  一对夫妇户,  二代户,  三代户,  四代户,  五代户,  其它亲属,  其它亲属,  其它亲属,  其它亲属,  其它亲属,其它
,,,,,,,,  及非亲属,  及非亲属,  及非亲属,  及非亲属,  及非亲属,
总计,  126 044 096,    6 374 218,    7 185 782,    83 632 147,  21 418 142,    858 119,    1 459,    862 073,  2 832 918,  1 770 654,    90 044,    173,  1 018 367
一人户,    7 392 585,    6 374 218,-,-,-,-,-,-,-,-,-,-,  1 018 367
二人户,    12 394 273,-,    7 185 782,    4 756 823,-,-,-,    451 668,-,-,-,-,-
三人户,    24 547 223,-,-,    23 237 077,    503 241,-,-,    259 731,    547 174,-,-,-,-
四人户,    33 689 522,-,-,    29 519 867,    3 233 925,    7 174,-,    82 941,    790 345,55270,-,-,-
五人户,    25 054 617,-,-,    17 173 973,    6 655 094,    67 323,    9,    39 507,    774 203,    343 680,    828,-,-
六人户,    12 410 617,-,-,    6 201 985,    5 181 894,    137 352,    55,    15 328,    390 020,    474 288,    9 694,    1,-
七人户,    5 960 137,-,-,    1 961 627,    3 170 123,    190 603,    126,    6 841,    197 392,    413 834,    19 577,    14,-
八人户,    2 626 193,-,-,    570 235,    1 514 486,    187 974,    235,    3 089,    80 494,    248 751,    20 909,    20,-
九人户,    1 105 637,-,-,    154 581,    645 866,    132 494,    392,    1 365,    31 187,    123 429,    16 292,    31,-
十人及十人以上户,    863 292,-,-,    55 979,    513 513,      135 199,    642,    1 603,    22 103,    111 402,    22 744,    107,-
