21.市(不含市辖县)人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  乐山市,"    954,384","    488,027","    466,357","    117,435","    62,297","    55,138","    836,949","    425,730","    411,219"
  绵阳市,"    776,162","    405,597","    370,565","    169,006","    92,582","    76,424","    607,156","    313,015","    294,141"
  南充市,"    220,531","    115,534","    104,997","    135,252","    74,743","    60,509","    85,279","    40,791","    44,488"
  达县市,"    189,118","    101,815","    87,303",75300,"    40,068","    35,232","    113,818","    61,747","    52,071"
  西昌市,"    149,560","    80,373","    69,187","    74,310","    41,655","    32,655","    75,250","    38,718","    36,532"
贵州省,"    4,056,447","    2,110,494","    1,945,953","    3,239,186","    1,685,704","    1,553,482","    817,261","    424,790","    392,471"
  贵阳市区,"    1,319,432","    686,058","    633,374","    740,445","    385,138","    355,307","    578,987",300920,"    278,067"
  六盘水市区,"    2,089,549","    1,086,956","    1,002,593","    2,089,549","    1,086,956","    1,002,593",-,-,-
  遵义市,"    341,963","    181,812","    160,151","    190,386","    103,099","    87,287","    151,577","    78,713","    72,864"
  安顺市,"    207,883","    104,804","    103,079","    123,026","    61,471","    61,555","    84,857","    43,333","    41,524"
  都匀市,"    97,620","    50,864","    46,756","    95,780","    49,040","    46,740","    1,840","    1,824",    16
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
(续),,,,,,,,,
云南省,"    2,434,611","    1,277,857","    1,156,754","    1,147,038","    595,251","    551,787","    1,287,573","    682,606","    604,967"
  昆明市区,"    1,425,779","    752,198","    673,581","    580,919","    296,645","    284,274","    844,860","    455,553","    389,307"
  东川市,"    240,213","    126,169","    114,044","    240,213","    126,169","    114,044",-,-,-
  昭通市,"    115,897","    59,231","    56,666","    59,905","    31,940","    27,965","    55,992","    27,291","    28,701"
  个旧市,"    327,929","    1 70,61 6","    1 57,313","    110,295","    55,395","    54,900","    217,634","    115,221","    102,413"
  开远市,"    204,916","    106,052","    98,864","    68,637","    37,485","    31,152","    136,279","    68,567","    67,712"
  下关市,"    119,877","    63,591","    56,286","    87,069","    47,61 7","    39,452","    32,808",15974,"    16,834"
西藏自治区,"    105,866","    56,389","    49,477","    105,866","    56,389","    49,477",-,-,-
  拉萨市区,"    105,866","    56,389","    49,477","    105,866","    56,389","    49,477",-,-,-
  陕西省,"    4,058,077","    2,135,411","    1,922,666","    2,155,785","    1,153,111","    1,002,674","    1,902,292","    982,300","    919,992"
  西安市区,"    2,196,556","    1,150,664","    1,045,892","    1,227,386","    649,964","    577,422","    969,170","    500,700","    468,470"
  铜川市区,"    377,704","    211,565","    166,1 39","    189,232","    106,863","    82,369","    188,472","    104,702","    83,770"
  宝鸡市区,"    338,754","    181,588","    157,166","    338,754","    181,588","    157,166",-,-,-
  咸阳市,"    497,424","    255,603","    241,821","    219,513","    119,794","    99,719","    277,911","    135,809","    142,102"
  汉中市,"    396,793","    205,183","    191,610","    116,674","    60,726","    55,948","    280,119","    144,457","    135,662"
  延安市,"    250,846","    130,808","    120,038","    64,226","    34,176","    30,050","    186,620","    96,632","    89,988"
甘肃省,"    1,980,463","    1,062,999","    917,464","    1,568,343","    836,146","    732,197","    412,120","    226,853","    185,267"
  兰州市区,"    1,416,371","    758,479","    657,892","    1,182,562","    624,648","    557,914","    233,809","    133,831","    99,978"
  嘉峪关市区,"    81,378","    46,409","    34,969","    81,378","    46,409","    34,969",-,-,-
  金昌市区,"    111,477","    61,463","    50,014","    111,477","    61,463","    50,014",-,-,-
  玉门市,"    184,777","    100,030","    84,747","    74,192","    41,381","    32,811","    110,585","    58,649","    51,936"
  天水市,"    186,460","    96,618","    89,842","    118,734","    62,245","    56,489","    67,726",34373,"    33,353"
青海省,"    690,197","    361,855","    328,342","    489,888","    259,389","    230,499","    200,309","    102,466","    97,843"
  西宁市区,"    571,545","    296,984","    274,561","    476,769","    252,412","    224,357","    94,776","    44,572","    50,204"
  格尔木市,"    57,202","    29,994","    27,208","    13,119","    6,977","    6,142","    44,083","    23,017","    21,066"
  大柴旦(地区),"    21,793","    11,834","    9,959",-,-,-,"    21,793","    11,834","    9,959"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女
(续),,,,,,,,,
  冷湖地区,"    17,156","    9,407","    7,749",-,-,-,"    17,1 56","    9,407","    7,749"
  茫崖(地区),"    22,501","    13,636","    8,865",-,-,-,"    22,501","    13,636","    8,865"
宁夏回族自治区,"    667,737","    353,282","    314,455","    498,553","    268,425","    230,128","    169,184","    84,857","    84,327"
  银川市区,"    363,509","    186,643","    1 76,866","    262,072","    136,294","    125,778","    101,437","    50,349","    51,088"
  石咀山市区,    304，228,"    166,639","    137,589","    236,481","    132,131","    104,350","    67,747","    34,508","    33,239"
新疆维吾尔自治区,"    2,615,113","    1,343,192","    1,271,921","    2,157,183","    1,109,145","    1,048,038","    457,930","    234,047","    223,883"
  乌鲁木齐市区,"    956,843","    490,560","    466,283","    956,843","    490,560","    466,283",-,-,-
  克拉玛依市,"    168,868",91869,"    76,999","    168,868","    91,869","    76,999",-,-,-
  石河子市,"    549,410","    279,735","    269,675","    549,410","    279,735",269675,-,-,-
  哈密市,"    94,878","    48,719","    46,159","    85,672","    44,199","    41,473","    9,206","    4,520","    4,686"
  伊宁市,"    225,027","    114,831",110196,"    137,559","    69,934","    67,625","    87,468","    44,897","    42,571"
  奎屯市,"    223,968","    114,599","    109,369","    32,430","    16,567","    1 5,863","    191,538","    98,032","    93,506"
  库尔勒市,"    121,991","    62,379","    59,612","    98,685","    50,463","    48,222","    23,306","    11,916","    11,390"
  喀什市,"    274,128","    140,500","    133,628","    127,716","    65,818","    61,898","    146,412","    74,682","    71,730"
