21.市(不含市辖县)人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  辽阳市区,"    448,807","    227,299","    221,508","    335,509","    171,249","    164,260","    113,298","    56,050","    57,248"
  铁岭市,"    210,754","    107,333","    103,421","    1 70,201","    87,292","    82,909","    40,553","    20,041","    20,512"
  铁法市,"    146,367","    75,842",70525,"    79,911","    43,333","    36,578","    66,456","    32,509","    33,947"
  朝阳市,"    213,606","    109,463","    104,143","    137,815","    72,649","    65,166","    75,791","    36,814",38977
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
(续),,,,,,,,,
吉林省,"    5,515,103","    2,810,611","    2,704,492","    3,757,024","    1,915,435","    1,841,589","    1,758,079","    895,176","    862,903"
  长春市区,"    1,757,083","    895,325","    861,758","    1,307,372","    669,456","    637,916","    449,711","    225,869","    223,842"
  吉林市区,"    1,079,332","    548,801","    530,531","    804,477","    409,756","    394,721","    274,855","    139,045","    135,810"
  四平市,"    344,388","    1 73,728","    170,660","    259,149","    131,057","    128,092","    85,239","    42,671","    42,568"
  辽源市,"    759,587",    389，213,"    370,374","    296,713","    150,523","    146,190","    462,874","    238,690","    224,184"
  通化市,"    354,842","    180,177","    174,665","    228,632","    116,272","    112,360","    126,210","    63,905","    62,305"
  浑江市,"    684,297","    353,605","    330,692","    467,557","    240,114","    227,443","    216,740","    113,491","    103,249"
  白城市,"    266,420","    135,141","    131,279","    1 73,606","    87,809","    85,797","    92,814","    47,332","    45,482"
  延吉市,"    175,957","    88,221","    87,736","    147,999","    74,711","    73,288","    27,958","    13,510","    1 4,448"
  图们市,"    93,197","    46,400","    46,797","    71,519","    35,737","    35,782","    21,678","    10,663","    11,015"
黑龙江省,"    8,773,063","    4,459,198","    4,313,865","    8,212,506","    4,168,410","    4,044,096","    560,557","    290,788","    269,769"
  哈尔滨市区,"    2,542,832","    1,280,403","    1,262,429","    2,542,832","    1,280,403","    1,262,429",-,-,-
  齐齐哈尔市区,"    1,224,113","    621,648","    602,465","    1,224,113","    621,648","    602,465",-,-,-
  鸡西市区,"    766,731","    390,081","    376,650",766731,"    390,081","    376,650",-,-,-
  鹤岗市区,"    576,159","    296,008","    280,151","    576,1 59","    296,008","    280,151",-,-,-
  双鸭山市区,"    397,523","    202,221","    195,302","    397,523","    202,221","    195,302",-,-,-
  大庆市区,"    764,045","    393,452","    370,593","    764,045","    393,452","    370,593",-,-,-
  伊春市区,"    803,888","    406,832","    397,056","    801,002","    405,355","    395,647","    2,886","    1,477","    1,409"
  佳木斯市,"    529,834","    268,540","    261,294","    376,283","    188,897","    187,386","    153,551","    79,643","    73,908"
  七台河市,"    259,859","    137,801","    122,058","    200,851","    106,231","    94,620","    59,008","    31,570","    27,438"
