26.县、市的户数与人口数,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,    户数,,,
,,    合计,    男,    女
  保定地区,"    1,896,532","    8,341,050","    4,257,569","    4,083,481"
    保定市,"    134,274","    502,394","    267,546","    234,848"
    易县,"    105,708","    466,666","    242,020","    224,646"
    满城县,"    78,910","    352,446","    1 78,840","    173,606"
    徐水县,"    96,573","    447,462","    227,372","    220,090"
    涞源县,"    58,290","    234,720","    124,302","    110,418"
    定兴县,"    91,296","    429,748","    219,358","    210,390"
    完县,"    59,962","    254,468","    129,425","    125,043"
    唐县,"    96,605","    419,085","    213,907","    205,178"
    望都县,"    46,929","    204,1 79","    102,533","    101,646"
    涞水县,"    65,811","    281,838","    1 44,495","    137,343"
    涿县,"    94,844","    425,062","    217,467","    207,595"
    清苑县,"    119,923","    540,075","    272,908","    267,167"
    高阳县,"    57,442","    250,044","    128,178","    121,866"
    安新县,"    74,298","    327,578","    165,261","    162,317"
    雄县,"    57,513","    261,139","    132,530","    128,609"
    容城县,"    41,807","    186,198","    94,053","    92,145"
    新城县,"    80,901","    384,075","    195,084","    188,991"
    曲阳县,"    90,375","    407,572","    208,276","    199,296"
    阜平县,"    45,108","    185,683","    96,551","    89,132"
    定县,"    196,603",892126,"    451,206","    440,920"
    安国县,"    75,572","    325,254","    162,569","    162,685"
    博野县,"    45,251","    200,413","    100,643","    99,770"
    蠡县,"    82,537","    362,825","    183,045","    1 79,780"
  张家口地区,"    1,043,983","    3,912,454","    2,086,931","    1,825,523"
    张家口市,"    168,804","    605,906","    316,608","    289,298"
    张北县,"    92,689","    359,382","    189,665","    169,717"
    康保县,"    69,509","    263,354","    138,982","    124,372"
    沽源县,"    52,279","    210,420","    109,908","    1 00,512"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,    户数,,,
,,  合计,    男,    女
    (续),,,,
    尚义县,"    44,583","    173,953","    91,505","    82,448"
    蔚县,"    113,194","    406,021","    224,262","    181,759"
    阳原县,"    64,772","    240,494","    129,393","    111,101"
    怀安县,"    59,779","    224,664","    120,478","    104,186"
    万全县,"    49,677","    179,544","    96,170","    83,374"
    怀来县,"    72,952","    278,248","    147,162","    131,086"
    涿鹿县,"    79,805","    296,254","    160,709","    135,545"
    宣化县,"    78,830","    292,087","    158,232","    133,855"
    赤城县,"    66,859","    268,225","    143,104","    125,1 21"
    崇礼县,"    30,251","    113,902","    60,753","    53,149"
  承德地区,"    790,342","    3,553,240","    1,850,601","    1,702,639"
    承德市,"    82,622","    316,397","    167,940","    148,457"
    青龙县,"    102,234","    455,785","    236,536","    219,249"
    宽城县,"    44,752","    198,961","    103,814","    95,147"
    兴隆县,"    64,521","    276,598","    144,648","    131,950"
    平泉县,"    85,802","    401,548","    206,679","    194,869"
    承德县,"    96,366","    445,285","    231,603","    213,682"
    滦平县,"    64,012","    290,642","    151,560","    139,082"
    丰宁县,"    73,557","    337,028","    174,588","    162,440"
    隆化县,"    80,429",366428,"    190,385","    176,043"
    围场县,"    96,047","    464,568","    242,848","    221,720"
  唐山地区,"    1,521,703","    6,284,137","    3,214,880","    3,069,257"
    秦皇岛市,"    11 3,362","    403,701","    210,585","    193,116"
    丰润县,"    144,092","    595,327","    303,687","    291,640"
    丰南县,"    137,680","    567,389","    293,487","    273,902"
    滦县,"    109,525","    469,491","    240,885","    228,606"
    滦南县,"    122,947","    508,343","    256,984","    251,359"
    乐亭县,"    11 5,617","    453,977","    229,177","    224,800"
    昌黎县,"    121,787","    484,858","    24 7,876","    236,982"
    抚宁县,"    118,603","    478,657","    242,272","    236,385"
    卢龙县,"    85,900","    363,003","    185,734","    177,269"
    迁安县,"    123,178","    537,186","    276,886","    260,300"
    迁西县,"    74,071","    316,658","    165,357","    151,301"
    遵化县,"    133,171","    564,567","    287,498","    277,069"
    玉田县,"    121,770","    540,980","    274,452","    266,528"
  廊坊地区,"    632,833","    2,839,894",1443052,"    1,396,842"
    廊坊市,"    39,609","    1 71,972","    91,781","    80,191"
    三河县,"    71,026","    316,990","    159,650","    157,340"
    大厂回族自治县,"    22,454","    87,396","    43,456","    43,940"
    香河县,"    58,081","    250,488","    125,472","    125,016"
    安次县,"    66,912","    317,090","    163,304","    153,786"
