19.市(不含市辖县)按人口数排列一览表,,,
,,,
,,,
    市名,  人口数,    市名,  人口数
  上饶市,"    136,924",,
  珠海市,"    133,208",,
  随州市,"    132,814",,
  库尔勒市,"    121,991",,
  鄂城市,"    121,371",,
  下关市,"    119,877",,
  昭通市,"    115,897",,
  深圳市区,"    113,599",,
  荆门市,"    112,738",,
  金昌市区,"    111,477",,
  梅州市,"    109,647",,
  满洲里市,107876,,
  拉萨市区,"    105,866",,
  加格达奇区,"    102,935",,
  衡水市,"    102,879",,
  鹰潭市,"    102,477",,
  娄底市,"    102,180",,
  合山市,"    101,696",,
  老河口市,"    101,438",,
十万人以下,,,
  屯溪市,"    99,794",,
  恩施市,"    98,711",,
  都匀市,"    97,620",,
  怀化市,"    96,907",,
  哈密市,"    94,878",,
  图们市,93197,,
  津市市,"    84,215",,
