24.镇户数和人口数,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
  双城镇,"    24,877","    102,544","    51,425","    51,119"
  五常镇,"    17,586","    67,984","    34,426","    33,558"
  山河镇,"    7,240","    31,185","    15,781","    1 5,404"
  拉林镇,"    7,459","    32,069",    16，040,"    16,029"
  巴彦镇,"    10,127","    41,597","    20,854","    20,743"
  兴隆镇,"    12,190",    52，961,"    26,561","    26,400"
  木兰镇,    8，000,33216,"    16,939","    16,277"
  东兴镇,"    6,220","    27,922","    14,428","    13,494"
  通河镇,"    8,823","    34,199","    17,244","    16,955"
  乌鸦泡镇,"    2,661",12084,"    6,143","    5,941"
  尚志镇,"    13,844","    55,741","    28,513","    27,228"
  一面坡镇,"    11,084","    47,469","    24,573","    22,896"
  苇河镇,"    11,144","    47,488","    24,683","    22,805"
  亚布力镇,"    7,254","    31,139","    16,085","    15,054"
  帽儿山镇,"    7,902","    34,190","    17,961","    16,229"
  方正镇,"    6,719","    29,328","    14,886","    14,442"
  延寿镇,"    9,633","    40,287","    20,446",19841
  龙江镇,"    18,959","    78,283","    39,414","    38,869"
  景星镇,"        5,715","    25,672","    12,964","    12,708"
  讷河镇,"    15,280","    59,930","    30,150","    29,780"
  拉哈镇,"    8,942","    35,327","    1 7,785","    1 7,542"
  依安镇,"    14,868","    60,537","    30,549","    29,988"
  泰来镇,"    12,483","    50,053","    25,087","    24,966"
  甘南镇,"    10,335","    41,068","    20,862","    20,206"
  泰康镇,"    9,813","    42,342","    21,380","    20,962"
  富裕镇,"    13,225","    53,168","    27,157","    26,011"
  林甸镇,"    8,857","    37,671","    18,962","    18,709"
  克山镇,"    16,919",69983,"    35,322","    34,661"
  克东镇,8086,"    34,789","    17,556","    1 7,233"
  拜泉镇,"    13,708","    57,447","    28,714",28733
  三道镇,"    5,594","    26,664","    13,540","    13,124"
  海伦镇,"    19,958","    81,320","    40,993","    40,327"
  海北镇,"    6,737","    29,687","    15,093","    14,594"
  伦河镇,"    7,666","    36,021","    18,194","    17,827"
  肇东镇,"    28,857","    118,355","    59,524","    58,831"
  绥化镇,"    41,505","    167,585","    84,833","    82,752"
  四方台镇,"    5,698","    25,816","    13,019","    12,797"
  望奎镇,"    15,190","    62,635","    31,577","    31,058"
  兰西镇,"    11,700","    49,258","    24,898","    24,360"
  青冈镇,"    11,623","    49,759","    25,145","    24,614"
  安达镇,"    26,958","    113,514","    57,826","    55,688"
  肇源镇,    11，538,"    49,181","    24,821","    24,360"
  肇州镇,"    10,211","    43,553","    22,043","    21,510"
  庆安镇,"    10,311","    41,953","    21,155","    20,798"
  明水镇,"    10,935","    45,383","    22,988","    22,395"
  绥棱镇,"    15,257","    66,398","    33,414","    32,984"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  富锦镇,"    15,142","    66,038","    33,368",32670
  桦南镇,"    11,377","    50,972","    25,764","    25,208"
  依兰镇,"    13,041","    56,331","    28,657","    27,674"
  达连河镇,"    4,599","    20,099","    10,337","    9,762"
  勃利镇,"    16,868","    76,027",38894,"    37,133"
  福利镇,"    12,074","    54,500","    27,646","    26,854"
  集贤镇,"    5,498","    25,553","    13,017","    12,536"
  悦来镇,"    6,444","    27,939","    14,286","    13,653"
  宝清镇,"    10,498","    46,927","    23,883","    23,044"
  汤原镇,"    9,375","    35,802","    18,268","    17,534"
  鹤立镇,"    5,493","    23,403","    11,948","    11,455"
  绥滨镇,"    5,707","    24,739","    12,295","    12,444"
  风翔镇,"    6,396","    28,079","    14,395","    13,684"
  同江镇,"    3,999","    16,629","    8,514","    8,115"
  饶河镇,3539,"    14,679","    7,676","    7,003"
  抚远镇,"    2,201","    9,747","    4,992","    4,755"
  宁安镇,"    14,428","    54,888","    27,592",27296
  东京城镇,"    3,924","    16,696","    8,407","    8,289"
  勃海镇,"    5,722","    23,977","    12,144","    11,833"
  海林镇,"    11,953","    49,871","    25,187","    24,684"
  柴河镇,"    5,932","    26,569","    13,813","    12,756"
  长汀镇,"    4,076","    17,558","    9,052",8506
  横道河镇,"    4,455","    18,880","    9,693","    9,187"
  八面通镇,"    9,556","    41,327","    20,955",20372
  穆棱镇,9105,"    41,377","    20,895","    20,482"
  东宁镇,"    10,853",46224,"    23,409","    22,815"
  绥阳镇,"    4,079","    17,836","    9,038","    8,798"
  林口镇,"    11,637","    51,964","    26,420","    25,544"
  鸡东镇,"    6,717","    28,629","    14,568","    14,061"
  密山镇,"    13,741","    56,426","    28,370","    28,056"
  连珠山镇,"    3,029","    12,729","    6,399","    6,330"
  虎林镇,"    7,697","    31,337","    15,760","    15,577"
  迎春镇,    925,"    3,639","    1,937","    1,702"
  东方红镇,"    1,052","    4,176","    2,200","    1,976"
  北安镇,"    28,870","    117,528","    59,282","    58,246"
  通北镇,"    4,349","    19,809","    9,954","    9,855"
  嫩江镇,"    13,300","    57,284","    28,877","    28,407"
  青山镇,"    5,361","    23,787","    11,991","    11,796"
  五大连池镇,"    1,326","    6,347","    3,282","    3,065"
  龙镇,"    3,552","    16,476","    8,392","    8,084"
  奇克镇,"    3,412","    13,919","    7,019","    6,900"
  孙吴镇,"    3,392","    14,004","    7,069","    6,935"
  呼玛镇,"    3,588","    14,645","    7,392","    7,253"
上海市,"    167,102","    654,307","    354,126","    300,181"
  莘庄镇,1705,"    9,619","    6,405","    3,214"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  七宝镇,"    1,246","    5,227","    2,879","    2,348"
  北新泾镇,"    7,372","    28,032","    14,016","    14,016"
  漕河泾镇,"    8,719","    40,017","    21,222","    18,795"
  龙华镇,"    4,565","    18,500","    9,590","    8,910"
  嘉定镇,"    13,340","    53,692","    29,789","    23,903"
  南翔镇,"    3,886","    15,068","    8,181","    6,887"
  安亭镇,"    2,063","    9,824","    5,492","    4,332"
  真如镇,4232,"    19,471","    10,867","    8,604"
  罗店镇,"    1,447","    4,876",2569,"    2,307"
  大场镇,"    2,075","    7,827","    3,960","    3,867"
  江湾镇,"    5,746","    23,112","    12,095","    11,01 7"
  五角场镇,"    14,493","    64,01 7","    34,905","    29,112"
  城厢镇,"    5,532","    23,618","    12,918","    10,700"
  高桥镇,"    4,649","    17,113","    8,906","    8,207"
  洋泾镇,"    4,216","    16,886","    8,668","    8,218"
  杨思镇,"    1,291","    5,427","    2,869","    2,558"
  惠南镇,"    5,187","    21,289","    12,070","    9,219"
  周浦镇,"    5,828","    23,189","    12,107","    11,082"
  新场镇,"    2,825","    8,420","    4,414","    4,006"
  大团镇,"    2,538","    7,429","    3,712","    3,717"
  南桥镇,"    5,085","    20,062","    11,388","    8,674"
  松江镇,"    19,824","    68,052","    35,453","    32,599"
  泗泾镇,    2，482,"    7,273","    3,563","    3,710"
  朱泾镇,"    5,231","    21,003","    11,813","    9,190"
  枫泾镇,"    2,660","    7,869","    3,903","    3,966"
  张堰镇,"    1,921","    6,018","    3,121","    2,897"
  亭林镇,"    1,603","    4,845","    2,424","    2,421"
  青浦镇,"    7,580","    30,500","    18,478","    12,022"
  朱家角镇,3883,"    11,744","    6,063","    5,681"
  练塘镇,"    1,386","    3,814","    1,911","    1,903"
  城桥镇,"    7,238","    30,924","    17,964",12960
  堡镇镇,"    5,254","    19,550","    10,411","    9,139"
江苏省,"      782,495","    2,827,181","    1,512,935","    1,314,246"
  东山镇,"    4,923","    19,890","    11,371","    8,519"
  湖熟镇,"    1,093","    2,625","    1,369","    1,256"
  汤山镇,"    1,438","    4,487","    2,291","    2,196"
  珠江镇,"    6,692","    19,573","    10,576","    8,997"
  桥林镇,"    1,534","    4,284","    2,131","    2,1 53"
  六城镇,"    15,1 35","    52,569","    27,272","    25,297"
  冶山镇,"    1,754","    8,010","    4,808","    3,202"
  丰县城关镇,"    8,181","    34,068","    18,189","    15,879"
  沛城镇,"    8,581","    32,611","    1 7,803","    14,808"
  睢城镇,"    5,591","    26,097","    1 5,024","    11,073"
  运河镇,"    6,985","    31,442","    18,941","    12,501"
  新沂县新安镇,"    8,915","    33,591","    18,372","    1 5,219"
  牛山镇,"    5,690","    20,636","    12,141","    8,495"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,  合计,    男,    女
(续),,,,
  青口镇,"    8,610","    33,569","    17,801","    15,768"
  王营镇,"    8,462","    28,783","    15,586","    13,197"
  伊山镇,"    9,688","    36,131","    19,106","    17,025"
  板浦镇,"    3,510","    12,680","    6,239","    6,441"
  杨集镇,"    2,046","    7,413","    3,692","    3,721"
  南城镇,"    2,449","    9,481","    4,677","    4,804"
  燕尾镇,"    2,1 71","    8,883","    4,520","    4,363"
  灌南县新安镇,"    6,365","    25,204","    13,618","    11,586"
  沭城镇,"    13,964","    52,247","    27,925","    24,322"
  宿城镇,"    12,671","    53,600","    28,451","    25,1 49"
  众兴镇,"    8,994","    41,438","    22,470","    18,968"
  洋河镇,"    4,719","    22,629","    11,347","    11,282"
  涟城镇,"    5,890","    25,607","    14,132","    11,475"
  高沟镇,"    1,698","    5,949",    2，867,"    3,082"
  青阳镇,"    7,213","    31,618","    16,729","    14,889"
  双沟镇,"    2,113","    8,983","    4,606","    4,377"
  淮城镇,"    23,782","    83,434","    42,656","    40,778"
  高涧镇,"    8,091","    29,076","    15,365","    13,711"
  蒋坝镇,"    2,809","    11,478","    5,679","    5,799"
  盱城镇,"    8,375","    36,389","    18,997","    17,392"
  黎城镇,"    5,826","    23,049","    12,617","    10,432"
  响水镇,"    4,384","    19,397","    10,341","    9,056"
  陈港镇,"    3,199","    13,680","    6,749","    6,931"
  东坎镇,"    12,812","    48,732","    25,781","    22,951"
  阜城镇,"    9,517","    38,200","    21,128","    17,072"
  合德镇,"    7,579","    33,243","    18,580","    14,663"
  建湖镇,"    8,091","    32,950","    18,266","    14,684"
  上冈镇,"    3,387","    12,886","    6,998","    5,888"
  盐城镇,"    33,845","    150,028","    81,949","    68,079"
  大中镇,"    8,217","    33,598","    18,142","    1 5,456"
  东台镇,"    20,469","    70,875","    36,532","    34,343"
  昭阳镇,"    22,873","    74,360","    38,099","    36,261"
  高邮镇,"    18,506","    63,266","    32,518","    30,748"
  县城镇,"    16,686","    53,496","    27,712","    25,784"
  靖城镇,"    9,604","    37,864","    20,454","    17,410"
  泰兴镇,"    12,489","    47,339","    25,070","    22,269"
  黄桥镇,"    7,264","    26,211","    13,006","    13,205"
  江都镇,"    12,592","    44,319","    23,888","    20,431"
  瓜洲镇,"    3,621","    12,921","    6,451","    6,470"
  姜埝镇,"    16,665","    46,877",24705,"    22,172"
  溱潼镇,"    5,744","    19,004","    9,430","    9,574"
  真州镇,"    11,613","    38,228","    20,769","    17,459"
  海安镇,"    11,317","    38,517","    20,444","    18,073"
  曲塘镇,"    1,960","    6,152","    3,116","    3,036"
  李堡镇,"    1,788","    5,744","    3,090","    2,654"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  如城镇,"    13,009","    50,780","    27,093",23687
  丁堰镇,"    1,183","    4,702","    2,364","    2,338"
  白蒲镇,"    2,362","    7,470",    4，032,"    3,438"
  石庄镇,"    2,103","    6,781","    3,427","    3,354"
  掘港镇,"    6,465","    23,301","    13,1 30","    10,171"
  丰利镇,"    1,694","    5,164","    2,689","    2,475"
  拼茶镇,"    2,395","    7,087","    3,568","    3,519"
  岔河镇,"    1,241","    4,631","    2,307","    2,324"
  马塘镇,"    2,334","    8,147","    4,868","    3,279"
  金沙镇,"    7,959","    30,012","    16,419",13593
  二甲镇,"    2,033","    6,655","    3,247","    3,408"
  三余镇,"    1,341","    4,887","    2,653","    2,234"
  石港镇,"    2,037","    6,559","    3,633","    2,926"
  平潮镇,"    2,199","    7,161","    3,717","    3,444"
  海门镇,"    6,061","    20,574","    11,328","    9,246"
  三厂镇,"    3,983","    17,158","    9,056","    8,102"
  汇龙镇,"    5,524","    23,204","    14,069","    9,135"
  吕四镇,"    2,133","    8,078","    4,324","    3,754"
  湖塘镇,"    5,094","    1 7,41 5","    8,834","    8,581"
  横林镇,"    2,145","    7,449","    3,926","    3,523"
  奔牛镇,"    3,101","    9,181","    4,723","    4,458"
  丹阳县城镇,"    14,933","    45,754","    25,072",    20，682
  句容县城镇,"    5,093","    18,604","    10,373","    8,231"
  金城镇,"    8,650","    25,830","    14,066","    11,764"
  在城镇,"    4,310","    14,124","    8,056","    6,068"
  淳溪镇,"    7,083","    19,790","    10,728","    9,062"
  溧城镇,"    12,834","    42,396","    23,280","    19,116"
  戴埠镇,"    2,438","    7,661","    3,909","    3,752"
  张渚镇,"    5,232","    15,942","    8,606","    7,336"
  和桥镇,"    2,596","    7,222","    3,703","    3,519"
  丁蜀镇,"    14,313","    46,114","    24,574","    21,540"
  宜城镇,"    8,206","    27,206","    14,843","    12,363"
  官林镇,    745,"    2,136","    1,172",    964
  周铁镇,    802,"    2,117","    1,171",    946
  三茅镇,"    5,120","    15,979","    9,122","    6,857"
  澄江镇,"    18,490","    69,133","    36,667","    32,466"
  青阳镇,"    1,871","    6,080","    3,191","    2,889"
  洛社镇,"    1,957","    8,975","    5,258","    3,71 7"
  杨舍镇,"    6,033","    21,018","    11,693","      9,325"
  后塍镇,"    1,971","    5,649","   3,043","    2,606"
  虞山镇,"    25,820","    78,058","    40,575","    37,483"
  城厢镇,"    7,284","    22,378","    11,868","    10,510"
  沙溪镇,4022,"    12,863","    6,639","    6,224"
  浏河镇,"    2,740","    11,868","    7,409","    4,459"
  玉山镇,"    14,683","    47,735","    25,561","    22,174"
  陈墓镇,"    2,090","    5,873",3148,"    2,725"
  千灯镇,    947,"    2,480","    1,266","    1,214"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  浒关镇,"    4,679","    22,314","    13,478","    8,836"
  木渎镇,"    4,648","    18,670","    10,531","    8,139"
  松陵镇,"    5,075","    17,606","    9,484","    8,122"
  盛泽镇,"    8,285","    25,904","    12,324","    13,580"
  同里镇,"    2,533","    7,015","    3,555","    3,460"
  震泽镇,"    2,785","    8,226","    4,184","    4,042"
  黎里镇,"    2,565","    6,839","    3,636","    3,203"
  平望镇,"    2,772","    9,353","    5,260","    4,093"
  芦墟镇,"    2,314","    6,462","    3,497","    2,965"
浙江省,"    838,251","    3,136,430","    1,663,667","    1,472,763"
  城厢镇,"    13,857","    61,332","    33,618","    27,714"
  临浦镇,"    2,076","    9,200","    5,429","    3,771"
  瓜沥镇,"    3,446","    12,452","    6,495","    5,957"
  义桥镇,    858,"    2,514","    1,238","    1,276"
  闻堰镇,"    1,329","    5,377","    3,122","    2,255"
  长河镇,    932,"    2,966","    1,615","    1,351"
  西兴镇,    998,"    3,919","    2,128","    1,791"
  坎山镇,"    1,406","    4,372","    1,900","    2,472"
  桐庐镇,"    4,509","    17,789","    10,008",7781
  富春江镇,2373,"    10,119","    5,495","    4,624"
  分水镇,    644,"    2,611","    1,551","    1,060"
  富阳镇,"    4,732","    21,564","    12,616","    8,948"
  新登镇,"    2,318","    9,890","    5,525","    4,365"
  临安镇,"    3,873","    18,297","    11,070","    7,227"
  于潜镇,    889,"    3,847","    2,369","    1,478"
  昌化镇,1133,"    5,743","    3,638","    2,105"
  临平镇,"    6,331","    25,233","    13,479","    11,754"
  塘栖镇,"    4,727","    18,025","    8,772",    9，253
  三墩镇,"    1,212","    5,034","    2,798","    2,236"
  余杭镇,"    3,479","    13,034","    6,985","    6,049"
  瓶窑镇,"    1,575","    6,396","    3,584","    2,812"
  白沙镇,"    8,611","    36,654","    20,585",16069
  梅城镇,"    5,882","    20,704","    10,952","    9,752"
  寿昌镇,"    3,332","    13,065","    7,308","    5,757"
  排岭镇,"    3,434","    16,1 34","    9,690","    6,444"
  杨旗坦镇,"    3,318","    15,1 46","    8,120","    7,026"
  姜家镇,"    1,713","    7,925","    4,264","    3,661"
  镇海县城关镇,"    12,192","    48,726","    28,300","    20,426"
  柴桥镇,"    9,077","    29,395","    14,533","    14,862"
  大碶镇,"    5,863","    18,327","    9,133","    9,194"
  骆驼镇,"    8,169","    26,070","    12,991","    13,079"
  瞿溪镇,"    3,692","    16,978","    8,750","    8,228"
  梧埏镇,"    5,548","    26,096","    13,483","    12,613"
  永中镇,"    6,399","    27,021","    13,943","    13,078"
  北岙镇,"    2,276","    10,743","    5,890","    4,853"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  乐城镇,8291,"    34,750","    18,670","    16,080"
  柳市镇,"    6,052","    26,042","    13,399","    12,643"
  虹桥镇,"    5,708","    22,961","    11,824","    11,137"
  大荆镇,"    4,921","    18,508","    9,462","    9,046"
  上塘镇,"    6,177","    28,099","    14,782","    13,31 7"
  清水埠镇,"    1,564","    7,954","    4,661","    3,293"
  桥头镇,"    4,788","    22,406","    11,442","    10,964"
  瑞安县城关镇,"    13,918","    57,261","    30,045","    27,216"
  莘塍镇,    938,"    5,606","    3,141","    2,465"
  昆阳镇,"    4,471","    18,587","    9,896","    8,691"
  鳌江镇,"    6,446","    27,876","    14,714",13162
  水头镇,"    3,479","    14,618","    7,917","    6,701"
  宜山镇,"    3,120","    14,061","    7,311","    6,750"
  金乡镇,"    3,556","    15,844","    8,021","    7,823"
  灵溪镇,"    2,227","    9,789","    5,687","    4,102"
  矾山镇,"    5,334","    21,145","    11,881","    9,264"
  大峃镇,"    5,442","    21,885","    12,030","    9,855"
  罗阳镇,"    4,526","    1 7,070","    9,381","    7,689"
  魏塘镇,"    9,132","    29,137","    15,522","    13,61 5"
  西塘镇,"    3,041","    8,726","    4,372","    4,354"
  干窑镇,"    1,617","    5,087","    2,756","    2,331"
  平湖县城关镇,"    9,093","    32,032","    16,561","    15,471"
  乍浦镇,"    1,999",6892,"    3,497","    3,395"
  新埭镇,    989,"    2,681","    1,418","    1,263"
  硖石镇,"    10,797","    40,669","    20,994","    19,675"
  长安镇,"    4,201","    14,250","    6,965","    7,285"
  盐官镇,"    1,794","    5,437","    2,755","    2,682"
  斜桥镇,"    1,011","    3,603","    2,108","    1,495"
  袁花镇,    807,"    2,910","    1,679","    1,231"
  武原镇,"    6,296","    20,137","    10,545","    9,592"
  沈荡镇,"    1,100","    3,195","    1,703","    1,492"
  梧桐镇,"    4,632","    16,853","    9,393","    7,460"
  崇福镇,"    3,985","    13,287","    6,810","    6,477"
  乌镇镇,"    3,599","    10,893","    5,555","    5,338"
  卜院镇,"    1,994","    6,305","    2,973","    3,332"
  石门镇,"    1,411","    4,383","    2,217","    2,166"
  屠甸镇,    963,"    3,112","    1,676","    1,436"
  洲泉镇,    829,"    2,441","    1,324","    1,117"
  德清县城关镇,"    5,648","    19,428","    10,024","    9,404"
  新市镇,"    3,794","    11,701","    5,880","    5,821"
  雉城镇,"    7,737","    26,575","    14,615","    11,960"
  泗安镇,"    1,813","    5,747","    3,008","    2,739"
  李家巷镇,"    6,407","    29,242","    16,347","    12,895"
  递铺镇,"    4,269","    15,436","    8,779","    6,657"
  孝丰镇,"    2,017","    7,149","    4,030","    3,119"
  晓墅镇,"    1,227","    3,695","    1,885","    1,810"
  梅溪镇,"    2,862","    9,826","    5,210","    4,616"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  浒山镇,"    11,780","    42,638","    22,656","    19,982"
  观城镇,"    6,309","    20,1 72","    10,385","    9,787"
  周巷镇,"    6,516","    21,854","    10,844","    11,010"
  庵东镇,"    4,165","    13,908","    7,320","    6,588"
  余姚镇,"    15,824","    52,823","    27,365","    25,458"
  泗门镇,"    2,621","    7,976","    4,090","    3,886"
  陆埠镇,"    4,504","    15,410","    7,956","    7,454"
  大桥镇,"    13,245","    44,990","    23,473","    21,51 7"
  溪口镇,"    4,769","    17,690","    9,072","    8,618"
  丹城镇,"    6,711","    21,995","    11,506","    10,489"
  石浦镇,"    5,867","    21,016","    10,796","    10,220"
  宁海县城关镇,"    8,632","    26,035","    13,780","    12,255"
  邱隘镇,"    6,314","    23,590","    12,268","    11,322"
  莫枝镇,"    7,075","    22,352","    10,829","    11,523"
  横溪镇,"    3,588","    11,657","    5,825","    5,832"
  姜山镇,"    8,407","    28,647","    14,012","    14,635"
  鄞江镇,"    4,418","    15,209","    7,731","    7,478"
  百官镇,"    5,900","    25,749","    14,525","    11,224"
  丰惠镇,"    1,727","    4,914","    2,376","    2,538"
  章 镇镇,    914,"    2,870","    1,531","    1,339"
  东关镇,"    1,800","    5,823","    2,970","    2,853"
  崧厦镇,"    1,589","    4,626","    2,382","    2,244"
  嵊县城关镇,"    7,274","    25,985","    14,441","    11,544"
  甘霖镇,"    4,302","    14,797","    7,827","    6,970"
  长乐镇,"    6,268","    19,584","    10,051","    9,533"
  崇仁镇,"    4,425","    14,295","    7,562","    6,733"
  黄泽镇,3372,"    12,166","    6,257","    5,909"
  三界镇,"    2,574","    9,908","    5,322","    4,586"
  新昌县城关镇,"    7,440","    23,695","    12,727","    10,968"
  诸暨县城关镇,"    8,073","    30,919","    1 7,155","    13,764"
  枫桥镇,"    3,432","    12,350","    6,598","    5,752"
  草塔镇,"    4,032","    15,643","    8,064","    7,579"
  牌头镇,"    4,117","    16,686","    8,702","    7,984"
  兰溪县城关镇,13683,"    47,053","    24,849","    22,204"
  游埠镇,    769,"    2,220","    1,190","    1,030"
  永康县城关镇,"    7,917","    28,340","    15,401","    12,939"
  壶山镇,9037,"    32,060","    16,842","    15,218"
  吴宁镇,"    6,663","    25,725","    14,257","    11,468"
  巍山镇,"    3,048","    10,760","    5,371","    5,389"
  安文镇,"    3,085","    11,756","    6,012","    5,744"
  稠城镇,"    3,553","    16,613","    10,034","    6,579"
  佛堂镇,"    1,047","    3,808","    2,320","    1,488"
  浦阳镇,"    5,705","    20,730","    11,274","    9,456"
  常山县城关镇,"    6,728","    23,863","    12,970","    10,893"
  江山县城关镇,"    7,267","    27,651","    14,607","    13,044"
  开化县城关镇,"    4,223","    1 4,777","    7,970","    6,807"
  华埠镇,"    4,897","    21,059","    11,979","    9,080"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  丽水县城关镇,"    14,921","    55,508","    29,241","    26,267"
  碧湖镇,"    3,129","    9,699","    4,917","    4,782"
  鹤城镇,"    5,337","    22,778","    12,285","    10,493"
  温溪镇,"    2,301","    11,147","    5,536","    5,611"
  云和镇,4848,"    21,869",    12，778,"    9,091"
  鹤溪镇,"    2,303","    9,407","    5,096","    4,311"
  龙泉县城关镇,"    8,970","    33,088","    17,639","    15,449"
  庆元县城关镇,"    4,372","    15,715","    8,430","    7,285"
  五云镇,"    4,559","    14,241","    7,954","    6,287"
  妙高镇,"    6,228","    24,800","    13,131","    11,669"
  西屏镇,"    4,863","    17,353","    8,972","    8,381"
  古市镇,"    2,722","    9,769","    5,052","    4,717"
  临海县城关镇,"    16,143","    66,698","    35,357","    31,341"
  杜桥镇,"    3,394","    13,224","    6,810","    6,414"
  黄岩县城关镇,"    14,136","    50,262","    25,700","    24,562"
  路桥镇,"    7,762","    26,354","    13,134","    13,220"
  金清镇,"    2,085","    7,577","    3,940","    3,637"
  温岭县城关镇,"    11,265","    43,823","    22,787","    21,036"
  温峤镇,"    3,559",13392,"    6,793","    6,599"
  泽国镇,"    3,710","    12,869","    6,760","    6,109"
  新河镇,"    3,325","    11,246","    5,678","    5,568"
  箬横镇,"    5,025","    18,692","    9,537","    9,1 55"
  松门镇,"    7,156","    28,657","    15,167","    13,490"
  石塘镇,"    4,539","    20,491","    10,567","    9,924"
  仙居县城关镇,"    8,983","    36,922","    19,556","    17,366"
  天台县城关镇,"    8,339","    29,453","    15,177","    14,276"
  海游镇,"    3,709","    16,955","    9,441","    7,514"
  玉环县城关镇,    5，146,"    20,678","    11,099","    9,579"
  楚门镇,"    5,163","    17,829","    9,011","    8,818"
  坎门镇,"    7,227","    28,703","    14,964","    13,739"
  定海县城关镇,"    14,010","    50,792","    26,597","    24,195"
  沈家门镇,"    16,847",62298,"    33,467","    28,831"
  高亭镇,"    9,186","    30,684","    1 5,719","    14,965"
  东沙镇,"    3,679","    10,519","    5,141","    5,378"
  菜园镇,"    2,918","    10,592","    5,477","    5,115"
  嵊山镇,"    2,561","    9,970","    5,041","    4,929"
  安徽省,"    500,373","    2，146,425","    1,155,974","    990,451"
  水湖镇,"    5,548","    21,445",12248,"    9,197"
  下塘镇,"    1,497","    5,381","    2,948","    2,433"
  吴山镇,    808,"    2,986","    1,552","    1,434"
  火龙岗镇,"    1,262","    6,425","    3,941","    2,484"
  荆山镇,"    1,840","    8,395","    4,367","    4,028"
  清水镇,"    1,107","    4,1 44",    2，291,"    1,853"
  方村镇,    500,"    1,742",    908,    834
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
    镇名,    户数,,,
,,    合计,    男,    女
(续),,,,
  湾沚镇,"    5,160","    20,224","    10,655","    9,569"
  西河镇,    586,"    2,169","    1,109","    1,060"
  凤台县城关镇,"    6,278","    22,399","    12,950","    9,449"
  濉溪镇,"    7,1 73","    32,935","    17,339","    15,596"
  铜陵县城关镇,"    2,875","    12,386","    6,472","    5,91 4"
  大通镇,"    3,285","    15,365","    8,200","    7,165"
  顺安镇,"    1,360","    5,114","    2,743","    2,371"
  临泉县城关镇,"    4,435","    23,010","    12,666","    10,344"
  太和县城关镇,"    4,254","    20,156","    11,107","    9,049"
  涡阳县城关镇,"    6,739","    33,843","    17,489","    16,354"
  蒙城县城关镇,"    6,886","    32,964","    16,956","    16,008"
  亳州镇,"    13,553","    60,422","    30,585","    29,837"
  阜南县城关镇,"    4,491","    23,359","    12,674","    10,685"
  颍上县城关镇,"    7,077","    31,800","    16,771","    15,029"
  界首镇,"    7,363","    28,110","    14,720","    13,390"
  利辛县城关镇,"    5,310","    20,257","    11,096","    9,161"
  砀山县城关镇,"    6,782","    28,265","    15,331","    12,934"
  龙城镇,"    5,176","    25,609","    14,854","    10,755"
  黄口镇,"    1,904","    9,424","    4,970","    4,454"
  符离镇,"    1,824","    8,463","    4,917","    3,546"
  灵城镇,"    5,948","    28,664","    15,066","    13,598"
  泗县城关镇,"    4,575","    21,607","    11,575","    10,032"
  怀远县城关镇,"    8,019","    37,636","    19,871","    17,765"
  五河县城关镇,"    6,478","    28,909","    15,297","    13,612"
  固镇县城关镇,"    6,553","    29,108",14863,"    14,245"
  天长镇,"    7,444","    30,825","    16,384","    14,441"
  汉涧镇,"    1,803","    7,722","    3,943","    3,779"
  铜城镇,"    1,364","    5,871","    2,946","    2,925"
  新安镇,"    5,143","    21,232","    11,138","    10,094"
  滁县城关镇,"    20,818","    85,469","    44,481","    40,988"
  乌衣镇,"    1,291","    4,459","    2,287","    2,1 72"
  襄河镇,"    6,885","    23,228","    12,326","    10,902"
  古河镇,"    1,022","    3,682","    1,932","    1,750"
  定城镇,"    5,498","    24,717","    13,198","    11,519"
  炉桥镇,"    2,458",10893,"    5,828","    5,065"
  府城镇,"    5,789","    18,269","    9,917","    8,352"
  临淮镇,"    4,803","    1 7,812","    9,103","    8,709"
  明光镇,"    8,624","    37,985","    19,706","    18,279"
  苏埠镇,"    1,976","    8,355","    4,300","    4,055"
  独山镇,    857,"    3,636","    1,916","    1,720"
  寿县城关镇,"    10,11 3","    39,467","    20,547","    18,920"
  正阳镇,"    3,816","    15,348","    7,819","    7,529"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  迎河镇,"    1,660","    6,902","    3,681","    3,221"
  隐贤镇,    849,"    3,084","    1,623","    1,461"
