24.镇户数和人口数,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
  平定县城关镇,"    3,048","    12,61 2","    7,601","    5,011"
  寿阳县城关镇,"    3,004","    13,635","    8,121","    5,514"
  太谷县城关镇,"    5,283","    23,923","    12,854","    11,069"
  祁县城关镇,"    3,641","    18,051","    11,253","    6,798"
  平遥县城关镇,"    10,952","    47,618","    25,289","    22,329"
  介休县城关镇,"    9,855","    46,253","    25,370","    20,883"
  灵石县城关镇,"    3,1 70","    14,61 0","    8,796","    5,81 4"
  两渡镇,"    1,712","    7,490","    4,785","    2,705"
  张家庄镇,"    1,436","    6,609","    3,945","    2,664"
  富家滩镇,    733,"    2,896","    1,450","    1,446"
  南关镇,"    2,153","    8,320","    4,749","    3,571"
  阳城县城关镇,"    14,1 36","    57,255","    29,490","    27,765"
  晋城县城关镇,"    8,939","    52,753","    35,070","    17,683"
  王台铺矿镇,"    3,1 71","    25,401","    18,535","    6,866"
  王桥矿镇,"    1,529","    9,707","    6,645","    3,062"
  沁县城关镇,"    2,620","    1 4,01 5","    8,333","    5,682"
  郭道镇,"    4,033","    17,524","    9,272","    8,252"
  洪洞县城关镇,"    4,81 7","    23,978","    14,634",9344
  霍县城关镇,"    4,416","    24,646","    15,995","    8,651"
  辛置矿镇,"    4,184","    26,184","    17,577","    8,607"
  隰县城关镇,"    1,575","    7,648","    4,321","    3,327"
  运城镇,"    17,185","    82,162","    48,031","    34,131"
  新绛县城关镇,"    3,382","    15,243","    8,776","    6,467"
  闻喜县城关镇,"    2,294","    11,066","    7,036","    4,030"
  新城镇,"    8,569","    45,986","    27,933","    18,053"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
内蒙古自治区,"    536,689","    2,367,755","    1,231,721","    1,136,034"
  察素齐镇,"    6,298","    20,058","    11,365","    8,693"
  托克托县城关镇,"    5,831","        17,651","    9,654","    7,997"
  莎拉齐镇,"    9,919","    31,921","    17,470","    14,451"
  固阳县城关镇,"    6,039","    20,533","    10,804","    9,729"
  扎兰屯镇,"    19,471","    90,286","    45,700","    44,586"
  那吉镇,"    6,292","    30,096","    1 5,307","    14,789"
  尼尔基镇,"    4,456","    19,637","    9,846","    9,791"
  牙克石镇,"    25,654","    114,164","    57,309","    56,855"
  免渡河镇,"    9,547","    46,629","    24,123","    22,506"
  博克图镇,"    7,806","    36,532","    18,472","    18,060"
  绰尔镇,"    6,261","    32,392","    17,025","    1 5,367"
  乌尔其汗镇,"    8,829","    44,875","    23,088","    21,787"
  原林镇,"    2,386","    12,215","    6,290","    5,925"
  库都尔镇,"    5,837","    28,547","    14,528","    14,019"
  西尼气镇,"    1,656","    7,554","    3,915","    3,639"
  图里河镇,"    6,992","    33,635","    17,140","    16,495"
  伊图里河镇,"    6,185","    29,361","    15,1 75","    14,186"
  拉布达林镇,"    3,411","    16,200","    8,245","    7,955"
  三河镇,"    1,802","    8,332","    4,191","    4,141"
  莫尔道嘎镇,"    4,022","    20,623","    10,675","    9,948"
  根河镇,"    11,106","    56,050","    28,835","    27,215"
  好里堡镇,"    2,960","    16,432","    8,508","    7,924"
  得尔布尔镇,"    4,024","    22,392","    11,513","    10,879"
  金河镇,"    4,560","    22,975","    11,906","    11,069"
  牛耳河镇,"    1,672","    9,193","    4,859","    4,334"
  阿龙山镇,"    4,044","    21,358","    11,068","    10,290"
  满归镇,"    3,124","    16,303","    8,540","    7,763"
  阿里河镇,"    10,123","    52,142","    26,747","    25,395"
  吉文镇,"    5,161","    26,904","    13,714","    13,190"
  甘河镇,9479,"    48,916","    25,199","    23,717"
  克一河镇,"    5,534","    28,585",14648,"    13,937"
  大杨树镇,"    7,924","    39,385","    20,089","    19,296"
  巴音托海镇,"    3,705","    19,140","    9,834","    9,306"
  大雁镇,"    8,056","    40,376","    21,835","    18,541"
  阿拉坦额莫勒镇,"    1,932","    9,764","    5,008","    4,756"
  阿木古郎镇,"    1,805","    9,078","    4,544","    4,534"
  嵯岗镇,    614,"    2,815","    1,401","    1,414"
  巴彦库仁镇,"    2,837","    13,979","    7,060","    6,919"
  阿尔山镇,"    8,842","    46,961","    24,404","    22,557"
  白云胡硕镇,"    5,185","    26,667","    13,960","    12,707"
  音德尔镇,"    6,886","    36,61 7","    18,596","    18,021"
  突泉镇,"    8,673","    38,793","    19,795","    18,998"
  保康镇,"    5,693","    26,950","    13,440","    13,510"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  甘旗卡镇,"    5,935","    25,200","    12,873","    12,327"
  开鲁县城关镇,"    6,367","    24,005","    12,165","    11,840"
  库伦镇,"    3,505","    15,507","    8,244","    7,263"
  大沁他拉镇,"    3,703","    18,922","    10,091","    8,831"
  鲁北镇,"    6,036",30043,"    15,476","    14,567"
  天山镇,"    4,116","    17,563","    9,402","    8,161"
  林东镇,"    4,709","    21,894","    11,217","    10,677"
  大板镇,"    3,855","    16,662","    8,631","    8,031"
  林西镇,"    5,620","    21,093","    10,707","    10,386"
  径棚镇,"    4,309","    18,201","    9,265","    8,936"
  乌丹镇,"    4,047","    17,151","    8,971","    8,180"
  红山镇,    790,"    3,199","    1,681","    1,518"
  锦山镇,"    4,979",22238,"    11,795","    10,443"
  天义镇,"    5,147","    24,258","    13,194","    11,064"
  新惠镇,"    3,238","    13,554","    7,345","    6,209"
  锡林浩特镇,"    13,268","    61,629","    32,077","    29,552"
  新浩特镇,"    2,211","    10,651","    5,607","    5,044"
  赛汉塔拉镇,"    4,502","    20,075","    10,440","    9,635"
  白音胡硕镇,"    1,233","    5,495","    2,861","    2,634"
  巴音乌拉浩特镇,"    3,212","    16,078","    8,063","    8,015"
  宝昌镇,"    6,452","    27,178","    14,032","    13,146"
  敦达浩特镇,"    1,975","    9,077","    4,675","    4,402"
  多伦县城关镇,3845,"    15,849",8124,"    7,725"
  可可以力更镇,"    3,894","    13,490","    7,329","    6,161"
  和林格尔县城关镇,"    4,079","    13,772","    7,535",6237
  清水河县城关镇,"    3,053","    12,232","    6,659","    5,573"
  卓资山镇,"    5,040","    17,936",9686,8250
  商都县城关镇,"    6,631","    23,005","    11,852","    11,153"
  兴和县城关镇,"    5,762","    22,237","    11,799","    10,438"
  丰镇县城关镇,"    13,461","    44,393","    22,776","    21,617"
  凉城县城关镇,"    3,993","    10,984","    6,277","    4,707"
