,,,,,,,
表4--5全国市(不含市辖县)分年龄、性别的人口数(第二种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
  53,    1 982 116,    1 025 778,    956 338,    0.94,    0．49,    0.45,    107.26
  54,    1 985 990,    1 015 571,    970 419,    0．94,    0.48,    0．46,    104.65
,,,,,,,
,,,,,,,
,,,,,,,
表4-5全国市(不含市辖县)分年龄、性别的人口数(第二种口径)(续02),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,  合计,    男,    女,小计,  男,  女,(女=100)
55-59岁,    8 889 831,    4 665 248,    4 224 583,    4.21,    2.21,    2.00,  110.43
  55,    1 928 604,    985 647,    942 957,    0.91,    0．47,    0．45,  104.53
  56,    1 894 860,    987 286,    907 574,    0．90,    0.47,    0.43,  108.78
  57,    1 834 144,    962 007,    872 137,    0.87,    0．46,    0．41,  110.30
  58,    1 646 009,    875 961,    770 048,    0．78,    0.41,    0.36,  113.75
  59,    1 586 214,    854 347,    731 867,    0.75,    0.40,    0．35,  116.74
60-64岁,    6 767 661,    3 542 563,    3 225 098,    3.20,    1.68,    1.53,  109.84
  60,    1 590 598,    843 374,    747 224,    0．75,    0．40,    0.35,  112.87
  61,    1 409 298,    735 980,    673 318,    0.67,    0.35,    0.32,  109.31
  62,    1 391 658,    726 558,    665 100,    0.66,    0.34,    0.31,  109.24
  63,    1 215 424,    634 981,    580 443,    0．58,    0．30,    0.27,  109.40
  64,    1 160 683,    601 670,    559 013,    0.55,    0.28,    0.26,  107.63
65-69岁,    4 838 665,    2 427 127,    2 411 538,    2.29,    1.15,    1.14,  100.65
  65,    1 129 466,    574 305,    555 161,    0.53,    0．27,    0.26,  103.45
  66,    1 049 945,    527 786,    522 159,    0.50,    0．25,    0.25,  101.08
  67,    917 450,    459 422,    458 028,    0.43,    0.22,    0．22,  100.30
  68,    905 577,    452 586,    452 991,    0.43,    0.21,    0.21,    99.91
  69,    836 227,    413 028,    423 199,    0.40,    0.20,    0.20,    97.60
70-74岁,    3 159 823,  1 498 764,    1 661 059,    1.50,    0.71,    0．79,    90.23
  70,    771 581,    377 844,    393 737,    0.37,    0．18,    0.19,    95.96
  71,    665 431,    318 591,    346 840,    0.32,    0.15,    0.16,    91.86
  72,    621 728,    293 230,    328 498,    0.29,    0.14,    0.16,    89.26
  73,    575 712,    269 110,    306 602,    0.27,    0.13,    0.15,    87.77
  74,    525 371,    239 989,    285 382,    0.25,    0.11,    0.14,    84.09
75-79岁,    1 942 969,    846 086,    1 096 883,    0.92,    0.40,    0.52,    77.14
  75,    473 985,    213 780,    260 205,    0.22,    0.10,    0.12,    82.16
  76,    464 942,    205 896,    259 046,    0.22,    0.10,    0.12,    79.48
  77,    379 799,    164 803,    214 996,    0．18,    0.08,    0.10,    76.65
  78,    329 321,    139 973,    189 348,    0．16,    0.07,    0．09,    73.92
  79,    294 922,    121 634,    173 288,    0．14,    0.06,    0.08,    70.19
,,,,,,,
,,,,,,,
,,,,,,,
表4-5全国市(不含市辖县)分年龄、性别的人口数(第二种口径)(续03),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
    年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
,,,,,,,
