表4—6 全国镇分年龄、性别的人口数(第二种口径),,,,,,,
,,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
    年龄别,,,,,,,
,  合计,    男,    女,小计,  男,  女,(女=100)
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
55-59岁,    3 130 029,  1 775 864,    1 354 165,    3.69,    2.09,    1.59,    131.14
  55,    683 307,    375 968,    307 339,    0.80,    0.44,    0.36,    122.33
  56,    679 679,    384 074,    295 605,    0．80,    0.45,    0.35,    129.93
  57,    641 521,    365 275,    276 246,    0.76,    0.43,    0．33,    132.23
  58,    572 360,    329 306,    243 054,    0.67,    0.39,    0.29,    135.49
  59,    553 162,    321 241,    231 921,    0.65,    0.38,    0.27,    138.51
60-64岁,    2 249 026,    1 245 538,    1 003 488,    2.65,    1.47,    1.18,    124.12
  60,    540 564,    306 610,    233 954,    0.64,    0．36,    0.28,    131.06
  61,    466 081,    258 588,    207 493,    0.55,    0．30,    0.24,    124.62
  62,    464 851,    256 878,    207 973,    0.55,    0.30,    0.24,    123.52
  63,    402 552,    220 646,    181 906,    0．47,    0.26,    0．21,    121.30
  64,    374 978,    202 816,    172 162,    0.44,    0.24,    0.20,    117.81
65-69岁,    1 559 358,    794 480,    764 878,    1.84,    0.94,    0.90,    103.87
  65,    372 056,    193 136,    178 920,    0.44,    0.23,    0.21,    107.95
  66,    334 023,    171 623,    162400,    0.39,    0.20,    0.19,    105.68
  67,    296 645,    150 503,    146 142,    0.35,    0.18,    0.17,    102.98
  68,    289 696,    146 934,    142 762,    0.34,    0.17,    0.17,    102.92
  69,    266 938,    132 284,    134 654,    0.31,    0.16,    0.16,    98.24
70-74岁,    1 033 490,    476 799,    556 691,    1.22,    0.56,    0．66,    85.65
  70,    253 981,    121 780,    132 201,    0.30,    0.14,    0．16,    92.12
  71,    212 446,    100 082,    112 364,    0.25,    0.12,    0.13,    89.07
  72,    204 315,    93 877,    110 438,    0.24,    0．11,    0．13,    85.00
  73,    188 754,    85 028,    103 726,    0.22,    0.10,    0.12,    81.97
  74,    173 994,    76 032,    97 962,    0.20,    0.09,    0.12,    77.61
75-79岁,    656 300,    273 347,    382 953,    0.77,    0.32,    0.45,    71.38
  75,    159 189,    69 083,    90 106,    0.19,    0.08,    0．11,    76.67
  76,    154 056,    65 424,    88 632,    0.18,    0.08,    0.10,    73.82
  77,    128 735,    53 047,    75 688,    0.15,    0.06,    0.09,    70.09
  78,    114 480,    46 336,    68 144,    0.13,    0.05,    0.08,    68.00
  79,    99 840,    39 457,    60 383,    0.12,    0．05,    0．07,    65.34
,,,,,,,
,,,,,,,
,,,,,,,
表4-6全国镇分年龄、性别的人口数(第二种口径)(续03),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
80-84岁,    338 267,    119 530,    218 737,  0.40,  0.14,  0.26,  54.65
  80,    91 940,    34 153,    57 787,  0.11,  0.04,  0.07,  59.10
  81,    75 998,    27 784,    48 214,  0．09,  0.03,  0.06,  57.63
  82,    65 688,    23 044,    42 644,  0．08,  0.03,  0．05,  54.04
  83,    55 491,    18 724,    36 767,  0．07,  0.02,  0．04,  50.93
  84,    49 150,    15 825,    33 325,  0．06,  0.02,  0．04,  47.49
85-89岁,    134 252,    40 392,    93 860,  0.16,  0.05,  0．11,  43.03
  85,    40 012,    12 526,    27 486,  0.05,  0.01,  0．03,  45.57
  86,    32 290,    9 834,    22 456,  0.04,  0.01,  0.03,  43.79
  87,    25 486,    7 532,    17 954,  0.03,  0．01,  0.02,  41.95
  88,    20 515,    5 965,    14 550,  0．02,  0.01,  0.02,  41.00
  89,    15 949,    4 535,    11 414,  0．02,  0．01,  0.01,  39.73
90-94岁,    28 008,    7 167,    20 841,  0.03,  0.01,  0.02,  34.39
  90,    10 830,    2 897,    7 933,  0．01,  0.00,  0.01,  36.52
  91,    6 439,    1 697,    4 742,  0．01,  0.00,  0.01,  35.79
  92,    4 910,    1 188,    3 722,  0．01,  0.00,  0.00,  31.92
  93,    3 367,    792,    2 575,  0.00,  0.00,  0.00,  30.76
  94,    2 462,    593,    1 869,  0.00,  0.00,  0.00,  31.73
95-99岁,    4 908,    1 190,    3 718,  0．01,  0.00,  0．00,  32．01
  95,    1 771,    417,    1 354,  0．00,  0.00,  0.00,  30.80
  96,    1 209,    304,    905,  0.00,  0.00,  0.00,  33.59
  97,    833,    200,    633,  0．00,  0.00,  0.00,  31.60
  98,    666,    176,    490,  0.00,  0.00,  0．00,  35.92
  99,    429,    93,    336,  0．00,  0.00,  0.00,  27.68
100岁及以上,    559,    126,    433,  0．00,  0．00,  0．00,  29.10
