,,,,,,,
表4-7全国县(不含县辖镇)分年龄、性别的人口数(第二种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,  合计,    男,    女,小计,  男,  女,(女=100)
  54,    6 385 575,    3 349 328,    3 036 247,    0．77,    0.40,    0.36,    110.31
,,,,,,,
,,,,,,,
,,,,,,,
表4--7全国县(不含县辖镇)分年龄、性别的人口数(第二种口径)(续02),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
    年龄别,,,,,,,
,    合计,    男,    女,小计,  男,  女,(女=100)
55-59岁,    29 689 475,    15 398 825,    14 290 650,    3.56,    1.85,    1.71,    107.75
  55,    6 192 449,    3 218 841,    2 973 608,    0.74,    0.39,    0.36,    108.25
  56,    6 227 979,    3 246 917,    2 981 062,    0．75,    0.39,    0．36,    108.92
  57,    6 145 079,    3 198 042,    2 947 037,    0.74,    0．38,    0．35,    108.52
  58,    5 628 546,    2 900 941,    2 727 605,    0.67,    0.35,    0.33,    106.35
  59,    5 495 422,    2 834 084,    2 661 338,    0.66,    0．34,    0.32,    106.49
60-64岁,    24 959 567,    12 693 847,    12 265 720,    2.99,    1.52,    1.47,    103.49
  60,    5 599 783,    2 869 849,    2 729 934,    0.67,    0.34,    0.33,    105.13
  61,    5 091 100,    2 590 620,    2 500 480,    0.61,    0．31,    0.30,    103.60
  62,    5 203 623,    2 651 938,    2 551 685,    0.62,    0.32,    0.31,    103.93
  63,    4 615 897,    2 344 632,    2 271 265,    0.55,    0.28,    0.27,    103.23
  64,    4 449 164,    2 236 808,    2 212 356,    0.53,    0.27,    0.27,    101．11
65-69岁,    19 934 497,    9 695 878,    10 238 619,    2.39,    1.16,    1.23,    94.70
  65,    4 667 520,    2 291 403,    2 376 117,    0．56,    0．27,    0．28,    96.43
  66,    4 312 906,    2 113 678,    2 199 228,    0.52,    0.25,    0.26,    96.11
  67,    3 775 535,    1 838 587,    1 936 948,    0.45,    0.22,    0.23,    94.92
  68,    3 690 254,    1 785 202,    1 905 052,    0.44,    0.21,    0.23,    93.71
  69,    3 488 282,    1 667 008,    1 821 274,    0．42,    0.20,    0.22,    91.53
70-74岁,    13 857 267,    6 368 641,    7 488 626,    1.66,    0.76,    0.90,    85.04
  70,    3 426 795,    1 609 098,    1 817 697,    0．41,    0.19,    0.22,    88.52
  71,    2 854 719,    1 322 956,    1 531 763,    0.34,    0．16,    0．18,    86.37
  72,    2 703 080,    1 243 124,    1 459 956,    0.32,    0．15,    0.17,    85.15
