各省常住人口地区分布（单位万人）,,,,,,,,,
,,,,,,,,,
山东,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市
江西,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市
,504.26,158.75,185.45,472.87,113.89,112.49,836.84,481.03,541.96
,抚州市,上饶市,,,,,,,
,391.23,657.97,,,,,,,
福建,福州市,厦门,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市
,711.54,353.13,277.85,250.34,812.85,480.99,264.55,255.95,282.2
海南（单位人）,海口市2046189,三亚市685408,五指山市104122,琼海市483217,儋州市932362,文昌市537428,万宁市545597,东方市408309,定安县284616
,屯昌县256931,澄迈县467161,临高县427873,白沙县167918,昌江县223839,乐东县458876,陵水县320468,保亭县146684,琼中县174076
,西南中沙群岛444,,,,,,,,
云南省,昆明市 643.2,曲靖市 585.5,昭通市 521.3,红河州 450.1,文山州 351.8,大理州 345.6,楚雄州 268.4,普洱市 254.3,保山市 250.6
,临沧市 243.0,玉溪市 230.4,丽江市 124.5,德宏州 121.1,版纳州 113.4,怒江州 53.4,迪庆州 40,,
贵州省,贵阳市,六盘水市,遵义市,安顺市,铜仁地区,黔西南布依族苗族自治州,毕节地区,黔东南苗族侗族自治州,黔南布依族苗族自治州
,432.46,285.1,612.7,229.73,309.24,280.59,653.64,348.06,323.12
甘肃,兰州市3616163,嘉峪关市231853,金昌市464050,白银市1708751,天水市3262548,武威市1815054,张掖市1199515,平凉市2068033,酒泉市1095947
,庆阳市2211191,定西市2698622,陇南市2567718,临夏回族自治州1946677,,甘南藏族自治州689132,,,
宁夏,银川市,石嘴山市,吴忠市,固原市,中卫市,,,,
,199.31,72.55,127.38,122.82,108.08,,,,
新疆,乌鲁木齐市,克拉玛依市,吐鲁番地区,哈密地区,昌吉回族自治州,博尔塔拉蒙古自治州,巴音郭楞蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州
,311.03,39.1,62.27,57.24,142.86,44.39,127.85,237.09,52.56
,喀什地区,和田地区,伊犁哈萨克自治州,塔城地区,阿勒泰地区,自治区直辖县级行政区划,,,
,397.94,201.44,248.26,121.92,60.33,77.09,,,
西藏,拉萨市,昌都地区,山南地区,日喀则地区,那曲地区,阿里地区,林芝地区,,
