表5—8 全国县6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
        单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  3 999 750,  2 921 656,  1 078 094,    32 352 835,  22 644 590,    9 708 245,    173 523 382,    109 651 404,    63 871 978,    341 484 294,    178 994 863,    162 489 431
  22,    16 581 058,    8 783 356,    7 797 702,    7 676,    5 555,    2 121,    62 749,    41 931,    20 818,,,  24,    149 813,    99 220,    50 593,    1 108 309,    734 760,    373 549,    8 640 370,    5 093 642,    3 546 728,    6 978 606,    3 073 821,    3 904 785
  23,    15 626 421,    8 303 455,    7 322 966,    12 576,    9 640,    2 936,    68 458,    47 797,    20 661,,,25—29岁,    590 030,    411 531,    178 499,    9 211 953,    6 160 952,    3 051 001,    32 121 558,    18 922 367,    13 199 191,    22 935 529,    9 404 726,    13 530 803
  24,    16 971 576,    9 070 857,    7 900 719,    17 492,    13 844,    3 648,    76 986,    55 570,    21 416,,,  25,    144745,    97 407,    47 338,    1 406 446,    946 070,    460 376,    8 295 531,    4 843 177,    3 452 354,    6 062 087,    2 594 707,    3 467 380
25-29岁,    65 181 164,    35 160 505,    30 020 659,    55 049,    46 692,    8 357,    267 045,    214 237,    52 808,,,  26,    147 935,    101 491,    46 444,    1 912 673,    1 276 865,    635 808,    8 171 303,    4 740 138,    3 431 165,    5 549 512,    2 304 274,    3 245 238
  25,    15 995 729,        8 548 203,    7 447 526,    16 823,    13 791,    3 032,    70 097,    53 051,    17 046,,,  27,    155 698,    110 576,    45 122,    2 712 798,    1 813 136,    899 662,    8 424 717,    4 968 252,    3 456 465,    5 562 839,    2 247 889,    3 314 950
  26,    15 866 184,    8 490 285,    7 375 899,    14 743,    12 445,    2 298,    70 018,    55 072,    14 946,,,  28,    85 565,    62 059,    23 506,    1 848 375,    1 241 786,    606 589,    4 539 355,    2 733 213,    1 806 142,    3 394 359,    1 321 249,    2 073 110
  27,    16 940 842,    9 210 563,    7 730 279,    13 441,    11 736,    1 705,    71 349,    58 974,    12 375,,,  29,    56 087,    39 998,    16 089,    1 331 661,    883 095,    448 566,    2 690 652,    1 637 587,    1 053 065,    2 366 732,    936 607,    1 430 125
  28,    9 909 682,    5 394 117,    4 515 565,    6 552,    5 710,    842,    35 476,    30 100,    5 376,,,30—34岁,    450 062,    337 248,    112 814,    7 339 970,    5 207 307,    2 132 663,    17 244 393,    11 665 349,    5 579 044,    22 222 949,    9 975 775,    12 247 174
  29,    6 468 727,    3 517 337,    2 951 390,    3 490,    3 010,    480,    20 105,    17 040,    3 065,,,  30,    68 663,    49 992,    18 671,    1 691 077,    1 149111,    541 966,    3 166 281,    2 008 258,    1 158 023,    3 196 305,    1 354 365,    1 841 940
30—34岁,    47 393 658,    27 303 907,    20 089 751,    15 916,    13 914,    2 002,    120 368,    104 314,    16 054,,,  31,    69 528,    51 674,    17 854,    1 503 488,    1 045 087,    458 401,    3 032 032,    1 995 029,    1 037 003,    3 507 290,    1 548 472,    1 958 818
  30,    8 146 105,    4 582 182,    3 563 923,    3 177,    2 734,    443,    20 602,    17 722,    2 880,,,  32,  100 487,    75 702,    24 785,    1 674 378,    1 192 559,    481 819,    3 963 680,    2 702 313,    1 261 367,    5 024 016,    2 271 679,    2 752 337
  31,    8 133 875,    4 659 064,    3 474 811,    2 546,    2 224,    322,    18 991,    16 578,    2 413,,,  33,  106 397,    80 474,    25 923,    1 367 115,    994 693,    372 422,    3 731 164,    2 595 701,    1 135 463,    5 180 567,    2 346 541,    2 834 026
  32,    10 792 442,    6 268 488,    4 523 954,    3 370,    2 996,    374,    26 511,    23 239,    3 272,,,  34,  104 987,    79 406,    25 581,    1 103 912,    825 857,    278 055,    3 351 236,    2 364 048,    987 188,    5 314 771,    2 454 718,    2 860 053
  33,    10 416 063,    6 044 188,    4 371 875,    3 537,    3 104,    433,    27 283,    23 675,    3 608,,,,,,,,,,,,,,,
  34,    9 905 173,    5 749 985,    4 155 188,    3 286,    2 856,    430,    26 981,    23 100,    3 881,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,表5—8全国县6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径)(续11),,,,,,,,,,,,
,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,,,,,,,,,,,,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
,,,,,,,,,    女,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
35—39岁,    47 502 579,    27 965 513,    19 537 066,    13 183,    11 322,    1 861,    116 794,    99 358,    17 436,,,35—39岁,    436 570,    330 925,    105 645,    3 037 363,    2 410 881,    626 482,    13 226 862,    9 677 839,    3 549 023,    30 671 807,    15 435 188,    15 236 619
  35,    10 876 796,    6 387 178,    4 489 618,    3 347,    2 900,    447,    29 496,    25 054,    4 442,,,  35,    113 024,    85 400,    27 624,    1 030 072,    798 821,    231 251,    3 399 568,    2 441 244,    958 324,    6 301 289,    3 033 759,    3 267 530
  36,    10 119 190,    5 948 525,    4 170 665,    2 778,    2 336,    442,    25 444,    21 393,        4 051,,,  36,    98 179,    73 565,    24 614,    769 564,    609 029,    160 535,    2 908 197,    2 106 329,    801 868,    6 315 028,    3 135 873,    3 179 155
  37,    9 454 941,    5 579 302,    3 875 639,    2 479,    2 126,    353,    22 073,    18 778,    3 295,,,  37,    83 192,    62 965,    20 227,    544 997,    437 794,    107 203,    2 552 508,    1 875 737,    676 771,    6 249 692,    3 181 902,    3 067 790
  38,    9 222 733,    5 448 800,    3 773 933,    2 367,    2 035,    332,    20 771,    17 719,    3 052,,,  38,    76 222,    58 044,    18 178,    404 409,    329 027,    75 382,    2 405 039,    1 791 483,    613 556,    6 313 925,    3 250 492,    3 063 433
  39,    7 828 919,    4 601 708,    3 227 211,    2 212,    1 925,    287,    19 010,    16 414,    2 596,,,  39,    65 953,    50 951,    15 002,    288 321,    236 210,    52 111,    1 961 550,    1 463 046,    498 504,    5 491 873,    2 833 162,    2 658 711
40-44岁,    34 207 421,    20 557 627,    13 649 794,    19 276,    16 865,    2 411,    95 718,    85 557,    10 161,,,40—44岁,    356 210,    284 752,    71 458,    974 075,    798 990,    175 085,    7 807 527,    5 790 939,    2 016 588,    24 954 615,    13 580 524,    11 374 091
  40,    8 262 493,    4 922 612,    3 339 881,    2 901,    2 591,    310,    22 657,    19 829,    2 828,,,  40,    77 290,    61 010,    16 280,    276 794,    228004,    48 790,    1 931 323,    1 446 832,    484 491,    5 951 528,    3 164 346,    2 787 182
  41,      7 045 316,    4 219 341,    2 825 975,        2 764,    2 489,    275,    20 186,    17 958,    2 228,,,  41,    71 216,    56 682,    14 534,    213 684,    176 596,    37 088,    1 513 074,    1 129 286,    383 788,    5 224 392,    2 836 330,    2 388 062
  42,    6 701 599,    4 036 765,    2 664 834,    3 208,    2 902,    306,    20 130,    18 115,    2 015,,,  42,    72 653,    58 257,    14 396,    183 982,    151 201,    32 781,    1 413 176,    1 048 073,    365 103,    5 008 450,    2 758 217,    2 250 233
  43,    6 394 361,    3 861 690,    2 532 671,    4 289,    3 676,    613,    18 068,    16 348,    1 720,,,  43,    71 421,    57 479,    13 942,    158 241,    128 963,    29 278,    1 457 507,    1 071 583,    385 924,    4 684 835,    2 583 641,    2 101 194
  44,    5 803 652,    3 517 219,    2 286 433,    6 114,    5 207,    907,    14 677,    13 307,    1 370,,,  44,    63 630,    51 324,    12 306,    141 374,    114 226,    27 148,    1 492 447,    1 095 165,    397 282,    4 085 410,    2 237 990,    1 847 420
45—49岁,    23 099 650,    15 017 428,    8 082 222,    28 790,    25 023,    3 767,    65 134,    59 273,    5 861,,,45—49岁,    381 655,    308 468,    73 187,    751 356,    622 363,    128 993,    5 909 590,    4 454 237,    1 455 353,    15 963 125,    9 548 064,    6 415 061
  45,    5 371 398,    3 345 644,    2 025 754,    6 117,    5 261,    856,    13 075,    11 872,    1 203,,,  45,    61 674,    49 614,    12 060,    139 970,    113 409,    26 561,    1 471 727,    1 090 722,    381 005,    3 678 835,    2 074 766,    1 604 069
  46,    4 935 023,    3 165 649,    1 769 374,    5 595,    4 850,    745,    12 085,    10 972,    1 113,,,  46,    66 665,    53 243,    13 422,    145 941,    119 567,    26 374,    1 352 236,    1 014 190,    338 046,    3 352 501,    1 962 827,    1 389 674
  47,    4 425 621,    2 893 391,    1 532 230,    5 337,    4 652,    685,    12 331,    11246,    1 085,,,  47,    77 529,    62 184,    15 345,    154 882,    127 929,    26 953,    1 170 201,    881 311,    288 890,    3 005 341,    1 806 069,    1 199 272
  48,    4 314 756,    2 866 372,    1 448 384,    5 650,      4 924,    726,    13 218,    11 999,    1 219,,,  48,    86 373,    69 848,    16 525,    161 895,    135 612,    26 283,    1 042 401,    792 108,    250 293,    3 005 219,    1 851 881,    1 153 338
  49,    4 052 852,    2 746 372,    1 306 480,    6 091,    5 336,    755,    14 425,    13 184,        1 241,,,  49,    89 414,    73 579,    15 835,    148 668,    125 846,    22 822,    873 025,    675 906,    197 119,    2 921 229,    1 852 521,    1 068 708
50-54岁,    16 511 264,    11 960 281,    4 550 983,    31 275,    28 493,    2 782,    72 488,    67 669,    4 819,,,50-54岁,    342 792,    296 479,    46 313,    421 402,    369 877,    51 525,    2 708 353,    2 248 696,    459 657,    12 934 954,    8 949 067,    3 985 887
  50,    3 687 467,    2 550 808,    1 136 659,    6 620,    5 873,    747,    14 899,    13 744,    1 155,,,  50,    83 850,    69 995,    13 855,    122 751,    104 962,    17 789,    713 361,    564 999,    148 362,    2 745 986,    1 791 235,    954 751
  51,    3 415 071,    2 433 979,    981 092,    6 778,    6 160,    618,    15 077,    13 926,    1 151,,,  51,    73 779,    62 890,    10 889,    95 224,    82 792,    12 432,    584 130,    477 172,    106 958,    2 640 083,    1 791 039,    849 044
  52,    3 341 937,    2 437 455,    904 482,    6 907,    6 309,    598,        15 735,    14 738,    997,,,  52,    70 175,    61 148,    9 027,    81 484,    72 023,    9 461,    531 884,    445 685,    86 199,    2 635 752,    1 837 552,    798 200
  53,    3 121 596,    2 314 380,    807 216,    6 026,    5 562,    464,    14 128,    13 297,    831,,,  53,    61 137,    54 140,    6 997,    65 821,    59 148,    6 673,    462 901,    396 851,    66 050,    2 511 583,    1 785 382,    726 201
  54,    2 945 193,    2 223 659,    721 534,    4 944,    4 589,    355,    12649,    11 964,    685,,,  54,    53 851,    48 306,    5 545,    56 122,    50 952,    5 170,    416 077,    363 989,    52 088,    2 401 550,    1 743 859,    657 691
55—59岁,    11 537 004,    9 169 803,    2 367 201,    12 751,    11 997,    754,    37 366,    35 909,    1 457,,,55—59岁,    166 355,    153 509,    12 846,    204 312,    190 112,    14 200,    1 580 386,    1 437 486,    142 900,    9 535 834,    7 340 790,    2 195 044
  55,    2 658 556,    2 041 839,    616 717,    3 727,    3 464,    263,    10 350,    9 864,    486,,,  55,    45 381,    41 218,    4 163,    47 300,    43 296,    4 004,    365 806,    325 024,    40 782,    2 185 992,    1 618 973,    567 019
  56,    2 522 419,    1 987 708,    534 711,    2 945,    2 752,    193,    8 689,    8 350,    339,,,  56,    39 515,    36 489,    3 026,    42 776,    39 650,    3 126,    347 566,    314 318,    33 248,    2 080 928,    1 586 149,    494 779
  57,    2 375 551,    1 901 382,    474 169,    2 324,    2 206,    118,7162,    6 876,    286,,,  57,    32 936,    30 628,    2 308,    40 043,    37 343,    2 700,    322 782,    295 288,    27 494,    1 970 304,    1 529 041,    441 263
  58,    2 056 582,    1 662 389,    394 193,    1 990,    1 907,    83,    5 819,    5 621,    198,,,  58,    26 005,    24 226,    1 779,    36 578,    34 378,    2 200,    279 453,    257 224,    22 229,    1 706 737,    1 339 033,    367 704
  59,    1 923 896,    1 576 485,    347 411,    1 765,    1 668,    97,    5 346,    5 198,    148,,,  59,    22 518,    20 948,    1 570,    37 615,    35 445,    2 170,    264 779,    245 632,    19 147,    1 591 873,    1 267 594,    324 279
60-64岁,    7 832 032,    6 551 308,    1 280 724,    7 130,    6 827,    303,    20 664,    20 006,    658,,,60-64岁,    76 237,    70 633,    5 604,    183 643,    173 743,    9 900,    1 061 568,    987 146,    74 422,    6 482 790,    5 292 953,    1 189 837
  60,    1 862 106,    1 540 150,    321 956,    1 643,    1 560,    83,    4 914,    4 732,    182,,,  60,    20 478,    18 981,    1 497,    39 972,    37 716,    2 256,    255 910,    237 935,    17 975,    1 539 189,    1 239 226,    299 963
  61,    1 632 487,    1 361 487,    271 000,    1 378,    1 314,    64,    4 300,    4 157,    143,,,  61,    15 500,    14 366,    1 134,    35 980,    34 045,    1 935,    219 906,    204 651,    15 255,    1 355 423,    1 102 954,    252 469
  62,    1 641 567,    1 376 284,    265 283,    1 499,    1 440,    59,    4 286,    4 173,    113,,,  62,    15 444,    14 282,    1 162,    39 397,    37 309,    2 088,    222 441,    206 787,    15 654,    1 358 500,    1 112 293,    246 207
  63,    1 399 524,    1 178 297,    221 227,    1 311,    1 266,    45,    3 705,    3 581,    124,,,  63,    12 964,    12 037,    927,    35 054,    33 191,    1 863,    189 235,    175 799,    13 436,    1 157 255,    952 423,    204 832
  64,    1 296 348,    1 095 090,    201 258,    1 299,    1 247,    52,    3 459,    3 363,    96,,,  64,    11 851,    10 967,    884,    33 240,    31 482,    1 758,    174 076,    161 974,    12 102,    1 072 423,    886 057,    186 366
65岁及以上,    9 863 885,    8 492 320,    1 371 565,  9 763,    9 380,    383,    25 002,    23 992,    1 010,,,65岁及以上,    61 772,    56 344,    5 428,    226 378,    212 685,    13 693,    1 197 276,    1 111 651,    85 625,    8 343 694,    7 078 268,    1 265 426
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
        单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,表5—8全国县6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径)(续12),,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    单位：人,,,,,,,,,,,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,,,,,,,,,,,,
在校,    132 998 143,    73 794 610,    59 203 533,    12 961,    8 711,    4 250,    89 601,    56 585,    33 016,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
6—9岁,    46 729 320,    24 976 887,    21 752 433,-,-,-,-,-,-,,,,,,,,,,,,,,,
  6,    6 554 805,    3 549 592,    3 005 213,-,-,-,-,-,-,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  7,    11 594 530,    6 252 279,    5 342 251,-,-,-,-,-,-,,,在校,    391 305,    213 127,    178 178,    4 339 752,    2 887 798,    1 451 954,    23 485 066,    13 975 360,    9 509 706,    104 679 458,    56 653 029,    48 026 429
  8,    15 261 109,    8 120 747,    7 140 362,-,-,-,-,-,-,,,6—9岁,-,-,-,-,-,-,-,-,-,    46 729 320,    24 976 887,    21 752 433
  9,    13 318 876,    7 054 269,    6 264 607,-,-,-,-,-,-,,,  6,-,-,-,-,-,-,-,-,-,    6 554 805,    3 549 592,    3 005 213
10—14岁,    63 544 165,    34 717 800,    28 826 365,-,-,-,-,-,-,,,  7,-,-,-,-,-,-,-,-,-,    11 594 530,    6 252 279,    5 342 251
  10,    14 148 340,    7 500 618,      6 647 722,-,-,-,-,-,-,,,  8,-,-,-,-,-,-,-,-,-,    15 261 109,    8 120 747,    7 140 362
  11,    13 873 873,    7 387 370,    6 486 503,-,-,-,-,-,-,,,  9,-,-,-,-,-,-,-,-,-,    13 318 876,    7 054 269,    6 264 607
  12,    12 780 052,    6 916 498,    5 863 554,-,-,-,-,-,-,,,10—14岁,    1 255,    584,    671,    34 528,    21 534,    12 994,    9 059 001,    5 204 324,    3 854 677,    54 449 381,    29 491 358,    24 958 023
  13,    12 006 153,    6 696 255,    5 309 898,-,-,-,-,-,-,,,  10,-,-,-,-,-,-,-,-,-,    14 148 340,    7 500 618,    6 647 722
  14,    10 735 747,    6 217 059,    4 518 688,-,-,-,-,-,-,,,  11,-,-,-,-,-,-,    170 989,    99 588,    71 401,    13 702 884,    7 287 782,    6 415 102
15-19岁,    21 422 123,    13 224 568,    8 197 555,    2 503,    1 538,    965,    16 348,    8 807,    7 541,,,  12,-,-,-,-,-,-,    878 019,    499 099,    378 920,    11 902 033,    6 417 399,    5 484 634
  15,    8 427 859,    5 079 979,    3 347 880,     -,     -,    -,     -,    -,     -,,,  13,    126,    62,    64,    3 914,    2 395,    1 519,    2 847 251,    1 616 780,    1 230 471,    9 154 862,    5 077 018,    4 077 844
  16,    6 072 021,    3 730 673,    2 341 348,    20,    14,    6,    368,    176,    192,,,  14,    1 129,    522,    607,    30 614,    19 139,    11 475,    5 162 742,    2 988 857,    2 173 885,    5 541 262,    3 208 541,    2 332 721
  17,    3 633 648,    2 280 758,    1 352 890,    142,    84,    58,    1 307,    640,    667,,,15—19岁,    262 986,    137 288,    125 698,  3 388 164,    2 232 180,  1 155 984,    14 256 271,    8 663 230,    5 593 041,    3 495 851,    2 181 525,    1 314 326
  18,    2 034 833,    1 310 542,    724 291,    669,    428,    241,    4 302,    2 234,    2 068,,,  15,    9 112,    4 196,    4 916,    173 798,    108 919,    64 879,    5 832 963,    3 479 106,    2 353 857,    2 411 986,    1 487 758,    924 228
  19,    1 253 762,    822 616,    431 146,    1 672,    1 012,    660,    10 371,    5 757,    4 614,,,  16,    35 478,    17 168,    18 310,    537 335,    343 636,    193 699,    4 677 136,    2 847 723,    1 829 413,    821 684,    521 956,    299 728
20—24岁,    1 259 894,    846 570,    413 324,    9 660,    6 536,    3 124,    62 407,    39 425,    22 982,,,  17,    70 027,    35 473,    34 554,    915 191,    597 662,    317 529,    2 446 697,    1 516 425,    930 272,    200 284,    130 474,    69 810
  20,    680 488,    454 115,    226 373,    2 531,    1 638,    893,    16 574,    9 725,    6 849,,,  18,    79 347,    42 113,    37 234,    957 925,    637 530,    320 395,    942 802,    594 983,    347 819,    49 788,    33 254,    16 534
  21,    338 959,    229 847,    109 112,    3 057,    2 016,    1 041,    18 377,    11 411,    6 966,,,  19,    69 022,    38 338,    30 684,    803 915,    544 433,    259 482,    356 673,    224 993,    131 680,    12 109,    8 083,    4 026
  22,    150 893,    102 657,    48 236,    2 297,    1 604,    693,    13 406,    8 729,    4 677,,,20—24岁,    106 061,    62 070,    43 991,    910 671,    629 678,    280 993,    167 706,    106 525,    61 181,    3 389,    2 336,    1 053
