表5—5 全国6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,表5—5全国6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(续10),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  22,    23 028 313,    12 196 594,    10 831 719,    329 171,    221 510,    107 661,    418 809,    247 280,    171 529,,,  22,    558 296,    310 428,    247 868,    2 281 932,    1 315 505,    966 427,    10 784 230,    6 168 823,    4 615 407,    8 655 875,    3 933 048,    4 722 827
  23,    21 327 086,    11322 021,    10 005 065,    268 857,    185 838,    83 019,    356 470,    219 590,    136 880,,,  23,    503 001,    289 990,    213 011,    1 982 029,    1 150 147,    831 882,    10 419 815,    5 959 985,    4 459 830,    7 796 914,    3 516 471,    4 280 443
  24,    23 572 415,    12 561 749,    11 010 666,    300 970,    211 111,    89 859,    406 002,    252 598,    153 404,,,  24,    573 655,    333 915,    239 740,    2 462 213,    1 439 134,    1 023 079,    11 970 595,    6 830 473,    5 140 122,    7 858 980,    3 494 518,    4 364 462
25-29岁,    96 982 769,    52 017 228,    44 965 541,    1 136 258,    824 698,    311 560,    2 063 737,    1 354 417,    709 320,,,25—29岁,  2 542 925,  1 493 298,  1 049 627,    19 449 450,  11 334 005,    8 115 445,    45 585 660,    26 139 759,    19 445 901,    26 204 739,    10 871 051,    15 333 688
  25,    22 937 910,    12 235 853,    10 702 057,    295 665,    212 442,    83 223,    431 881,    275 244,    156 637,,,  25,    607 226,    357 105,    250 121,    3 088 498,    1 814 472,    1 274 026,    11 656 543,    6 608 184,    5 048 359,    6 858 097,    2 968406,    3 889 691
  26,    23 677 063,    12 616 216,    11 060 847,    303 781,    219 168,    84 613,    530 844,    340 957,    189 887,,,  26,    665 068,    387 211,    277 857,    4 206 688,    2 424 413,    1 782 275,    11 660 150,    6 590 002,    5 070 148,    6 310 532,    2 654 465,    3 656 067
  27,    25 233 343,    13 615 955,    11 617 388,    286 337,    211 306,    75 031,    571 930,    380 454,    191 476,,,  27,    668 923,    396 988,    271 935,    5 496 589,    3 208 297,    2 288 292,    11 852 950,    6 820 335,    5 032 615,    6 356 614,    2 598 575,    3 758 039
  28,    14 606 731,    7 894 151,    6 712 580,    146 109,    107 219,    38 890,    305 783,    206 849,    98 934,,,  28,    349 710,    208 106,    141 604,    3 625 925,    2 144 430,    1 481 495,    6 286 637,    3 694 707,    2 591 930,    3 892 567,    1 532 840,    2 359 727
  29,    10 527 722,    5 655 053,    4 872 669,    104 366,    74 563,    29 803,    223 299,    150 913,    72 386,,,  29,    251 998,    143 888,    108 110,    3 031 750,    1 742 393,    1 289 357,    4 129 380,    2 426 531,    1 702 849,    2 786 929,    1 116 765,    1 670 164
30-34岁,    73 683 555,    41 395 394,    32 288 161,    425 390,    307 950,    117 440,    1 266 817,    897 965,    368 852,,,30—34岁,  1 709 453,  1 015 399,    694 054,    16 113 942,    9 846 322,    6 267 620,    27 662 364,    17 471 206,    10 191 158,    26 505 589,    11 856 552,    14 649 037
  30,    13 089 838,    7 222 507,    5 867 331,    93 714,    67 509,    26 205,    226 291,    159 647,    66 644,,,  30,    285 810,    168 837,    116 973,    3 705 263,    2 192 812,    1 512 451,    4 970 558,    3 008 898,    1 961 660,    3 808 202,    1 624 804,    2 183 398
  31,    12 828 351,    7 182 171,    5 646 180,    67 681,    48 758,    18 923,    200 950,    144 861,    56 089,,,  31,    273 971,    164 193,    109 778,    3 271 293,    1 974 715,    1 296 578,    4 821 055,    2 994 762,    1 826 293,    4 193 401,    1 854 882,    2 338 519
  32,    16 743 088,    9 469 950,    7 273 138,    87 929,    64 695,    23 234,    276 422,    199 381,    77 041,,,  32,    374 726,    225 711,    149 015,    3 718 670,    2 267 342,    1 451 328,    6 304 021,    4 018 318,    2 285 703,    5 981 320,    2 694 503,    3 286 817
  33,    15 892 615,    8 974 067,    6 918 548,    91 048,    66 217,    24 831,    281 175,    199 199,    81 976,,,  33,    384 063,    229 442,    154 621,    3 011 168,    1 868 942,    1 142 226,    5 967 870,    3 840 770,    2 127 100,    6 157 291,    2 769 497,    3 387 794
  34,    15 129 663,    8 546 699,    6 582 964,    85 018,    60 771,    24 247,    281 979,    194 877,    87 102,,,  34,    390 883,    227 216,    163 667,    2 407 548,    1 542 511,    865 037,    5 598 860,    3 608 458,    1 990 402,    6 365 375,    2 912 866,    3 452 509
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5--5全国6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(续01),,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,35—39岁,  1 766 462,    999 664,    766 798,    5 952 473,  4 140 044,    1 812 429,    24 544 514,    16 019 797,    8 524 717,    37 510 905,    18 621 646,    18 889 259
35-39岁,    71 345 715,    40 869 342,    30 476 373,    294 698,    205 609,    89 089,    1 276 663,      882 582,    394 081,,,  35,    434 166,    246 318,    187 848,    2 076 702,  1 398 073,    678 629,    5 940 937,    3 852 147,    2 088 790,    7 585 225,    3 609 386,    3 975 839
  35,    16 417 533,    9 368 258,    7 049 275,    78 685,    55 426,    23 259,    301 818,    206 908,    94 910,,,  36,    400 774,    223 633,    177 141,    1 499 519,  1 037 815,    461 704,    5 385 680,    3 481 132,    1 904 548,    7 678 210,    3 762 542,    3 915 668
  36,    15 311 479,    8 741 281,    6 570 198,    65 698,    45 365,    20 333,    281 598,    190 794,    90 804,,,  37,    344 177,    193 593,    150 584,    1 028 465,    730 138,    298 327,    4 798 751,    3 133 222,    1 665 529,    7 668 858,    3 850 477,    3 818 381
  37,    14 133 937,    8 110 463,    6 023 474,    53 702,    37 197,    16 505,    239 984,    165 836,    74 148,,,  38,    318 822,    180 268,    138 554,    767 195,    554 046,    213 149,    4 572 067,    3 017 383,    1 554 684,    7 759 068,    3 936 261,    3 822 807
  38,    13 699 999,    7 885 520,    5 814 479,    49 638,      34 516,    15 122,    233 209,    163 046,    70 163,,,  39,    268 523,    155 852,    112 671,    580 592,    419 972,    160 620,    3 847 079,    2 535 913,    1 311 166,    6 819 544,    3 462 980,    3 356 564
  39,    11 782 767,    6 763 820,    5 018 947,    46 975,    33 105,    13 870,    220 054,    155 998,    64 056,,,40-44岁,    1 733 512,  1 060 717,    672 795,    2 434 926,    1 690 085,    744 841,    14 008 370,    9 368 062,    4 640 308,    31 546 850,    16 878 866,    14 667 984
40-44岁,    50 995 142,    29 930 210,    21 064 932,    364 207,    263 451,    100 756,    907 277,    669 029,    238 248,,,  40,    323 535,  195 794,    127 741,    603 220,    432 122,    171 098,    3 724 396,    2 478 706,    1 245 690,    7 456 040,    3 898 920,    3 557 120
  40,    12 402 875,    7 220 551,    5 182 324,    53 981,    39 523,    14 458,    241 703,    175 486,    66 217,,,  41,    376 697,  226 863,    149 834,    520 262,    361 488,    158 774,    2 740 131,    1 833 313,    906 818,    6 577 733,    3 504 237,    3 073 496
  41,    10 456 677,    6 104 773,    4 351 904,    47 243,    35 741,    11 502,    194 611,    143 131,    51 480,,,  42,    395 708,  243 335,    152 373,    483 479,    331 803,    151 676,    2 479 229,    1 659 317,    819 912,    6 340 347,    3 427 925,    2 912 422
  42,    9 929 124,    5 835 059,    4 094 065,    51 073,    39 074,      11 999,    179 288,    133 605,    45 683,,,  43,    355 166,  220 836,    134 330,    439 353,    299 787,    139 566,    2 534 135,    1 696 246,    837 889,    5 972 658,    3 242 651,    2 730 007
  43,    9 544 234,    5 637 844,    3 906 390,    84 289,    59 743,    24 546,    158 633,    118 581,    40 052,,,  44,    282 406,  173 889,    108 517,    388 612,    264 885,    123 727,    2 530 479,    1 700 480,    829 999,    5 200 072,    2 805 133,    2 394 939
  44,    8 662 232,    5 131 983,    3 530 249,    127 621,    89 370,    38 251,    133 042,    98 226,    34 816,,,45—149岁,  1 526 822,  937 084,    589 738,    1 980 721,    1 389 231,    591 490,    10 012 568,    6 847 138,    3 165 430,        20 771 534,    12 001 854,    8 769 680
45-49岁,    35 462 296,    22 036 975,    13 425 321,    617 173,    445 862,    171 311,    553 478,    415 806,    137 672,,,  45,    264 802,  158 080,    106 722,    384 047,    261 419,    122 628,    2 438 813,    1 655 295,    783 518,    4 690 578,    2 591 710,    2 098 868
