表5—11 省、自治区、直辖市的县15岁及15岁以上分性别的文盲、半文盲人口数(第二口径),,,,,,,,,
,,,,,,,,,
       单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口,,,    文盲、半文盲人口,,,    文盲、半文盲人口占15岁以上人口％,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    587 481 175,    299 144 221,    288 336 954,    154 082 595,    47 071 222,    107 011 373,    26.23,    15.74,    37.11
北京市,    2 137 676,    1 053 241,    1 084 435,    405 751,    123 955,    281 796,    18.98,    11.77,    25.99
天津市,    1 932 096,    954 505,    977 591,    337 109,    90 464,    246 645,    17.45,    9.48,    25.23
河北省,    34 315 491,    17 216 437,    17 099 054,    8 436 872,        2 581 747,    5 855 125,    24.59,    15.00,    34.24
山西省,    14 337 328,    7 299 926,    7 037 402,    2 675 765,    905 130,    1 770 635,    18.66,12.4,    25.16
内蒙古自治区,    9 464 753,        4 986 375,    4 478 378,    2 614 546,    937 754,    1 676 792,    27.62,    18.81,    37.44
辽宁省,    14 370 942,    7 353 205,    7 017 737,    2 129 241,    678 374,    1 450 867,    14.82,    9.23,    20.67
吉林省,    10 168 322,    5 249 797,    4 918 525,    1 794 742,    645 967,    1 148 775,    17.65,    12.30,    23.36
黑龙江省,    12 887 678,    6 679 269,    6 208 409,    2 451 788,    842 709,    1 609 079,    19.02,    12.62,    25.92
,,,,,,,,,
上海市,    3 582 377,    1 735 594,    1 846 783,    811 053,    207 659,    603 394,    22.64,    11.96,32.67
江苏省,    39 534 527,    19 768 888,    19 765 639,    10 100 381,    2 730 729,    7 369 652,    25.55,    13.81,    37.29
浙江省,    21 530 337,    11 046 863,    10 483 474,    5 636 552,    1 703 063,    3 933 489,    26.18,    15.42,37.52
安徽省,    32 523 340,    16 652 509,    15 870 831,    12 462 270,    3 973 290,    8 488 980,    38.32,    23.86,    53.49
福建省,    15 707 879,    7 989 695,    7 718 184,    4 071 788,    970 002,    3 101 786,    25.92,    12.14,    40.19
江西省,    20 010 178,    10 267 217,    9 742 961,    5 540 429,    1 470 480,    4 069 949,    27.69,    14.32,    41.77
山东省,    44 203 712,    22 014 199,    22 189 513,    11 479 669,    3 420 519,    8 059 150,    25.97,    15.54,    36.32
河南省,    50 464 661,    25 363 287,    25 101 374,    12 810 541,    4 021 464,    8 789 077,    25.39,    15.86,    35.01
湖北省,        26 813 828,    13 768 422,    13 045 406,    7 125 163,    2 119 754,    5 005 409,    26.57,    15.40,    38.37
湖南省,    35 142 139,    18 184 342,    16 957 797,    6 646 268,    1 883 120,    4 763 148,    18.91,    10.36,    28.09
广东省,    26 531064,    13 335 501,    13 195 563,    4 802 717,    956 224,    3 846 493,    18.10,    7.17,    29.15
广西壮族自治区,    23 396 099,    12 138 092,    11 258 007,    4 183 635,      1 028 628,    3 155 007,    17.88,    8.47,    28.02
海南省,    3 254 463,    1 662 994,    1 591 469,    793 016,    196 653,    596 363,    24.37,    11.83,    37.47
四川省,    64 910 296,    33 352 907,    31 557 389,    15 299 725,    4 831 180,    10 468 545,    23.57,    14.49,    33.17
贵州省,    17 241 748,    8 878 500,    8 363 248,    7 051 364,    2 126 529,    4 924 835,    40.90,    23.95,    58.89
云南省,    20 987 383,    10 677 299,    10 310 084,    8 800 076,    2 968 739,    5 831 337,    41.93,    27.80,    56.56
西藏自治区,    1 225 266,    599 757,    625 509,    924 337,    370 676,    553 661,    75.44,    61.80,    88.51
陕西省,    17 839 267,    9 105 926,    8 733 341,    5 383 781,    1 855 873,    3 527 908,    30.18,    20.38,    40.40
甘肃省,    12 278 951,    6 291 819,    5 987 132,    5 719 722,    2 020 367,    3 699 355,    46.58,    32.11,    61.79
青海省,    2 176 197,    1 124 492,    1 051 705,    1 119 822,    400 985,    718 837,    51.46,    35.66,    68.35
宁夏回族自治区,    2 159 704,    1 095 636,    1 064 068,    924 400,    323 886,    600 514,    42.80,    29.56,    56.44
新疆维吾尔自治区,    6 353 473,    3 297 527,    3 055 946,    1 550 072,    685 302,    864 770,    24.40,    20.78,    28.30
