表5—6 全国市6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学．本科,,,    大学专科,,,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  8 854 658,  4 613 668, 4 240 990,    28 525 979,    15 351 756,    13 174 223,    63 442 250,    35 291 113,    28 151 137,    55 973 894,    29 249 631,    26 724 263
总计,    168 571 941,    92 350 612,    76 221 329,    5 211 762,    3 652 525,    1 559 237,    6 563 398,    4 191 919,    2 371 479,,,6—9岁,    7,    2,    5,-,-,-,-,-,-,    9 393 864,    4 878 647,    4 515 217
6—9岁,    9 393 871,    4 878 649,    4 515 222,-,-,-,-,-,-,,,  6,    3,-,    3,-,-,-,-,-,-,    842 118,    437 407,    404 711
  6,    842 121,    437 407,    404 714,-,-,-,-,-,-,,,  7,    1,-,    1,-,-,-,-,-,-,    2 609 679,    1 352 610,    1 257 069
  7,    2 609 680,    1 352 610,    1 257 070,-,-,-,-,-,-,,,  8,    -,-,    -,-,-,-,-,-,-,    3 385 329,    1 759 561,    1 625 768
  8,    3 385 329,    1 759 561,    1 625 768,-,-,-,-,-,-,,,  9,    3,    2,    1,-,-,-,-,-,-,    2 556 738,    1 329 069,    1 227 669
  9,    2 556 741,    1 329 071,    1 227 670,-,-,-,-,-,-,,,10-14岁,    8 174,    3 396,    4 778,    28 153,    14 395,    13 758,    3 720 458,    1 888 748,    1 831 710,    10 267 975,    5 370 400,    4 897 575
10—14岁,    14 024 767,    7 276 943,    6 747 824,    7,    4,    3,-,-,-,,,  10,    7,    2,    5,-,-,-,        -,      -,     -,    2 779 060,    1 446 375,    1 332 685
  10,    2 779 067,    1 446 377,    1 332 690,-,-,-,-,-,-,,,  11,    9,    4,    5,-,-,-,    49 379,    24 668,    24 711,    2 780 428,    1 444 335,    1 336 093
