,,,,,,,,,,,,,,,,,,,,,,,,
表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和地区别,    合计,      男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    3 999 750,    2 921 656,    1 078 094,  32 352 835,  22 644 590,    9 708 245,    173 523 382,    109 651 404,    63 871 978,    341 484 294,    178 994 863,    162 489 431
云南省,    7 639 101,    4 959 852,    2 679 249,    6 796,    5 657,    1 139,    23 904,    18 880,    5 024,,,贵州省,    89 299,    71 158,    18 141,    275 846,    217 391,    58 455,    1 967 492,    1 481 575,    485 917,    3 399 390,    2 167 708,    1 231 682
西藏自治区,    94 813,    67 825,    26 988,    778,    637,    141,    1 694,    1 327,    367,,,云南省,    134 365,    99 667,    34 698,    364 293,    249 680,    114 613,    2 282 607,    1 562 979,    719 628,    4 827 136,    3 022 989,    1 804 147
陕西省,    9 866 216,    5 739 292,    4 126 924,    9 745,    8 229,    1 516,    30 239,    24 675,    5 564,,,西藏自治区,    9 104,    6 098,    3 006,    4 428,    2 878,    1 550,    17 939,    13 098,    4 841,    60 870,    43 787,    17 083
甘肃省,    4 708 519,    3 119 097,    1 589 422,    2 144,    1 982,    162,    12 713,    11 252,    1 461,,,陕西省,    115 355,    89 934,    25 421,    979 989,    662 381,    317 608,    4 577 901,    2 790 203,    1 787 698,    4 152 987,    2 163 870,    1 989 117
青海省,    680 394,    470 703,    209 691,    3 396,    2 805,    591,    6 980,    5 528,    1 452,,,甘肃省,    64 455,    55 531,    8 924,    528 856,    419 125,    109 731,    1 659 227,    1 177 142,    482 085,    2 441 124,    1 454 065,    987 059
宁夏回族自治区,    787 550,    503 410,    284 140,    831,    705,    126,    5 055,    4 173,    882,,,青海省,    26 808,    19 509,    7 299,    72 084,    46 101,    25 983,    264 543,    185 302,    79 241,    306 583,    211 458,    95 125
新疆维吾尔自治区,    3 768 691,    2 050 704,    1 717 987,    6 394,    4 962,    1 432,    20 544,    15 007,    5 537,,,宁夏回族自治区,    18 817,    16 008,    2 809,    74 077,    52 526,    21 551,    340 529,    225 252,    115 277,    348 241,    204 746,    143 495
,,,,,,,,,,,,新疆维吾尔自治区,    89 001,    58 731,    30 270,    296 942,    169 183,    127 759,    1 148 291,    667 622,    480 669,    2 207 519,    1 135 199,    1 072 320
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径)(续03),,,,,,,,,,,,表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径)(续08),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
肄业,    84 775 826,    45 390 032,    39 385 794,    9 463,    8 795,    668,    35 475,    31 628,    3 847,,,,,,,,,,,,,,,
北京市,    159 536,    92 574,    66 962,    50,    41,    9,    179,    147,    32,,,肄业,    94 380,    74 684,    19 696,    1 824 751,    1 333 584,    491 167,    23 180 798,    15 213 619,    7 967 179,    59 630 959,    28 727 722,    30 903 237
天津市,    202 650,    105 891,    96 759,    35,    34,    1,    109,    93,    16,,,北京市,    229,    159,    70,    3 191,    1 825,    1 366,    51 820,    32 098,    19 722,    104 067,    58 304,    45 763
河北省,    1 411 810,    768 963,    642 847,    230,    210,    20,    1 235,    1 100,    135,,,天津市,    91,    64,    27,    5 640,    3 428,    2 212,    63 166,    37 453,    25 713,    133 609,    64 819,    68 790
山西省,    862 121,    464 132,    397 989,    142,    125,    17,    579,    500,    79,,,河北省,    2 703,    2 075,    628,    54 912,    36 317,    18 595,    505 078,    310 036,    195 042,    847 652,    419 225,    428 427
内蒙古自治区,    1 548 222,    845 663,    702 559,    103,    98,    5,    380,    311,    69,,,山西省,    1 595,    1 209,    386,    22 593,    15 191,    7 402,    328 346,    196 284,    132 062,    508 866,    250 823,    258 043
辽宁省,    1 826 810,    939 788,    887 022,    271,    258,    13,    781,    704,    77,,,内蒙古自治区,    1 360,    1 083,    277,    34 594,    24 189,    10 405,    511 815,    330 386,    181 429,    999 970,    489 596,    510 374
吉林省,    1 913 817,    988 013,    925 804,    196,    176,    20,    495,    414,    81,,,辽宁省,    1 900,    1 427,    473,    41 579,    27 211,    14 368,    715 700,    414 680,    301 020,    1 066 579,    495 508,    571 071
黑龙江省,    2 428 449,    1 258 534,    1 169 915,    196,    176,    20,    664,    560,    104,,,吉林省,    1 187,    889,    298,    43 164,    28 136,    15 028,    641 255,    390 241,    251 014,    1 227 520,    568 157,    659 363
上海市,    579 214,    318 740,    260 474,    311,    269,    42,    684,    586,    98,,,黑龙江省,    1 200,    849,    351,    58 013,    39 676,    18 337,    823 148,    503 707,    319 441,    1 545 228,    713 566,    831 662
江苏省,    5 275 658,    2 722 249,    2 553 409,    650,    609,    41,    3 076,    2 800,    276,,,上海市,    961,    683,    278,    22 445,    13 201,    9 244,    188 392,    111 457,    76 935,    366 421,    192 544,    173 877
浙江省,    5 110 365,    2 883 978,    2 226 387,    626,    584,    42,    2 137,    1 906,    231,,,江苏省,    7 165,    5 801,    1 364,    112 296,    79 762,    32 534,    1 482 278,    923 083,    559 195,    3 670 193,    1 710 194,    1 959 999
安徽省,    5 304 654,    2 934 943,    2 369 711,    533,    514,    19,    1 427,    1 325,    102,,,浙江省,    4 855,    3 825,    1 030,    101 624,    72 228,    29 396,    1 356 773,    867 367,    489 406,    3 644 350,    1 938 068,    1 706 282
福建省,    4 492 583,    2 354 510,    2 138 073,    522,    483,    39,    1 230,    1 136,    94,,,安徽省,    4 132,    3 399,    733,    60 571,    49 790,    10 781,    1 394 372,    1 018 395,    375 977,    3 843 619,    1 861 520,    1 982 099
江西省,    5 567 028,    2 875 672,    2 691 356,    524,    497,    27,    1 710,    1 623,    87,,,福建省,    3 245,    2 748,    497,    102 830,    82 363,    20 467,    1 048 566,    779 184,    269 382,    3 336 190,    1 488 596,    1 847 594
山东省,    2 700 599,    1 278 782,    1 421 817,    292,    276,    16,    1 336,    1 228,    108,,,江西省,    6 148,    5 069,    1 079,    111 589,    89 803,    21 786,    1 237 279,    897 584,    339 695,    4 209 778,    1 881 096,    2 328 682
河南省,    2 589 776,    1 342 766,    1 247 010,    568,    521,    47,    2 551,    2 266,    285,,,山东省,    3 844,    3 096,    748,    60 950,    43 879,    17 071,    776 059,    467 945,    308 114,    1 858 118,    762 358,    1 095 760
湖北省,    4 663 042,        2 454 187,    2 208 855,    388,    370,    18,    1 483,    1 375,    108,,,河南省,        5 587,      4 377,    1 210,    102 159,    72 264,    29 895,    1 026 078,    629 991,    396 087,    1 452 833,    633 347,    819 486
湖南省,    7 030 171,        3 746 591,    3 283 580,    697,    657,    40,    3 040,    2 645,    395,,,湖北省,    4 433,    3 592,    841,    139 128,    104 117,    35 011,    1 454 117,    966 307,    487 810,    3 063 493,    1 378 426,    1 685 067
广东省,    5 121 478,    2 567 057,    2 554 421,    456,    436,    20,    2 198,    2 023,    175,,,湖南省,    7 533,    5 703,    1 830,    228 182,    161 827,    66 355,    2281 549,    1 416 608,    864 941,    4 509 170,    2 159 151,    2 350 019
广西壮族自治区,    2 934 263,    1 478 801,    1 455 462,    226,    215,    11,    2 005,    1 627,    378,,,广东省,    4 892,    4 003,    889,  122 811,    94 053,    28 758,    1 199 108,    780 004,    419 104,    3 792 013,    1 686 538,    2 105 475
海南省,    548 489,    300 406,    248 083,    52,    47,    5,    435,    383,    52,,,广西壮族自治区,    3 861,    3 147,    714,    59 777,    44 862,    14 915,    581 764,    398 554,    183 210,    2 286 630,    1 030 396,    1 256 234
四川省,    10 047 548,    5 362 811,    4 684 737,    1 239,    1 155,    84,    4 129,    3 753,    376,,,海南省,    748,    600,    148,    24 707,    18 308,    6 399,    183 930,    119 688,    64 242,    338 617,    161 380,    177 237
贵州省,    3 731 752,    2 241 474,    1 490 278,    183,    171,    12,    537,    487,    50,,,四川省,    13 267,    10 163,    3 104,    136 968,    99 292,    37 676,    2 748 211,    1 768 626,    979 585,    7 143 734,    3 479 822,    3 663 912
云南省,    4 038 874,    2 330 378,    1 708 496,    224,    214,    10,    694,    605,    89,,,贵州省,    3 075,    2 586,    489,    34 270,    29 048,    5 222,    733 208,    578 947,    154 261,    2 960 479,    1 630 235,    1 330 244
西藏自治区,    116 027,    85 202,    30 825,    11,    11,    -,    50,    42,    8,,,云南省,    2 513,    2 036,    477,      32 623,    25 601,    7 022,    642 547,    471 311,    171 236,    3 360 273,    1 830 611,    1 529 662
陕西省,    1 885 741,    1 066 671,    819 070,    234,    212,    22,    853,    745,    108,,,西藏自治区,    199,    153,    46,    427,    360,    67,    5 032,    4 065,    967,    110 308,    80 571,    29 737
甘肃省,    1 241 194,    747 345,    493 849,    144,    133,    11,    527,    477,    50,,,陕西省,    2 277,    1 820,    457,    44 360,    31 164,    13 196,    556 236,    357 990,    198 246,    1 281 781,    674 740,    607 041
青海省,    263 767,    174 324,    89 443,    73,    63,    10,    164,    134,    30,,,甘肃省,    1 646,    1 405,    241,    29 947,    23 736,    6 211,    297 158,    216 184,    80 974,    911 772,    505 410,    406 362
宁夏回族自治区,    307 044,    181 358,    125 686,    18,    17,    1,    70,    60,    10,,,青海省,    472,    355,    117,    5 000,    3 747,        1 253,    65 242,    49 380,    15 862,    192 816,    120 645,    72 171
新疆维吾尔自治区,    873 144,    478 229,    394 915,    269,    223,    46,    717,    573,    144,,,宁夏回族自治区,    268,    231,    37,    5 351,    3 924,    1 427,    76 369,    51 301,    25 068,    224 968,    125 825,    99 143
,,,,,,,,,,,,新疆维吾尔自治区,    2 994,    2 137,    857,    23 050,    14 282,    8 768,    206 202,    124 763,    81 439,    639 912,    336 251,    303 661
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径)(续04),,,,,,,,,,,,表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径)(续09),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,            单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,  女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
其它,    9 403 271,    6 019 767,    3 383 504,    5 259,    4 566,    693,    67 331,    55 940,    11 391,,,其它,    93 669,    71 681,    21 988,    87 256,    78 473,    8 783,    721 853,    639 881,    81 972,    8 427 903,    5 169 226,    3 258 677
北京市,    7 426,    5 688,    1 738,    17,    14,    3,    220,    151,    69,,,北京市,    223,    138,    85,    94,    68,    26,    544,    427,    117,    6 328,    4 890,    1 438
天津市,    24 542,    19 276,    5 266,    6,    5,    1,    74,    46,    28,,,天津市,    78,    65,    13,    261,    228,    33,    2 298,    2 059,    239,    21 825,    16 873,    4 952
河北省,    51 843,    36 254,    15 589,    97,    77,    20,    1 369,    1 102,    267,,,河北省,    1 383,    1 005,    378,    873,    643,    230,    5 182,    4 133,    1 049,    42 939,    29 294,    13 645
山西省,    33 720,    22 808,    10 912,    55,    45,    10,    786,    625,    161,,,山西省,    905,    629,    276,    344,    256,    88,    2 240,    1 781,    459,    29 390,    19 472,    9 918
内蒙古自治区,    96 888,    69 478,    27 410,    88,    79,    9,    508,    389,    119,,,内蒙古自治区,    578,    445,    133,    931,    807,    124,    8 890,    7 607,    1 283,    85 893,    60 151,    25 742
辽宁省,    81 492,    59 889,    21 603,    126,    108,    18,    1 295,    1 007,    288,,,辽宁省,    2 441,    1 646,    795,    1 058,        916,    142,    5 876,    5 002,    874,    70 696,    51 210,    19 486
吉林省,    42 922,    29 111,    13 811,    135,    113,    22,    959,    710,    249,,,吉林省,    1 554,    1 046,    508,    493,    402,    91,    2 492,    2 018,    474,    37 289,    24 822,    12 467
黑龙江省,    74 500,    42 543,    31 957,      398,    258,    140,    4 259,    2 813,    1 446,,,黑龙江省,    3 352,    1 983,    1 369,    1 538,    1 084,    454,    15 988,    9 966,    6 022,    48 965,    26 439,    22 526
上海市,    43 155,    24 690,    18 465,    48,    44,    4,    467,    369,    98,,,上海市,    593,    409,    184,    1 386,    802,    584,    9 102,    5 718,    3 384,    31 559,    17 348,    14 211
江苏省,    1 542 317,    887 039,    655 278,    766,    701,    65,    17 492,    15 498,    1 994,,,江苏省,    23 510,    18 423,    5 087,    17 761,    15 901,    1 860,    124 936,    111 773,    13 163,    1 357 852,    724 743,    633 109
浙江省,    593 711,    350 762,    242 949,    134,    121,    13,    1 946,    1 598,    348,,,浙江省,    2 690,    1 833,    857,    3 000,    2 587,    413,    32 732,    28 094,    4 638,    553 209,    316 529,    236 680
安徽省,    598 120,    373 035,    225 085,    164,    161,    3,    3 468,    3 097,    371,,,安徽省,    4 541,    3 778,    763,    6 693,    6 459,    234,    59 341,    55 896,    3 445,    523 913,    303644,    220 269
福建省,    803 543,    401 914,    401 629,    216,    197,    19,    1 639,      1 423,    216,,,福建省,    2 955,    2 211,    744,    3 530,    3 143,    387,    32 561,    28 322,    4 239,    762 642,    366 618,    396 024
江西省,    386 506,    281 735,    104 771,    229,    219,    10,    1 988,    1 747,    241,,,江西省,    2 355,    2 005,    350,    4 903,    4 534,    369,    32 330,    29 271,    3 059,    344 701,    243 959,    100 742
山东省,    483 797,    257 159,    226 638,    216,    185,    31,    1 606,    1 339,    267,,,山东省,    3 645,    3 038,    607,    2 043,    1 869,    174,    19 541,    17 666,    1 875,    456 746,    233 062,    223 684
河南省,    414 277,    236 181,    178 096,    508,    439,    69,    4 390,    3 414,    976,,,河南省,    5 291,    4 152,    1 139,    5 058,    4 512,    546,    34 961,    30 356,    4 605,    364 069,    193 308,    170 761
湖北省,    795 299,    633 206,    162 093,    479,    417,    62,    4 971,    4 075,    896,,,湖北省,    6 273,    5 132,    1 141,    10 194,    9 634,    560,    81 467,    74 914,    6 553,    691 915,    539 034,    152 881
湖南省,    506 935,    359 349,    147 586,    634,    549,    85,    8 387,    6 835,    1 552,,,湖南省,    13 691,    10 184,    3 507,    7 561,    6 625,    936,    57 022,    49 484,    7 538,    419 640,    285 672,    133 968
广东省,    175 741,    112 343,    63 398,    124,    113,    11,    2 929,    2 531,    398,,,广东省,    5 898,    4 425,    1 473,    1 131,    972,    159,    8 984,    7 386,    1 598,    156 675,    96 916,    59 759
广西壮族自治区,    38 755,    18 237,    20 518,    78,    68,    10,    1 411,    1 142,    269,,,广西壮族自治区,    1 708,    1 196,    512,    387,    297,    90,    1 911,    1 551,    360,    33 260,    13 983,    19 277
海南省,    10 028,    7 369,    2 659,    10,    9,    1,    418,    354,    64,,,海南省,    424,    283,    141,    135,    110,    25,    595,    482,    113,    8 446,    6 131,    2 315
四川省,    1 650 085,    1 195 492,    454 593,    373,    334,    39,    3 514,    2 949,    565,,,四川省,    4 793,    3 812,    981,    10 048,    9 371,    677,    111 359,    100 887,    10 472,    1 519 998,    1 078 139,    441 859
贵州省,    354 278,    211 515,    142 763,    38,    26,    12,    441,    379,    62,,,贵州省,    1 131,    917,    214,    2 591,    2 402,    189,    36 407,    32 750,    3 657,    313 670,    175 041,    138 629
云南省,    218 373,    137 217,    81 156,    68,    61,    7,    576,    468,    108,,,云南省,    926,    750,    176,    676,    617,    59,    9 388,    8 916,    472,    206 739,    126 405,    80 334
西藏自治区,    92 829,    78 851,    13 978,    16,    15,    1,    97,    95,    2,,,西藏自治区,    315,    297,    18,    1 000,    962,    38,    7 621,    7 124,    497,    83 780,    70 358,    13 422
陕西省,    95 744,        55 699,    40 045,    73,    64,    9,    707,    561,    146,,,陕西省,    1 110,    844,    266,    520,    422,    98,    3 872,    3 243,    629,    89 462,    50 565,    38 897
甘肃省,    65 460,    33 024,    32 436,    22,    20,    2,    398,    360,    38,,,甘肃省,    341,    280,    61,    886,    837,    49,    3 802,    3 418,    384,    60 011,    28 109,    31 902
青海省,    58 673,    46 711,    11 962,    88,    83,    5,    532,    514,    18,,,青海省,    332,    308,    24,    1 676,    1 652,    24,    8 588,    8 206,    382,    47 457,    35 948,    11 509
宁夏回族自治区,    18 226,    8 081,    10 145,    3,    1,    2,    82,    65,    17,,,宁夏回族自治区,    144,    116,    28,    49,    44,    5,    417,    344,    73,    17 531,    7 511,    10 020
新疆维吾尔自治区,    44 086,    25 111,    18 975,    50,    40,    10,    402,    284,    118,,,新疆维吾尔自治区,    489,    331,    158,    436,    317,    1 19,    1 406,    1 087,    319,    41 303,    23 052,    18 251
