,,,,,,,,,,,,,,,,,,,,,,,,
表5-7全国镇6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  4 429 273,  2 595 346,  1 833 927,  11 725 032,    6 636 441,    5 088 591,    26 419 231,    14 626 755,    11 792 476,    22 747 104,    11 992 380,    10 754 724
  37,    1 246,    912,    334,    21,    17,    4,    269,    216,    53,,,  37,    938,    667,    271,    5,    5,-,    9,    5,    4,    4,    2,    2
  38,    1 035,    804,    231,    23,    21,    2,    229,    185,    44,,,  38,    762,    590,    172,    7,    4,    3,    12,    3,    9,    2,    1,    1
  39,    975,    735,    240,    15,    11,    4,    160,    117,    43,,,  39,    784,    596,    188,    3,    1,    2,    7,    7,-,    6,    3,    3
40-44岁,    2 817,    2 294,    523,    47,    43,    4,    456,    390,    66,,,40—44岁,    2 176,    1 778,    398,    35,    21,    14,    83,    51,    32,    20,    11,    9
  40,    1 165,    932,    233,    13,    12,    1,    149,    122,    27,,,  40,    985,    789,    196,    7,    4,    3,    9,    4,    5,    2,    1,    1
  41,    720,    597,      123,    12,    12,    -,    127,    105,    22,,,  41,    568,    473,    95,    4,    3,    1,    5,    2,    3,    4,    2,    2
  42,    424,    347,    77,    9,    8,    1,    83,    76,    7,,,  42,    265,    222,    43,    14,    7,    7,    43,    29,    14,    10,    5,    5
  43,    285,    230,    55,    6,    5,    1,        47,    43,    4,,,  43,    195,    158,    37,    7,    5,    2,    26,    16,    10,    4,    3,    1
  44,    223,    188,    35,    7,    6,    1,    50,    44,    6,,,  44,    163,    136,    27,    3,    2,    1,-,-,-,-,-,    -
45—49岁,    76,    59,    17,-,-,-,    24,    19,    5,,,45—49岁,    34,    32,    2,    3,    2,    1,    6,    4,    2,    9,    2,    7
  45,    37,    29,    8,-,-,-,    9,    7,    2,,,  45,    21,    19,    2,-,-,-,    2,    2,-,    5,    1,    4
  46,    17,    12,    5,-,-,-,    7,    5,    2,,,  46,    7,    7,-,    1,-,    1,    1,-,    1,    1,-,    1
  47,    11,    8,    3,-,-,-,    4,    3,    1,,,  47,    3,    3,-,-,-,-,    2,    1,    1,    2,    1,    1
  48,    5,    5,    -,-,-,-,    2,    2,-,,,  48,    1,    1,-,    1,    1,-,    1,    1,-,-,-,    -
  49,    6,    5,    1,-,-,-,    2,    2,-,,,  49,    2,    2,-,    1,    1,-,-,-,-,    1,-,    1
50—54岁,    35,    22,    13,-,-,-,    7,    7,-,,,50—54岁,    4,    4,-,    5,    4,    1,    5,    2,    3,    14,    5,    9
  50,    7,    4,    3,-,-,-,    2,    2,-,,,  50,    1,    1,-,-,-,-,    1,-,    1,    3,    1,    2
  51,    10,    9,    1,-,-,-,    3,    3,-,,,  51,    2,    2,-,    1,    1,-,    1,    1,-,    3,    2,    1
  52,    7,    4,    3,-,-,-,    1,    1,-,,,  52,-,-,-,    2,    2,-,    2,    1,    1,    2,-,    2
  53,    8,    4,    4,-,-,-,    -,    -,-,,,  53,    1,    1,-,    2,    1,    1,    1,-,    1,    4,    2,    2
  54,    3,    1,    2,-,-,-,    1,    1,-,,,  54,-,-,-,-,-,-,-,-,-,    2,-,    2
55—59岁,    29,    18,    11,-,-,-,-,-,-,,,55—59岁,-,-,-,    4,    1,    3,    4,    3,    1,    21,    14,    7
  55,        6,    3,    3,-,-,-,-,-,-,,,  55,-,-,-,    1,    1,-,    3,    2,    1,    2,-,    2
  56,    10,    6,    4,-,-,-,-,-,-,,,  56,-,-,-,    1,-,    1,-,-,-,    9,    6,    3
  57,    5,    2,    3,-,-,-,-,-,-,,,  57,-,-,-,    1,-,    1,-,-,-,    4,    2,    2
  58,    4,    3,    1,-,-,-,-,-,-,,,  58,-,-,-,    1,-,    1,-,-,-,    3,    3,-
  59,    4,    4,    -,-,-,-,-,-,-,,,  59,-,-,-,-,-,-,    1,    1,-,    3,    3,-
60-64岁,    16,    12,    4,-,-,-,-,-,-,,,60-64岁,-,-,-,    4,    3,    1,    2,-,    2,    10,    9,    1
  60,    3,    2,    1,-,-,-,-,-,-,,,  60,-,-,-,    1,-,    1,-,-,-,    2,    2,-
  61,    2,    2,    -,-,-,-,-,-,-,,,  61,-,-,-,    1,    1,-,-,-,-,    1,    1,-
  62,    5,    3,    2,-,-,-,-,-,-,,,  62,-,-,-,    2,    2,-,    2,-,    2,    1,    1,-
  63,    3,    3,    -,-,-,-,-,-,-,,,  63,-,-,-,-,-,-,-,-,-,    3,    3,-
  64,    3,      2,    1,-,-,-,-,-,-,,,  64,-,-,-,-,-,-,-,-,-,    3,    2,    1
65岁及以上,    37,    24,    13,-,-,-,    1,    1,-,,,65岁及以上,    2,    1,    1,-,-,-,    11,    7,    4,    23,    15,    8
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5—7全国镇6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径)(续04),,,,,,,,,,,,表5—7全国镇6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径)(续14),,,,,,,,,,,,
      单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,,,,,,,,,,,,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
毕业,    47 826 892,    27 089 259,    20 737 633,    642 883,    528 925,    113 958,    1 702 212,    1 302 793,    399 419,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
6—9岁,    2 538,    1 379,    1 159,-,-,-,-,-,-,,,毕业,  3 664 177, 2 200 505,  1 463 672,    9 824 882,    5 551 486,    4 273 396,    21 220 381,    11 794 134,    9 426 247,    10 772 357,    5 711 416,    5 060 941
  6,    216,    112,    104,-,-,-,-,-,-,,,6—9岁,-,-,-,-,-,-,-,-,-,    2 538,    1 379,    1 159
  7,    490,    265,    225,-,-,-,-,-,-,,,  6,-,-,-,-,-,-,-,-,-,    216,    112,    104
  8,    802,    441,    361,-,-,-,-,-,-,,,  7,-,-,-,-,-,-,-,-,-,    490,    265,    225
  9,    1 030,    561,    469,-,-,-,-,-,-,,,  8,-,-,-,-,-,-,-,-,-,    802,    441,    361
10—14岁,    333 368,    162 828,    170 540,-,-,-,-,-,-,,,  9,-,-,-,-,-,-,-,-,-,    1 030,    561,    469
  10,    6 482,    3 237,    3 245,-,-,-,-,-,-,,,10-14岁,    26,    14,    12,    291,    165,    126,    86 149,    41 539,    44 610,    246 902,    121 110,    125 792
  11,    33 669,    16 940,    16 729,-,-,-,-,-,-,,,  10,-,-,-,-,-,-,     -,     -,     -,    6 482,    3 237,    3 245
  12,    75 670,    37 943,    37 727,-,-,-,-,-,-,,,  11,-,-,-,-,-,-,    370,    194,    176,    33 299,    16 746,    16 553
  13,    82 667,    41 001,    41 666,-,-,-,-,-,-,,,  12,-,-,-,-,-,-,    1 967,    945,    1 022,    73 703,    36 998,    36 705
  14,    134 880,    63 707,    71 173,-,-,-,-,-,-,,,  13,    8,    6,    2,    52,    31,    21,    12 570,    6 119,    6 451,    70 037,    34 845,    35 192
15—19岁,    4 245 105,    2 079 321,    2 165 784,    155,    90,    65,    3 999,    1 872,    2 127,,,  14,    18,    8,    10,    239,    134,    105,    71 242,    34 281,    36 961,    63 381,    29 284,    34 097
  15,    275 385,    130 660,      144 725,    -,    -,    -,      -,    -,     -,,,15-19岁,    77 674,    30 582,    47 092,    615 646,    328 655,    286 991,    2 876 693,    1 408 073,    1 468 620,    670 938,    310 049,    360 889
  16,    515 706,        246 169,    269 537,    2,    1,    1,    70,    38,    32,,,  15,    250,    97,    153,    2 624,    1 416,    1 208,    187 584,    91 316,    96 268,    84 927,    37 831,    47 096
  17,    855 438,    414 909,    440 529,    15,    8,    7,    287,    121,    166,,,  16,    1 546,    561,    985,    18 958,    10 183,    8 775,    381 849,        184 108,    197 741,    113 281,    51 278,    62 003
  18,    1 151 743,    569 082,    582 661,    43,    26,    17,    831,    365,    466,,,  17,    6 875,    2 629,    4 246,    85 164,    46 136,    39 028,    623 413,    301 799,    321 614,    139 684,    64 216,    75 468
  19,    1 446 833,    718 501,    728 332,    95,    55,    40,    2 811,    1 348,    1 463,,,  18,    21 325,    8 084,    13 241,    196 120,    105 188,    90 932,    777 712,    382 429,    395 283,    155 712,    72 990,    82 722
20-24岁,    8 571 903,    4 356 400,    4 215 503,    81 169,    59 937,    21 232,    257 311,    161 201,    96 110,,,  19,    47 678,    19 211,    28 467,    312 780,    165 732,    147 048,    906 135,    448 421,    457 714,    177 334,    83 734,    93 600
  20,    1 636 234,    811 677,    824 557,    471,    285,    186,    10 617,    5 391,    5 226,,,20—24岁,    606 326,    324 034,    282 292,  1 970 504,    1 038 289,    932 215,    4 693 609,    2 318 281,    2 375 328,    962 984,    454 658,    508 326
  21,    1 792 369,    892 524,    899 845,    2 501,    1 667,    834,    32 938,    18 414,    14 524,,,  20,    80 670,    35 853,    44 817,    393 586,    206 178,    187 408,    953 517,    470 336,    483 181,    197 373,    93 634,    103 739
  22,    1 670 299,    849 459,    820 840,    11653,    8 245,    3 408,    53 994,    32 753,    21 241,,,  21,    113 074,    56 117,    56 957,    436 921,    227 967,    208 954,    994 746,    487 774,    506 972,    212 189,    100 585,    111 604
  23,    1 601 693,    826 202,    775 491,    25 896,    19 040,    6 856,    69 029,    44 535,    24 494,,,  22,    119 003,    64 206,    54 797,    383 913,    202 820,    181 093,    910 392,    450 673,    459 719,    191 344,    90 762,    100 582
  24,    1 871 308,    976 538,    894 770,    40 648,    30 700,    9 948,    90 733,    60 108,    30 625,,,  23,    129 998,    73 534,    56 464,    343 425,    182 054,    161 371,    857 274,    424 325,    432 949,    176 071,    82 714,    93 357
25—29岁,    8 603 141,    4 580 307,    4 022 834,    150 147,    122 284,    27 863,    452 763,    332 961,    119 802,,,  24,    163 581,    94 324,    69 257,    412 659,    219 270,    193 389,    977 680,    485 173,    492 507,    186 007,    86 963,    99 044
  25,    1 977 481,    1 043 828,    933 653,    42 605,    33 396,    9 209,    101 434,    69 912,    31 522,,,25—29岁,    749 482,    443 336,    306 146,  2 848 144,    1 469 721,    1 378 423,    3 692 935,    1 897 382,    1 795 553,    709 670,    314 623,    395 047
  26,    2 116 312,      1 117 908,    998 404,    40 274,    32 613,    7 661,    117 674,    84 154,    33 520,,,  25,    181 352,    106 300,    75 052,    501 936,    265 331,    236 605,    979 344,    490 510,    488 834,    170 810,    78 379,    92 431
  27,    2 225 115,    1 190 458,    1 034 657,    37 348,    31 217,    6 131,    125 398,    94 415,    30 983,,,  26,    201 093,    117 660,    83 433,    633 137,    324 949,    308 188,    960 154,    484 191,    475 963,    163 980,    74 341,    89 639
  28,    1 289 198,    694 149,    595 049,    18 885,    15 858,    3 027,    66 172,    51 466,    14 706,,,  27,    197 537,    117 977,    79 560,    778 308,    396 946,    381 362,    913 900,    474 026,    439 874,    172 624,    75 877,    96 747
  29,    995 035,    533 964,    461 071,    11 035,    9 200,    1 835,    42 085,    33 014,    9 071,,,  28,    101 592,    61 319,    40 273,    505 540,    260 394,    245 146,    485 443,    257 983,    227 460,    111 566,    47 129,    64 437
30-34岁,    6 446314,    3 564 903,    2 881 411,    49 110,    41 213,    7 897,    248 182,    198 954,    49 228,,,  29,    67 908,    40 080,    27 828,    429 223,    222 101,    207 122,    354 094,    190 672,    163 422,    90 690,    38 897,    51 793
  30,    1 209 488,    661 501,    547 987,    10 060,    8 463,    1 597,    44 307,    35 825,    8 482,,,30—34岁,    479 819,    284 823,    194 996,    2 236 756,    1 228 396,  1 008 360,    2 494 755,    1 397 477,    1 097 278,    937 692,    414 040,    523 652
  31,    1 161 259,    641 653,    519 606,    7 775,    6 557,    1 218,    40 733,    33 532,    7 201,,,  30,    79 325,    47 986,    31 339,    513 035,    271 874,    241 161,    433 136,    239 741,    193 395,    129 625,    57 612,    72 013
  32,    1 470 087,    816 048,    654 039,    10 629,    9 088,    1 541,    54 726,    44 484,    10 242,,,  31,    79 327,    48 185,    31 142,    453 198,    244 979,    208 219,    433 676,    242 834,    190 842,    146 550,    65 566,    80 984
  33,    1 338 412,    740549,    597 863,    10 691,    8 933,    1 758,    54 759,    43 680,    11079,,,  32,    107 790,    64 839,    42 951,    515 388,    282 219,    233 169,    572 878,    322 673,    250 205,    208 676,    92 745,    115 931
  34,    1 267 068,    705 152,    561 916,    9 955,    8 172,    1 783,    53 657,    41 433,    12 224,,,  33,    107 544,    63 594,    43 950,    415 226,    231 662,    183 564,    534 834,    299 012,    235 822,    215 358,    93 668,    121 690
,,,,,,,,,,,,  34,    105 833,    60 219,    45 614,    339 909,    197 662,    142 247,    520 231,    293 217,    227 014,    237 483,    104 449,    133 034
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5-7全国镇6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径)(续05),,,,,,,,,,,,表5-7全国镇6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(第二口径)(续15),,,,,,,,,,,,
  单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
35—39岁,    5 878 144,    3 339 633,    2 538 511,    37 799,    30 022,    7 777,    237 407,    181 746,    55 661,,,35—39岁,    462 376,    258 047,    204 329,    882 673,    554 790,    327 883,    2 639 710,    1 542 217,    1 097 493,    1 618 179,    772 811,    845 368
  35,    1 352 586,    759 136,    593 450,    9 662,    7 802,    1 860,    56 723,    43 147,    13 576,,,  35,    115 470,    63 924,    51 546,    296 665,    179 923,    116 742,    576 081,    329 036,    247 045,    297 985,    135 304,    162 681
  36,    1 273 174,    715 944,    557 230,    8 018,    6 394,    1 624,    51 600,    38 885,    12 715,,,  36,    106 635,    58 562,    48 073,    218 722,    135 606,    83 116,    559 798,    322 962,    236 836,    328 401,    153 535,    174 866
  37,    1 162 459,    660 919,    501 540,    6 963,    5 486,    1 477,    44 960,    34 428,    10 532,,,  37,    91 870,    50 937,    40 933,    152 750,    97 449,    55 301,    527 087,    308 883,    218 204,    338 829,    163 736,    175 093
  38,    1 113 736,    638 653,    475 083,    6 642,    5 153,    1 489,    43 745,    33 792,    9 953,,,  38,    82 064,    46 194,    35 870,    118 699,    77 734,    40 965,    521 022,    308 549,    212 473,    341 564,    167 231,    174 333
  39,    976 189,    564 981,    411208,    6 514,    5 187,    1 327,    40 379,    31 494,    8 885,,,  39,    66 337,    38 430,    27 907,    95 837,    64 078,    31 759,    455 722,    272 787,    182 935,    311 400,    153 005,    158 395
40-44岁,    4 315 259,    2 573 163,    1 742 096,    62 028,    50 182,    11 846,    177 950,    145 666,    32 284,,,40—44岁,    374 594,    232 169,    142 425,    430 206,    290 596,    139 610,    1 697 670,    1 035 206,    662 464,    1 572 811,    819 344,    753 467
  40,      1 051 199,    619 084,    432 115,    7 802,    6 304,    1 498,    46 403,    37 243,    9 160,,,  40,    74 606,    45 068,    29 538,    106 164,    71 589,    34 575,    458 014,    277 663,    180 351,    358 210,    181 217,    176 993
  41,    875 797,    514 749,    361 048,    7 586,    6 377,    1 209,    39 095,    31 686,    7409,,,  41,    77 694,    47 234,    30 460,    92 509,    61 702,    30 807,    337 205,    203 434,    133 771,    321 708,    164 316,    157 392
  42,    826 160,    491 106,    335 054,    8 601,    7 279,    1 322,    35 841,    29 571,    6 270,,,  42,    81 842,    51 036,    30 806,    85 886,    58 014,    27 872,    298 933,    181 321,    117 612,    315 057,    163 885,    151 172
  43,    815 860,    493 790,    322 070,    14 825,    11 855,    2 970,    30 891,    25 731,    5 160,,,  43,    77 265,    48 772,    28 493,    78 270,    53 272,    24 998,    306 399,    188 749,    117 650,    308 210,    165 411,    142 799
  44,    746 243,    454 434,    291 809,    23 214,    18 367,    4 847,    25 720,    21 435,    4 285,,,  44,    63 187,    40 059,    23 128,    67 377,    46 019,    21 358,    297 119,    184 039,    113 080,    269 626,    144 515,    125 111
45—49岁,    3 203 357,    1 955 190,    1 248 167,    100 397,    82 738,    17 659,    104 959,    87 214,    17 745,,,45—49岁,    346 192,    216 569,    129 623,    333 091,    229 745,    103 346,    1 169 303,    720 037,    449 266,    1 149 415,    618 887,    530 528
  45,    695 642,    424 918,    270 724,    23 560,    19 119,    4 441,    22 058,    18 360,    3 698,,,  45,    57 849,    35 813,    22 036,    65 042,    44 341,    20 701,    280 738,    173 694,    107 044,    246 395,    133 591,    112 804
  46,    647 485,    394 254,    253 231,    20 777,    17 214,    3 563,    19 800,    16 547,    3 253,,,  46,    62 249,    38 102,    24 147,    68 002,    46 549,    21 453,    250 280,    153 360,    96 920,    226 377,    122 482,    103 895
  47,    625 001,    378 007,    246 994,    18 170,    15 071,    3 099,    19 945,    16 518,    3 427,,,  47,    72 085,    44 377,    27 708,    72 101,    49 463,    22 638,    226 389,    137039,    89 350,    216 311,    115 539,    100 772
  48,    619 460,    375 234,    244 226,    18 241,    15 025,    3 216,    20 482,    16 874,    3 608,,,  48,    76 024,    47 801,    28 223,    67 209,    46 540,    20 669,    212 091,    129 303,    82 788,    225 413,    119 691,    105 722
  49,    615 769,    382 777,    232 992,    19 649,    16 309,    3 340,    22 674,    18 915,    3 759,,,  49,    77 985,    50 476,    27 509,    60 737,    42 852,    17 885,    199 805,    126 641,    73 164,    234 919,    127 584,    107 335
50—54岁,    2 589 544,    1 680 863,    908 681,    96 651,    83 105,    13 546,    114 124,    97 289,    16 835,,,50-54岁,    334 534,    236 127,    98 407,    198 920,    148 892,    50 028,    766 426,    519 842,    246 584,    1 078 889,    595 608,    483 281
  50,    582 037,    366 218,    215 819,    21 457,    17 953,    3 504,    23 917,    19 906,    4 011,,,  50,    74 158,    49 229,    24 929,    50 606,    36 037,    14 569,    178 969,    115 350,    63 619,    232 930,    127 743,    105 187
  51,    539 894,    342 435,    197 459,    21 917,    18 658,    3 259,    24 222,    20 310,    3 912,,,  51,    71 168,    48 742,    22 426,    42 221,    30 876,    11 345,    157 847,    103 569,    54 278,    222 519,        120 280,    102 239
  52,    526 882,    343 696,    183 186,    21 211,    18 394,    2 817,    24 087,    20 659,    3 428,,,  52,    69 927,    50 298,    19 629,    38 870,    29 303,    9 567,    152 108,    103 431,    48 677,    220 679,    121 611,    99 068
  53,    488 357,    323 875,    164 482,    18 017,    15 770,    2 247,      22 247,    19 227,    3 020,,,  53,    63 880,    46 857,    17 023,    34 921,    27 099,    7 822,    142 147,    99 703,    42 444,    207 145,    115 219,    91 926
  54,    452 374,    304 639,    147 735,    14 049,    12 330,    1 719,    19 651,    17 187,    2464,,,  54,    55 401,    41 001,    14 400,    32 302,    25 577,    6 725,    135 355,    97 789,    37 566,    195 616,    110 755,    84 861
55—59岁,    1 709 906,    1 258 662,    451 244,    33 923,    30 437,    3 486,    58 804,    52 818,    5 986,,,55—59岁,    152 845,    116 770,    36 075,    141 736,    119 178,    22 558,    565 583,    455 212,    110 371,    757 015,    484 247,    272 768
  55,    402 314,    277 780,    124 534,    10 281,    9 126,    1 155,    16 147,    14 180,    1 967,,,  55,    44 633,    33 650,    10 983,    29 996,    24 333,    5 663,    126 196,    94 862,    31 334,    175 061,    101 629,    73 432
  56,    384 534,    277 256,    107 278,    7 856,    7 010,    846,    13 591,    12 158,    1 433,,,  56,    37 368,    28 547,    8 821,    30 171,    25 159,    5 012,    127 440,    100 500,    26 940,    168 108,    103 882,    64 226
  57,    345 915,    257 501,    88 414,    6 305,    5 676,    629,    11 327,    10 284,    1 043,,,  57,    29 617,    22 712,    6 905,    28 440,    24 116,    4 324,    116 161,    94 839,    21 322,    154 065,    99 874,    54 191
  58,    296 950,    227 376,    69 574,    5 029,    4 569,    460,    9 403,    8 548,    855,,,  58,    22 524,    17 492,    5 032,    26 489,    22 642,    3 847,    101 181,    84 593,    16 588,    132 324,    89 532,    42 792
  59,    280 193,    218 749,    61 444,    4 452,    4 056,    396,    8 336,    7 648,    688,,,  59,    18 703,    14 369,    4 334,    26 640,    22 928,    3 712,    94 605,    80 418,    14 187,    127 457,    89 330,    38 127
60—64岁,    977 950,    772 256,    205 694,    1 5 977,    14 614,    1 363,    27 168,    25 050,    2 118,,,60—64岁,    50 777,    37 605,    13 172,    95 668,    82 552,    13 116,    305 021,    261 087,    43 934,    483 339,    351 348,    131 991
  60,    255 680,    200 419,    55 261,    4 168,    3 770,    398,    7 243,    6 657,    586,,,  60,    15 203,    11 459,    3 744,    24 996,    21 477,    3 519,    84 315,    72 058,    12 257,    119 755,    84 998,    34 757
  61,    207 537,    162 871,    44 666,    3 242,    2 951,    291,    5 964,    5 488,    476,,,  61,    11 261,    8 299,    2 962,    20 642,    17 811,    2 831,    66 053,    56 408,    9 645,    100 375,    71 914,    28 461
  62,    200 234,    158 527,    41 707,    3 241,    2 963,    278,    5 606,    5 195,    411,,,  62,    10 140,    7 508,    2 632,    20 045,    17 433,    2 612,    61 367,    52 707,    8 660,    99 835,    72 721,    27 114
  63,    166 375,    132 235,    34 140,    2 823,    2 622,    201,    4 522,    4 155,    367,,,  63,    7 800,    5 697,    2 103,    16 167,    13 919,    2 248,    50 003,    42 856,    7 147,    85 060,    62 986,    22 074
  64,    148 124,    118 204,    29 920,    2 503,    2 308,    195,    3 833,    3 555,    278,,,  64,    6 373,    4 642,    1 731,    13 818,    11 912,    1 906,    43 283,    37 058,    6 225,    78 314,    58 729,    19 585
65岁及以上,    950 363,    764 354,    186 009,    15 527,    14 303,    1 224,    19 545,    18 022,    1 523,,,65岁及以上,    29 532,    20 429,    9 103,    71 247,    60 507,    10 740,    232 527,    197 781,    34 746,    581 985,    453 312,    128 673
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
      学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
肄业,    4 870 669,    2 645 781,    2 224 888,    8 341,    7 076,    1 265,    24 384,    19 540,    4 844,,,肄业,    32 365,    19 849,    12 516,    293 804,    186 856,    106 948,    1 456 944,    875 129,    581 815,    3 054 831,    1 537 331,    1517 500
6—9岁,    2 678,    1 345,    1 333,-,-,-,-,-,    —,,,6-9岁,-,-,-,-,-,-,-,-,-,    2 678,    1 345,    1 333
  6,    153,    81,    72,-,-,-,-,-,    —,,,  6,-,-,-,-,-,-,-,-,-,      153,    81,    72
  7,    423,    220,    203,-,-,-,-,-,    —,,,  7,-,-,-,-,-,-,-,-,-,    423,    220,    203
  8,    854,    427,    427,-,-,-,-,-,    —,,,  8,-,-,-,-,-,-,-,-,-,    854,    427,    427
  9,    1 248,    617,    631,-,-,-,-,-,    —,,,  9,-,-,-,-,-,-,-,-,-,    1 248,    617,    631
10-14岁,    73 427,    33 657,    39 770,-,-,-,-,-,    —,,,10—14岁,    9,    7,    2,    103,    51,    52,    17 994,    9 321,    8 673,    55 321,    24 278,    31 043
  10,    2 507,    1 143,    1 364,-,-,-,-,-,    —,,,  10,-,-,-,-,-,-,     -,     -,     -,    2 507,    1 143,    1 364
  11,    5 102,    2 176,    2 926,-,-,-,-,-,    —,,,  11,-,-,-,-,-,-,    99,    51,    48,    5 003,    2 125,    2 878
  12,    9 846,    4 195,    5 651,-,-,-,-,-,    —,,,  12,-,-,-,-,-,-,    697,    329,    368,    9 149,    3 866,    5 283
  13,    19 252,    8 504,    10 748,-,-,-,-,-,    —,,,  13,    2,    2,-,    11,    7,    4,    3 657,    1 779,    1 878,    15 582,    6 716,    8 866
  14,    36 720,    17 639,    19 081,-,-,-,-,-,    —,,,  14,    7,    5,    2,    92,    44,    48,    13 541,    7 162,    6 379,    23 080,    10 428,    12 652
15—19岁,    501 378,    269 700,    231 678,    77,    40,    37,    341,    175,    166,,,15—19岁,    1 728,    959,    769,    42 384,    24 801,    17 583,    262 943,    148 050,    114 893,    193 905,    95 675,    98 230
  15,    62 191,    32 095,    30 096,     -,    -,    -,     -,    -,    —,,,  15,    42,    21,    21,    789,    455,    334,    31 433,    17 484,    13 949,      29 927,    14 135,    15 792
  16,    89 607,    47 832,    41 775,    15,    5,    10,    13,    6,    7,,,  16,    167,    79,        88,    3 659,    2 116,    1 543,    50 797,    28 774,    22 023,    34 956,    16 852,    18 104
  17,    109 197,    59 467,    49 730,    13,    6,    7,    43,    21,    22,,,  17,    362,    193,    169,    8 907,    5 257,    3 650,    60 833,    34 603,    26 230,    39 039,    19 387,    19 652
  18,    115 936,    62 756,    53 180,    18,    12,    6,    77,    39,    38,,,  18,    523,    309,    214,    13 137,    7 675,    5 462,    59 810,    33 636,    26 174,    42 371,    21 085,    21 286
  19,    124 447,    67 550,    56 897,    31,    17,    14,    208,    109,    99,,,  19,    634,    357,    277,    15 892,    9 298,    6 594,    60 070,    33 553,    26 517,    47 612,    24 216,    23 396
20—24岁,    622 717,    333 846,    288 871,    816,    688,    128,    3 056,    1 933,    1 123,,,20-24岁,    2 848,    1 666,    1 182,    61 420,    36 247,    25 173,    285 323,    158 401,    126 922,    269 254,    134 911,    134 343
  20,    128 367,    68 866,    59 501,    57,    43,    14,    377,    200,    177,,,  20,    643,    382,    261,    15 354,    8 847,    6 507,    59 689,    32 793,    26 896,    52 247,    26 601,    25 646
  21,    136 378,    73 523,    62 855,    151,    131,    20,    653,    390,    263,,,  21,    627,    356,    271,    14 194,    8 187,    6 007,    62 628,    34 570,    28 058,    58 125,    29 889,    28 236
  22,    122 180,    65 656,    56 524,    181,    157,    24,    695,    438,    257,,,  22,    519,    290,    229,    11 257,    6 709,    4 548,    55 805,    30 909,    24 896,    53 723,    27 153,    26 570
  23,    112 824,    60 489,    52 335,    196,    169,    27,    646,    405,    241,,,  23,    515,    317,    198,    9 471,    5 823,    3 648,    51 509,    28 769,    22 740,    50 487,    25 006,    25 481
  24,    122 968,    65 312,    57 656,    231,    188,    43,    685,    500,185,,,  24,    544,    321,    223,    11 144,    6 681,    4 463,    55 692,    31 360,    24 332,    54 672,    26 262,    28 410
25—29岁,    475 586,    241 964,    233 622,    718,    622,    96,    2 917,    2 173,    744,,,25—29岁,    2 282,    1 410,    872,    60 193,    35 523,    24 670,    186 886,    105 570,    81 316,    222 590,    96 666,    125 924
  25,    117 111,    61 357,    55 754,    226,    193,    33,    671,    488,    183,,,  25,    567,    344,    223,    12 465,    7 513,    4 952,    51 769,    28 875,    22 894,    51 413,    23 944,    27 469
