,,,,,,,,,,,,,,,,,,,,,,,,
表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续05),,,,,,,,,,,,
        单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
      和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,,,,,,,,,,,,
肄业,    4 870 669,    2 645 781,    2 224 888,    8 341,    7 076,    1 265,    24 384,    19 540,    4 844,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
北京市,    15 036,    9 240,    5 796,    73,    53,    20,    108,    81,    27,,,肄业,    32 365,    19 849,    12 516,    293 804,    186 856,    106 948,    1 456 944,    875 129,    581 815,    3 054 831,    1 537 331,    1 517 500
天津市,    7 959,    4 566,    3 393,    17,    15,    2,    70,    44,    26,,,北京市,    137,    87,    50,    680,    479,    201,    4 171,    2 989,    1 182,    9 867,    5 551,    4 316
河北省,    45 174,    26 022,    19 152,    130,    103,    27,    469,    362,    107,,,天津市,    32,    18,    14,    262,    152,    110,    2 306,    1 392,    914,    5 272,    2 945,    2 327
山西省,    23 077,    14 157,    8 920,    108,    80,    28,    314,    248,    66,,,河北省,    633,    402,    231,    3 441,    2 187,    1 254,    15 933,    9 973,    5 960,    24 568,    12 995,    11 573
内蒙古自治区,    108 861,    56 137,    52 724,    80,    66,    14,    281,    220,    61,,,山西省,    469,    267,    202,    2 124,    1 344,    780,    8 251,    5 534,    2 717,    11 811,    6 684,    5 127
辽宁省,    115 788,    59 896,    55 892,    140,    118,    22,    354,    281,    73,,,内蒙古自治区,    447,    268,    179,    5 662,    3 377,    2 285,    35 125,    20 591,    14 534,    67 266,    31 615,    35 651
吉林省,    109 695,    55 315,    54 380,    135,    107,    28,    330,    253,    77,,,辽宁省,    417,    266,    151,    5 102,    3 160,    1 942,    40 242,    22 882,    17 360,    69 533,    33 189,    36 344
黑龙江省,        203 377,    104 715,    98 662,    139,    121,    18,    497,    360,    137,,,吉林省,    490,    284,    206,    5 903,    3 406,    2 497,    32 331,    18 388,    13 943,    70 506,    32 877,    37 629
上海市,    32 833,    19 105,    13 728,    271,    221,    50,    528,    404,    124,,,黑龙江省,    515,    302,    213,    10 175,    6 025,    4 150,    68 527,    39 941,    28 586,    123 524,    57 966,    65 558
江苏省,    180 891,    97 473,    83 418,    481,    415,    66,    1 281,    1 039,    242,,,上海市,    277,    150,    127,    2 801,    1 795,    1 006,    9 364,    6 222,    3 142,    19 592,    10 313,    9 279
浙江省,    771 595,    424 949,    346 646,    808,    678,    130,    2 566,    2 050,    516,,,江苏省,    1 531,    937,    594,    10 239,    6 831,    3 408,    47 823,    29 240,    18 583,    119 536,    59 011,    60 525
安徽省,    180 509,    99 484,    81 025,    309,    274,    35,    616,    508,    108,,,浙江省,    3 119,    1 889,    1 230,    34 982,    22 573,    12409,    223 746,    135 853,    87 893,    506 374,    261 906,    244 468
福建省,    306 289,    164 435,    141 854,    321,    282,    39,    730,    617,    113,,,安徽省,    953,    560,    393,      8 552,    5 952,    2 600,    55 935,    34 543,    21 392,    114 144,    57 647,    56 497
江西省,    173 420,    92 127,    81 293,    300,    261,    39,    881,    734,    147,,,福建省,    969,    648,    321,    19 748,    12 928,    6 820,    94 820,    58 684,    36 136,    189 701,    91 276,    98 425
山东省,    159 364,    80 127,    79 237,    216,    179,    37,    937,    772,    165,,,江西省,    1 350,    797,    553,    15 516,    9 697,    5 819,    52 882,    31 083,    21 799,    102 491,    49 555,    52 936
河南省,    89 114,    52 084,    37 030,    194,    161,    33,    782,    614,    168,,,山东省,    1 271,    816,    455,    9 498,    5 919,    3 579,    48 407,    27 528,    20 879,    99 035,    44 913,    54 122
湖北省,    204 691,    105 318,    99 373,    335,    288,    47,    1 242,    1 037,    205,,,河南省,    1 128,    683,    445,    9 424,    5 734,    3 690,    34 251,    21 398,    12 853,    43 335,    23 494,    19 841
湖南省,    245 087,    137 752,    107 335,    544,    476,    68,    2 073,    1 665,    408,,,湖北省,    1 671,    1 067,    604,    16 386,    10 497,    5 889,    70 613,    40 571,    30 042,    114 444,    51 858,    62 586
广东省,    745 407,    365 544,    379 863,    481,    418,    63,    2 315,    1 920,    395,,,湖南省,    2 539,    1 493,    1 046,    26 623,    16 350,    10 273,    91 973,    53 223,    38 750,    121 335,    64 545,    56 790
广西壮族自治区,    166 157,    91 095,    75 062,    289,    262,    27,    1 379,    1 063,    316,,,广东省,    2 888,    2 000,    888,    34 854,    23 508,    11 346,    181 302,    101 305,    79 997,    523 567,    236 393,    287 174
海南省,    40 360,    21 352,    19 008,    40,    38,    2,    334,    278,    56,,,广西壮族自治区,    1 453,    944,        509,    9 157,    5 952,    3 205,    44 436,    27 733,    16 703,    109 443,    55 141,    54 302
四川省,    360 805,    221 278,    139 527,    1 815,    1 536,    279,    3 862,    3 057,    805,,,海南省,    356,    250,    106,    4 429,    2 802,    1 627,    13 767,    7 971,    5 796,    21 434,    10 013,    11 421
贵州省,    153 599,    91 510,    62 089,    273,    235,    38,    532,    444,    88,,,四川省,    5 296,    2 932,    2 364,    30 212,    18 423,    11 789,    122 861,    76 061,    46 800,    196 759,    119 269,    77 490
云南省,    259 277,    154 739,    104 538,    372,    317,    55,    778,    640,    138,,,贵州省,    966,    619,    347,    7 110,    4 706,    2 404,    43 488,    28 498,    14 990,    101 230,    57 008,    44 222
西藏自治区,    6 297,    3 925,    2 372,    8,    4,    4,    18,    12,    6,,,云南省,    1 365,    913,    452,    9 071,    5 960,    3 111,    67 438,    44 621,    22 817,    180 253,    102 288,    77 965
陕西省,    49 237,    29 313,    19 924,    197,    161,    36,    514,    389,    125,,,西藏自治区,    58,    37,    21,    148,    95,    53,    1 173,    786,    387,    4 892,    2 991,    1 901
甘肃省,    23 338,    13 152,    10 186,    80,    64,    16,    178,    147,    31,,,陕西省,    771,    481,    290,    4 886,    2 995,    1 891,    15 195,    9 739,    5 456,    27 674,    15 548,    12 126
青海省,    11 496,    7 174,    4 322,    38,    29,    9,    62,    44,    18,,,甘肃省,    307,    178,    129,    1 894,    1 129,    765,    5 765,    3 598,    2 167,    15 114,    8 036,    7 078
宁夏回族自治区,    12 122,    6 913,    5 209,    33,    22,    11,    70,    56,    14,,,青海省,    119,    58,    61,    766,    482,    284,    3 202,    2 248,    954,    7 309,    4 313,    2 996
新疆维吾尔自治区,    69 814,    36 884,    32 930,    114,    92,    22,    283,    201,    82,,,宁夏回族自治区,    114,    70,    44,    804,    493,    311,    3 674,    2 449,    1 225,    7 427,    3 823,    3 604
,,,,,,,,,,,,新疆维吾尔自治区,    724,    433,        291,    3 355,    1 905,    1 450,    17 943,    10 085,    7 858,    47 395,    24 168,    23 227
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续09),,,,,,,,,,,,
,,,,,,,,,,,,            单位：人,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,,,,,,,,,,,,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
,,,,,,,,,,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
其它,    688 571,    448 909,    239 662,    5 629,    4 583,    1 046,    66 906,    50 046,    16 860,,,其它,    38 681,    24 384,    14 297,    25 067,    19 486,    5 581,    87 715,    71 210,    16 505,    464 573,    279 200,    185 373
北京市,    1 338,    894,    444,    21,    14,    7,    408,    268,    140,,,北京市,    154,    80,    74,    68,    55,    13,    170,    120,    50,    517,    357,    160
天津市,    1 395,    1 091,    304,    4,    4,    -,    40,    27,    13,,,天津市,    40,    27,    13,    38,    28,    10,    208,    188,    20,    1 065,        817,    248
河北省,    6 050,    4 182,    1 868,    185,    153,    32,    1 829,    1 329,    500,,,河北省,    620,    356,    264,    242,    170,    72,    752,    587,    165,    2 422,    1 587,    835
山西省,    2 992,    1 959,    1 033,    65,    46,    19,    1 106,    739,    367,,,山西省,    453,    238,    215,    124,    89,    35,    355,    279,    76,    889,    568,    321
内蒙古自治区,    13 212,    8 582,    4 630,    40,    30,    10,    361,    226,    135,,,内蒙古自治区,    185,    92,    93,    427,    341,    86,    2 183,    1 708,    475,    10 016,    6 185,    3 831
辽宁省,    11 244,    7 142,    4 102,    148,    100,    48,    1 510,    965,    545,,,辽宁省,    882,    433,    449,    365,    271,    94,    1 270,    941,    329,    7 069,    4 432,    2 637
吉林省,    8 281,    5 218,    3 063,    257,    178,    79,    1 851,    1 220,    631,,,吉林省,    803,    394,    409,    481,    290,    191,    704,    539,    165,    4 185,    2 597,    1 588
黑龙江省,    13 622,    8 260,    5 362,    277,    186,    91,    2 409,    1 458,    951,,,黑龙江省,    1 272,    641,    631,    530,    334,    196,    2 398,    1 673,    725,    6 736,    3 968,    2 768
上海市,    3 816,    2 272,    1 544,    38,    30,    8,    323,    225,    98,,,上海市,    124,    64,    60,    177,    118,    59,    743,    550,    193,    2 411,    1 285,    1 126
江苏省,    91 928,    60 527,    31 401,    668,    580,    88,    12 073,    9 437,    2 636,,,江苏省,    6 895,    4 597,    2 298,    5 335,    4 075,    1 260,    12 406,    10 155,    2 251,    54 551,    31 683,    22 868
浙江省,    87 722,    53 122,    34 600,    278,    227,    51,    3 808,    2 640,    1 168,,,浙江省,    1 637,    1 024,    613,    2 025,    1 588,        437,    9 305,    7 657,    1 648,    70 669,    39 986,    30 683
安徽省,    30 441,    21 519,    8 922,    174,    148,    26,    2 710,    2 104,    606,,,安徽省,    1 639,    1 055,    584,    1 344,    1 189,    155,    5 737,    4 988,    749,    18 837,    12 035,    6 802
福建省,    52 878,    29 305,    23 573,    136,    114,    22,    1 941,    1 536,    405,,,福建省,    1 410,    837,    573,    1 108,    832,    276,    4 206,    3 184,    1 022,    44 077,    22 802,    21 275
江西省,    24 883,    16 788,    8 095,    180,    150,    30,    1 555,    1 247,    308,,,江西省,    742,    491,    251,    1 119,    895,    224,    3 867,    3 087,    780,    17 420,    10 918,    6 502
山东省,    29 831,    17 919,11 912,    548,    453,    95,    3 184,    2 372,    812,,,山东省,    2 295,    1 386,    909,    580,    440,    140,    2 149,    1 834,    315,    21 075,    11 434,      9 641
河南省,    18 684,    12 042,    6 642,    273,    210,    63,    2 730,    1 880,    850,,,河南省,    1 872,    1 174,    698,    650,    524,    126,    2 590,    2 111,    479,    10 569,    6 143,    4 426
湖北省,    78 007,    55 773,    22 234,    515,    446,    69,    6 770,    5 192,    1 578,,,湖北省,    3 593,    2 393,    1 200,    2 477,    2 144,    333,    12 963,    10 879,    2 084,    51 689,    34 719,    16 970
湖南省,    40 896,    27 834,    13 062,    663,    564,    99,    6 413,    4 908,    1 505,,,湖南省,    3 834,    2 456,    1 378,    2 120,    1 614,    506,    6 002,    4 746,    1 256,    21 864,    13 546,    8 318
广东省,    40 725,    24 375,    16 350,    322,    274,    48,    7 003,    5 663,    1 340,,,广东省,    5 078,    3 393,    1 685,    859,    571,    288,    2 397,    1 752,    645,    25 066,    12 722,    12 344
广西壮族自治区,    6 860,    4 486,    2 374,    128,    108,    20,    2 113,    1 685,    428,,,广西壮族自治区,    1 145,    712,    433,    406,    284,    122,    588,    421,    167,    2 480,    1 276,    1 204
海南省,    1 716,    1 129,    587,    19,    15,    4,    302,    249,    53,,,海南省,    180,    116,    64,    89,    57,    32,    156,    103,    53,    970,    589,    381
四川省,    66 767,    46 469,    20 298,    430,    336,    94,    3 971,    2 840,    1 131,,,四川省,    1 903,    1 213,    690,    1 845,    1 463,    382,    8 489,    7 048,    1 441,    50 129,    33 569,    16 560
贵州省,    16 982,    11 031,    5 951,    49,    40,    9,    469,    354,    115,,,贵州省,    466,    261,    205,    915,    561,    354,    3 463,    2 778,    685,    11 620,    7 037,    4 583
云南省,    19 992,    14 430,    5 562,    62,    55,    7,    427,    352,    75,,,云南省,    392,    254,    138,    297,    262,    35,    2 155,    1 830,    325,    16 659,    11 677,    4 982
西藏自治区,    4 033,    3 129,    904,    3,    2,    1,    19,    19,    -,,,西藏自治区,    99,    93,    6,    507,    503,    4,    693,    615,    78,    2 712,    1 897,    815
陕西省,    5 029,    3 348,    1 681,    69,    56,    13,    828,    580,    248,,,陕西省,    446,    335,    111,    283,    214,    69,    470,    373,    97,    2 933,    1 790,    1 143
甘肃省,    2 991,    2 195,    796,    30,    27,    3,    259,    182,    77,,,甘肃省,    141,    58,    83,    365,    343,    22,    513,    448,    65,    1 683,    1 137,    546
青海省,    1 328,    1 079,    249,    13,    13,    -,    49,    41,    8,,,青海省,    66,    63,    3,    141,    135,    6,    318,    275,    43,    741,    552,    189
宁夏回族自治区,    753,    484,    269,    9,    6,    3,    159,    118,    41,,,宁夏回族自治区,    66,    35,    31,    10,    6,    4,    61,    43,    18,    448,    276,    172
新疆维吾尔自治区,    4 175,    2 325,    1 850,    25,    18,    7,    286,    190,    96,,,新疆维吾尔自治区,    249,    113,    136,    140,    90,    50,    404,    298,    106,    3 071,    1 616,    1 455
