75.少数民族按存活子女数分组的15-64岁妇女人数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    存活子女数,  朝鲜族,  满族,  侗族,    瑶族,    白族,土家族,哈尼族,哈萨克族,  傣族,  黎族,  傈僳族,  佤族,  畲族,    高山族,  拉祜族,  水族,  东乡族,  纳西族,,,  存活子女数,  景颇族,柯尔克孜族,  土族,达斡尔族,  仫佬族,  羌族,  布朗族,  撒拉族,  毛难族,  仡佬族,  锡伯族,  阿昌族,普米族,    塔吉克族,    怒族,乌孜别克族,俄罗斯族,鄂温克族,,,  存活子女数,  崩龙族,  保安族,  裕固族,  京族,,,,,,,,,
6人,"    1,014,605","    52,695","    115,527","    29,424","    87,096","    78,587","    90,355","    229,263","    29,185",,,9人,    827,"    5,057",    424,"    1,488",    768,"    1,482","    1,735","    4,640","    1,354","    1,727",    831,    428,    430,-,    439,    238,    551,    137,,,9人,    224,    253,    379,    250,    29,    122,    83,    189,    41,    63,    140,30,    27,    54,    20,    61,    8,    48,,,8人,    64,    19,    58,    62,    41,    15,    9,    10,    1,-,    44,"    3,971",    67
7人,"    527,830","    34,551","    66,683","    17,304","    50,136","    37,617","    44,166","    104,987","    11,885",,,1 0人,    154,"    1,516",    84,    395,    216,    414,    580,"    2,052",    452,    439,    281,    120,    138,-,    108,    59,    170,    33,,,1 0人,    72,    114,    131,    83,    9,    34,    23,    62,    13,    16,    64,    8,    10,    17,    1,    30,    9,    18,,,9人,    38,    15,    29,    31,    23,    1,    4,    1,-,-,    11,"    1,301",    15
8人,"    232,414","    19,807","    32,597","    8,680","    25,805","    15,323","    17,490","    37,370","    3,918",,,1 1人,    34,    348,    15,    111,    38,    94,    124,    676,    118,    109,    75,    44,    35,-,    25,    11,    43,    6,,,1 1人,    20,    28,    36,    26,    1,    8,    4,    26,    2,    1,    21,    1,    1,    6,    3,    3,    2,    11,,,1 0人,    15,    2,    11,    15,    14,    2,    2,    1,-,-,    3,    347,    12
9人,"    84,749","    9,401","    13,169","    3,691","    10,672","    5,025","    5,488","    10,267",    990,,,1 2人,    5,    66,    5,    22,    12,    11,    35,    248,    37,    25,    16,    5,    6,-,    12,    2,    13,-,,,1 2人,    7,    10,    7,    4,-,-,    4,    3,-,    1,    6,-,-,-,-,    5,    2,    2,,,1 1人,    3,    2,    3,    5,    7,-,-,-,-,-,    1,    77,    2
1 0人,"    27,803","    3,846","    4,824","    1,373","    3,949","    1,493","    1,388","    2,375",    206,,,1 3人,    2,    16,-,    7,    2,    4,    9,    64,    7,    6,    6,    2,    1,-,2,-,4,1,,,1 3人,    4,    5,    2,    3,-,    1,-,-,-,-,    4,-,-,-,-,-,    1,-,,,1 2人,    1,-,    2,    1,    1,-,-,-,-,-,-,    17,    1
1 1人,"    7,725","    1,294","    1,490",    459,"    1,147",    334,    290,    471,    34,,,1 4人,-,    1,-,    4,-,    1,    2,    24,    1,    2,-,-,    1,-,-,-,1,-,,,1 4人,-,-,-,-,-,-,-,    1,-,-,-,-,-,-,-,    2,-,-,,,1 3人,-,-,-,-,-,-,-,-,-,-,-,    5,-
1 2人,    2，078,    365,    411,    139,    362,    79,    43,    79,    6,,,1 5人以上,-,    7,-,    1,    2,    4,    2,    9,-,-,-,-,    1,-,-,-,-,-,,,1 5人以上,-,-,    2,-,-,-,-,-,-,-,    1,-,-,-,-,-,-,-,,,1 4人,    1,-,-,-,-,-,-,-,-,-,-,-,-
1 3人,    551,    111,    106,    37,    89,    22,    12,    14,    2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 5人以上,-,-,-,-,-,-,-,-,-,-,-,-,-
1 4人,    120,    24,    20,    8,    20,    1,    4,    2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 5人以上,    86,    6,    11,    4,    5,    10,    3,    16,    2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
